review,rating,sentiment,book_title,book_id
"This lovely mystery book is first and foremost about the administration of the long-overdue justice, right? At least that's what the mastermind behind it all believes. But the question is - who has the right to decide what justice is? And who is to decide what punishment serves the crime? And is perceived justice at all costs the ultimate goal, or is it the frequently pointless work of a maniac? As a matter of fact, what is justice after all? I think the story of this book ( ) is familiar to most readers. It is a lovely and fascinating idea. Ten people are lured onto a remote island under false pretenses just to realize that they are all about to be punished by death for the 'crimes' that they have committed in the past and have gotten away with. Killed in a manner predicted by a silly yet ominous children's poem with the conclusion of ""... and then there were none"" . What's more, they come to realize that the mastermind - or maniac? - has to be among them. And the (very polite, in the traditional British way) game of survival begins, complete with all the necessary societal rituals¹ and classism² that are not disposed of even under the threat of imminent demise. ¹The politeness and overt show of respect to one another even in the face of imminent murder by someone in their midst - because, of course, you would not want to offend anyone. Continuing to socialize and take meals together. Insisting on chivalry when a woman could be the murderer just as well as a man - these are just some of the examples. ² Just think of everyone expecting the impeccable service by the butler even though HIS WIFE JUST DIED! Everyone deciding to stick together and be careful - but never including the servants in it. The belief by some that people of 'proper class' would be incapable of murder. The list can go on and on. And all of these assumptions prove to be wrong. And as, despite the precautions, the number of people trapped on the island continues to decline, the uneasy tension sets in, and the impeccable facades begin to crack. "" The oth­ers went up­stairs, a slow unwilling pro­ces­sion. If this had been an old house, with creak­ing wood, and dark shad­ows, and heav­ily pan­elled walls, there might have been an eerie feel­ing. But this house was the essence of moder­ni­ty. There were no dark corners - ​no possi­ble slid­ing pan­els - it was flood­ed with elec­tric light - everything was new and bright and shining. There was nothing hid­den in this house, noth­ing con­cealed. It had no at­mo­sphere about it. Some­how, that was the most fright­en­ing thing of all. They ex­changed good-​nights on the up­per land­ing. Each of them went in­to his or her own room, and each of them automatical­ly, al­most with­out con­scious thought, locked the door. "" The story is captivating and very smart, and the ending had me baffled for a bit the first time I read it. It has a neat resolution despite an obvious plot hole (but hey, it doesn’t bother me that much). It's an enjoyable read to say the least. But what made me unsettled both of the times I read it was the nagging question of justice, as I mentioned above. Yes, on one hand, it's almost poetic justice to punish the criminals who thought they got away with it. On the other hand, is eye-for-an-eye the best way to get even? And who's to judge, anyway? Who is either conceited enough or deranged enough to assume that he has the right and the moral authority to determine guilt and the extent of punishment just like that? Don't get me wrong - the people accused on the island are undeniably guilty (even though it's not necessarily murder as we think of for some of them - Vera Claythorne is really guilty of neglect, albeit with a desire to kill, and Emily Brent is pretty much guilty of being a judgmental über-righteous heartless prude) . But the degree of their guilt varies quite significantly in my perception, and it does not always coincide with what their 'unknown' judge/executioner thinks (running two children over with a car and feeling no remorse is to me worse than firing a pregnant servant who then goes on to kill herself, for instance) . And is arbitrarily and single-handedly determining their guilt and doling out punishments not just as much (or even much worse) or a crime than they have committed? Conceited, self-righteous crime? Decide for yourself. Speaking of guilt - this novel has quite a bit to say on this subject. You see, many of the characters have already been judged and condemned by their own selves. Vera Claythorne and General Macarthur both are tormented by their guilt, and at least one of them become a direct victim of it. Interestingly, others, no less guilty, are not tormented by their conscience at all. But ultimately this does not matter at all for their survival; only the fact that they were deemed guilty. So should being tormented by guilt versus a cold-blooded killer factor at all in the administration of justice? These are the thoughts that kept running through my head as I was reading this excellent non-traditional critically-acclaimed specimen of mystery literature. And therefore bravo to Miss Christie for making me think and care - and not just mindlessly flipping pages to get to the bottom of the whodunit. Because 'WHO' was much less important to me than 'HOW' and 'WHY' - especially 'WHY' . For all of this, I give it the unflinching guilt-free 4 stars. —————— Also posted on .",4.0,positive,And Then There Were None,16159005
"There is scarcely any comfort to be found in this book; only an indelible, arcane horror. And Then There Were None was uncomfortable as it lodged itself in the darkest corner of my mind. The questions it asks, the implications it conceals, are soul-curdling and unforgettable. In short, I liked this book, but it's not exactly an experience I’m keen on revisiting. ** In Agatha Christie’s nightmarish tableau of a novel, ten people are summoned as house guests to a remote island by a Mr and Mrs U.N. Owen. The guests assembled trade stiff dialogue over dinner and cocktails while musing about the celebrity of the island and puzzling about their hosts’ tardiness. The whimsy of the moment, however, abruptly disappears when a disembodied message blaring from a gramophone tallies, in vivid and mordant detail, the guests' unpunished crimes. What begins as astonishment quickly turns into horror when, shortly after, the house's occupants embark on the ghastly business of being murdered, one by one, per the instructions of a horrid nursery rhyme. Death runs rampant with its bloody scythe on Soldier Island: this is their sentence coming to retrieve them at last. “Be sure thy sin will find thee out.” Agatha Christie, an extraordinarily good writer, digs with bright horrible relish into this exhilarating, unsettling, and brilliantly constructed story. She plays the reader with the delicacy of an expert angler, scarcely allowing us a moment to dig in our heels and stop where we are, just for a while, just long enough to get a better idea of what’s ahead. The experience of reading this novel is, as a result, sometimes akin to walking through a nightmare, unable to orient one's self, understanding very little beyond the deep-seated sense of being utterly afraid . This is intensified by the hermetic and creepy atmosphere of Soldier Island, and the slow unraveling of each of the characters' haunting pasts. What appears at first, however, to be a thriller is something far more dangerous in Christie's hands. The surface is arresting, but the harder you think the further you go, and the story keeps on getting more productive. And Then There Were None is infused with psychological depth that holds its own fascination. What are we capable of doing, asks the novel, when fear, fractured and wild, takes hold of us and scours out all else? What lengths are we willing to go to escape accountability, and purge memories of our most torturous evils? Each of the character becomes a mirror from which there’s no escape, reflecting their monstrosity back at each other on and on and on. In that sense, this novel is an invitation to take a long, hard look at one’s own self in the mirror that dares us not to flinch. And Then There Were None is, furthermore, a compelling portrait of a psychopath who suffers an unconquerable confederation of self-righteousness and depravity. But what is most frightening is not the depth of their evil, but how cold it runs. Are humans really capable of being this infatuated with the theatrics of murder? None of these characters are, of course, the kind of people you would want to roll the red carpet for, but does anyone really deserve this? “Crime is terribly revealing. Try and vary your methods as you will, your tastes, your habits, your attitude of mind, and your soul is revealed by your actions.” If there's a flaw running through And Then There Were None , it's that Christie maintains a respectful distance from her characters, and at times, that distance runs toward dryness. I think a bit more poison in the pen would have helped in drawing out the characters, some of whom don’t entirely step into the page before... they start dropping like flies. Overall, however, And Then There Were None is a highly engaging murder mystery and a provocative, pitch-black psychological thriller that will be hard to forget for many.",4.0,positive,And Then There Were None,16159005
"The story goes a bit like this: 10 strangers each get invitations from someone they think they know to stay on an island resort. Hells yeah! Sunshine & sea air! Well, resort is a bit of a misnomer. It's really a big house on an island. Still, it's famous for being a party place, and nobody in the group turns it down. BIG MISTAKE. Almost as soon as everyone is gathered together, a recorded voice booms out through the walls and accuses each of them of being a murderer. And not just...YOU'RE ALL MURDERERS! Nope, whoever it is appears to know specific details about each death, and why these particular people were responsible. Of course, everyone immediately starts proclaiming their innocence! Wha..? Noooo! That person died accidentally! I was never even a suspect! Who dares...?! Harrumph & bluster! However, within minutes one of them falls over dead. Suicide? Or something more nefarious?! As the body count rises, they have to face the fact that these aren't accidents. And with each new death coinciding with a children's rhyme that's tacked up in each room, all signs point to a self-appointed executioner in their midst. After they get organized and take a peek around, they realize that they are quite alone on this island. Their mysterious benefactor must be disguised as one of the guests, and is more than likely...the murderer. Dum, dum, duuuuum! The tension ratchets up with each body, and the guests start turning on each other in an attempt to ferret out the killer. Eventually, they decide they just need to calm down and survive till the police can get to the island. Good plan, right? But what if there isn't anyone left to tell the cops what happened? So whodunit? I ain't tellin'. Psst. The epilogue is really important. 2023 I just listened to the BBC Radio Dramatization of this book. Wow! Well done! I would always suggest that you read or listen to the actual book beforehand, but this was really a wonderful adaptation of it for fans of Christie's story. Highly recommended if you get the chance.",4.0,positive,And Then There Were None,16159005
"i want to start off by saying if i had been alive in 1939 and read this when it was first published, i would have given this 5 stars. without a doubt. theres a reason this story is one of the best-selling books of all time - the concept paved the way for the 'whodunnit' mysteries of today. i would have been riveted by this story. that being said, because the influence of this book is so far-reaching, it didnt feel like it was new. ive read this format in many other novels and seen it in many films. this isnt the books fault - its just an unfortunate consequence of exposure. i also am not a fan of ACs writing style. it feels so sterile to me. yes, the characters and facts are presented in a very straight-forward way and its very easy to follow along, but the lack of descriptive narration just isnt my style. i also feel like all of the characters are carbon copies of each other - i was constantly confusing them because there is no personalisation to their characterisation. i do like the concept and can appreciate the phenomenal influence this story has had on modern writing, but the execution prevented me from loving this entirely. ↠ 3 stars",3.0,neutral,And Then There Were None,16159005
"I'm a big lover of Agatha Christie, she has written some fantastic murder mysteries and her stories never get tiring. But this is the one that just comes out on top every time. It partly, and quite amusingly, reminds me of that old American murder mystery in Sunset Beach. Basically, they're the only ones on this island and someone is killing them off one by one in accordance with the Ten Little Indians rhyme . And I swear I never saw it coming, and I'm usually very good at it. It's just a very clever novel, full of mystery and suspense and easily quite frightening at times. I like how Agatha Christie doesn't have to write a 500 page novel with a massive back story, her mysteries are very simply put together but always clever and hard to decipher. I would recommend this book to everyone.",5.0,positive,And Then There Were None,16159005
"Doing the same thing over and over again and expecting different results is the definition of insanity, according to Einstein. But let me tell you something: I’m rereading this book for the tenth time, and with each read, I love it more. I catch new details and even change my thoughts about some of the characters. It’s like fine wine, getting better with age! So, if enjoying this book over and over again makes me insane, I’ll happily accept that as part of my personality",5.0,positive,And Then There Were None,16159005
"is one of Agatha Christie's most celebrated mystery novels, and purportedly one of the most difficult for her to write. I don't dislike this book. It seems to be a favorite among many, but it's very middle of the road for me as far as Mystery/Thriller books go. The Good: I enjoy the setup & how this mystery is structured. It's fun & easy to engage with in a ""Gee, I sure am glad I'm not in their shoes"" kind of way. It's written well with an accurate insight on human desperation & how psychosomatic effects can drastically warp one's sense of control. The length (only 264 pages) & pacing of this novel is very appropriate. It gives adequate page space to the mystery & the characters, acquainting the reader quickly with the situation so that we can dive straight into the action. The Bad: I did not care about even one of these characters past seeing the creative ways the author would kill them off. They're developed & believable as people, but I never felt any type of connection or sympathy which I think can be quite important in a story like this. Sometimes the characters don't matter or can get away with being stereotypical cardboard cutouts, but that tends to shift the over into the torture porn arena & I don't believe for a second that is where Christie's book belongs. Probably the most disappointing part of my experience, I was not impressed with the conclusion of this mystery. Right off the bat, I didn't feel engaged with the actual solving of the problem because it felt as though I was kept at an arm's length from any of the potential clues. Call me an idiot, maybe this was obvious for other people? But I genuinely don't feel as though readers are given a chance to make even an a semi-educated guess about who the perpetrator is. It relies wholly on the very, very last section of the book to lay out the details for what they are & explain the unknown bits. It's very: ""Oh, by the way here's what happened."" Anti-climactic to say the least. When I'm reading a Mystery/Thriller, I want to feel as though I'm being challenged to figure out what's happening before the characters do. I'll be the first to admit I almost never guess the truth in its entirety, but that's beside the point. I was to the point where I was almost ready to believe something supernatural was happening. Not a great sign. When the truth is finally exposed, I had a hard time feeling as startled as I'm meant to feel because I've seen this story before in popular media. Now, this came out in the 1930's and so this isn't by any means the fault of the book itself. It probably came first in every instance I'm thinking of. But as a modern reader this didn't pack the same punch it might have if I were a reader of the 1930's. Anyhow, that's another classic under the belt!",3.0,neutral,And Then There Were None,16159005
"Is there anyone on Earth who really needs my review of this book? I mean...it's probably the most well-known mystery of all time that wasn't at some point adapted into a BBC miniseries starring a Slenderman-like monstrous human who haunts my nightmares. Either you've already read this or you're never going to. If you somehow exist in the in-between, here you go: This is a good and satisfying story and it's fun. That's all there is to it. Bottom line: How unnecessary of me to tell you the world's greatest mystery writer's most popular book is worth reading. I'm annoying even myself. ------------- pre-review okay. the hype is warranted. review to come / 3.5 or 4 stars ------------- currently-reading updates for a long time i thought i'd already read this book, and then i remembered that i had simply borne witness to a play version of it that was being performed in the acting elective i took in my freshman year of high school. so not quite the same.",4.0,positive,And Then There Were None,16159005
"يجب أن أعترف أن ضيق أفقي هو مامنعني من دخول عالم أجاثا كريستي فمنذ صغري لم تبهرني أغلفة قصصها المترجمة للعربية كما أن معرفة والدي لافلامها وقراءة والدتي لروايتها منذ الصغر جعلني أشعر أن الغموض بهذه القصص ""موضة قديمة"" وألغازها ستكون مكشوفة لي ناهيك عن مقولة ""لابد أن الخادم هو من فعلها كقصص أجاثا كريستي"" جعلتني متشككا أن الحل دائما نمطيا فلماذا أقرأ لها؟..لم يعد هناك شئ عشر عساكر صغار ذهبوا الي العشاء اختنق احدهم ..ثم تبقي تسعة الي ان جائتني دعوة..دعوه لقراءة احد كتب اجاثا كريستي لانها في قائمة أعلي الكتب مبيعا في العالم متفوقة علي الالاف كتب التشويق والجريمة!!! مما جعلني متشوقا لمعرفه السبب تلك الدعوة كانت في ويكابيديا..قائمة اعلي الكتب مبيعا في التاريخ تسع عساكر صغار سهروا لوقت متاخر نام احدهم طويلا..ثم تبقي ثمانية هذا ما جعلني متشوقا لمعرفه سر هذه الرواية..التي تفوقت في اثارتها وتشويقها علي الكثير من أقرانها في المبيعات..وحتي تفوقها علي كل روايات اجاثا كريستي وأن تظل محتفظة بغموضها وتشويقها كل هذه السنوات وقد كان...وبدأت في الكتاب ثماني عساكر صغار سافروا لديفون قرر احدهم البقاء..ثم تبقي سبعة كنت مصمما اولا ألا اقرأ اي ريفيو عن الرواية ولا ألمح حتي صفحات الافلام المبنية عنها فقد كنت مصمما ان اعرف اللغز وأحله بنفسي قبل انتهاء صفحات الرواية سبع عساكر صغار يشطرون الاخشاب شطر احدهم نفسه نصفين..ثم تبقي ستة ومنذ الفصل الاول وجدت نفسي في رواية متعددة الشخصيات..متعددة وجهات النظر..ثماني اشخاص لا يعرفون بعضهم بعضا..متجهون نحو قصر بجزيرة..غامض صاحبه..وغامض السبب الحقيقي وراء ذهابهم او دعوتهم.. غامض دعواتهم للقصر شيئا ما..الا انهم قرروا الذهاب ايا كان متباينين..غير متناسقين عمريا ولا فكريا ولا كمستوي اجتماعي او مادي او حتي وطيفي...مشتركين في غموض ماضيهم..غموض دوافعهم ليذهبوا ويقابلوا زوجين من الخدم غامضين ايضا..لايعرفون شيئا عن سيدهم ولم يروه حتي الان..بل ويكادوا يجزمون بينهم وبين انفسهم بغرابة ذلك الحشد الغريب الغير متناسق,الغير متجانس بين الشخصيات امامهم يبدأ العشاء علي مائده يزينها تماثيل صغيرة لعشر عساكر..وتبدأ الاحداث الغريبة في البدء منذ اوائل الفصول ست عساكر صغار يلعبون جوار خلية نحل لسعت نحلة غاضبة احدهم..ثم تبقي خمسة اتهامات غريبة يسمعونها بعد العشاء من جهاز تسجيل تم تشغيله إتهامات تخص ماضي كل شخصية من العشر شخصيات والمفترض انهم وحدهم بالجزيرة من قام بتسجيل تلك الأتهامات؟ ونعم..كما تقول الاسطورة بعد العشاء الاول مباشرة..يختنق احدهم..كحادث مدبر؟ انتحار؟ جريمه قتل؟ ثم يتبقي تسعة..ليتفكروا في الامر خمس عساكر صغار يذهبون للحكم تحفظ علي حكم احدهم..ثم تبقي اربعة ثم ينام أحدهم طويلا ... ولا يستيقظ أبدا بالضبط كأغنية ""عشر عساكر صغار""..فهل سيتناقص عدد المدعوين العشر كالعساكر في الأغنية؟ تتوالي الاحداث..في ترقب..من صاحب الدعوة؟ ماحقيقة الاتهامات؟ كان هناك 10 تماثيل عساكر في وسط مائدة الطعام..لماذا صار فقط تسع بعد وفاه احدهم؟ اربع عساكر صغار يذهبون لبحر تخدع سمكه حمراء احدهم..ثم تبقي ثلاثة حتي وان تبقي ثلاثة..لن تعرف من يقوم بهذا هل هو احدهم؟ هل هناك احد غيرهم العشرة مختبئ في مكان ما؟ هذا لا يمكن ان يكون صحيحا..لقد فتشنا المكان جيدا.حتي الجثث ..اهو حلم؟عذرا ..كابوس؟؟ ثلاث عساكر صغار يذهبون لحديقة الحيوانات اخذ الدب احدهم..ثم تبقي أثنان وتتغلغل الرواية بعبقرية داخل نفس الانسان ..وغريزته الحيوانية في البقاء..والدفاع عن نفسه فبمجرد تناقص عدد الشخصيات تبدأ تصرفاتهم في الريبة والشك والخوف وكانهم فعلا حيوانات مفترسة ستشعر كم برعت اجاثا كريستي ملكة الجريمة في تصوير باختصار موجز رعب وهلع النفس البشرية في مواجهه المجهول..وفي الشك في الغرباء حتي تصل لدرجه البارانويا في قصر بجزيرة منعزلة, لدرجة تجعلك تشعر فعلا كأنك أنعزلت عن العالم وصرت حبيسا بتلك الجزيرة بل ستجعلك في لحظات في اواخر الرواية تشعر بنفس البرانويا والترقب والفزع كانك التالي في دور القتل والاختفاء لقد كنت ""بدون مبالغة"" احبس انفاسي في بعض الاجزاء الاخيرة فعلا اثنان عساكر صغار جلسا في الشمس اصيب احدهم بضربه شمس..ثم تبقي واحد روايه واحدة نالت كل التقديرات المتميزة لاجاثا كريستي..رفعت لها القبعات منذ اول صدورها في الثلاثينات من القرن الماضي وحتي الان وبالرغم من ان انتاج افلام عن الرواية لم يحدث من فترة طويلة الا انه صدرت لعبة ""فيديوجيم"" للكمبيوتر في 2004 رواية واحدة ستجعلك تتوحد في قراءتها مع الابطال..ستظن انك عرفت شيئا ما -وبصعوبه- وسيتضح خطأك بعد بضع صفحات حتي تأتي النهاية ا��مكتوبة بحرفية اجاثا كريستي المتوجه عالميا كملكة الجريمة رواية واحدة التي اثنت مؤلفتها علي حرفيتها بنفسها في مقدمة الرواية لمجهودها في جعل جرائم القتل مقبوله وحل الجرائم مقنع وملاءم للاسطورة اسطورة العشر عساكر الصغار عسكري واحد صغير تبقي وحيدا..ذهب وشنق نفسه ثم لم يتبق احد And Then There Were None نعم لم يتبق احد..ولكن تبقي لي تراث اجاثا كريستي لاقرأ فيه من وقت لاخر تراث يقرأ لاجيال..ليتعرف به علي افضل ماكتب في مجال التشويق والاثارة وعالم الجريمة محمد العربي من 17 سبتمبر 2013 الي 23 سبتمبر 2013",5.0,positive,And Then There Were None,16159005
"5 stars to 's . This is the book that started my absolute love of the mystery genre. I was addicted and must have read it 3 or 4 times over the course of the year. Between the poem, the deserted island, the plot twist, the count-down, the pure clandestine suspense... it couldn't get any better. Story Ten people receive a mystery letter from someone they don't know that indicates they should come to a remote island. Why would they go????? After arriving, they try to figure out the connection between all of them while waiting for their mysterious host. After coming across a cute little poem about how ten little indians die, they decide they will wait it out until the next morning when the ferry comes back to take them home. But it will never come! Each guest suddenly dies matching the line from the poem... resulting in alliances and mistrust. Pure fun. In a masterful conclusion, the reader understands all the connections, learns why the killer chose them to die and develops a very distinct opinion on who was right and who was wrong in this story. Amazing! Strengths 1. Plot - can you get any better than telling the reader that 10 people will die and then guessing the order and the weapon? 2. Characters - All walks of life, all personalities. You'll love some and hate some! Weaknesses 1. Only that there wasn't a follow-up... Final Thoughts If you are a mystery fan, you must read this. If you've never read Agatha Christie, this must be your first - before you tackle Miss Marple or Hercule Poirot. You must understand the master before getting hooked on any specific protagonist in one of her other series.",5.0,positive,And Then There Were None,16159005
