review,rating,sentiment,book_title,book_id
"(B-) 70% | Satisfactory Notes: The apotheosis of laugh out loud, so-bad-it's-good writing, it's at first enthralling but descends into garish absurdity.",2.0,negative,"Angels & Demons (Robert Langdon, #1)",960
"أولا الرواية دي لو حابب تتمتع بجد وانت بتقراها ليها حل من أتنين 1-Illustrated Edition تقرأ النسخة الانجليزية المصورة أو 2- وانت بتقرا أي نسخة تفتح جوجل صور وتكتب اسم كل مكان بيزوره روبرت لانجدون، كل قاعة في كنيسة او جدارية او تمثال وتشوف صورته علي النت ده صورة أحد أغلفة الرواية بيظهر فيها التماثل، ثيمة مهمة ضمن الأحداث .. لو قلبت الصورة حتلاقي عنوان الرواية بيقرا من فوق زي من تحت ثانيا، أعتبر الرواية تذكرة طائرة لرحلة مع بروفيسير روبرت لانجدون، أهلا بيك في الفاتيكان يمكن دي اول تجربة ليا لقراءة رواية مليانة تفاصيل ومعلومات حقيقية سواء علمية او دينية او تاريخية او حتي اثرية وسياحية ..و كمان تحتل المعلومات دي اكثر من ربع الرواية او ثلثها بدون مبالفة رحلة يتخللها معلومات عن الذرات والطاقة والمادة...معلومات فيزيائية وطبيعية معلومات تاريخية عن طائفة الحشاشين، وعن التنويريين ""اليمانتري"" ورموز فنونهم وأصلهم و أصل الماسونية وعن صراع الدين والعلم في عصر النهضة..وعلي مدي العصور بعدها وحتي الأن معلومات عجيبة حقيقية عن الفاتيكان ، الدولة ومكتبته وتماثيله وغيرها كتير مش كده بقي وبس ده كمان كل المعلومات دي في اطار تشويقي فعلا يخليك مستني تعرف المعلومة اللي بعدها وتحاول تبحث عن حقيقتها او اصلها علي الانترنت عشان كده بنصح بالنسخة المصورة..لان صور الاماكن والاثار والاعمال الفنية دي بتساعد وبشكل كبير جدا في حل لغز الرواية نفسها...وعاما وصف دان براون دقيق ومسلي مش ممل بلاش المعلومات .. الرواية نفسها اللي خلطت الحقائق التاريخية والعلمية بقصة مثيرة واكشن ولغز بتدور احداثها في يوم واحد بس فكره رواية اليوم الواحد ده ممكن يبقي كارثة لاي رواية وباعث للملل او الفجوات لكن دان براون نجح انه يجعل الرواية مشوقة جدا مع عدم فقد الاحساس بالزمن ... بتسابق الزمن خلال اليوم اللي بتبدأه من ساعاته الأولي وبينتهي بمطلع فجر اليوم التالي .. وفي نفس الوقت الاحداث بتدور بدون اقحام الساعة او الوقت في كل مشهد ، بتكتفي بشكل السماء او ذكر الوقت في اوقات قليلة جدا بالنسبه للشخصيات رسم المؤلف الشخصيات بطريقة حقيقي مماثلة لتقديمه للحقائق اللي في الرواية..بتشويق..بعمق..بتطور في كل شخصية بيستمر علي مدار الاحداث وبيستمر كشف ماضيها كمان كل شخصية بتتعرف عليها خلال احداث الرواية بتعرف تاريخها وماضيها -بالاخص الابطال الاساسيين- وكمان دوافعها ""قطرة قطرة"" جزء جزء بطريقة تشويقية بدرجة كبيرة هناك شخصيات بالرواية الفيلم خسر كثيرا لعدم ظهورها او انتقاص دورها مثل الملك ماكس مدير الشركة العلمية المنتجة للمادة المضادة وحتي ايضا شخصيتي الفريق الاعلامي لقنوات بي بي سي بالنسبه للاحداث جرائم اختطاف وقتل لكاردينالات بالفاتيكان تتزامن مع انتخاب بابا الفاتيكان جديد بعد الوفاة المفاجأة للأب السابق مع رسائل غامضة مليئة بالرموز التي تعود الرواية متعددة وجهات النظر دائما تحتاج لبراعة في الكتابة لم يخلو بها هذا الكتاب هناك صفة مميزة ان بعد كل كام فصل ""في تلك الرواية الفصول كثيرة جدا تتخطي التسعون فصلا"" تجد شبه تذكير بأحد الاحداث..او بأحد المواقف او ابعاد شخصية ما اللي بيدور الفصل من وجهة نظرها التكرار جميل فهو قد يزيد من التركيز خاصا ان هناك الكثير من القطع في بعض المشاهد لالقاء الضوء علي حدث ما في ماضي الشخصيات سواء القريب او البعيد ..او قد يكون القطع بسبب معلومة تاريخيه او علمية او اثرية الا ان هذا التكرار كان يضايقني لان قرائتي الانجليزية بطيئة بعض الشئ ""الرواية اخدت مني وقت بجد لكن المهم طلعت بحصيلة لغوية كبيرة افتكر اني عرفت مثلا اكتر من 10 كلمات مختلفة كلهم معناهم رجال الدين :)"" هناك ايضا رسم وتفاصيل المؤلف للاماكن او الاثار المسيحية المكتظة بها روما والفاتيكان كان صعب احيانا تخيله لولا اني اقرا نسخة خاصة مصورة كنت تعبت بجد :( اما الافضل فكان النظام السينمائي المثير المكتوب به الرواية بالاخص تتابعات نهاية الرواية الذي شهد خلط مشاهد الفلاش باك سويا ومزجها مع الحدث الحاضر بطريقة غير مربكة بل مشوقة لدرجة تجعلك ""علي حافه الكرسي"" ""حابسا لأنفاسك "" لمعرفه ما حدث في الماضي بالظبط ادي الي هذه الاحداث و الصراعات النفسيه لاحد الابطال. الدين والعلم ------------ هنا بتتعرف علي علي بداية صراع دموي بين تزمت الدين والتنويريين لمجرد الخلاف مع جاليليو علي حقيقة الأرض انها كروية وليست مسطحة ونشأة المتنورين واختفاءهم بعيد عن انظار الكنيسة وبطشها لمحات عن الماسونية واللي بيكمل دان براون في روايتيه اللاحقتين تاريخهم بشكل أكبر ولا ننسي ان احد اشرار الرواية هو احد خلفاء فرق الحشاشيين , من اشهر الفرق التي اخذت من الدين ستار للعنف والبطش والقتل من روائع الرواية ايضا..خطابات الكامرلنجو ""مش عارف معناها بالعربي بالظبط بس اللي هو راعي البابا وخادمه"" اللي بيتكلم فيها عن صراع الدين والعلم .الصراع الابدي..من منتصف الروايه لاخرها هذا الصراع تم صياغته بطريقة ممتازة سواء في الخطب المباشرة او المواقف اللي مر بيها اتنين من اهم الشخصيات بالرواية في ماضيهم. يمكن عجبتني جدا في الرواية فعلا ان الاحداث كلها في يوم واحد لاني بعشق الافلام اللي بالطريقه دي ""طبعا للاسف في الحاله دي انا حزين اني شفت الفيلم قبل قراءه الرواية "" وتقريبا دي اول مره اقرأ رواية بالنسبه لي تدور كلها في يوم واحد وتكون بهذا الحجم ""ربما فقط احسست ان الشمس لم تغيب الا متاخرا جدا يمكن ده العادي في روما"" في النهاية دي اول رواية اقرأها لدان براون واكيد مش الاخيرة ..وتقيمي ليها بالرغم من انتقاص متعه القراءة بمعرفتي النهاية من مشاهده الملخص المختصر""الفيلم"" الا ان مازال ان هناك مفاجات واثاره في الرواية و ايضا اعتقد ان تعاطفي مع الشخصية ""المفترض انها شريرة"" زاد بتتابعات النهاية. محمد العربي الاسكندريه 3 فبراير 2013 الي 16 فبراير 2013",5.0,positive,"Angels & Demons (Robert Langdon, #1)",960
"Call it a conspiracy theory, but How did secret societies, associations, cults, and shadow cabinets influence human history, and how evolved the first stone age groups of chief, medicine man, dealer, and strongest soldier until today and will develop in the future? An all time problem until enlightenment kicks in in a faraway utopia It´s not just the realm of religion that has had its fake news problem since the first primitive cults and sects tens of thousands of years or even longer ago. It´s each field and area of human activity that was, can, and will be influenced by the dark forces in the background, the puppet masters controlling the fate of both tribes of thousands in the past or states and space colonies of billions in the future. Faith vs science, subjectivity vs objectivity, emotionality vs rationality, Call it as you like, I can´t objectively say much about the epic, endless science vs faith battle, because I am biased as heck and it would go against the obligation of a responsible reviewer to add too much subjective... Go science, show who is the boss, yes, keep using that chokehold,… A subjective interpretation: I am reading nonfiction for over 20 years and must say that much that has once been deemed impossible, wrong, or lies, became true and influenced the lives of everyone in massive ways. So the truth seems to be pretty flexible. And the lucky ones of us living in so called enlightened democracies could reverse engineer big and progressive history and guess how much of, well, everything could be wrong, lies, and pure fiction. That it´s the opposite of official history in some cases, that many of the weirdo theories about the present and future are the truth, and much of what is written in history books are lies. Monetarizing this concept was an ingenious idea by Brown (and his not so well known predecessors?) And I don´t understand the Brown bashing of some people, many authors don´t really care much about the rules of writing or create average quality of consistency, logic, dialogues, and stuff and don´t get criticized for it. It might be possible that it´s more the inconvenient topics Browns is using that are activating the bite reflexes and reactionary mental programs of pissed people preferring proselytizing priests. The fast paced writing style with many different settings, fine infodumps, cliffhangers, and everything similar to a well written Hollywood blockbusters, techno- and psychothrillers is nothing people are ranting about as long as it´s not controversial. At least the lectors tried to pimp the real science It´s possible that the new editions of the book have been edited and corrected ( I don´t know), as there are some errors regarding the possibility of the involved physics and technology and wrong descriptions. But as I know publishing houses, they probably still haven´t invested the money to fix the bugs, even in a multi million copies world bestseller, that uses the intentionally produced good old catholic church and JC controversies like no series before. Tropes show how literature is conceptualized and created and which mixture of elements makes works and genres unique: A wiki walk can be as refreshing to the mind as a walk through nature in this completely overrated real life outside books:",4.0,positive,"Angels & Demons (Robert Langdon, #1)",960
"Dan Brown - image from Alwasat.ly This is the first novel in which the character Robert Langdon appears ( The DaVinci Code being the most famous) The well-known symbologist is called in by the director of CERN when a renowned scientist is found murdered. The scientist had created anti-matter, in an attempt to demonstrate that divine creation of the universe was scientifically explainable. The scientist has, of course, a brilliant and beautiful daughter. The tale has much payload regarding the Illuminati, an ancient group of scientists who had formed a secret society in opposition to the church. It is fast-paced, and a well made example of the action adventure tale. We learn much about the history of the illuminati, a bit about CERN, but the central questions remain ones of faith and science. It was a fun read, one I felt impelled to return to when free moments appeared. Tom Hanks stars as Robert Langdon and Ayelet Zurer stars as Vittoria Vetra - image from AceShowBiz A few other DBs for your consideration ----- ----- -----",4.0,positive,"Angels & Demons (Robert Langdon, #1)",960
"& I was left... STUNNED! Just, just, stunned. Incredibly, this one is the one to top when it comes to adventure & history and pace & ingenuity. I've recently noticed how much history is revered (rightfully) by the modern authors. This is a different type of historical immersion. This is about bringing it to the forefront... something in the past is incredibly relevant, vital, to the present. Everyone but me had read this, & after Da Vinci Code--that bitch of an overrated heathen--I thought Brown was a phony (in company of Nicholas Sparks, among others). Not so. This is a MASTERPIECE indeed. I read this in like two sittings. All 710 pages of oversized print. I was soooo hooked I recalled many other lesser books that have riveted me. This one is so incredibly put together, it is no wonder Brown has been heralded by the general readership, ingrained in the zeitgeist. The awesomeness of this work lies in the battle between science and religion, perhaps one of the most seminal works about that topic. It explores this duality literally, symbolically... every which way. That they are married, both science and religion, is the thesis. Brown proves this with the precision of a skilled scientist. & with the heart of a devout... historian.",5.0,positive,"Angels & Demons (Robert Langdon, #1)",960
"I read this after the drivel that is called ""Da Vinci Code."" I decided to give the author another chance, and take on something that maybe wasn't so formulaic. No dice. I am convinced that Dan Brown does absolutely no research into the subjects he writes about. Or if he does, he decides it is not ""titilating enough for him"" so he makes it up. I mean why even include actual real things in his books if he chooses to ignore any facts about them. Opus Dei? I doubt he could spell it. Catholic Church? Has he even read any history about the Catholic Church at all? His descriptions of the Church seem to be based on whatever anti-Catholic propoganda he could find, Chick Tracts, and superstition. So it comes to no surprise that he has 2 massive bestsellers that are more or less, anti-Catholic. Cuz you know, Catholic baiting and prejudice to the Catholic Church is the only real acceptable prejudice left. The underlying superstition and hostility towards Catholicism, priests, the Pope, Vatican, etc is very close to the same sentiments that lingered in the decades and centuries before WWII in Europe. Think I am overreacting? If someone wrote these books but instead baited the Jews or Muslims there would be a huge outcry. Bashing Catholics and depicting them and their history in the way Dan Brown does in these books is outrageous and should be criticized and shunned. And I didn't even delve into how awful of a writer he is, did I? The only thing more embarassing than his writing that will never be remembered 20 years from now, is the fact that so many people bought into his piece of shit and wasted their time with it. Including respectable people like Tom Hanks and Ron Howard. There's time you will never get back again. Congrats!",1.0,negative,"Angels & Demons (Robert Langdon, #1)",960
"Dan Brown writes trash, but sometimes trash can have a certain allure. Sometimes trash sucks you in as you feel forced to reach the bottom of the rubbish pile and see what secrets it may be hiding. And that’s the strongest aspect of his writing, the pull. Say what you want about the crazily outlandish plot that’s built upon a nest of poor research and flat characters. Say what you want about the anti-Catholic undertones and the semi-racist portrayal of the antagonist, there’s no denying the intensity of the writing. This is a real page turner, the kind that keeps you reading until three in the morning and makes you want to skip to the end of the book just to see what’s happening. And it’s so entertaining like all good trash should be. Critically speaking, there is so much wrong with this book but I can’t deny how successful it is at keeping the reader involved. It creates so many ridiculous questions that just need to be answered. I stormed through this book at lightning speed. Looking back though, it is very easy to see the faults. Dan Brown hooks his reader, using mystery and suspense as bait, and it is so very easy to bite on the line. Though as every fish knows, once you’ve been netted life only gets worse. This is a book of very cheap thrills, which can be addictive but will only ever be cheap.",2.0,negative,"Angels & Demons (Robert Langdon, #1)",960
"""Listen carefully. I'm about to change your life."" Not really 😅 I've been receiving a ton of recommendations to read Dan Brown's Da Vinci Code for a few years now, and after finding out it was actually the second book in a series, I've thought of starting things properly with the first book, bringing me to Angels and Demons. I'm a little new to thriller books in general, making Angels and Demons a refreshing experience to begin that journey, especially compared to intricate world building I'm used to with fantasy books. ""Information is only as valuable as its source."" I think it's safe to say that there is no lack of drama, suspense, and twists throughout the book, making the reading experience somewhat addictive. The narrative is super fast paced, most content spread over a matter of hours, resulting in an further enhancement of aforementioned qualities. Brown clearly and easily exceeded most reader's expectations when it comes to the protaganist in my opinion, Robert Langdon, a realistic character which is ideal for a story like this in my opinion. I'm glad he didn't go for an overpowered lead character, instead opting for maintaining a good balance with Langdon's abilities and shortcomings. Rest of the cast isn't that far behind either, with numerous twisters around every corner making them re-appear in different light throughout the story. As for the plot itself, bringing different threads together was well executed, but it wasn't the best I've seen, since there were some loopholes here and there if one was to look closely. But overall, I'm quite happy with the plot and the set of characters here. ""Our minds sometimes see what our hearts wish were true."" Another (hopefully good) thing that most readers are going to notice is how the author had gone to extreme lengths in describing intricate architecture in and around Vatican City. It felt like a detaild virtual tour, and was a nice surprise for me. What did NOT come as pleasant is the frequent use of Italian phrasing, but I think I might be in the minority here. ""Thge most dangerous enemy is that which no one fears."" However with all that, I didn't feel like the book is beyond 3.5-stars, and the rounding up to 4 is mostly due to this being one of my first books from the genre. I'm quite certain a second read through could actually bring it down to 3-stars. Had I being an atheist, things would've been somewhat different (still not 5-stars though), as I could see most of the stuff here being appealing to atheism. But it doesn't mean that others could easily enjoy the book, for, I believe Brown's walking a fine line even with everything going here, especially using the underlying system of belief of the protagonist himself to keep the atheism in check. ""Pride and precedent cannot overshadow reason.""",4.0,positive,"Angels & Demons (Robert Langdon, #1)",960
"The battle between Science and religion is a fascinating topic to read. The danger with this topic is that it might affect the religious sentiments of a few readers. The author succeeds in getting us glued to the story, which is pretty interesting to read. But there are a lot of twists in it, and the last few are more cinematic than realistic to convince those believing in Science. It should have been written in a better way. My favorite three lines from this book. “Fear cripples faster than any implement of war.” “Science and religion are not at odds. Science is simply too young to understand.” “Genius accepts genius unconditionally” Robert Langdon still is a character that always fascinates us, and he doesn’t disappoint us in this book. ————————————————————————— You can also follow me on | | | | | | | |",3.0,neutral,"Angels & Demons (Robert Langdon, #1)",960
"The book that introduced the world to Robert Langdon, although he didn't really become a global bestseller until exploded on the best seller lists. Yes full of inaccuracies, faux Italian and faux science... but hey.. it's F I C T I O N! My fave Dan Brown book, this is a compelling and mindbogglingly believable mystery thriller that gets at the heart of the Vatican, its history, the Illuminati, classic art and modern science! If you read one this is the one! A Four Star 8 out of 12... for a rip roaring mystery thriller adventure! 2022 read; 2005 read; 2004 read",4.0,positive,"Angels & Demons (Robert Langdon, #1)",960
