review,rating,sentiment,book_title,book_id
"سيظل دائما جميع الحيوانات سواسية..الا ان بعض ""الخنازير"" ستري دائما انها ""متساوية"" اكثر من الاخرين جورج اورويل عام 1943 يقدم لنا نموذج لثورة ثورة حيوانات علي ""صاحب العزبة""..عشان حقوقهم ثورة زي اي ثورة في تاريخ الانسانية..ثورة زي الثورة الروسية ولا الرومانية ولا ....أهي ثورة حكاية مكررة، تقريبا بنفس النهاية..فإننا لم نتعلم من التاريخ، فهل سنتعلم من الرمز؟ الحكاية هنا حكاية ثورة ثورة ما من اجل عيش يتناسب مع العمل..من اجل حرية حقيقية ثورة ما من اجل الكرامة..ثورة من اجل العدالة الاجتماعية ثورة نجحت في ازالة الضاغية...ثورة نجحت في جعل الارض كلها حقا للثوار صارت ارضهم وملكهم..صار خيرها كله لهم..صاروا يملكون زمام امورهم صاروا يتغنون نشيد نصرهم...فرحين بحريتهم..يرون في المستقبل فقط رخائهم آل التنظيم الي جماعه من الخنازير..يقودها اثنان الاول اختار مصلحة باقي الحيوانات واراد تطوير حياتهم بما يحقق اهداف ثورتهم والثاني اختار الكسل..اختار التراخي اختار ان يطلق علي الاول كلابه ليتلاشي واختار ان ينفيه ويعلنه خائنا للبلاد..لاختلاف سياسة الاصلاح التي يريدها الاول بسياسته شوه سمعته ومحا بطولته..بإستخدام خنزير اعلامي ""يقلب الحق باطلا"" ايضا يعمل تحت سياسته اختار ان يغير الدستور الوصايا السبع..بما يحقق مصالحه وسياسته وصار الثاني هو الحاكم الرسمي للبلاد..الحاكم الشرعي..الوحيد ..الجمهوري المنتخب..بما لا يتعارض مع سياسته صار الاول خائن...واي من يظهر عليه علامه تمرد فإنه خائن مثله ويعدم فورا..لا يتعارض هذا مع القانون..فقد غطي عليه بسياسته عاد الظلم..عاد القهر..عاد الفقر وقله العيش عاد التمييز الاجتماعي وكيف له الا يعود وهناك قطيع من الخرفان الاغنام يمأمأون بانجازات الخنازير الواهية..الكاذبة يرددون الافكار المحرفه..يعلون بها صوتهم فوق اي صوت للمعارضه ستتأثر بحق بمشهد اجتماع الناس بعد بضع شهور..يتذكرون ما كان ..ويقارونه بالان كيف ضاعت ثورتهم...كيف ضاع حلمهم..وكيف خفت صوت نشيدهم يحاولوا التغني بنشيدهم مره اخري ...لربما بعث لهم الامل مجددا ليفاجأوا بمنع الخنازير للنشيد..فالثوره انتهت بالنسبه للخنازير بحكمهم..وباعدامهم اخوانهم..المعارضون الخونه ************************* ركب الخنازير الثورة وحموا حكمهم بالكلاب الشرسة وغطوا علي اخفاقاتهم وسرقاتهم بخنزيرهم المحنك اعلاميا يحيل الحق باطلا والباطل حقا تعاونوا مع الغراب الذي يدفع بغطاء ديني سماوي الحيوانات دفعا لتقبل معيشتهم الضنكه ثم تحالفوا مع عدوهم الاصلي ليحكموا قبضتهم علي الحكم وضعوا يدهم في يد الاعداء...حتي صار لافرق بين خنزيرا وانسان ************************************ لا اعتقد ان هذا ريفيو اساسا لروايه رائعه صاغها برمزيه وبراعه جورج اورويل هذا مجرد تلخيص ردئ لقد عرفت الان لماذا لم تكتب احد اصدقائي هنا في الجودريدز ريفيو عن ذلك الروايه -بالرغم من غزاره ريفيوهاتها-..الروايه لا تستحق ريفيو اساسا هي تقرأ وتستوعب فحسب ولكن لنصارح أنفسنا ... أننا لم نتعظ من التاريخ بشكل مباشر...فكيف ان نتعظ من صورة رمزية له وإن كانت بمنتهي الأتقان فلنحاول ربما ننجح يوما في ثورة لا تنتهي ب مزرعة الحيوانات محمد العربي فقط في 24 يونيو 2013 ""ملحوظه"" ----- قرأت تلك الرواية قبل احداث 30 يونيو 2013 والغريب جدا ان بعد أعادة قراءتي للريفيو أجد أنها تصلح لنفس الحال بعد سنتين..نفس الريفيو الرمزي يصلح لأي وقت...بالضبط كالرواية..وسعدت أني كتبت الريفيو بالرمز مثلها العجيب فعلا ان الرواية تصلح لكل العهود السياسية التي أتت علينا مصر قبل 25 يناير وبعدها مصر قبل 30 يونيو وبعدها وبمجرد ان قرئتها..شعرت ان هذه الرواية يجب ان يتم تدريسها بالمدارس..فكل الاجيال تستحق هذا الوعي السياسي الا اني رايت سببا -وان اكاد ان اجزم انه ليس السبب الرئيسي لهذا- ان نهايتها المقبضه لا تتناسب لصغار السن ولكن هذه النهاية المقبضة للاسف...واقعية",5.0,positive,Animal Farm,7613
"Amazon's very Orwellian involvement with this book at the end. If Amazon ever partnered Facebook they'd own us. This is not really a review, but one of those moments where everything that was clear to you suddenly becomes utterly muddied and you really can't say what lies beneath the murky waters although a moment before you were sure you could. I'm reading Christopher Hitchen's astonishingly percipient and brilliant . I read Animal Farm too young to identify the individual animals with actual characters on the stage of communism (the old boar Major is Marx, Farmer Jones is the Tsar, the pigs Napoleon and Snowball, Stalin and Trotsky respectively) so this essay is giving me a lot to think about. So far, nothing more so than this quote (below). (Background to the quote): A group of Ukrainian and Polish refugees in a displaced persons' camp had discovered sympathetic parallels with their own plight in Orwell's parable and had begged him for permission to translate his almost-totally unknown book. But... The emotions of the American military authorities in Europe were not so easily touched. They rounded up all the copies of Animal Farm they could find and turned them over to the Red Army to be burned. The alliance between the farmers and the pigs so hauntingly described in the final pages of the novel were still in force. The book is banned in Cuba, North Korea, Burma, Iran, Kenya and most Arab countries. It is banned in the UAE not because of it's content but because it has anthropomorphic talking pigs which are unIslamic (is this not Orwellian in itself?). It is still censored in Vietnam. These nations wouldn't want ordinary people reading the book and looking at their own ruling porcine elites and seeing any parallels now would they? Who knows what kind of thoughts and actions that might lead to? Amazon and Animal Farm On 17 July 2009, Amazon.com withdrew certain Amazon Kindle titles, including Animal Farm and Nineteen Eighty-Four by George Orwell, from sale, refunded buyers, and remotely deleted items from purchasers' devices after discovering that the publisher lacked rights to publish the titles in question. Notes and annotations for the books made by users on their devices were also deleted. After the move prompted outcry and comparisons to Nineteen Eighty-Four itself, Amazon spokesman Drew Herdener stated that the company is ""changing our systems so that in the future we will not remove books from customers' devices in these circumstances."" However, Amazon does not seem to a guarantee in its ToS that they won't don't this again and I understand that authors have the ability to edit (read 'change') parts of their books. This is because you can't buy a Kindle book, only rent one and Amazon can update (read 'change') them. Wikipedia and other sources Next step: . Get the firemen out to burn the books, only ebooks allowed where content can be controlled. Original review 30 Oct 2011, updated several times.",5.0,positive,Animal Farm,7613
"This is a book I've been meaning to read for ages but never got around to - last week I not only read it but gave a lesson on the historical context for the grade 8 class, who will be reading this book and The Wave . As I found, out of the class of 24, about 20 of them had already read the book, and at least one kid knew it was an allegory of the Russian Revolution. Still, my lesson wasn't totally redundant :) For anyone who isn't familiar with the story, Animal Farm is about the animals on a farm in England rising up against the incompetent, cruel farmer (Mr Jones, who represents the deposed Tsar, Nicholas II) and taking over the farm, renaming it Animal Farm (USSR) and - so the glorious vision intended - running it for themselves, so their lives would be better. The vision is given to them by a pig, Old Major, who dies not long afterwards. Old Major probably represents Vladimir Lenin and Karl Marx, and it's not the socialist ideal put forward that is critiqued by this book but how that vision is corrupted by certain other characters, namely another pig called Napoleon, who represents Joseph Stalin. Napoleon chases a pig called Snowball (Leon Trotsky) off the farm with his personally trained dogs (while still just the General Secretary of the Party, Stalin recruited people who would follow him blindly, so that when Lenin died in 1924 he was able to defeat Trotsky for the leadership position and his ""dogs"" kept everyone else in line). The pigs then take charge, and with their literacy skills keep changing the rules the animals established in order to suit themselves, using a pig called Squealer to convince the other animals that their memories are faulty. After all, as the drafthorse Boxer keeps saying, ""Comrade Napoleon is always right"". Boxer is - for me - the most heartbreaking character in the novel. He represents the peasants, and is the most hardworking animal on the farm. He has utter faith in the leadership of Napoleon and works himself to the bone - literally. His reward is very telling, though I don't want to give it away. Most of the characters represent either a person, several people or groups of people, and for the complete list you can check it out on Wikipedia. Orwell, while a socialist, was very cynical about Stalin's communist USSR - and for good reason! Animal Farm is a very well-written critique of how socialist ideals are corrupted by powerful people, how the uneducated masses are taken advantage of, and how the dictator or communist leaders turn into capitalists (just look at China). It's a wonderful example of how effective the allegorical style/format can be, and a well-deserved classic.",5.0,positive,Animal Farm,7613
"The only good pig is a dead pig. Yeah, yeah, everyone claims Orwell wrote this as about the Russian Revolution, Stalin, and the rise of Communism. Pshttt. Whatever. You know what I think he was really saying? Beware the Other White Meat! Ok, maybe not. Look, I know what you're thinking, That pig looks adorable! , but the next thing you know, that piggy is all grown up and stealing your cookies! And you'll let it steal your cookies because Mr. Pig has convinced you that giving up your cookies every day was a part of the original agreement! Besides, what do you know, you're just a stupid sheep... Plus, it's just a cookie, where's the harm? Not to mention, the last guy who complained about giving up his cookie ended up mauled by that dog. Probably just a coincidence, though. Right? But it's ok because pigs are smart. That's what everyone says, right? Smarter than you are, at any rate. And if the pig says it's ok, then it's ok. I mean look at it! It couldn't possibly have anything but your best interests at heart! Alright, I'm outta pig gifs. So, I thought this was a pretty cool book. Sure, it's supposed to be about Russia, but it could just as easily be about the working class in my country. Bottom line? We need to stop listening to the spin doctors on the boob tube and start thinking for ourselves. Question everything, especially the things we think we know are true. It might be a good idea to teach our kids that it's ok to not blindly believe everything we tell them, too. Besides, if we're right, then our ideals can stand up to the scrutiny of children. Otherwise, we risk raising a generation of idiots. Oh! I found one more pig gif!",4.0,positive,Animal Farm,7613
"Animal Farm is the story of a set of animals who overthrow their human-owner. Will the animals have better lives now that the humans are gone? Philip Pullman once said that, ""A story will help us make sense of anything."" In this case, George Orwell uses Animal Farm as an allegory of Russian history with certain characters representing famous figures who shaped Russian history such as Karl Marx, Vladimir Lenin, Joseph Stalin, and Leon Trotsky. This book was part of the monthly Readalongs that I am hosting, and what a wonderous book to begin 2022! The Readalong was simply spectacular and gave this reading such a particular depth. As the Readalong encompassed readers across the globe, we had the opportunity to discuss how the book related to our own government's history. Animal Farm provides a lot of ideas to noodle on, and I really enjoyed it. This is one of the books on the 100 Books to Read According to the BBC List: 2025 Reading Schedule Jan	A Town Like Alice Feb	Birdsong Mar	Captain Corelli's Mandolin - Louis De Berniere Apr	War and Peace May	The Woman in White Jun	Atonement Jul	The Shadow of the Wind Aug	Jude the Obscure Sep	Ulysses Oct	Vanity Fair Nov	A Fine Balance Dec	Germinal Connect With Me!",5.0,positive,Animal Farm,7613
"ALL ANIMALS ARE EQUAL BUT SOME ARE MORE EQUAL THAN OTHERS ! In the start, I thought this book would be from the view point of animals; about how they are treated, how they expect to be treated and how man is cruel towards them. But but but; I am amazed at how Orwell criticizes the political maneuvers and totalitarian rule, using animals to explain what humans do. The author beautifully portrays the way a revolution is started to stop what is happening and going full circle comes to the same point it started from. Just the face of power is changed. This book tells how the ruling class makes fool of the working class, uses their energies and resources for their own pleasure. What happens behind the closed doors of power. How the working class is being brain washed that they are happy and satisfied and free despite of the obvious slavery they have been undergoing. My favorite character was Benjamin (yes, a donkey) , who remains a neutral throughout and says nothing despite understanding everything. A huge applause to Orwell for being able to explain human psyche, political and social dilemma wrapped in the form of this story.",5.0,positive,Animal Farm,7613
"A perfect book. People will still be reading this in a thousand years time, when communism is just a footnote.",5.0,positive,Animal Farm,7613
"“All animals are equal, but some animals are more equal than others.” Those damn PIGS. I can't even.",5.0,positive,Animal Farm,7613
جورج أورويل عبقري بشكل مزعج. يكتب رواية أبطالها حيوانات في مزرعة ويخيل إليك بأن الأمر سيكون سخيفاً، أو شبيها بقصص الأطفال. على العكس، جورج أورويل نقل الواقع بكابوسيته، وجعل التاريخ أكثر قابلية للفهم، وشرح لنا باختصار كيف يمكن أن يتحول الإنسان إلى خنزير والخنزير إلى إنسان. رواية جديرة بوقتك بالتأكيد.,5.0,positive,Animal Farm,7613
"i'm sure this book was very good when it came out in 19whatever (i could check this but warning - i am going to spend this review being as annoying as possible to a certain group), but it's way, way better now. in whatever time of the 20th century this came out during, this was thought to be written in opposition to stalinist russia. that's fine. whatever. not exactly a hot take for a white guy from the western world to be anti-USSR. but now...now it's abundantly clear. if it weren't already obvious that this book is written about how bad totalitarianism is (as opposed to being specifically about communism), take a look at the world around us, then check it against orwell's political views, then come back to me. a certain political faction (of evil morons) in my certain country i live in (take a wild guess) likes to call certain things (the ones that are against them) ""orwellian."" nonwhite people entering your country? orwellian. having to be nice to others and not call them slurs? orwellian. the idea of people not appreciating your opinions and thereby being ""anti-free speech"" (even though that is not what free speech is)? orwellian. ignoring the fact that the very idea of their using the word orwellian to serve their purposes is far more, well, orwellian, i'll just come out and say it: because people on the right don't know how to read, they haven't ever actually really thought about or analyzed either this or 1984. so they assume that george orwell is on their side - the pro-rich getting richer and anti-poor not being poor side. but, my dear conservative friends, orwell was an outspoken democratic socialist from top to bottom. so maybe pick one of the copious number of far-right classic authors to support your dumbass point. oh? there aren't really any to be found? bummer. maybe next millennium. part of a series i'm doing in which i review books i read a long time ago and either make myself or others angry",4.0,positive,Animal Farm,7613
