review,rating,sentiment,book_title,book_id
"I need to parse my rating of this book into the good (or great), the bad and the very fugly because I thought aspects of it were inspired genius and parts of it were dreggy , boring and living near the border of awful . In the end, the wowness and importance of the novel's ideas as well as the segments that I thoroughly enjoyed carried the book to a strong 3.5 star rating. THE REALLY GOOD/EXCELLENT - I loved the first third of the book in which the basic outline of the ""Brave New World"" and its devalued, conveyer belt morality is set forth. The narrative device employed by Huxley of having the Director of Hatchery and Conditioning provide a walking tour to students around the facility as a way to knowledge up the reader on the societal basics was perfect. We learn of the cloning/birthing process, the caste system and the fundamental tenets upon which the society is organized. This was as good a use of infodumping exposition as I had come across in some time and I was impressed both with the content and delivery method. The reader gets a crash course in world and its history in a way that fit nicely into the flow of the narrative without ever feeling forced. This was easily the best part of the novel for me, and Huxley's mass production-based society of enforced hedonism and anti-emotion was very compelling. Sort of like... Now, long jumping to the end of the novel... I also thought the final ""debate"" near the story's climax between John (the ""savage"") and Mustapha Mond, the World Controller, was exceptional. This last chapter/ending of the book, while abrupt, was masterful and struck the proper chord with the overall theme of the book. Thus, a superior 4.5 to 5.0 stars for this portion of the book. THE BAD/AWFUL - I thought the middle of the book including both the trip to the ""reservation"" and John's initial return to London was a sleeping pill and felt disconnected from the rest of the narrative. Throughout this entire portion of the book, all I kept thinking was... The only purpose of this long, long.....LONG section seems to be to allow the reader to see Bernard Marx do a complete 180 in his views on the society once he finds himself in the role of celebrity by virtue of his relationship with John the savage. Sorry, this just did not strike me as a big enough payoff for this dry, plodding section. It was a test of endurance to get through this portion of the book, so I'm being generous when I give it a weak 2.0 to 2.5 stars. I could just have easily summed it up by just saying... Bottom-line, I think this is a book that should be read. It's important book and there is much brilliance here. Plus, it is short enough that the stale boring segments aren't too tortuous to get through. However, as far as the triumvirate of classic dystopian science fiction goes...1984 is still the undisputed champ. 3.0 Stars. Recommended.",3.0,neutral,Brave New World,31124837
"Warning! The following review contains humor. If you read it and actually think that I'm being critical of Huxley, try reading it again. (Here's a hint. Look for the irony of the italicized parts when compared to the previous statements.) If you post a comment that asserts that I'm wrong/ stupid/ crazy for this and/or try to lecture me on all the points you think I missed then I'm going to assume that you read it literally, missed the joke, didn't read the other comments where I've already answered this about a dozen times, and I will delete your post. I have to apologize for this review. The concept of this book was so outlandish that I think it made my mind wander, and you may find some odd random thoughts scattered in it. Anyhow, this book was so silly and unrealistic. Like any of this could happen. In the far future the babies are genetically engineered and designed for certain stations in life with a large workforce bred to be happy with menial jobs that don’t stress them physically or mentally. I really should look into getting that data entry position I saw in the job postings. It’d be a lot less stressful than what I‘m doing now. In addition to all the genetic modifications, the children are raised by the state, and words like ’father’ and ’mother’ are considered obscenities. Subliminal messaging through infancy and childhood also condition people to repeat idiotic platitudes as if they are genuine wisdom. I’ve been in a bad mood today. I need to turn that frown upside down. And since the world economy depends on constant consumption by the highest classes, they’re encouraged to be wasteful The collars on a couple of my shirts are a little frayed. I should go buy some new ones and throw the old ones out. and to engage in activities that demand spending and resource use. Should I get a new set of golf clubs? I lost my old ones when we moved, but I hadn’t played in a long time. But would I play more if I got new clubs? There‘s that really nice looking course right down the street. I don‘t know how they keep the grass that green in this heat. The population even gets to zip around in their own private helicopters rather than cars. Man, when are they going to come out with jet packs for everyone. It’s 2011 and I’m still driving around in a car like a chump. I want my jet pack! Casual sex is actively encouraged. Wow. These condom commercials on TV have gotten really racy. The population is also programmed to be constantly partaking of some form of entertainment and to never just sit quietly and think I’m bored. Writing is boring. or to be alone Let’s check Facebook and see what all my friends are doing. One of the sillier ideas is that the foundation of this society is Henry Ford’s assembly lines and that Ford has become the most revered figure in history. Like a businessman could ever become that popular. Is Steve Jobs making any announcements this week? I get itchy when there‘s no new Apple products. While everyone seeks to be constantly entertained, all of the entertainment panders to the lowest common denominator. Hey, Jersey Shore is on! and the emphasis is on presenting it with gimmicks to engage the audience like ’the feelies’, movies that the audience can also smell and feel the sensation from. I wonder if they’ll re-release Avatar at the movies so I can see it in 3D again like James Cameron intended? At one point, a character complains about the feelies, “But they’re told by an idiot….works of art out of practically nothing but pure sensation.” I should go see that new Michael Bay Transformers movie. Perhaps the most far fetched idea in this is that the population has been trained to sedate themselves with a drug called soma that relives any potential anxieties and keeps people from thinking about anything upsetting. I want a beer . I guess this Huxley guy might have gotten lucky and predicted a few things, but he was way off base about where society was going.",4.0,positive,Brave New World,31124837
"“But I don't want comfort. I want God, I want poetry, I want real danger, I want freedom, I want goodness. I want sin.” These are words uttered in the face of tyranny and complete oppression, though they are very rare words to be spoken or even thought of in this world because every human passion and sense of creativity is repressed and eradicated through a long and complex process of conditioning. And that’s what makes this novel so powerful; it’s not unbelievable. Like Orwell’s 1984 and Atwood’s The Handmaid’s Tale, there’s just enough truth within Brave New World for it to be real. It’s a cruel mirroring of our own existence, should we follow a certain path too strongly. And that's the wonder of speculative fiction, though unlike the other two books, there’s no violence involved in Huxley’s world. It’s just as controlling and scary, but it’s done in a more indirect way. Sex is on tap, everybody should be happy. People don’t go missing in the night nor are they stoned to death by a group of their peers, but they have just as little freedom (even if they don’t realise it.) In this dystopia they are trained from birth to think and feel in a certain way, and, for whatever reason, should they ever deviate from their ordained path, they are fed drugs that induce happiness and serenity; thus, the populace is kept within their desired space, and persist with the tasks they were born to do. Very few of them even consider that this is wrong; this is all they have known. And to make things even more maniacally clever, all physical and sexual needs are fulfilled completely as everybody belongs to everybody else in every sense with the ultimate goal of people never developing desire. All desire should be fulfilled, nobody wants for anything else. People are machines and houses are factories. They are mass produced and designed to be one thing and one thing only. All values are inverted. The idea of showing any emotion is horrific and repulsive. Love is unknown and alien. Death is associated with sweetness and relief. Children are fed candy when they are thought about death, so they associate the two together, so when as adults they see death they think of treats rather than the loss of someone they have known and worked beside for years. In Brave New World people are husks, empty and detached, without ever realising it. -John, the savage, as he enters the new world I can only admire and praise Huxley’s genius through the writing. Like all effective dystopian societies, reading and information plays an exceedingly important role. As with Ray Bradbury's Fahrenheit 451 , all books have been destroyed and made inaccessible. John, one of the few characters who was born away from the new world, stumbles across a volume of Shakespeare and it changes his life. He can only think and feel in Shakespearean language and begins to view the world through a semi-romantic lens and only finds depravity when he walks into the new world. It’s everything he hates. He has been termed the savage, though he knows and understands the real meaning of the term even if those who call him such do not. Naturally, he becomes depressed and isolated in this new space, a space that he cannot be a part of or accepted in (not that he would want to be.) And I found him by far the most interesting and compelling character within the story because he is the only one to really look beyond the boundaries of his own experience and to find it wanting. So this is a terribly important novel and I can’t believe I have only just read it. If you haven’t read it already, you know what you have to do. This isn’t something to be missed. It’s a novel that made me think and imagine in a way a book hasn’t done in quite some time. ___________________________________ You can connect with me on social media via . __________________________________",5.0,positive,Brave New World,31124837
"Aldous Huxley wrote Brave New World in 1932. That's almost eighty years ago, but the book reads like it could have been written yesterday. (especially interesting to me was how Huxley was able to predict the future of both genetic engineering and the action blockbuster. Damn .) I think I liked this one better than 1984 , the book traditionally considered to be this one's counterpart. Not really sure why this is, but it's probably because this one has a clearer outsider character (the Savage) who can view the world Huxley created through his separate perspective. In this light, I will give the last word to Neil Postman, who discussed the differences between Orwell and Huxley's views of the future: ""What Orwell feared were those who would ban books. What Huxley feared was that there would be no reason to ban a book, for there would be no one who wanted to read one. Orwell feared those who would deprive us information. Huxley feared those who would give us so much that we would be reduced to passivity and egoism. Orwell feared that the truth would be concealed from us. Huxley feared the truth would be drowned in a sea of irrelevance. Orwell feared we would become a captive culture. Huxley feared we would become a trivial culture, preoccupied with some equivalent of the feelies, the orgy porgy, and the centrifugal bumblepuppy. As Huxley remarked in 'Brave New World revisited,' the civil libertarians and rationalists who are ever on the alert to oppose tyranny 'failed to take into account man's almost infinite appetite for distractions.' In 'Nineteen Eighty-Four' people are controlled by inflicting pain. In 'Brave New World' people are controlled by inflicting pleasure. In short, Orwell feared that what we hate will ruin us. Huxley feared that what we love will ruin us.""",5.0,positive,Brave New World,31124837
"Wow, the anger over this rating! My first post for this book was a quote and a gif of Dean from Supernatural rolling his eyes and passing out. And people were pissed . How dare I? Lol. I'm honestly just so tired of all the dumb comments demanding that I (all caps) ""ELABORATE"". It's been going on for SIX YEARS now. So I will: This is still one of the most boring emotionless books I have ever read. It seemed like a natural choice after I loved Orwell and Atwood but, my god, Huxley is a dry, dull writer. Another reviewer called this book a ""sleeping pill"" and that is a fantastic description. After all the hullabaloo with my original post, I borrowed from my local library with the intention of reading it again to give a more detailed review for those freaking out in the comments. And I returned it after suffering through only a few pages. A few years later I got the ebook, thinking I would eventually make it through somehow. But I haven't. It's so mind-numbingly dull. I don't want to do it to myself. was more enjoyable than this book.",1.0,negative,Brave New World,31124837
"This book presents a futuristic dystopia of an unusual kind. Unlike in Orwell's 1984, Huxley's dystopia is one in which everyone is happy. However, they are happy in only the most trivial sense: they lead lives of simple pleasures, but lives without science, art, philosophy or religion. In short, lives without deeper meaning. Although people are expected to work hard and efficiently during working hours, during off hours people live in an infantile way, never engaging their minds, and satisfying themselves with sex and drugs. The premise of the book I find quite interesting. However, the execution is lacking. The characters are not particularly endearing, and indeed they are quite flat. Worse, Huxley fails to explain why this future of controlled contentment is wrong. The reader will intuit that the this indeed a dystopia posing as a utopia, but Huxley's reliance on this feeling is a philosophical failure. It is the burden of the author to present us not with an account of something we know is bad, but to explain the source of the knowledge. Huxley attempts something akin to an explanation in the second-to-last chapter, a discussion between ""the Savage"" who grew up outside civilization and Mustalpha Mond, a World Controller. However, the attempt falls short, as Mond has concise answers to all of the Savage's questions, and the Savage lacks the education and/or intellectual power to find reason behind his feelings. During the conversation, Mond refers to philosopher Francis Bradley and credits him with the idea that philosophy is ""the finding of bad reason for what one believes by instinct."" Perhaps this inclusion is intended to convey that Huxley agrees and will make no attempt to manufacture a ""bad reason"" why the world he created is evil. However, I find this deeply unsatisfying. Why write a book to tell people what they already know? Moreover, a single reference to Bradley is not sufficient to convince me that this definition of philosophy is correct. If Huxley's novel relies heavily on this idea, he should have supported it with more than a solitary statement of Mond. Indeed, Mond promptly refutes the statement by denying instinct as separate from conditioning, and as the civilized population of the world seems to be controlled largely by conditioning, it would seem that in Huxley's world, Mond is correct! In summary, Huxley crafts an interesting future world where people are blithely content without knowing passion or pain. Unfortunately, he fails both to craft an interesting story to set in this world and to write a strong philosophical argument why such a world would be harmful for mankind. He relies on the obvious faults of the world and the intuitive reaction of the reader, and thus provides no deeper insights. As a social message, as a novel, and as a statement on the way in which mankind should behave, I find Brave New World inferior in almost every way to 1984. The one word of praise I will give to Huxley's novel is that his dystopia is more unusual and more intriguing than Orwell's. If only he had dome something more with it.",2.0,negative,Brave New World,31124837
"remember that last semester of english class, senior year, where every class seemed painfully long and excrutiatingly pointless? when everybody sat around secretly thinking of cute and witty things to put in other people's yearbooks? when the teachers realized we were already braindead from filling out three dozen student loan applications and college housing forms? that's when honors english started getting a little lazy. not that i minded. everybody got a book list. then everybody got split up into groups. you were responsible for reading all the books on your own, but one in particular was chosen for your group to present at the end of the semester. you know--- as a refresher for the rest of the class. because of course EVERYONE was gonna read EVERY book. i can't remember what i did instead of reading ""brave new world"", but it was probably fun and involved copious amounts of sweet tea and a gigantic paper mache cow. fortunately it didn't matter because the only group to take their presentation seriously was the ""brave new world"" group, and the way they presented stuck with me long enough to compel me to read the book later. maybe it was the weird music they had playing during their presentation, maybe it was the fact that super hot chris mayns had to sit in my group (the alphas) but i was seriously attracted to the world this group created in our classroom. we drew cards randomly to determine our class, then sat accordingly and wore cute little colored wristbands. everybody got pez (soma!) and *gasp* a birth control belt. throughout the presentation people were moved next to someone and lost a packet on their belt (listen, this is scandalous for a bible belt high school, ok? by the way, i did NOT get to sit next to chris, which is probably good because i would have been mortified and choked on a pez) anyway, the presentation was fun, but i didn't get around to reading my (now ex) boyfriends copy until a year ago. and i started getting a small, evil thought exactly the same as i had in class so many years ago... maybe some people would actually like this system. maybe some people would actually BENEFIT from this system. people don't have to think? they aren't expected to do much, go to college, become something bigger than what they actually are? they're rewarded with good feeling drugs? they are proud to have accomplished what they have? and they... DON'T HAVE TO THINK FOR THEMSELVES!? I know i'm going to get slammed for saying this later, especially because i never do actual reviews or completely delve into what i'm thinking (so shoot me) but haven't you ever been roaming the world wide inter-web and found a little troller you thought ""well, this person is a poor use of a human brain?"" yes, you have. admit it. just think, a little test tube tweaking and that person wouldn't mind manning the cash register at piggly wiggly for the rest of his life, saving the rest of humanity from noxious online rants about the hotness of avril lavinge and the brilliance of starcraft (apparently its a video game thats KOOLER THAN U!!!!1#) you're tempted, i can tell...",,,Brave New World,31124837
"I finally managed to finish the dystopian classics triangle - 1984, Fahrenheit 451 and Brave new World. For me the winner is Brave New World. Although I find the world imagined is less realistic than the other two it is equally tragic. I finally got that somewhat lost feeling of total happiness when reading a book, that tingle in the pleasure receptors when you find a great book. Even though I recently read many books that I loved I seem to have lost that feeling of satisfaction when being face to face with an IT book. I thought the reason was that I started to read more, a lot more. Before Goodreads I used to read 10-15 book/year max so I had more time to enjoy a book, to get lost in it. Although I was happy that I read more and that I managed to finish books that I wanted to read for a long time the intensity of the feelings that reading stir in me had diminished. I am so elated that I can still get immersed in a book with all my being. I am so happy that I realized the problem is not how many books I read but what I read and the relationship I build with that book/author. I’ll keep reading when/what/how much I want to knowing that from time to time (probably once-twice/year) I will find that book that will make me remember why I read. When I started BNW I thought that it was going to be another one of those books that you know they are a work of art an appreciate them but in the same time are not very pleasant to read. Something like the Hunger by Hamsun or The Stranger by Camus. The beginning was really uncomfortable, especially the descriptions of the embryos and the erotic child games. Brrr. My hair stood up reading that. However, I quickly got absorbed and loved every second spent reading.",5.0,positive,Brave New World,31124837
"Ford and Freud… Machinery and sexuality… These cosmic signs rule the world… Consumers and conformists constitute an ideal society… Like aphides and ants, the leaf-green Gamma girls, the black Semi-Morons swarmed round the entrances, or stood in queues to take their places in the monorail tram-cars. Mulberry-coloured Beta-Minuses came and went among the crowd. The roof of the main building was alive with the alighting and departure of helicopters. No more childbirths… Human beings are cloned in batches… Population is strictly divided into castes… Sexual promiscuity flourishes but love is unknown… “Oh, wonder! How many goodly creatures are there here! How beauteous mankind is! O brave new world, that has such people in ‘t!” William Shakespeare – The Tempest One fine day, from the Mexican Reservation straight into the brave new world, the Savage is brought… In the total isolation, among the uncivilized natives, he thoroughly scrutinized The Complete Works of William Shakespeare and now, infected with the unhealthy poetic ideas, he falls in love… However, the old fiction turns out to be incongruous with the new reality. Consumerism and conformity… It feels so much like today.",5.0,positive,Brave New World,31124837
"I first read Brave New World many years (decades) ago in high school, and I remember thinking it was really interesting at the time. Well, I must have been a doofus back then because this reread just didn't live up to expectations. To be honest, my impression now is that it's all a bit of a mess. First, who exactly are the main characters here? We start following a few people, but end up focusing on someone else entirely. None of the characters are particularly sympathetic, not even the supposedly enlightened ""savage"" man from outside this world. And this savage man, even though he had a bit of homeschooling in the middle of nowhere, can converse on a superior level with the Controller of Western Europe upon meeting him. (Cue eye-rolling.) The story relies heavily on Shakespeare quotes to make its point, often devolving into random ramblings for pages at a time. In a whole chapter devoted to discussions on religion, it clearly implies that turning one's back on religion causes a society to melt down into dystopia. (More eye-rolling.) And on top of that, the part that annoys me the most is its treatment of the female main character. The ""savage"" calls her a whore every time he feels attracted to her and goes so far as to physically attack her, since it's obviously her fault for tempting him. I know this was written in the 1930s, so maybe this sort of rape-culture thinking was the norm back then, but it doesn't make reading it now any less offensive. I'll be generous and give it 3 stars for being a classic with some interesting ideas about dystopian society. But if I were to rank it against books out there today, it's not worth more than 2 stars. Womp womp.",3.0,neutral,Brave New World,31124837
