review,rating,sentiment,book_title,book_id
"I went to see Inglourious Basterds a couple of times this past month, and there is that scene where Eli Roth and Omar Doom are in the theater, and they dress themselves up to look like waiters and then whip around the corner and kill the two Nazi guards to some funny Ennio Morriconi(ish?), spaghetti-western sounding music. And everybody in the theater laughs, and then the film cuts to Hitler laughing, watching a movie of a Nazi soldier killing Americans. It’s one of those great story-telling moments where I’m nice and comfortable and morally superior, until I realize that actually I’m exactly the same as someone I think is Evil. There was a moment when I first saw that was like that, and I was depressed for a month after I read because of the same type of experience. I don’t know where you get that brand of story-telling ability, but has it coming out of her ears, in the sort of young adult variety. was maybe not as striking as the first book in this series, , in making me disturbed about myself, but it definitely had its moments. Also, I was in my second week of law school and had just gotten back from an exhausting wedding when I read it, so I might not have had the capacity to self-reflect that I normally do. If you don’t know already, even though you should know, the premise of this series is a that in the future, post-apocalyptic world of the super-badass Katniss Everdeen, one rich city controls twelve poor-to-starving cities that produce all of the goods for the rich city. In order to keep the poor cities in fear, the rich city requires each of the poor cities to send one teenage boy and one teenage girl as tributes to play the Hunger Games. In the Hunger Games the kids have to kill each other until there is one survivor, who gets to party for the rest of his/her life but never really feels like partying because everything’s so fucked up. Usually they go crazy, if they didn’t start out that way. It’s very , and yes it is the same premise as , but not as determinedly nasty as those two books. Also, girl action hero! Anyway, a couple of days after I finished this book, I was spacing off instead of briefing cases, and I started thinking about the description of the capital city that controls the other cities. There is a part where Katniss and another character have to go to a party at the capital, and there are as many amazing foods as they can imagine. It’s a big party, and they’re celebrities, and everyone loves them. They have one bite of every kind of food, so that they can taste everything, but unfortunately they get full. One of their entourage explains to them that there are puke closets, so that everyone can keep eating for the whole night, and our two characters suddenly step back from the party and remember their families and neighbors, who are starving while the capital lives in decadence. I was thinking about that and how the shallow people in the capital city were just as culpable for the evil in their society as the military that imposed starvation on the cities, and then, suddenly, I realized, duh, she’s talking about me. This story is really about the , and (passive, consumption-driven U.S. citizen that I am) I’m not the hero. So, that’s about three times this month that I’ve been on the side of terrorists. I don’t know whether that means story-tellers are gettin’ pretty tricky, or if it just means I think there’s a problem with the way stuff is. Or that, like, I’m becoming a rager, or something. (FBI, if you’re reading this, JK about this whole paragraph. LOL!) When I was working my 8-5 job last year, I started listening to some iTunesU classes while I was doing my work so that my brain wouldn’t die. One of them was given by Carolyn Marvin at Stanford, and it was called “True Colors: Myth, Magic, and the American Flag.” The premise, to summarize very briefly, was that for any culture to stay together, the culture requires a blood sacrifice. goes into more detail about nationalism and blood sacrifice. She really convincingly pointed out how, civilized though we think we are, blood sacrifice in modern Western culture is not really significantly different than tribal human sacrifices. It’s a seriously creepy theory, but I’m not kidding when I say that she’s right. Really, listen to the lecture. So, I’ve spent a lot of time in the past couple of weeks doing a mental compare/contrast of the U.S. with this futuristic dystopia. We don’t come off looking too good, guys. Obviously these are really complicated topics, but nothing seems as simple as “violence is not the answer” or, on the other side of the argument, “destroy civilization.” I’m not positive what the right answer is, but I’d like to find out. I think Suzanne Collins’s books should be taught in high school social studies classes, so maybe we could get some young brains working on this problem. How do we effectively refuse to benefit from universally destructive and dehumanizing trade practices, but still live healthy and productive lives? So, go read everything Suzanne Collins ever wrote (including the episodes of because that show is awesome) and reflect on international trade and the global economy. I don’t know if you’ll be a better person for it, but I think so. Maybe after you do all that reading you can help me figure out some way for us not to be Evil.",5.0,positive,"Catching Fire (The Hunger Games, #2)",6148028
"Dystopian Perfection +++ After barely surviving the deadly Hunger games, days in District 12 turn simple and peaceful; the life of a victor carries tranquility, fame and well-being. Yet new difficulties don’t take long to appear; being the new celebrity of Panem brings a lot of attention, and of the most dangerous kind. The challenge in the previous tournament does not go unnoticed, and the beginnings of a rebellion start to arise. Under the ever vigilant eye of the Capitol, not even the victors, the strongest among the strong, can escape its power. Katniss and Peeta will have to try to appease the social unrest, and prove their loyalty to the government; or else their loved ones, their district, and even all of Panem may burn for it. Can you better perfection? Well, all I can say this was for me one of those few examples that plainly proves that you can. This was absolutely engrossing and unputdownable from start to finish; just as good as the first book, but multiplied by 2x, if not more. I couldn’t care less if it felt a bit like a clone, it was just so damn good! Perfectly paced and action packed. Awesomeness brought to a whole new level. The events in District 12, the tour through Panem, the visit to the Capitol, the arena; everything so equally absorbing and compelling. And so many new lovable and hateful characters added to the mix, yet everyone real, different and unique in their way. Mind blowing character development, considering the staggering amount of characters included in this book. A true work of art, and probably one of the best dystopian fiction I’ve ever read, if not the best period. Highly Recommendable. Team Johanna & Finnick btw. *** The movie (2013) is another masterful adaptation; highly enjoyable and rewatch worthy as much as the book. The film again bringing the world and characters alive in the most unforgettable way. Some minor things left out, but nothing too relevant to matter or mention, except maybe a few scenes from the book between Katniss and Peeta which I thought were pretty emotional and meaningful. Lawrence and Hutcherson as wonderful as before, yet also many more remarkable performances by a superb supporting cast; my favorites being Jena Malone and Sam Claflin, as Johanna and Finnick, respectively. Although they were not the only ones that captured my heart. Another incredible almost perfect adaptation which I never get tired of rewatching whenever I happen to catch it on TV. Extremely Recommendable. ----------------------------------------------- PERSONAL NOTE : [2009] [391p] [Dystopia] [YA] [Highly Recommendable] [Absolutely NOT a standalone.] ----------------------------------------------- ★★★★★ [4.5] ★★★★★ ★★★★☆ [3.5] ----------------------------------------------- Perfección Distópica +++ Después de apenas sobrevivir los mortales Juegos del Hambre, los días en el Distrito 12 se vuelven simples y apacibles; la vida de una vencedora conlleva tranquilidad, fama y bienestar. Pero nuevas dificultades no tardan en aparecer; ser la nueva celebridad de Panem atrae mucha atención, y de la más peligrosa. En desafío del torneo anterior no pasa desapercibido, y los principios de una rebelión empiezan a surgir. Bajo el siempre ojo vigilante del Capitolio, ni siquiera los vencedores, los más fuertes entre los más fuertes, pueden escapar de su poder. Katniss y Peeta deberán tratar de apaciguar la agitación social, y probar su lealtad al gobierno; de no conseguirlo, la vida de sus seres queridos, de su distrito, y tal vez la de todo Panem ardan por ello. ¿Se puedes mejorar la perfección? Bueno, sólo puedo decir que para mí este fue uno de esos pocos ejemplos de que lisa y llanamente prueban que sí, se puede. Esto fue absolutamente atrapante e imposible de dejar de leer de principio a fin; tan bueno como el primer libro, pero multiplicado por dos, sino más. No me puede importar menos si se sintió un poco como un clon, ¡esto fue terriblemente bueno! Perfecto en su ritmo y cargado de acción. Pura genialidad llevado a un nuevo nivel. Los eventos del Distrito 12, el viaje a través de Panem, la visita al Capitolio, la arena; todo igualmente absorvente y cautivador. Y tantos nuevos entrañables y odiosos personajes añadidos al conjunto, pero todos reales, diferentes y únicos a su manera. Inigualable desarrollo de personajes, considerando la desorbitante cantidad de personajes incluidos en este libro. Una verdadera obra de arte, y probablemente una de las mejores ficciones distópicas que alguna vez leí, sino es que la mejor punto. Altamente Recomendable. Equipo Johanna & Finnick por cierto. *** La película (2013) es otra magistral adaptación; altamente disfrutable y digna de volverse a ver tanto como el libro. El filme nuevamente trayendo el mundo y los personajes a la vida en la forma más inolvidable. Algunas pequeñas cosas quedaron fuera, pero nada demasiado relevante para importar o mencionar, excepto tal vez algunas escenas del libro entre Katniss y Peeta que creo eran muy emotivas y significativas. Lawrence y Hutcherson tan maravillosos como antes, aunque también otras muy destacables actuaciones por un sobresaliente elenco de apoyo; mis favoritos siendo Jena Malone y Sam Claflin, como Johanna y Finnick, respectivamente. Aunque no fueron los únicos que capturaron mi corazón. Otra increíble casi perfecta adaptación que nunca me canso de ver cuando sea que la llego a encontrar en TV. Extremadamente Recomendable. ----------------------------------------------- NOTA PERSONAL : [2009] [391p] [Distopía] [Joven Adulto] [Altamente Recomendable] [Avsolutamente NO un libro solitario.] -----------------------------------------------",5.0,positive,"Catching Fire (The Hunger Games, #2)",6148028
"This is most possibly the WORST (or best depending what you go on) cliffhanger I have encountered in all my reading days. It leaves you more than just hanging, you are grasping for your life on a thread that is fraying and there is nothing to do but hold on (well metaphorically of course). One word that can sum up this book is intense . Everything is just felt more. The compassion, threats, action, betrayal, gestures, words all of it. This has to be the reason why it is so addictive. As expected from this series we are in for a ride. Some things are hinted out, but the full affect of what is going on isn't totally revealed till the very end. Though I felt frustrated at times this is a grand slam of a sequel. You know it's hard to hate Katniss for being the object of the whole love triangle. I usually get annoyed to no end and can't help wonder what people see in the person, but Katniss is different. Though you don't think that Katniss is particularly more special than others, but that is part of what you admire about her. Plus she is critical of herself so you don't necessarily get a good feel of what people think about her other than what is said with dialogue. I totally love this because frankly that is what it's like in real life. It's others that can show you who you really are when you aren't able to do it yourself. Peeta and Gale are both incredible guys and what makes them so great is that they both are good friends , something that is lacking in other books at times. Don't get me wrong there is a lot more to the series than the love triangle. gives us a lot to mull over till her much anticipated final climatic book . BTW Excellent Excellent covers!!! Later added: For those of you who didn't know there is a movie coming out for the first book ! is the link to the trailer. Now just to wait for the second movie trailer...and the second trailer has arrived! Click to view it. I got the chills guys.",5.0,positive,"Catching Fire (The Hunger Games, #2)",6148028
"(A-) 82% | Very Good Notes: It's about futility, and dealing with the unintentional effects of compliance, pretense, decency, altruism, and kissing.",4.0,positive,"Catching Fire (The Hunger Games, #2)",6148028
I love how its canon that Peeta has done nothing wrong in his life and must be protected,5.0,positive,"Catching Fire (The Hunger Games, #2)",6148028
the best part about this book was how little Gale was in it,5.0,positive,"Catching Fire (The Hunger Games, #2)",6148028
"(A-) 82% | Very Good Notes: A kiss goodbye to status quo, new dangers by the dozens: foes for friends, rebellious ends, and tantalizing ""cousins"".",4.0,positive,"Catching Fire (The Hunger Games, #2)",6148028
"Binge reading? Me? Nah... >_> Ok, so to refresh the memory of recent events, I watched the final Hunger Games Saturday without a clue who the fuck any of those people are. I read Hunger Games #1 yesterday, and loved it. Now onto book 2. Loved it too, is it any surprise? It's awesome! I actually know more and more people from the movie now! So now that I've expressed my love for the book, allow me to rant. I HATE THE CASTING . Not all of it, of course, but Peeta, in particular. I'm sure Hutcherson is a fine actor. He's decent looking, that's not the point. The point is he's not right for Peeta. I loved Peeta in the first book, my love for him continued in the second. He's just so good . So pure, so nice. Self-sacrificial and genuinely well-meaning without being a martyr, and the on-screen portrayal of him ISN'T HOW I PICTURED HIM AT ALL. ARRRRRRGGGGGGGG!!!!!!!!! /endrant Let's talk about the love triangle. If you guys know me, you will know that I absolutely can't stand love triangles. 99.9% of the time, they're useless. They add nothing to the plot, and they're only a device used to portrayl how ULTRA FUCKING SPESHUL AND BEAUTIFUL AND PERFECT AND DESIRABLE THE MARY SUE MC IS. There's a love triangle in this book, and it was perfect. If a book has to have a love triangle, this is how it should be done. Gale is her long-time friend, almost a brother, for whom she naturally develops genuine feelings for. Their relationship is based on mutual respect; they take care of each other. They don't underestimate one another. Peeta is a tool. I don't say that in a bad way, like he's such a tool, man . I mean that he is a tool for Katniss' survival. Their ""love"" for one another ensured their survival in the Games. Despite Peeta's long-time crush on Katniss, she doesn't return his feelings, and in fact, held him at arm's length, under deep suspicion until he proves himself. So yes, I approve of this motherfucking love triangle. And I more than approve of this book.",5.0,positive,"Catching Fire (The Hunger Games, #2)",6148028
*REREAD TO PREPARE FOR SUNRISE ON THE REAPING* still just as good,4.0,positive,"Catching Fire (The Hunger Games, #2)",6148028
"I have to say this book is much more than a step up from the first book. I thought the first book was ok at best, but this book is better on an epic scale. If you are reading this, I am assuming you have read the first book. Katniss & Peeta Controversially win the 74th Hunger Games. Controversially, because there is only supposed to be one winner of the games, these two choose to kill themselves rather than kill each other. This act of defiance is the spark for a revolution. The evil President Snow (Leader of the Capital) tells Katniss to either smother out this spark before it ignites, or people close to her will be killed. The revolution starts small and causes small disruptions in the capital and ends up with the ""Peacekeepers"" (Capital police force), becoming more brutal in all districts (including District 12). This time, the Hunger Games is the Quarter Quell (celebrating 25 years of the game), which allows special stipulations in the games. Can Katness defy the capital again? This book is less action-packed than the first but a lot more emotional. Katniss is more herself in this book rather surly, badly tempered, and emotional. Peeta is her polar opposite likeable by everyone, managing to rally everyone with his words; I think Katniss even admits he would be a better revolution leader than she ever could so she is determined to martyr herself so he can live.",5.0,positive,"Catching Fire (The Hunger Games, #2)",6148028
