review,rating,sentiment,book_title,book_id
"Here is a novel at the exact room temperature everyone likes, not too cold, not to hot, just right, it’s like Goldilocks finding the right bed, everybody jumps in and goes right off to sleep, no one has a bad word to say, the Guardian loved it, the Irish Times said it “hits the accessible literary sweet spot”, Costa Book Prize, Reece Witherspoon to star in the movie, five stars rain down upon Eleanor Oliphant on Goodreads until she can no longer be seen, buried beneath tons of billowy love. If The Beatles could reform they would issue a single immediately called “All You Need is Eleanor Oliphant”. Our story is a simple one. Eleanor is the poster girl for loneliness and social isolation caused by having a frightful childhood resulting in a truly traumatic event (no spoiler : a house fire). Eleanor is 30 and has zero friends, less than zero family, a poorly paid job, doesn’t speak to her co-workers, doesn’t even have a cat or a dog or a budgie or a little worm as a pet. Not even a little tiny worm! Eleanor has a ridiculously pompous conversational style. So unfamiliar with normal human interaction is Eleanor that she has not realised that most people do not want to be spoken to as if they are in a posh drawing room in the 1950s. It’s like she has lived without tv or radio or newspapers or magazines or anything . Example number one : “Let us retire to an inn or public house, Raymond – a quiet one – and please, allow me to buy you some beer in recompense for this wasted evening.” Example two : “You don’t need to stay long – just show face; have a cup of tea, eat a sausage roll – you know the drill.” Said Raymond. “Well I hope they’ve at least got a high meat content and friable pastry, “ I said. Example three: when she gets a cat (oops, spoiler!) she says : I will assume the mantle of care… This creature will be looked after assiduously. Example four : “You’re a good worker, Eleanor,” he said. “How long has it been now – eight years?” “Nine,” I said. “Nine years, and you’ve never had a day off sick, never used all your annual leave. That’s dedication, you know. It’s not easy to find these days.” “It’s not dedication, “ I said. “I simply have a very robust constitution and no one to go on holiday with.” Yes, it’s quite funny, but now, come on Gail Honeyman, no one is as loopy or brusque or unaware as that. Even Eleanor would know her remark was inappropriate, embarrassing, too much information – even if she meant it to be funny, which she didn’t, because, like any Vulcan, she has no sense of humour. She is the source of the humour but never understands why anyone is laughing. It did occur to me that Eleanor was somewhere on the autism spectrum but that is never alluded to in the novel. Has Gail Honeyman created an Asperger Syndrome character without realising it or is she just playing Eleanor for some pretty easy laughs? As well as not knowing how real people talk to each other, Eleanor has no knowledge of popular culture. She has not heard of Laurel and Hardy (“the film was about a fat, clever man and a thin, stupid man who’d joined the Foreign Legion. They were patently unsuited to it”) ; and yet she namedrops J D Salinger and the Unabomber. She doesn’t know what parking meters are : “I’ll need to run, Eleanor – the car’s on the meter and you know what those wardens are like if you go a minute over.” I had absolutely no idea what she was talking about but I let it pass. As you see there are some nice comedy moments. Here’s another favourite : we all know about product placement on tv and in movies. How about reverse-product placement? This is where you aggressively badmouth a specific item quite gratuitously. Eleanor is observing someone else’s basket of purchases in a supermarket : Eggs, bacon, orange juice and Nurofen tablets. I had to stop myself from leaning forward and explaining that he was wasting his money – this branded non-steroidal anti-inflammatory drug was in fact ibuprofen 200 mg, the generic version of which was readily available for sale at perhaps one-quarter of the price. For 70% of the time this novel is gentle comedy, of the sort you can find in sitcoms like Not Going Out or The Vicar of Dibley if the Vicar had a brain injury. But then begins the process of Eleanor thawing out and assuming a more “normal” shape. The great thing about this novel now emerges. This novel believes in ordinary human kindness as the thing which can save us, and not romantic love , and that is a great message which is very rarely heard. But the normalising of Eleanor has some disturbing aspects. Quite often it’s like a rerun of Georgy Girl, the folksy hit by The Seekers from 1966. Hey there, Georgy girl Swingin' down the street so fancy-free Nobody you meet could ever see the loneliness there - inside you Hey there, Georgy girl Look at all the boyfriends you don’t get Never had a real one yet, just look at the clothes you wear You're always window shopping but never stopping to buy Just shed those dowdy feathers and fly - a little bit And the dowdy feathers are indeed shed – cue humorous sketches involving bikini waxes, new hairdos and new clothes. “But Miss Oliphant… you’re beautiful!” is almost said by at least two characters. Well. I absolutely don’t want to kick this novel down the cellar steps and have it look back up at me all begrimed with cobwebs and sing ""Where is Love?"" through big blobby tears. I love the gospel of ordinary human kindness here, even though it’s wrapped up in some fairly disgraceful looksism and evangelical therapyspeak towards the end. I argued myself up down and sideways about Eleanor Oliphant and finally copped out with a rueful three stars. This is a nice novel. I should be nice to it.",3.0,neutral,Eleanor Oliphant Is Completely Fine,35127681
"My reviews can also be seen at: ALL THE STARS !!! I won an advanced copy of this book through a Goodreads giveaway. Thank you! To be honest, I'm not sure if this book would have been on my radar if I hadn't won it. Although the great reviews may have pulled me in. At any rate, I am so happy I read it. I LOVED THIS BOOK !! Just like it says in the title of the book, Eleanor Oliphant is completely fine....well she thinks she is. She is honestly not worried that she may be missing out on anything. She is content with her life. Eleanor is a little bit....odd. She's very intelligent and well-spoken with impeccable grammar (thanks to Mummy) but she lacks the ability to filter what she says and therefore she will tell you exactly what she's thinking. This can lead to very awkward situations. Eleanor is comfortable with her routines. She's worked at the same job for nine years. She starts work at 8:30, at lunch she buys a newspaper which she reads from cover to cover and then does the crossword. She finishes out her day, leaving work at 5:30. Eleanor listens to the Archers as she makes a simple dinner (usually pasta and salad - one pan one plate), watches TV or reads for a little while then off to bed at ten. Her weekday routine only changes on Wednesday when she talks with ""Mummy"" for ten minutes. Weekends are a bit different. After work Friday she picks up pizza, wine and two big bottles of Vodka for the weekend. She drinks the vodka over the weekend.....in a state where she's neither drunk nor sober, waiting for Monday to come. No one comes over and she doesn't go anywhere to visit. She sometimes wonders if she's a figment of her own imagination. But she's fine with it. She's fine. There's nothing missing, she doesn't need anyone else. Well that was what she told herself. But then it happens... ""He was light and heat. He blazed. Everything he came into contact with would be changed. I sat forward on my seat, edged closer. At last. I found him"" Now Eleanor is on a mission. First she decides a make-over is in order....and where she starts is both shocking and hilarious. I really want to write about what happened but I think I would spoil a very funny moment for many readers. Things don't go exactly as planned. When her computer at work stops working she meets Raymond from IT. An easy-going guy, Raymond is intrigued by Eleanor, but she's just not interested. She's busy trying to re-create herself for the man of her dreams. But after work one day Eleanor and Raymond come across a man who has fallen on the sidewalk. Together they help the man, Sammy and so begins a friendship along with the start of many changes in Eleanor's life. The story is told from Eleanor's point of view. We go along for the ride as she navigates her way through her life, learning to stand up for herself. But it won't be easy. Secrets and memories that have been tucked away for many years can be painful to remember. When you have trouble with social skills I can see how it would be easier to refrain from situations where things could go wrong so fast..... It would be easier being alone. As I mentioned there are many funny moments throughout the book. I really like how the author wrote these parts. I never felt like I was laughing AT Eleanor but at the things she said or the situations she ended up in. However, there are also many sad and painful moments. Times where I felt terrible for Eleanor. Some of the funniest parts came out of nowhere - the phone doesn't ring often but if telemarketers call Eleanor whispers ""I know where you live"" and hangs up. Often it was what she would be saying to herself that was funny. An incredible read that had me bouncing from one emotion to the next. The author did a tremendous job bringing these wonderfully unique characters to life. It's hard to believe this is the author's debut novel. There are so many words that can be used to describe this novel - hilarious , unique, heartwarming, heartbreaking, charming, hopeful, inspiring, and COMPLETELY unforgettable. HIGHLY RECOMMENDED!!",5.0,positive,Eleanor Oliphant Is Completely Fine,35127681
"5 Stars. “Eleanor Oliphant Is Completely Fine” but after finishing this novel, I am not. I was completely unprepared for the life of Eleanor Oliphant and that of her ‘Mummy.” To be frank, I was ill-equipped to deal with it, much like Eleanor. And it wrecked me. At thirty years-old, Eleanor Oliphant is alone in this world. She always has been, actually. In and out of foster care since she was a little girl, she has never been touched by anyone in a loving way and doesn’t even know what that would feel like, but that’s ok. All of her physical needs are met, you see and she has never had any emotional needs. Seeing as she doesn’t have any friends, Eleanor is quiet and socially awkward. Everyone thinks she is fairly strange, if you must to know. Not that she minds since people’s behavior makes absolutely no sense to her. She is good at being alone and she does not feel sorry for herself. Not even when ‘Mummy’ calls and viciously tells her daughter off and berates her for being being “naughty.” Eleanor, however wears a coat of armor and does her best to let her mother’s words bounce off of her. Eleanor has no aspirations though she has done accounting at an office for the last 9 years. Every day of her life is the same and she would be nothing without routine. One night, all of that changes rather abruptly. After work, she and a coworker named Raymond whom she just met and who happens to be leaving the office at the same time as her, find themselves in the exact right place at the right time. Both Eleanor and Raymond see a man (named Samuel), go down on the sidewalk and they go have a look see and discover that he needs an ambulance. This incident ends up tying the three together and becomes one of the most significant in Eleanor Oliphant’s life. It forges a bond of friendship between them, which is something Eleanor has never experienced before in all her thirty years. During this time, Eleanor also ends up finding him. The man she has been waiting for all of her life. The man she is meant to be with. Now she just has to get him to notice her. In trying to do so, Eleanor grows bolder and more confident. She also learns to lean on and open herself up to her new friends. Throughout the book, Eleanor slowly experiences a metamorphosis, one that often makes you smile, laugh and of course, cry. She is damaged and quirky but oh so special. I loved her dearly. For more reasons than one. I identified with Eleanor Oliphant you see, and for that, I was unprepared. I did say that this book wrecked me right?! I get why Eleanor is Completely Fine. She had no choice. Unfortunately, Eleanor’s ‘Mummy’ is someone I recognized fairly well. When I heard her voice (in a Scottish accent) on the audiobook, and the way she spoke to her daughter, my chest got tight and my throat closed up and I sobbed. Unlike Eleanor's “Mummy” however, mine happens to be British instead of Scottish - though the accents are close, thus I therefore guess that listening to the audiobook had an even more profound effect on me. I’ve had similar conversations, in case it wasn’t obvious and I felt Eleanor’s pain more deeply as it related to her ‘Mummy’, for at certain times in my life, it mirrored my own. All that aside however, Eleanor does not go quietly into the dark goodnight (and neither did I, for what it’s worth). Though it affected me greatly, “Eleanor Oliphant is Completely Fine” is without a doubt one of the most incredible, profound, and beautifully well written novels I have absorbed in ages. It wrecked me in the best and worst ways possible. In case it’s not obvious, it will stay with me for a long time. I think I came across it on purpose as both Eleanor Oliphant and I needed something from it and I think we were both lucky enough to receive it. Published on Goodreads and Amazon on 6.26.17.",5.0,positive,Eleanor Oliphant Is Completely Fine,35127681
"Eleanor Oliphant is completely 100% fine. She goes to her office job five days a week and then treats herself to a frozen pizza and a bottle of vodka on a weekend. She lives alone and doesn't have any friends, but that's okay. She's doing real well, thank you very much. Except maybe she isn't. caught me completely unawares. I'll be honest - I picked it up because it got some buzz and the author is British, but it actually turned out to be one of those perfectly-balanced sad/funny books . Maybe like some combination of , , and . It takes a serious, traumatic issue and weaves it into a warm, funny and, yes, sometimes sad tale. I read a lot of books and many characters come and go. Some are well-developed and interesting, others less so. But on a rare occasion I find one of those truly memorable characters that will stay with me a long time. Eleanor is one of them. She is socially clueless in a way that puts my teen self to shame. She is literal to a degree that everyone finds odd. It's painful to witness and yet so, so endearing. I think I like this book so much because it is actually really sad, but never manipulative. On a surface level, it's a very funny novel about a socially-inept twenty-nine year-old woman. Her attempts to become ""normal"" and integrate into society by having manicures and waxes are sources of hilarity. But it is very sad. It's sad when we see her coworkers talking about her, but Eleanor is oblivious to their scorn. It's sad how alone in life she is. It's sad when she ""falls in love"" with an idea of a person. It's not a romantic book and I'm glad. There are hints that the central relationship will eventually develop into romance, but this is really a book about Eleanor. I am thankful that the author didn't cure Eleanor and lead her out of the darkness by having her fall in love. Being happy and achieving greater self-worth should, in my opinion, never be linked to romance. I really enjoyed it. It's great to find a book so packed full of emotion without seeming overly-sentimental. | | | |",5.0,positive,Eleanor Oliphant Is Completely Fine,35127681
"Need a good read for a bad day? Here's a all about it!! The Written Review If someone asks you how you are, you are meant to say FINE. You are not meant to say that you cried yourself to sleep last night because you hadn't spoken to another person for two consecutive days. FINE is what you say. Ohhh, I could not wish for a more perfect book. Eleanor Oliphant is an office manager at a company. She's worked there for years and yet... she's never fit in. The other girls at the office like to whisper and giggle - oftentimes at Eleanor - and the rest of them just think she's plain weird. These days, loneliness is the new cancer – a shameful, embarrassing thing, brought upon yourself in some obscure way. But all that changes when she meets Raymond, an IT guy at the office. They certainly don't hit it off, but they do have a connection of sorts. Raymond manages to get a peek at what's underneath Eleanor's shell...and he might just be able to pull her back before she really goes too far. I have been waiting for death all my life. I do not mean that I actively wish to die, just that I do not really want to be alive. Whew. After reading this one - I feel like I need to sleep for a week! Gail Honeyman expertly weaves a story steeped with humor and love. Eleanor was such an off-the-wall character - never over the top, but always just enough to be an absolute delight. LOL could go and take a running jump. I wasn’t made for illiteracy; it simply didn’t come naturally. I adored Raymond's gentle prying and Eleanor's slow acceptance of other people. This story is just so perfect - everyone needs to pick up their copy - Right. Now. In the end, what matters is this: I survived. | | | | | Snapchat @miranda_reads",4.0,positive,Eleanor Oliphant Is Completely Fine,35127681
"I’m really surprised that I (mostly) enjoyed this in the end. The plot itself is a somewhat dull slice of life, but the titular character really picks up the slack. Eleanor Oliphant is a good example of a well-written unlikeable character. She is aloof, judgemental, uncomfortably awkward, and I hated her until I didn’t. Have some bullet points: - This is a story about loneliness, which definitely hits hard during the current lockdown/pandemic where many of us are forced to be isolated in one way or another. Would I recommend reading it right this second? Depends on if you want to lay awake at 2AM thinking about how few people you've spoken to in person for the past nine months... - I’m glad there was an emphasis placed on friendship between Eleanor and Raymond, because I was afraid up until the very last second that the author was going to throw in a completely unnecessary romance and ruin their whole thing. - I'm really all for stories where people get out of their comfort zones & try new things. That's a pretty minor part of everything that happens, but it was fun to read about nonetheless. - I have some mixed feelings about the way the book shifts tone throughout. The first 35% (or so) operates as a lighthearted, “quirky” contemporary before hurtling headfirst into the heavy shit. There were some elements of Eleanor’s past trauma & present mental health that I felt weren’t handled carefully (it sometimes seemed that Gail Honeyman just wanted to pile it on her character without adequately figuring how to conclude everything correctly, so she just dropped talking about some of the stuff that she didn’t want to deal with writing) (oh also, cw: depression, alcoholism, ptsd, murder of a child, emotional/physical abuse, rape, attempted suicide) - I’m irked by the fact that this author had Eleanor become more likeable (partially) through her appearance. It’s literally like one giant rom-com makeover scene where the uncool nerd takes her glasses off, only for people to realize she’s been pretty the whole time! There’s a difference, to me, between self-care and how Eleanor’s moves towards looking more conventionally attractive make people *suddenly* care for her company. In the end, this book had some heart and was weirdly comforting to read, despite my above issues. But, I don't think I would agree with the overwhelming adoration it receives, just like I think that the story is 'completely fine' in the same way that Eleanor Oliphant is (or rather, is not).",3.0,neutral,Eleanor Oliphant Is Completely Fine,35127681
"No. No. No. No. No. No. All apologies to my lovely Goodreads friends who have liked (or loved) this book, but it's not for me. And it's sad. . . because I wanted it, I waited for it, and I was finally able to start it. It's Mother's Day, and my family handed me bath salts and my new book and told me to go for it. They know I'm just crazy enough to read an entire book in one bath, and I was ready to do it. And I prepared my bath, and I began reading, and I was (very quickly) almost in physical pain. I don't mean to be rude to the author; I know how hard it is to write a novel and get it published, but this would not have made it past my eyes, if she had handed it to me. Again, ALL APOLOGIES, but this is Mother's Day, and you have one annoyed mother on your hands. You have ruined my bath, and in doing so, you have released the Kraken!! MUST the reader be invited in to experience every one of Eleanor's bowel movements and meals? MUST we suffer through every not-interesting-in-the-least observation on life? And, how must we EVER believe that a woman this bizarre would be able to function in the world and/or experience a friendship or a romance? According to Eleanor, she has ""white contours of scar tissue that slither across my right cheek."" Here's where I just about threw the book. Explain. No, seriously. Explain how scar tissue slithers across a face. Do you mean as you are speaking or making funny faces? Did you attend Hogwarts? Are you a Slytherin? Help, please! Also. . . somehow. . . Eleanor hangs up phones quietly. But, it's 2017, and we all just use that little button now. There's no loud, there's no quiet, there's just that one button. Explain. Oh, and when she hangs up the phone with her Mummy (choke and gag), ""It was only when the air went dead that I noticed I'd been crying."" How does the air go dead? No, I'm not kidding. Please, explain what that sounds like, what it looks like. How does the air go dead? If you want to read about a WAY more adorable person with Asperger's. . . go find Don Tillman. If you want to read about a WAY more delightful curmudgeon, go find Olive Kitteridge. I saved myself from drowning by stopping at page 50.",2.0,negative,Eleanor Oliphant Is Completely Fine,35127681
"Tragic comedies with WTF endings and beautifully broken characters are definitely my all-time favorite genre. I first read this book two years ago, and I wanted to revisit a few chapters to remind myself just how incredible it is—so I can make wiser choices in my future reads. Eleanor has deep intimacy issues and struggles to make friends, often spending her weekends with frozen pizza and vodka as a small reward to herself. On the surface, her story might sound like a typical New Yorker’s tale—but it’s anything but. Eleanor may seem fine, but inside she’s carrying a lot of pain. Her weekly phone calls with her mother do little to help her find strength or change her life—until one day, she meets Raymond, the kind IT guy from her office. Their slow-burn friendship—built on helping each other through life’s struggles and gradually sharing their secrets—makes them inseparable. This book is smart, entertaining, heartbreaking, confusing, shocking, twisty, edgy, tragic, and funny. It makes you feel everything at once. And with its remarkable—though not entirely unexpected—ending, you’ll close the final page, take a deep breath, and think, “Wow. This one’s special. Truly unique and unforgettable.” This isn’t a romance or a second-chance story. It’s about self-discovery, grief, forgiveness, trust, and the quiet power of friendship. It broke my heart, then healed it again with its hopeful, heartwarming, and beautiful conclusion. I’m certain this book will always remain in my top ten reads of all time. Well done! It was such a pleasure to revisit this incredible story and reconnect with one of my favorite quirky, weird, yet utterly lovable characters. Follow me on medium.com to read my articles about books, movies, streaming series, astrology:",5.0,positive,Eleanor Oliphant Is Completely Fine,35127681
"5 STARS Thank you, Eleanor Oliphant. Thank you for picking me up out of my reading slump. Thank you for being so funny, so sad, so smart, so blunt. Thank you for being a literary character that will live forever in the hearts of (most) anyone that reads you. Oh, and a big thank you for enriching my own personal vocab. My Kindle dictionary has never had such a workout. What a nice perk!! Effortless writing that flows naturally fast, even though Eleanor O prefers to use crossword type clues as actual everyday language. She is a piece of work! And I adore her. I didn’t want this book to end. No, seriously did not want it to end, so why did I devour it as fast as ice cream melting at a picnic? Because it is that good! My black, black heart doesn't always have to read about murders and mysteries. I love a feel good story as much as the next guy. I just need it to be the right kind of writing (GOOD, NOT cheesy). The right kind of character (layered, quirky, UNIQUE). I have to admit, I wasn't a huge fan of A MAN CALLED OVE. Ove did not strike me as a real person. He felt artificial and a bit contrived. Made up. Eleanor O, on the other hand, is real. This is the right kind of everything. Thank you, Ms. Honeyman, for writing it. I actually feel sad for other books that try so hard to achieve the big feels and don't even come close to Eleanor Oliphant. I've meant to read this for at least a year now and finally was nudged into it by my bookclub IRL! If this is on your TBR and you haven't read it yet, ahhhhhhh, I envy you. Don't wait a minute longer. Do it now!",5.0,positive,Eleanor Oliphant Is Completely Fine,35127681
"4.5! What an incredible story! “These days, loneliness is the new cancer - a shameful, embarrassing thing, brought upon yourself in some obscure way. A fearful, incurable thing, so horrifying that you dare not mention it; other people don’t want to hear the word spoken aloud for fear that they might too be afflicted.” Eleanor’s story hit me so much harder than I expected it to. She is thirty years old, has worked at the same job since she left university, speaks on the phone to mummy once a week and drinks two litres of vodka every weekend. Eleanor Oliphant is fine. One day, Eleanor and a colleague help assist an elderly man who’d fallen over on the street. From there we follow Eleanor and Raymond’s budding friendship, and we realise just how ‘not fine’ Eleanor truly is. “I’d tried so hard, but something about me just didn’t fit. There was, it seemed, no Eleanor-shaped social hole for me to slot into.” Eleanor is painfully relatable, her awkwardness at social encounters, reliance on alcohol and the burying of all feelings and past grievances, is something I feel on a personal level. It’s as if her story came to me at just the right time in my life. It was heartbreaking, honest and powerful. “I was thirty years old, I realised, and I had never walked hand in hand with anyone. No one had ever rubbed my tired shoulders, or stroked my face.” All of us have felt alone at some point in our lives, Eleanor’s story serves as a reminder that we are a lot more alike than we realise. A bit of kindness can go such a long way, friendship can truly be life saving.",5.0,positive,Eleanor Oliphant Is Completely Fine,35127681
