review,rating,sentiment,book_title,book_id
"Yeah, I've continued with the series. Why, you ask? Why, when I so thoroughly despised , would I do this to myself? Why, for the fun factor, of course! Bad writing tends to make me giddy because I'm much better at being a horribly judgmental person critic than I am at....well, most anything else. Reading books this awful actually brings a certain amount of joy into my life. Plus, I had a few people tell me they couldn't wait for my reviews of the second and third Fifty books. Alas, here I am. Unfortunately (for me), wasn't quite as bad as as its predecessor. Don't get me wrong, it was still awful, but the rage-inducing badness of the first wasn't quite as powerful here. Or maybe I've built up a bit of an immunity. No matter, it's still bad, and I'm still going to have a hell of a lot of fun writing about it. Now, the first installment in this series made me so angry, I could barely write a coherent review. I'll be using more source material this time around (but don't worry, there will still be gifs). Very first sentence: ""He's come back. Mommy's asleep or she's sick again."" My reaction to that sentence was a snort of laughter. We begin with a prologue of Christian Grey having a night terror regarding a childhood memory. I simply couldn't help laughing when his mom's pimp treated me to six utterances of, ""You are one fucked-up bitch."" In a row. After the prologue, we're right back in Anastasia's head (it's a good thing there's room for us in there). We're treated to a chapter of her wallowing in depression and self-pity while wasting away because Christian isn't there to remind her that eating is a fundamental aspect of survival. We're also introduced to Ana's new job at SIP, a small publishing company, and to her new boss. Mr. Jack Hyde. Mr. Hyde? Really? Psst! He's a villain! It isn't at all obvious, either. Total surprise. After what seems a rather generous amount of whining from Ana, she and Christian are back together. Yay! All that screwed-up physical violence forgotten. It's so sweet, too, their reunion. Christian asks Ana why she didn't safeword in the midst of his assault (which occurred at the end of the first book), and she admits that she was overwhelmed and just...forgot. Call me crazy, but to me, this is understandable. You're not used to this consensual punishment thing (not to mention the fact that you never explicitly consented in the first place) and your man is enjoying viciously turning your ass into a slab of raw beef, and you forget there's an easy way out of it. I get that. Christian, not so much. He asks how he's ever going to trust her again. And Ana? She apologizes. Was I angry when I read that? Shit, yes, but thankfully, things ended up taking a turn. Ana sort of starts to stand up for herself and Christian begins to catch on that he's a total d-bag and maybe he should tone it down. This is where the story changed for me. It went from all-out rage-inducing (like the first book), to incomprehensible hilarity. I had thought the first line was good, but in comparison, lines like this are pure comedic gold: ""I want you, and the thought of anyone else having you is like a knife twisting in my dark soul."" Oh my , it's my dream man. He's crazy with a side of fries and he utters the worst romanticisms this side of a Nicholas Sparks novel. The sex scenes are tamer in terms of their content, but they're also extremely limited in terms of content. The same thing happens every time; Christian flashes Ana a ""look"", during which his eyes darken (he might have a serious ocular condition), desire ""pools in her belly"", some undressing occurs, then there's nipple teasing, he blows, sucks, nips, licks, whatever, and she is usually pretty passive, save for her gyrating hips, which were once ""caught up in his cool vanilla spell"" (I couldn't make this shit up), and then....Ana explodes. WARNING: Graphic Visual Interpretation of Christian and Ana's Sex Oh, and she apparently loses consciousness after every orgasm. Why is this happening? She might be anemic. She should get that checked out. There was one really gross sex scene, though. The ice cream scene. Christian is dripping ice cream all over Ana, and I was going, ""Ewwww!"" because I really hate the stickiness of sugary foods anywhere on my body, and can you imagine that shit getting in your hair? (Oh, hush). Whatever, that's not the point. The point is, this doesn't sound right: ""He shifts lower and starts eating the ice cream in my belly..."" It's the Zombie plague! It's got hold of Fifty! It's Fifty shades of viscera!! RUN FOR YOUR LIVES!!! Aaaanywho, where was I? Oh, right, the sex. Boring. Even more boring than in the first book because the same wording is used for nearly every scene. And since there are a lot of sex scenes, I experienced no less than 15 instances of deja vu. Even my inner voice sounded bored; ""He slides his fingers in and swirls, blah blah blah , erection digging into my hip, yadda yadda, gotta remember to pick up milk at the store tomorrow..."" The tiresomely redundant writing would probably be a little easier to deal with if not for the fact that the majority of it is used to express the thoughts of what is unquestionably the dumbest character in the history of literature. Ana is a mental midget. This is not about her choices, it's about her inability to comprehend even the simplest of concepts. I think my favorite demonstration was during a charity auction Christian's parents were hosting. One of Christian's ""ex-subs"" (that's ex-submissive for those who aren't in the know *wink wink*) is wandering around, apparently armed and gunning for Ana. Or Christian. We never really know for sure, but anyway, because of this threat, Christian has hired more security. Taylor, Christian's chief bodyguard, now has three guys under his command, and all four of them are cruising the party, keeping an eye out for Ms. Small, Dark, and Nutsy. After watching a fireworks display (during which Ana was awed like a fucking four-year-old), I was treated to this exchange: Christian: ""Stay with me a moment. Taylor wants us to wait while the crowd disperses."" Ana: (thinks) Oh. Christian: ""I think that fireworks display probably aged him a hundred years."" Ana: ""Doesn't he like fireworks?"" That's not even the best part, though. The best part is Christian's reaction: ""Christian gazes down at me fondly and shakes his head but doesn't elaborate."" I had a really hard time not imagining what went through Christian's mind. You know what I'm talking about. ""Oh, darling, it's a good thing you're hot. Otherwise I'd take you up in Charlie Tango right now and push you out somewhere over the Space Needle."" There were times, of course, when the idiocy wasn't restricted to Ana and her vacuous noggin. At one point, Christian and Ana are discussing his crazy ex-sub, Leila, and Ana can tell Christian is holding something back, so she snaps at Christian to tell her what's going on. ""She managed to obtain a concealed weapons permit yesterday."" Really? I know E.L. James is a Brit, and yeah, maybe she views this as the United States of Barbarity, but you can't just wander into a fucking gun store and ask for a goddamn CPL. In fact, in Washington state, it can take up to 60 days for an out-of-state resident to receive theirs, and that's after the background check. The stupid doesn't end there, though. ""Oh shit. I gaze at him, blinking, and feel the blood draining from my face as I absorb this news. I may faint. Suppose she wants to kill him? No. “That means she can just buy a gun,” I whisper."" Well, sure, if she wants to be all obvious about it. I kinda figured she'd go the subtle route and get herself a bunny. It was during moments like that when I wished I knew Ana in real life, simply for of the amount of fun that could be had fucking with her. ""Ana, you don't understand. It's so much worse than that. A concealed weapons permit means she can buy a concealed weapon. Concealed weapons are.... invisible ."" Did I mention Ana's dumb? Well, guess what? She also has the emotional maturity of a fruit fly. It's worse than hanging out with a love-sick 14-year-old. Why? Because it's hanging out with a love-sick 21-year-old with the emotional maturity of a fruit fly. I thought I made this clear. You know who else made it clear? E.L. James. I was beaten over the head over and over and over again with Ana's self-doubt and insecurities. She's so unsure of herself, in fact, that she keeps asking the reader questions; ""What is he trying to tell me?"" ""What does he/she mean?"" ""What is going on?"" ""What should I do?"" ""Where is our relationship going?"" ""What was that about?"" ""Where are we going?"" ""What is he planning?"" ""What is he gonna do?"" ""How does he know?"" Hey, Ana! Guess what?! When she's not whining, crying, giggling, getting railed, or giving herself a migraine trying to think, she's going on and on in these relentless inner diatribes about how hot/sexy/adorable/god-like/beautiful Christian is, and joy is erupting inside her every time she realizes she's with him, and she gets a warm feeling whenever she thinks about how much she lurves him, and on and on and ooooon . Her inner goddess (ridiculous metaphor for her vagina) is still annoyingly present, and her subconscious has gotten even bitchier (just how Ana knows what's going on in her subconscious has yet to be determined). One of the best parts about her inner dialogue is that she's always telling us what's going on after we've had the scene described to us. And several times she reacts with astounded shock that someone *gasp* changed the subject . (No. I am not fucking kidding.) Ana is that special friend you end up wanting to choke to death every time you talk to her, but you don't have the ambition to tell her to go fuck herself with a rake, so you avoid her when you can, and when you can't, you sit around listening to her inane babbling like... Her insecurity reaches monumental, mind-blowing levels, however, when she finds Leila (remember her?) in her apartment. Lord Fisterbottom rushes in to save the day, of course, but then Ana watches him go all ""Dom"" on Leila to defuse the situation. Then he ends up at Leila's side, stroking her hair, trying to chillaxe the crazy broad, and Ana starts getting jealous ! Right there, I'm not kidding! She doesn't want to leave the apartment because she's afraid of what will happen between Christian and Loony Tunes! Taylor has to forcibly remove Ana from her apartment, and the whole time we're treated to Ana's bullshit thoughts regarding whether or not Christian is going to leave her for Leila. Fucked up, right? There's a time and a place for insecurity; that ain't it. Oh, then she finds out Christian gave Leila a bath. What that has to do with the story, I have no idea. So are you getting the gist? Lots and lots of melodrama. Well, we haven't gotten to Christian's melodrama yet, so prepare yourselves. He starts freaking out on Ana, telling her she can't leave, she means everything to him, he needs her, blah blah blah, and then....then he says, ""I'm a sadist, Ana. I like to whip little brown-haired girls like you because you all look like the crack whore - my birth mother."" Say what? Normal reaction to this is revulsion and horror. To give her some credit, Ana is a little horrified. Does she leave? ""Then it hit me like a wrecking ball. If he's a sadist, he really needs all that whipping and caning shit. Oh fuck. I put my head in my hands. ""So it's true,"" I whisper, glancing up at him, ""I can't give you what you need."" This is it - this really does mean we are incompatible."" Oh, for fuck's sake. That is not the proper response to your boyfriend's revelation that he likes to abuse and sex you because you look like his mom ! This is: *Sigh* There's also a helicopter crash, a marriage proposal, a showdown with an ephebophile, and an attempted rape. Why? Because why the fuck not? I don't even know where to go from here. This book is ridiculous. Even more so than the first since it's trying to sell the reader on this impossible scenario. You cannot change an abusive man, and it is dangerous folly to try. Quit romanticizing it. Fantasy is one thing, impossible delusions are quite another. I suppose I'll close with one of my favorite lines from the mind of the magnificently inept Miss Steele: ""Raiding the fridge once more, I gather potatoes, ham, and - Yes! - peas from the freezer."" Yes! Peas!!! Word Count: ""Oh my"" - 47 ""Crap"" - 36 ""Jeez"" - 84 ""Holy (shit/fuck/crap/hell/cow/moses)"" - 124 ""Whoa"" - 30 ""Gasp"" - 44 ""Gasps"" - 17 ""Sharp Intake of Breath"" - 5 ""Murmur"" - 91 ""Murmurs"" - 194 ""Whisper"" - 140 ""Whispers"" - 113 ""Mutter"" - 71 ""Mutters"" - 48 ""Fifty"" - 95 ""Lip"" - 47 ""Inner goddess"" - 58 ""Subconscious"" - 59 And I'm out.",1.0,negative,"Fifty Shades Darker (Fifty Shades, #2)",11857408
"I really wish I could manually add a 6th star to Goodreads for this book. I never would have believed it was possible, but Fifty Shades Darker is even better than Fifty Shades of Grey. Hard to believe, but true. Reading this book reminded me of a quote that I love by Alan Cohen, “Scared and sacred are spelled with the same letters. Awful proceeds from the same root word as awesome. Terrify and terrific. Every negative experience holds the seed of transformation.” Reading Fifty Shades Darker is like witnessing metamorphosis in action. What I love the most about this book is the way the events and characters change and develop. I love that Christian Grey transforms from utterly immovable to flexible. Every negative emotion he feels eventually becomes something positive, or at least something he can learn and grow from. He learns the delicate balance between give and take. He learns to open his heart and to accept love—and he learns to give it as well. Everything cold becomes warm, and everything hot—well that’s about the only thing that stays the same, still hot. Ana and Christian are so contradictory and conflicting, and yet complement each other so well. Each trial, every obstacle, every hardship the two experiences are overcome and ultimately strengthen the relationship. This is truly one of the most amazing love stories I’ve read. I would like to add one more thing regarding a popular misconception about this book. I’ve read a lot of comments from readers saying it is too far out of their comfort zone because of the BDSM elements. I would like to address this because I don’t think readers should shy away from it for that reason. EL James has a way of writing that brings out the heat in a love scene (I literally get butterflies sometimes while reading), but in my opinion she does it in a very tasteful way. I’ve read other BDSM novels and I think these books should really be classified as mild erotica, which contain some MILD elements of BDSM. This story has a well defined plot with well developed, in depth characters. The romance is both sweet (I love the emails between the characters) and steamy, and to me the sex scenes do not feel gratuitous. It really is just an amazing and beautiful love story, and I think the BDSM elements are an integral element the plot in this novel.",5.0,positive,"Fifty Shades Darker (Fifty Shades, #2)",11857408
"2 miserable stars Ok. There's a dangerous theme in this book that I want to speak out about: Ladies, despite what EL James says, you will not change your man's personality or fix his age-old sexual perversions in 5 weeks. I thought part one of Fifty Shades series was too tense and upsetting, but be careful what you wish for... In this follow-up to the infamous BDSM themed 1st novel, Christian shifts his needs and personality 180* and it was yawn-worthy at best. This story was much less dramatic for me than part one, although there was a suspense element added in with the crazy ex girlfriends on the loose. The sex was less surprising and dramatic as well. (Even Ana got bored and wanted to play in the Red Room of Pain, but he wasn't nearly as inventive as he was in part one. You see, he is a hearts and flowers guy now). Don't get me wrong--- there was lots of sex, just not worth reading. Novelty got old! This book was not as tense, but it wasn't as interesting either. And when Christian F*'s up in this book, he does unforgivable things that Ana doesn't really deal with. I did enjoy the scenes in the ending where the sh't hits the fan. I just don't have much to say about this book. I'm not one of those who has fallen for Christian. His lack of empathy is a big deal psychologically. He is almost a sociapath. Narcissism, lack of empathy, cruelty to animals or people (Dom behavior). Check out the antisocial/sociopath definition. He even Dom'ed like a serial killer: tying up and beating women who looked like his mother?! I don't particularly recommend this book. You are better off not knowing the ridiculous 50 shades joke! I'll probably read the next one. Finish what I started. But I'll do it begrudgingly. ****update*** I did not read the last book. I tried, but couldn't stand another word of E.L. James' writing. The only positive thing I can say about this series is that James has proven the age-old adage that should give hope to aspiring authors: if she can do it, anyone can!",2.0,negative,"Fifty Shades Darker (Fifty Shades, #2)",11857408
"HUGE improvement compared to Fifty Shades of Grey! Still not AMAZING but not bad at all, I honestly enjoyed reading Fifty Shades Darker and I'm looking forward to read Fifty Shades Freed!",4.0,positive,"Fifty Shades Darker (Fifty Shades, #2)",11857408
"The missus bought a Paperback ...down Tesco, Saturday, I had a look inside her bag; .......T'was ""fifty shades of grey"". Well I just left her to it, And at ten I went to bed. An hour later she appeared; The sight filled me with dread….. In her left she held a rope; And in her right a whip! She threw them down upon the floor, And then began to strip. Well fifty years or so ago; I might have had a peek; But Mabel hasn't weathered well; ..... She's eighty four next week!! Watching Mabel bump and grind; Could not have been much grimmer. And things then went from bad to worse; She toppled off her Zimmer! She struggled back upon her feet; A couple minutes later; She put her teeth back in and said .....I am the dominator !! Now if you knew our Mabel, You'd see just why I spluttered, I'd spent two months in traction For the last complaint I'd uttered. She stood there nude and naked Bent forward just a bit I went to hold her, sensual like and stood on her left tit! Mabel screamed, her teeth shot out; My god what had I done!? She moaned and groaned then shouted out: ""Step on the other one""!! Well readers, I can't tell no more; About what occurred that day. Suffice to say my jet black hair, Turned fifty shades of Grey. (by John Summers, Mumbles, S Wales)",,,"Fifty Shades Darker (Fifty Shades, #2)",11857408
"Fifty Shades Darker is the second (and my favorite) installment of the Fifty shades trilogy. I love seeing Christian start to come into his own in this book. His issues come to light, and he starts dealing with them. Christian Grey... one of my original book boyfriends. Not only is he a damaged man (my favorite) but he is sexy, kinky, bossy and romantic. I know this isn't a lengthy review- but this book doesn't need one. I've read this series quite a few times and each time, I love it more and more! This time I listened to the audio book and I loved it! <3",5.0,positive,"Fifty Shades Darker (Fifty Shades, #2)",11857408
"Warning: Spoilers abound!! Actual rating: 1.5 stars Honestly, I didn’t read this whole thing; I skimmed most of it and I still managed to get the gist of it. At least I saved myself the torture of reading about Ana’s constant inner monologue. I have to say that my review of the first book still largely stands. It’s ironic how someone with a name like Steele can’t stand her ground. At the end of the first book, Ana finally sees some sense and leaves Christian. Surprise surprise, that doesn’t last long and she’s back for some more. Seriously, it’s only been 4 days, 4 FUCKING DAYS *facepalm* My god, she was annoying in this one. I have to praise the fact that this book is consistent on one thing…how god damn confused and insecure she is. “I want you, Christian…I’m mad at you…I love you…I don’t know…will this be enough for him?…I can’t do all those things for you… take me back into the playroom.” Repeat process for 300+ pages and well, you have your next bestseller. And that’s only a start – it doesn’t even include how insecure she gets every time Mrs Robinson or Christian’s ex-subs are mentioned. She wants answers and true to his style, he avoids it with sex. She defies him, he gets angry and they have sex. Sex.sex.sex.sex.sex.in the elevator-on a desk-on the piano-on a boat-on the pool table-on every imaginable surface.sex.sex.sex.sex.sex. No, just no!!! You can’t skip on content by filling it with clumsy and repetitive sex scenes. Then there’s Christian *eye twitches* Move over Edward Cullen, we have a new creepy stalker lover with some seriously fucked up control issues. Sorry Edward, I’m afraid you’ll have to relinquish your crown. Seriously, does Christian’s controlling abilities have no boundaries? He actually buys the company she works for, in effectively buying her career and becoming the boss of all her bosses. Really? Does he have that much trouble trusting Ana that he feels the need to keep tabs on her? He might as well lock her in a cage. Oh wait, I forgot how he would like to lock her up in his Red Room of Pain and tie her up to all sorts of things. Whilst we’re on the subject, please don’t try to convince me he’s running a multi-billion corporation. He isn’t! He’s probably running the sleazy strip club down the road. If he were, he’d most likely have no time for his shenanigans and I highly doubt he’d really be interested in this boring and bitter person. But let’s pretend for a moment he is this ruthless multi-billionaire, are you honestly expecting me to buy his needy and vulnerable act? He’s an influential guy, who a lot of people respect. And yet, all I’ve seen him do is moan about Ana leaving him and constantly telling her “Don’t leave me, Ana”, “I need you so much” . Also, do you really expect me to believe he sees the light in the space of 4 days that Ana left him and will change his ways? No, just no. It would have been more plausible if he had a mental breakdown. I didn’t think Christian’s character could get any worse. Boy, was I wrong. We find out more about his past and wow things just get awkward from there. Who knew all his submissives look alike and the sick dude gets off on fucking women who look like his birth mother o_O. This book really has got to be the one of the worst sequels ever. There was hardly any plot. The main story just revolves around the 2 characters with Christian being well, Christian and Ana asking him to back off and give her some room to breathe. Does he? Of course not, instead he invades more of her privacy. He actually does background checks on all his submissives including Ana and keeps records too. If that’s not disturbing, I don’t know what is. There was potential for something interesting to happen when Leila, the ex-sub enters the scene with a gun but nothing actually happens unless you count giving her a bath interesting. Even the storyline with Elena (Mrs Robinson) was just glossed over. Come on, this woman seduced Christian when he was a boy and contributed to his fucked up nature. And to say that this was all in aid of helping him – well, that’s just bullshit and no excuse for such behaviour. Then there’s the plane crash. It’s so out of the blue that you just can’t help but laugh. I honestly thought someone actually heard my prayers and killed off Christian in the hope I wouldn’t have to read anymore of this trash. My 1.5 star rating for this book is simply on the grounds of how absurdly amusing I found it all. I probably laughed this of as I knew what I was getting myself into or it could have been the overdose of cold medication I took. Either way, I’m done and if my review deters others from reading it then I’ve done my bit to save humanity. This whole series is an absolute waste IMO. All I can think of is all those trees that are dying/died for this crap.",1.0,negative,"Fifty Shades Darker (Fifty Shades, #2)",11857408
"Updated 8/3/19: My tastes have seriously changed, and this gets no more than 3 Stars from me nearly eight years later. ******* It never happens, but, during the time I was reading Fifty Shades Darker, I was doing some research online for something altogether unrelated, and I came across the following quote. For me, it captures the essence of Ana's love for Christian, and it honestly gave me chills when I read it and immediately thought of them. I also believe this is truly applicable for *every* relationship. You come to love not by finding the perfect person, but by seeing an imperfect person perfectly---Sam Keen, Author What to say, what to say. This series is, in some ways, not at all what I expected, and, in other ways, is even better than expected. This second installment of Christian and Ana's journey has all of the emotion and depth that I felt was missing somewhat from the first book. There is remarkable and substantial character growth in this follow-up, especially for Christian. What is there to say about Christian? Are there words? I found him interesting and compelling in the first book. In Fifty Shades Darker? I am fairly certain I experienced every possible emotion toward and for him, and, in the end, I was as hopelessly in love with him as Ana. Violated by people who had a responsibility, as parent and authority figure, to protect and nurture him, he hid a truly damaged little boy behind a wall of BDSM. He made a legitimate lifestyle choice for all the wrong reasons. And, then, along came Ana. It is one of those beautiful, emotional miracles, that the love of, and for, a particular individual can be the catalyst for rebirth...corny as that may sound. Ana held her ground, held on to herself, in the face of an absolutely overwhelming personality and an intense relationship fraught with extreme highs and lows. She proved herself to be the true strength of their relationship. At the same time, she managed to slowly and meticulously peel back the layers and find that badly damaged little boy again. Ana was exposed to *all* of Christian's imperfections. She was confronted with all the hard stuff, all the baggage. She understood that there was still a lot of work ahead of them, ahead of him. But, she didn't let go. She didn't give up. She truly saw the imperfect Christian perfectly. And that little boy finally, finally, allowed himself to trust and love, and begin to feel worthy of love as well. Their love story, which, truly, fully unfolds in this second installment is deep and powerful, frightening and joyful, functional and dysfunctional, sexy and innocent. Characters like these, a story like this, is why we read. As a final thought, it was very interesting to me to read what seemed almost a deconstruction of Christian's BDSM lifestyle. In a way, it was a refreshing change of pace. Bravo to the author! A story with something of a unique angle is difficult to find in this day and age. Fifty Shades Darker is most definitely a 5-star read!",3.0,neutral,"Fifty Shades Darker (Fifty Shades, #2)",11857408
"Okay! Here comes unpopular review! Correction: it is not a review. I just posted some quotes from book including my opinions about those quotes! So this may be considered as quote-reviewing ( or mocking, teasing, whatever!) I always shared my favorite quotes of books I reread for my flashback Saturday! This time I’m sharing my most enjoyable, questioningly awkward and entertaining quotes made me remember why I don’t like this series and detest the movies ( sorry Jamie, you were amazing at the “ Fall” and Charlie Hunnam was wiser to turn down the role!) Okay, here are my favorite and memorable inner thoughts of Anastasia and some meaningful dialogues of dear Christian : ""I have become my own island state. A ravaged, war-torn land where nothing grows and the horizons are bleak."" (Yes, I couldn’t be sorrier for any imaginary character in my whole life! ) ""Sometimes you're so closed off... like an island state.""( oh girl! I wish you didn’t say it aloud!”) ""That is not the reaction I expected. I was anticipating full-scale Armageddon."" (No comment!) ""Franco is small, dark, and gay. I love him. 'Such beautiful hair!' he gushes with an outrageous, probably fake Italian accent.""( I’m speechless!!!!!!) ""Seeing Christian undone is enough to seal my fate, and I come audibly, exhaustingly, spinning down and around, collapsing on top of him."" ( I’m crying now! The author of this book is billionaire and I still drink cheap Chardonnay! 😫😫😫😫) ""My anxiety level has shot up several magnitudes on the Richter scale.""( that’s how I feel right now!!!!!!!!!!!) ""He laughs and then is distracted by his BlackBerry, which must be on vibrate because it doesn't ring.""( way too much details! I think my brain is going to explode!) ""I was serious about marrying you. We can get to know each other then.""( oh Christian, that’s why you’re the best book boyfriend ever!) ""In her pale pink, frothy baby-doll dress and killer heels, she towers over me like a Christmas tree fairy."" ( nope! That’s it! I cannot take it anymore!) The reviewer took her bottle of cheap Chardonnay, gave her two stars, dropped her computer and left the building.",2.0,negative,"Fifty Shades Darker (Fifty Shades, #2)",11857408
"4.5 ""He's my happily ever after,"" stars First read Feb. 14, 2015 Reread Sept. 23, 2015 Re-reread lol June 1, 2017 Spoilers ""I've missed you so much, Anastasia,"" he breathes. Fifty Shades Darker is the second book in the Fifty Shades Trilogy. Another great book by E.L. James. I loved this book even more than the first!! ""I don't want to fight with you, Anastasia. I want you back, and I want you healthy,"" This book picks up a week after Ana left Christian because she couldn't handle his lifestyle . They are both miserable and miss each other. Christian tells her he wants her back anyway he can have her and that he wants a normal relationship with no rules, no dominating her , and No punishments! Ana gives him another chance and this book is about them learning the middle ground. ""I want you that relaxed with me,"" he whispers. All trace of humor has gone. Deep inside me that joy stirs again. But how can this be? We have issues. ""You have to stop intimidating me if you want that,"" I snap. ""Appearances can be deceptive,"" he says quietly. ""I'm anything but fine. I feel like the sun has set and not risen for five days, Ana. I'm in perpetual night here."" I'm winded by his admission. Oh my, like me. ""You said you'd never leave, yet the going gets tough and you're out the door."" ""When did I say I'd never leave?"" ""In your sleep. It was the most comforting thing I'd heard in so long, Anastasia. It made me relax."" This book has so much. It was funny cute, very romantic, and heart wrenching emotional. The middle road is a bumpy one and Ana and Christian really go through some ups and downs, but they both grow so much in this book. It was very moving! ""You never cease to amaze me, Anastasia. After a day like today - or yesterday, rather - you're not whining or running off into the hills screaming. I am in awe of you. You're very strong."" ""You're a very good reason to stay,"" I murmur. ""I told you, Christian, I'm not going anywhere, no matter what you've done. You know how I feel about you."" Christian: When Ana left, Christian had a big wake up call. Reevaluating his life he knows he needs to change to get Ana back. Christian really grows and heals so much in this book , and it was a beautiful thing to read. He opens himself up to Ana and starts fighting his demons. He was so controlling in the last book you could feel how hard it was for him to let go and start to compromise. And when he let Ana touch him . Swoon! ""Those photos the boy took... I can see how he sees you. You look so untroubled and beautiful, not that you're not beautiful now, but here you sit. I see your pain. It's hard knowing that I'm the one who has made you feel this way. ""But I'm a selfish man. I've wanted you since you fell into my office. You are exquisite, honest, warm, strong, witty, beguilingly innocent; the list is endless. I am in awe of you. I want you, and the thought of anyone else having you is like a knife twisting in my dark soul."" ""I've never felt the way I felt when you left, Anastasia. I would move heaven and earth to avoid feeling like that again."" ""You make me forget everything. You are the best therapy,"" ""I thought - "" He stops. ""This is me, Ana. All of me... and I'm all yours. What do I have to do to make you realize that? To make you see that I want you any way I can get you. That I love you."" ""I love you, too, Christian, and to see you like this is..."" I choke and my tears start afresh. ""I thought I'd broken you."" ""Broken? Me? Oh no, Ana. Just the opposite."" He reaches out and takes my hand. ""You're my lifeline,"" Ana: Ana really grew in this book too. She starts to really tell Christian what she is feeling . Starts to stick up for herself more. She is very strong for Christian slowly getting him to open up to her and showing him that he is loved and worth love. Understanding of his past, she helps him heal a little at a time. She was worried that she wouldn't be enough to keep Christian happy, but by the end of the book she starts to realize that she is just what he needs. That they are what each other needs!!!! ""It's very confusing being with you. You don't want me to defy you, but then you like my 'smart mouth.' You want obedience, except when you don't, so you can punish me. I just don't know which way is up when I'm with you."" ""You really have to let me fight my own battles. You can't constantly second-guess me and try to protect me. It's stifling, Christian. I'll never flourish with your incessant interference. I need some freedom. I wouldn't dream of meddling in your affairs."" ""You know how jealous I am,"" he whispers. ""You have no reason to be jealous, Christian. You own me body and soul."" Ana and Christian in this book really build a beautiful and trusting relationship. Each giving a little and trying hard to make the other happy. The romance in this book was so sweet. I didn't care for the sex in the first book, but in this book WOW! So much better . Still Kinky, but not degrading or humiliating , Very hot!!!! ""I'm really not hungry right now... for food."" ""What are you hungry for, Miss Steele?"" ""I think you know, Mr. Grey."" He leans down, and again I think he's going to kiss me, but he doesn't. ""Do you want me to kiss you, Anastasia?"" he whispers softly in my ear. ""Yes,"" I breathe. ""Where?"" ""Everywhere."" ""Don't cry, Ana, please,"" he murmurs against my mouth. ""It was long ago. I am aching for you to touch me, but I just can't bear it. It's too much. Please, please don't cry."" ""I want to touch you, too. More than you'll ever know. To see you like this... so hurt and afraid, Christian... it wounds me deeply. I love you so much."" He runs his thumb across my bottom lip. ""I know. I know,"" he whispers. ""You're very easy to love. Don't you see that?"" ""No, baby, I don't."" ""You are. And I do and so does your family. So do Elena and Leila - they have a strange way of showing it - but they do. You are worthy."" ""Stop."" He puts his finger over my lips and shakes his head, an agonized expression on his face. ""I can't hear this. I'm nothing, Anastasia. I'm a husk of a man. I don't have a heart."" ""Yes, you do. And I want it, all of it. You're a good man, Christian, a really good man."" One of the things I didn't care for was the constant “inner goddess” crap it was driving me batty. I thought this book was a great read and I can't wait to start the next one. I will leave you with my favorite part of the book , when I read it I was yelling "" Yea Bitch in yo face!"" My Favorite moment in the book: ""I've never seen him so happy, and it's obvious that you have feelings for him, too."" A brief smile flits across her lips. ""That's great, and I wish you both the best of everything. But what I wanted to say is if you hurt him again, I will find you, lady, and it won't be pleasant when I do."" She stares at me, ice-cold blue eyes boring into my skull, trying to get under my mask. Her threat is so astonishing, so off the wall that an involuntary, disbelieving giggle escapes me. Of all the things she could say to me, this is the least expected. ""You think this is funny, Anastasia?"" she splutters in dismay. ""You didn't see him last Saturday."" My face falls and darkens. The thought of Christian unhappy is not a palatable one, and last Saturday I left him. He must have gone to her. The idea makes me queasy. Why am I sitting here listening to this shit from her of all people? I slowly rise, gazing at her intently. ""I'm laughing at your audacity, Mrs. Lincoln. Christian and I have nothing to do with you. And if I do leave him and you come looking for me, I'll be waiting - don't doubt it. And maybe I'll give you a taste of your own medicine on behalf of the fifteen-year-old child you molested and probably fucked-up even more than he already was."" Her mouth falls open. ""Now if you'll excuse me, I have better things to do than waste my time with you.""",5.0,positive,"Fifty Shades Darker (Fifty Shades, #2)",11857408
