review,rating,sentiment,book_title,book_id
"3rd Review - August 2022 I read Frankenstein for a sixth time this week. Although it is one of my favourite novels, and in my opinion one of the finest pieces of fiction ever written, I find myself with a new appreciation of the text every time I come to it. A large proportion of one of my PhD chapters is about this novel. I'm discussing the idea of the vegetable diet along with purity and becoming our natural selves. And I'm also considering notions of animal rights, of the idea that man is very much an animal too and he has lost this sense of original self. Frankenstein at its very core is a novel about duality, of our capability to be both good and evil and to be both human and animal. There is so much to take from this book and there's so much that be taken apart, scrutinised and then put back together again. What's truly striking about the work is how much is reflects the anxieties of the age. It's full of insecurities about nature, god, science and our place in the world. Ultimately, it is a novel that creates a sense of unease because it highlights so much about the inauthentic nature of the lives many of us live. Running through the novel is a craving for freedom: a craving to to simply exist in a natural way. 2nd Review - January 2020 Some books teach you something new each time you revisit them. I picked up the tragically wonderful Frankenstein for a fifth time this week, and I was totally mesmerised by the descriptive language used to describe the natural world. In all my previous readings, I focused on all the classic tropes of man and monster though I never considered the importance of the serene beauty that surrounds the story. The natural world dominates the background of the novel. It’s there, like a pervading monster that lingers in the darkest reaches of the mind. What struck me most about it was the fact that both Victor and his creation long for a real life, a life where one is truly alive. And they both ponder what this means at length, reaching the same conclusion: to go completely nomad. They both wish to live a life free of burden and complications, no money, no commitments and no responsibility. They just want to be totally free in the wilderness with the ultimate goal of finding happiness by looking after their most immediate and natural desires. And for me this says a great deal about society, not just the society in which this was written, but society in general: how many of us feel truly alive? Original Review - 2016 Let’s have a party Victor. Let’s get together and celebrate all things Gothic, and dark, and wonderful. Let’s have it in an attic in an old house in the middle of a thunderstorm, and then afterwards let’s go to the graveyard with our shovels and our body bags. Sounds good doesn’t it Victor? We could then create our own doppelgängers from the corpses of criminals and geniuses. Then we can abandon our marvellous creation to fend for itself with his childlike innocence, and then wonder why it goes so horribly wrong and blows up in our faces. Ahh..Victor you silly, brilliant, man. On second thought we probably shouldn’t have that party. Because if we did it would end in blood Yes, lots of blood: the blood of everyone you love, the blood of all your family Victor. You blame the monster, but you are his creator. You should have taught him the ways of the world and guided his first steps. The things you two could have accomplished together. So I ask you this Victor, who is the real monster? Is it the creature that has gone on a murderous rampage or it you? You are the man who played at god and was horrified at the consequence. You judged your creation by his physical appearance, which was more a reflection of your vain soul. Ahh..Victor you silly, brilliant, man. Surely you don’t wonder why the monster revenged himself upon you? “I ought to be thy Adam, but I am rather the fallen angel...” Indeed, the real monster of this novel is Victor Frankenstein, and not his monstrous creation. The creature is a monster on the outside but Victor is on the inside, which is a form much worse. By abandoning the creature he has taught him to become what his appearance is. The first human experience he receives is rejection based upon his physicality. His own creator recoils in disgust from him. He cannot be blamed for his actions if all he has been taught is negative emotion, he will only respond in one way. He is innocent and childlike but also a savage brute. These are two things that should never be put together. Woe to Victor Frankenstein’s family. “There is love in me the likes of which you've never seen. There is rage in me the likes of which should never escape. If I am not satisfied in the one, I will indulge the other.” Mary Shelley raises questions of the danger of knowledge, and shows a probable consequence of trying to play god; the novel portrays nineteen century fears for the rising field of science and knowledge and questions how far it could go. Indeed, in this case Victor takes on the role of a God by creating new life. She also shows us what can happen to a man if he so driven by this thirst for knowledge and how it will ultimately lead to a fall. Victor reminds me somewhat of Doctor Faustus ( ) in this regard. Faustus is a man who sold his soul to Lucifer for unlimited knowledge in the form of arcane magic. Victor, like Faustus, has stopped at nothing to gain his goal, but in the end is ultimately dissatisfied with the result. Suffice to say, I simply adore this book as you may have gathered from my ramblings. I think this, alongside Dracula, are amongst the strongest representations of Gothic literature. Furthermore, I have a real soft spot for epistolary means of storytelling. I’m not sure why, perhaps it’s the stronger sense of intimacy you fell with the characters as you see their words on the page rather than an impartial narrators. You see inside their heads more and understand their motifs and feelings. My favourite quote: ""This was then the reward of my benevolence! I had saved a human being from destruction, and as a recompense I now writhed under the miserable pain of a wound which shattered the flesh and bone. The feelings of kindness and gentleness which I had entertained but a few moments before gave place to hellish rage and gnashing of teeth. Inflamed by pain, I vowed eternal hatred and vengeance to all mankind. Listen to the passion, to the intellect and witness such a wasted opportunity. Victor, you’re a silly, silly, man. ___________________________________ You can connect with me on social media via . __________________________________",5.0,positive,Frankenstein,34913533
"My apologies , but this review is going to be a bit frantic due to my brain being so oxygen-starved by the novel’s breath-stealing gorgeousness that I'm feeling a bit light-headed. So please forgive the random thoughts. First : Mary Shelley…I love you!! Second : Dear Hollywood - you lying dung pile of literature-savaging, no talent hacks…you got this all wrong. Please learn to read and get yourself a copy of the source material before you FUBAR it again. Third : My heart shattered for the “monster” and I haven’t felt this strong a desire to “hug it out, bitch” since reading and . The “wretch” is so well drawn and powerfully portrayed that he form the emotional ligament for the entire story. He is among the finest creations the written form has to offer. Fourth : As surprised as I am to be saying this, this novel has ousted as my all time favorite of the classic horror stories…sorry Bram, but the good/evil, sad, desperate loneliness of the orphaned monster trying to find a purpose and to define himself in the world trumps The Count. Five : No one can conceive the variety of feelings which bore me onwards, like a hurricane, in the first enthusiasm of success. Life and death appeared to me ideal bounds, which I should first break through, and pour a torrent of light into our dark world. A new species would bless me as its creator and source; many happy and excellent natures would owe their being to me. No father could claim the gratitude of his child so completely as I should deserve theirs. Pursuing these reflections, I thought that if I could bestow animation upon lifeless matter, I might in process of time (although I now found it impossible) renew life where death had apparently devoted the body to corruption. As gorgeous as the prose is, I thought it a crime not to include at least one quote. Six : The “non-explanation” for the process that Victor uses to create the monster is thing of genius. No other approach could have possibly conveyed the majesty and significance of the achievement, because we would have known it was bullshit. Shelley did it perfectly…which leads me nicely into… Seven : The corny, slapdash lightning scene is entirely a work of Hollywood? There’s …NO…lightning…scene? Are you kidding me? Even Kenneth Branagh’s supposedly “true” adaptation had electric eels providing power to the “it’s alive” process. All of it bunk. I’ll say it again, Hollywood is a bunch of useless tools. . LIARS!!! Eight : Speaking of tools, Victor Frankenstein is a giant one. As far as I am concerned, he is clearly the villain of the piece. However, what I found so squee-inducingly magical about Shelly’s writing was my degree of vacillation when it came to Victor’s character. I liked and even admired Victor in the beginning of the story and found his personal journey compelling. He was a genius driven by his desire to unlock the secrets of the universe and had that manic, “mad scientist” focus necessary to the accomplishment of such a lofty goal. However, once the “birth” of the monster came, I found myself waffling back and forth throughout the rest of the story. Ironically, his moment of success and his reaction to life he had conjured was when he began to lose his humanity in my eyes. His treatment of the monster was abhorrent. Despite this, Shelley was able to get me to see over my disgust and appreciate Frankenstein’s position and understand why he was so unwilling to continence the existence of “the wretch.” Not enough for me to forgive his lack of compassion, but enough for me to see him as a tragic figure. Huge propers for Shelley as that is excellent writing. Nine : I would place the monster among the finest literary creations of all time. This singular manifestation of humanity’s scientific brilliance and callous indifference to the consequences thereof is masterfully done. Frankenstein’s “wretch” became the prototype of the literary outcast and every “misunderstood” creature since has been offspring from his loins. His character profile is phenomenal, and just as Victor’s actions garner sporadic moments of understanding for his cruel treatment of the monster, so the monster’s wanton acts of vile cruelty severely test our compassion for him. Tested, bent and stretched, but, for me at least, never broken. I understood his pain…I understood his anger…I understood. Ten : No spoilers here, but the final resolution of the relationship between Victor and the child of his genius was…stellar. Everything was reconciled and nothing was resolved. The final reckoning occurs and it is both momentous and useless. Eleven : I expected the prose to be good but, having never read Shelley before, I was still surprised by how exceptional and ear-pleasing it was. Her writing really resonated with me and I loved her ability to weave emotion, plot momentum and a high literary quotient seamlessly together. Good, good stuff. Twelve : The novel is structured as an epistolary nesting doll using the frame story of Captain Walton corresponding with his sister about his expedition to the North Pole. While at the top of the world, Walton finds Victor Frankenstein stranded. This sets up the dovetail into Walton relaying Victor’s story which takes up the bulk of the novel and includes within it the incredibly poignant story of the “monster” in the creature’s own words. It is superbly executed and I thought the framing device was very effective. Thirteen : Despite my trashing of the movie versions earlier, there was one scene that I thought was handled far better on screen than in this story. Kenneth Branagh’s portrayal of the murder of Elizabeth by the monster was far more chilling than Shelley’s more subdued recounting. I actually anticipated this segment being far more shocking and I was a tad let down as a result. This is probably my only gripe about the book. Fourteen : On my list of all time favorite novels. The writing, the story, the characters, the emotion, the imagery, the power…all off the charts. 6.0 stars. HIGHEST POSSIBLE RECOMMENDATION! P.S.(or Fifteen : ) I listened to the audio version of this read by Simon Vance and his performance was extraordinary, especially his portrayal of the “monster.” Definitely check it out if you are a consumer of audio books.",5.0,positive,Frankenstein,34913533
"So. I finished it. Warning: If you are a fan of classic literature and/or are utterly devoid of a sense of humor this review may not be for you. Also: Yes, I realize that I'm a moron with zero literary credibility. So, stop reading right now if the sound of an idiot whistling out of their asshole bothers you. Sure, you can comment below and tell me how stupid I am, but it probably won't make me a better person. Or will it...? I've always wondered what the real Frankenstein story was like...and now I know. Sadly, sometimes the fantasy is better than the reality. And the reality is, this book is a big steaming pile of poo. It's an old-timey horror story, right? Not so much. I mean, I wasn't expecting it to actually be scary, but I thought it might be slightly creepy. Unfortunately, the only horror in the story centered around me having to keep turning the pages. Unless...? Beware mortal! You will DIE of boredom! Truly frightening. It starts like this: An upper-crust guy sails off to the Arctic to make discoveries , and to pass the time he writes to his sister. Supposedly, he's been sailing around on whaling ships for several years. And he's been proven an invaluable resource by other captains. So I'm assuming he's a pretty crusty ol' sailor at this point. Pay attention, because this is where Shelly proves that she knows nothing about men... So this guy goes on and on in these letters to his sister about how he wishes on every star that he could find a best friend at sea. After a few ( too many ) letters, they pull a half-frozen Frankensicle out of the water. Aaaaand here's what our salty sea dog has to say about the waterlogged mad scientist... ""Blah, blah, blah...his full-toned voice swells in my ears; his lustrous eyes dwell on me with all their melancholy sweetness...blah, blah, blah..."" Lustrous eyes?! No ( straight ) sailor ever, in the history of the world, EVER referred to another dude's eyes as lustrous . Ever. And I know what you're thinking. Well, Anne, maybe this character was gay. Didn't think about that, did you?! Actually, yes. Yes, I did. The only problem with that theory is that NONE of the male characters in this book sounded remotely male . Ladies, do you remember that time in your life ( probably around middle or high school ), when you thought that guys actually had the same sort of thought waves running through their heads that we do? You know, before you realized that they really don't care about...well, all of the things that we do? You thought that while they were laughing at the booger their idiot friend just flicked across the room, something deeper was stirring in their mind. It just had to be! I'm not sure when it happens, but at some point, every woman finally realizes the ( fairly obvious ) truth. Men aren't women. That booger was the funniest thing ever, and nothing was stirring around in them other than maybe some gas. And that's ok. Fart-lighting and long distance loogie hawking contests aside, they can be pretty darn cool. But this author was too young to realize that. My personal opinion is that Mary was probably fairly sheltered and was used to running around with a bunch of artsy-fartsy dudes. Much like today, I would imagine these junior emos were probably blowing poetic smoke up her young ass in the high hopes of getting into her pants. Although it's possible I'm totally misreading the situation. Anyway, Frank tells his story, and Sea Dog writes it all down for his sister. In excruciating detail. Rivers, flowers, rocks, mountain tops...agonizingly cataloged. And the weather? God forbid a breeze blows through the story without at least a paragraph devoted to the way it felt on his skin or affected his mood! And speaking of Frankenstein's mood . I don't think I've ever had the pleasure of reading about a character this spineless before. He didn't talk so much as he whined . And the swooning! He was like one of those freaking fainting goats! I can't even count how many times he blacked out and fell over. Of course, then he would get feverish and need ""a period of convalescence"" to recover. Again, every episode was recounted with incredible attention to detail. I'm thrilled that I never had to miss a moment of his sweaty brow getting daubed with water! Randomly Inserted Fun Fact: The monster quoted Milton in Paradise Lost. Shockingly, I only know this because it was in the appendix, and not because I have any real-life experience with reading that one. Was this the most painfully unnecessary book I've read this year? Yes. Is there a deeper moral to this story? Yes. Some would say, that the monster is a product of a society that refuses to accept someone who is different. Or maybe that Victor Frankenstein was the real monster for not realizing that he had a duty to parent and care for his creation? Perhaps it is meant to point out our obsession with perfection, and our willingness to disregard people who don't meet the standards of beauty as non-human? Some might say any of those things. I, however, learned a far different lesson from Frankenstein. And it's this... Trust no one. Not even someone who ( just an example ) has been your Best Friend for decades ! Let's read a classic, Anne. It'll be fun, Anne. We can call each other with updates, Anne. It'll be just like a book club, Anne. Tee-hee! Liar, liar! Pants on fire! I read this whole God-awful book, and you quit after 10 pages! I'm telling your mom! Anyway. Here's the quote that sums up my experience with Frankenstein : ""Blah, blah, blah...in all the misery I imagined and dreaded, I did not conceive the hundredth part of the anguish I was destined to endure.""",1.0,negative,Frankenstein,34913533
"Some monsters are not born, they are created by the cruelty around them. Victor Frankenstein is a scientist and alchemist obsessed with creating life. Neglecting his betrothed, friends and even himself, he devotes all energy and efforts to the construction of his Creation, an unspeakable thing formed of human parts scavenged from cemeteries and other undesirable places, which he intends to bring back to life. His dream turning into a nightmare when he actually succeeds. The terrible and unfortunate story of Dr. Frankenstein and his Creation. Two immortal characters that transcended literature. Dr. Frankenstein was more than a scientist; and his Creation more than a monster. Both characters immersed in an unwinnable fight against adversity and misery, fighting each other, and against themselves. Each one with the disadvantages proper of their nature. Each one a person, and a monster. Both tragically linked because of one defining moment of pain; the pain of losing love, and the pain of never knowing it. A story that makes you think, and suffer, for both of them. A classical masterpiece that spawned countless of adaptations and retellings; in books, films, plays, and whatnot. Fast paced, short and easy to read. A must read in life. Highly Recommendable. It’s public domain, you can find it *** Frankenstein (1994) is an acceptable adaptation at best, even with a stellar cast including stars like Branagh, De Niro and Bonham Carter. All the main ingredients of a good movie were present, and the plot faithful enough to the book. Still, overall it felt just average, barely watchable and excessively over the top for no good reason. Interesting to complement the reading, but not really recommendable. Still remaining, the movie (1931) ----------------------------------------------- PERSONAL NOTE : [1818] [260p] [Classics] [Highly Recommendable] ----------------------------------------------- Algunos monstruos no nacen, son creados por la crueldad a su alrededor. Victor Frankenstein es un científico y alquimista obsesionado con crear vida. Descuidando a su prometida, amigos e incluso a sí mismo, dedica toda su energía y esfuerzos a la construcción de su Creación, una innombrable cosa formada de partes humanas recuperadas de cementerios y otros indeseables lugares, a la cual intenta hacer volver a la vida. Su sueño convirtiéndose en pesadilla cuando finalmente lo logra. La terrible e infortunada historia del Dr. Frankenstein y su Creación. Dos personajes inmortales que transcendieron la literatura. El Dr. Frankenstein era más que un científico; y su Creación más que un monstruo. Ambos personajes sumidos en una pelea imposible contra la adversidad y la desdicha, luchando uno contra otro, y contra sí mismos. Cada uno con las desventajas propias de su naturaleza. Cada uno una persona, y un monstruo. Ambos trágicamente vinculados por un momento definido en el dolor; el dolor de perder el amor, y el dolor de nunca haberlo conocido. Una historia que da para pensar, y sufrir, por ambos dos. Una obra maestra clásica que engendró incontables adaptaciones y recreaciones; en libros, películas, teatro, y que no. De ritmo rápido, corta y fácil de leer. Una lectura obligada de la vida. Altamente Recomendable. Es dominio público, lo pueden encontrar *** Frankenstein (1994) es una aceptable adaptación cuando mucho, incluso con un elenco estelar incluyendo estrellas como Branagh, De Niro y Bonham Carter. Todos los ingredientes de una buena película estuvieron presente, y la trama lo suficientemente fiel al libro. Sin embargo, en conjunto se sintió sólo promedio, apenas veíble y excesivamente exagerada sin buena justificación. Interesante para complementar la lectura, pero no exactamente recomendable. Queda pendiente, la película (1931) ----------------------------------------------- NOTA PERSONAL : [1818] [260p] [Clásicos] [Altamente Recomendable] -----------------------------------------------",4.0,positive,Frankenstein,34913533
"“I have love in me the likes of which you can scarcely imagine and rage the likes of which you would not believe. If I cannot satisfy the one, I will indulge the other.” -From the 1994 movie The worst thing about this novel is how distorted it has become by constant movie adaptations and misinformed ideas about the nature of Frankenstein and his ""monster"". For years, like many others, I thought Frankenstein was the name of that slightly green dude with the bolts in his neck. Nuh-uh. Did Frankenstein scare me? Did it have me staying awake and sleeping with the light on, jumping at every slight creak in the house? Was I terrified of the monster and technology and the dangers of playing God? No. Because the beauty of this story is that it isn't the one so many people think it is. Which is almost my favourite thing about it. This book is not a Halloween kind of story with Halloween kind of monsters. This story is heartbreakingly sad. “...once I falsely hoped to meet the beings who, pardoning my outward form, would love me for the excellent qualities which I was capable of unfolding.” The book offers many interesting avenues of philosophical exploration if one wishes to ponder such things. For example, allusions to religion and Genesis, possible criticisms of using science to ""play God"", and the relationship between creator and creation. All of these things interest me, yes, but it is the painfully human part of this book that has always so deeply affected me. Because the sad thing, the really sad thing, is that pretty much everyone has heard of Frankenstein's monster... but so many don't know how human the character is. Created as a scientific experiment by an overly ambitious man, he comes into a frightening and hostile world that immediately rejects him on sight. Even the man who made him cannot look upon his creation without feeling horror. It's that same thing that gets me in books every time: things could have been so different . If people had just been a little less judgmental, a little less scared, and a little more understanding. This being, created from different parts of corpses, seeks love and finds hatred, so he instead decides to embrace it. Fuelled by his own rage at the unfairness of the world, he gradually turns towards evil. He belongs in my own little mental category with the likes of Heathcliff and Erik (aka The Phantom of the Opera). Scared, angry villains who were made so by their own unfortunate circumstances. The kind of characters you simultaneously hate and love, but most of all hope they find some kind of peace. So call it science-fiction, if you want. Call it horror, if you must. But this story is brimming with some of the most realistic and almost unbearably moving human emotion that I have ever read. | | | | |",5.0,positive,Frankenstein,34913533
"No stars. That's right. Zero, zip. nada. It's been almost 30 years since I've detested a book this much. I didn't think anything could be worse then Kafka's The Metamorphosis . Seems I'm never too old to be wrong. This time, I don't have the excuse that I was forced to read this for high school lit. class. Oh no, this time I read this of my own volition and for fun. Yeah, fun. Kinda like sticking bamboo shoots between my fingernails type of fun. Watching paint dry fun. Going to an Air Supply concert fun. OK, to be fair, I need to tell you what I liked about this.... Well, Mary Shelley was a teen when she wrote this. Color me impressed. At 19 I was just looking for my next college boyfriend, not penning the great English classic. Kudos to Mary for that. Otherwise, I can't think of anything to admire in this book, apart from the fact that it's the only book in my reading history where I actually noted EVERY SINGLE PAGE NUMBER and mentally counted down the time I'd be finished. Why did I persist, you may ask? Well, at the point where the pain became mind numbing, I decided to channel my inner John McCain and just survive the torture. Figured it would make me a better, stronger reader. Might even make me enjoy a re-read of ....(well, no it wouldn't, but you get the idea). Frankenstein is a classic alright. A classic melodrama. Complete with a wimpy, vaporish, trembling prima donna main character and a pseudo monster whose only sin is being uglier then Bernie Madoff in cell block D. After the upteenth tremble/jerk/gasp/faint/start from our mad scientist Victor Frankenstein, I could only sign in relief that he wasn't a Rabbi about to perform a bris circumcism - oy vey! Were we supposed to be outraged at the monster's killing spree? By the books end, I was merely miffed that the creature murdered the wrong Frankenstein sibling. He would have saved himself a good deal of traveling (and saved me a good deal of suffering) had he snuffed out his maker before he could high-tail it out of the birthing room. I'm sure that the fans of this book will say that I didn't understand the deeper, symbolic nuances of this book, and I'm sure that they are right. At this point in my life, all I know is what I like and don't like in a book, and as far as I'm concerned, this book is unadulterated, mind-numbing crap. But that's just me. Your mileage will vary (as I sincerely hope it does). As for my own mileage, it can best be compared to driving a Ford Pinto in the Indy 500... EDIT Due to the efforts of a few Kool-ade drinking trolls who have gotten their big girl/big boy panties in a wad over an almost 200 year old book and can't comment nicely on my review, I am suspending all future comments. Don't like it? Blame the navel grazing trolls for not accepting the concept of a PERSONAL OPINION .",,,Frankenstein,34913533
"Don’t get why everyone spends so much time talking about “the theme of science versus nature” and how this is “the world’s first science fiction novel” when clearly this is the world’s pre-eminent text on the subject of the dire consequences of procrastination. But whatever. This book rules. First off, it’s very funny to imagine old-timey 1800s people being scared by this. It’s in the same vein as thinking of that urban legend about the people who watched the first movie screaming when the train races toward them. “AAAAAH! I AM IN A THEATER, BUT I’M ABOUT TO GET HIT BY A TRAIN!!! HERE IT COMES! TELL MY WIFE I LOVE HER!” I highly recommend reading it through that lens. Just thinking about that original audience who thought this was a horror. “Oh, my stars! A creature of most unholy origin! I daren’t think of it!” Idiots. Again, I digress. This is so beautifully written. It really forces you to slow down and take the story in, just so you don’t miss a gorgeous line - which in turn makes you appreciate how many great and beautifully executed themes there are at play. Count me impressed. But again, I’m mostly just thinkin’ bout how #relatable Frankenstein is. And also the fact that I can Finally I can be one of those assholes who’s like “Frankenstein is the SCIENTIST, not the monster!!!!” I’m living the dream. Bottom line: This is nonstop fun and everyone should have (read: read) it. ------------- currently-reading updates can already relate to victor frankenstein as i, too, create massive problems and then avoid dealing with them until the repercussions threaten to destroy my life and even then am kinda like ""ok but do i have to""",4.0,positive,Frankenstein,34913533
"80% of this book is just Victor Frankenstein falling into months-long fevers at the slightest inconvenience and also being a colossal piece of shit. The Creature, on the other hand, is the poster-monster for anyone who’s ever felt Othered and I simply LOVE HIM",5.0,positive,Frankenstein,34913533
an annoying scientist and an ugly tall man fight over who is more depressed,1.0,negative,Frankenstein,34913533
"Mary Wollstonecraft, a teenager, was spending a vacation in Switzerland with her fiancé, , their mutual friend, , and a few other people. Was the weather gloomy that summer of 1816? Were the companions bored to death? One evening, they challenged each other into writing the scariest ghost story they could come up with. No one remembers what the fellows wrote on that occasion. Except for the young woman’s literary creature and the misfortunes of Victor Frankenstein. Since then, what was meant as an entertaining story, rose to the dimension of a myth. So much so that the original novel itself has been covered up by layer upon layer of external imagery, which has very little to do with it — in particular, the heavily made-up face of Boris Karloff in the 1931 unfaithful film adaptation of this book. Nowadays, there are all sorts of adaptations (e.g. Kenneth Branagh’s movie, with De Niro, more on that below), parodies (Mel Brook’s Young Frankenstein ), and probably even spooky porn versions. However, Mary Shelley’s novel is not so much about ghosts or monsters, as it is a meditation on the Biblical theme of Creation and Fall. Naturally, the idea of creating a living being — using some human technique instead of natural reproduction —, comes from the 16th-century Jewish narrative of the of Prague. The subtle hints and overt references to Milton’s are also quite noticeable — the “daemon”, rejected from the start as an ugly duckling, learns to read with a copy of this book (?). At any rate, Frankenstein is a brilliant and existential reverie on the theme of God and Satan (Frankenstein and the “daemon”) and Adam and Eve (Frankenstein and Elizabeth / the monster and the potential lady-monster). Another striking aspect of Frankenstein ’s narrative is the Russian-dolls-like structure of the tales: first Captain Walton’s letters, which frame the whole novel, then Victor Frankenstein’s account and, finally, a tale within the tale, the daemon ’s story. This particular form is in keeping with earlier gothic novels and harks back to the , to which Mary Shelley might have had access, through Antoine Galland’s translation into French. Incidentally, Safie’s story, around the middle of the novel (another embedded tale within a tale), has some oriental undertones. Mary Shelley’s book is considered one of the earliest examples of the Science Fiction genre. However, there is not much science or technology to speak of in Frankenstein , apart from a few mentions of and a couple of other alchemists and astrologers. The minor references to electricity, magnetism and galvanism are in the spirit of the times. Still, , who would soon bring significant breakthroughs in these fields, was about the same age as the precocious author of Frankenstein . Still, the presence of electromagnetism is not only a reference to the myth of Prometheus and the stolen fire. If anything, it expresses a fascination with landscapes: now sunny, beautiful and pleasant; now stormy, sublime and menacing, with ghastly thunderbolts ripping the clouds apart. Mary Shelley had a couple of predecessors — is quoted a few times in her novel —, but that sort of imagery was, by and large, a novelty at the time. It might be interesting to note that while Mary Shelley was writing Frankenstein , Caspar David Friedrich was painting his famous Wanderer above the Sea of Fog (see below). This obsession with ominous landscapes would soon become a trope within the romantic and gothic literary tradition (cf. the often ridiculed ’s “dark and stormy night”). Frankenstein is also considered an early example of the modern Horror genre. However, the general impression is not exactly a feeling of terror. Rather a romantic and quite often bombastic expression of strong emotions: despair, anguish, despondency, melancholy, misery, wretchedness, affliction, etc., are words that come repeatedly under Mary Shelley’s pen. This accumulation of epithets might feel quaint and a little schmaltzy to a modern reader. Even so, Frankenstein has probably been a significant inspiration to crime mystery novels, such as Stevenson’s and later avatars of serial killers on a murderous rampage. It has probably also exerted a strong influence on scary adventure stories, such as Poe’s , Wells’ , or Lovecraft’s . It might, nowadays, become once more a significant source of inspiration, as contemporary technology explores new forms of sentient and intelligent beings, out of GMO, silicon or some weird combination of the two. (1994), directed by Kenneth Branagh, followed Francis Ford Coppola’s box-office hit Bram Stocker’s Dracula (1992). The cast is imposing: De Niro, Branagh, Hulce, Bonham Carter, Holm, Cleese. The screenplay (written by Frank Darabont, who would later develop The Walking Dead TV series) is, for the most part, faithful to Mary Shelley’s novel. However, while Coppola’s Dracula was darkly luxurious and decadent, the style of Branagh’s Frankenstein is loud and vehement, at times stomach-churning or downright silly. The biopic (2017) by Haifaa al-Mansour, with Elle Fanning, is primarily a romance, recounting the complicated situation in which the young woman met her husband and how she got to write her masterpiece. The portrayals of Percy Shelley and Lord Byron are rather unflattering.",4.0,positive,Frankenstein,34913533
