review,rating,sentiment,book_title,book_id
"3 1/2 stars. This is going to be a hard review to write because I feel so conflicted about my final rating and just how much I actually liked this book. For one thing, I think the second half is a big improvement on the first half and, though this is my least favourite book by Ms Flynn, I can see in some ways why other reviewers see this as her strongest work. Let me ask this question: is it possible to be objective when writing a book review? Can a book ever be objectively ""good"", even though some people might not enjoy it so much? To use quite an extreme example, I really struggled to read Proust's and can't say I enjoyed it - but that doesn't make it a bad book. Surely I cannot begin to claim that Proust is anything other than a literary genius? I wouldn't want to try. I don't think I need to tell you that Flynn is not quite Proust. But some of the same old ideas kept popping into my head while I was reading because I think this is the book that most showcases Flynn's talent for writing. And for exploring the dark depths of psychology. and are wild, gritty, nasty books that pull you in, engage you and poison your mind. You don't devour them, they devour you. I read both of Flynn's previous novels in a day or two. Unlike , which I tried to read about five times and gave up, then when I finally came back to it, I took a week to get through it. To put it in perspective, I read in the same time it took me to read Flynn's latest work. But it's good, isn't it? How can I not praise a book that so cleverly pulls apart the minds of a husband and wife? In terms of writing, creativity, originality... this is her best work to date. In terms of enjoyment... I struggled a lot. is much slower than Flynn's first two novels, which is both a strength and a weakness. It allows for a slow, cleverly-painted picture to build up of this marriage and its many secrets, of Amy and Nick's state of mind. It is intense and brilliant. But I think it all comes down to the fact that I didn't care much about the background story of the couple's financial hardship. I think this is why I found the parts where they whine about how awful their life is - moving from a huge house in New York to a slightly smaller one in Missouri* - quite tedious. I am used to Ms Flynn giving me the dregs of society, the lowlifes and the majorly-troubled, giving me characters with genuine reasons to complain about life. Spoilt, rich people do not pull at my heartstrings. But, objectively , this is a really great book. *The trolls have started descending on this review because I got the house sizes mixed up - apparently the house in Missouri was bigger (how this makes a difference other than to further prove my point, I do not know). I'm very sorry if I have influenced you to read/not read this book with false house size information. | | | |",3.0,neutral,Gone Girl,19288043
"As seen on I am giving 3 stars, but only begrudgingly. In my mind, any book that takes me 3 months and 20 different tries to read is not worth 3 (i-liked-it on Goodreads) stars, especially a book written by an author I already respect. And I am not kidding, for me the first half of was a PURE TORTURE to read. Amy Dunn disappears on the day of her 5th wedding anniversary. All gradually uncovered evidence suggests that her husband, Nick, is somehow involved. Did he kill her? Was she kidnapped? What happened to Amy? One thing is clear, Nick and Amy's marriage wasn't as perfect as everybody thought. The first part of the novel is all about the investigation into Amy's disappearance, slow unraveling of Nick's dirty secrets, reminiscing about the troubled history of Nick and Amy's marriage as told in Amy's hidden diary. I strained and strained my brain trying to understand why this chunk of Gone Girl had no appeal to me whatsoever. The only answer I have is this: I am really not into reading about rich white people's problems. You want to whine to me about your dwindling trust fund? Losing your cushy New York job? Moving south and ""only"" renting a mansion there? Being unhappy because you have too much free time on your hands and you are used to only work as a hobby? You want to make fun of your lowly, un-posh neighbors and their casseroles? Well, I am not interested. I'd rather read about someone not necessarily likable, but at least worthy of my empathy, not waste my time on self-centered, spoiled, pathetic people who don't know what real problems are. Granted, characters in Flynn's previous novels ( and ) are pretty pathetic and and at times revolting too, but I always felt some strange empathy towards them, not annoyance and boredom, like I felt reading about Amy and Nick's marriage woes. But then second part, with its wicked twist, changed everything. The story became much more exciting, dangerous and deranged. The main characters revealed sides to them that were quite shocking and VERY entertaining. I thought the Gillian Flynn I knew before finally unleashed her talent for writing utterly unlikable and crafty women. THEN I got invested in the story, THEN I cared. Was it too little too late though? I think it was. Something needed to be done to make a better read. Make it shorter? Cut out first part completely? I don't know. But because of my uneven experience with this novel I won't be able to recommend as readily as I did Flynn's earlier novels, even though I think this horror marriage story (it's not a true mystery, IMO) has some brilliantly written psycho goodness in it and an absolutely messed up ending that many loathed but I LOVED. I wish it didn't take so much time and patience to get to all of that...",3.0,neutral,Gone Girl,19288043
"I get it now. After reading this book, I finally understand the appeal of the unreliable narrator. Up till now, for more than a decade, I did not understand. In fact, I've been so befuddled by it all, I've had to engage in deceit in order not to broadcast my lack of understanding. Because you see, during all this time, whenever anyone professed their love for domestic thrillers and the ubiquitous unreliable narrator, I've smiled and nodded along as if I also love those things. But in actuality, I had no idea what they were going on about. The unreliable narrators I've come across thus far had me under the mistaken impression that they must be of a very specific mold—always female, imbibing to the point of incoherence, acting unfathomably loony and paranoid, and going on and on about how no one believes them. In other words, a most unpleasant character there to frustrate the heck out of the reader and cause maximum eye-rolling and hair-tearing. You can see how I did not understand why anyone would love that. So to read Gone Girl feels like both a Eureka moment and a recognition—oh there you are, you compelling unreliable narrator, I've finally found you! What made this story work for me when so many others have failed? Well, the unreliable narrators here are smart, cunning, and sober, in other words the complete opposite of what I'm used to. No dumb, drunk, paranoid lush here, thank you very much. But it's more than that. The way the story unfolds is pretty brilliant too. You think you know what's going on, then the rug is pulled out from under you and everything you thought you knew changes. Both of the two main characters are unlikable but undeniably fascinating, and you want to keep turning the pages to see what they'd do next. And the writing is so sharp and precise, there to match perfectly to each situation and every version of the characters. There are so many insightful observations thrown in, about our culture and its ups and downs, about people and their hopes and dreams, and most of all, about marriage. At its heart, what made this story so disturbing is that there is a lot of truth written into this dark tale beneath all the exaggerations. Was this the perfect book? No, at least not for me. I did find the beginning rather slow and (what turned out to be justifiably) pretentious, the characters and the plot a tad over the top, and the ending somewhat lackluster after all that buildup. But honestly, that's just because domestic thrillers are never going to be my favorite thing. Still, it was a lot of fun to read the book that kicked off the craze. With how popular this book is and how much it influenced all that came after, it just wasn't possible to go into this completely blind. I went in already knowing about unreliable narrators and also having an inkling of what to expect. (Many years ago, I made the regrettable decision to read the synopsis of the movie in a moment of weakness.) And yet, even with all that, this still managed to surprise and entertain me. And most importantly, now I finally understand what everyone's talking about. ~~~~~~~~~~~~ ✧ Connect with me ✧ ✧",4.0,positive,Gone Girl,19288043
"AMY DUNNE I am Amy. I’m so perfect you may want to puke. It’s okay, I have that effect on everyone, even my parents. They noticed I was so perfect when I was a little girl and so they wrote some vastly popular children’s books called The Adventures of Amazing Amy . You may have been given them to read in school, and you may have puked on them. I am so self-regarding I can’t pass a mirror without congratulating it that it’s reflecting me and not somebody else. I forgot to mention that I have a perfect figure and everybody wants to be my friend. I lived in New York but because I got let go now I have to live with my husband in one of those other states. I forgot its name. NICK DUNNE I am Nick, husband of Amy. I am a six foot something book reading slab of pure thinking woman’s hunkaceousness. Is that a word? Hey, it is now. I got let go from my job in New York as a writer – yeah, I know. And now I got let go from the job of Amy’s husband because she’s disappeared. P BRYANT Why am I reading this? OFF-STAGE VOICE Is it because you like to read popular thrillers from time to time to curry favour with the voters of your obsessional booky website? P BRYANT Well, really... AMY DUNNE I love Nick. NICK DUNNE I love Amy. AMY DUNNE Although he can be a bastard at times. NICK DUNNE Although she can be a stuck-up bloodyminded princess most of the time. AMY DUNNE I hate Nick. NICK DUNNE I hate Amy. P BRYANT Pass me the sick bag. NICK DUNNE Where is Amy? Oh where oh where can she be? Did I say she like just disappeared and shit? It’s why this book is called GONE GIRL and not THE REALLY IRRITATING COUPLE. P BRYANT I don’t care where Amy Dunne has gone. If she’s never heard from again, that’s okay with me. But for what it’s worth, I have a few theories. 1.	Kidnapped by aliens. Although you’d have thought they’d have thrown her straight back. 2.	She’s had plastic surgery and is now the middle Madonna (Vogue era) in a Madonna tribute band. 3.	Nick killed her, even if he says he didn’t, the liar. And ate her. 4.	Amy killed Nick and is pulling off a fabulous feat of transgender impersonation until page 322 when all will be revealed. And ate him. 5.	There never was an Amy. So she’s still here! (Pretty deep, that one.) 6.	Just like in that Agatha Christie book, THEY ALL KILLED HER! And ate her. It wasn’t chicken in that basket. Well, I’ll never know. But that’s okay.",1.0,negative,Gone Girl,19288043
"I'm pretty selective about new releases, but Gone Girl 's opening (about a man studying his wife's skull in bed) and unique alternating POV structure promised a kind of He Said, She Said Crimes and Misdemeanors , a with a sense of humor. I did really like the structure, along with some of the zingers, and some of the saucier images, but that's about it. From the Kushner epigraph to the name checking of Noel Coward on page 68 to the use of Pygmalion as a verb 20 pages after that (a synonym for to tidy , apparently), Flynn signals that she aims to create that most perverse of marriages here: a literary beach read. Instead of the best of both worlds, Gone Girl is the worst of both worlds: as pretentious and unnecessarily meta and overwritten as the worst overhyped literary debut and with dialogue and characters as cartoonish and trite and exposition-anvil-filled as your average suspense hack job. The absolute most offensive thing about Gone Girl , however, is how in love with being ""dark"" it is. It thinks it is so deep, so much better than say, chick lit, because it is about LIFE and DEATH and love as a prison sentence not rings and proposals and love as the solution to everything. But in staging itself, very Amy-like, so carefully in opposition to the thing it hates, it of course does not rise above chick lit, it just becomes psycho chick lit. Which may be different, I'll give it that, but it is not better. This is not good. Do not read this.",2.0,negative,Gone Girl,19288043
"This book is such a steaming pile of shit for so many reasons and hands down the worst book I have ever read. There is a huge cloud of smug over Gone Girl. This was such an unpleasant read that I started taking notes of all the ridiculous parts. It also didn't help matters that I figured out the ending before page 100. There are lots and lots of f-bombs and swearing which says a lot since I cuss like a sailor. For me to pick up on that means it's excessive and adds nothing to the story. Then there's the issue with our characters. The husband is Captain Douchebag and the wife is beyond batshit crazy. The story of a missing wife gets so ridiculous and over the top that the ending could only be equally as absurd. Things I absolutely loathed about the book: using The Giving Tree as a verb redneck stereotypes like catfish gigging with dry cat food repeated mentions of having the emotional bends repeated mentions of characters having a vaginal smell page 67 where ""Nick got home just after four, a bulb of beer and cigarettes and fried-egg odor attached to him, a placenta of stink."" the sister's name being Go the book's smugness. Had I not borrowed the book, I would have stabbed the shit out of it with scissors. If you want to read a book about a miserable married couple, read Revolutionary Road. The writing is a million times better.",1.0,negative,Gone Girl,19288043
"This book was just way too much fun – and I mean that in a good way. I’m taking a leisurely drive down the garden path of the story, when BAM – right in the middle it makes a u-turn and we are on the damn highway doing 90 miles an hour (commonly referred to as a plot twist). Sweet Mother of Mercy! There is not much to say without the risk of giving up some detail that’s best left secret. Soooo many time I wanted to just take one little peek at the end to see what happens to Nick and Amy. But I didn’t. I survived the heart pounding suspense and made it to the end of a very satisfying read. I must, must must check out more books by Ms. Flynn See all my reviews here:",5.0,positive,Gone Girl,19288043
"The first person narrative meant being in the thoughts of 2 very sick people the whole book and it left me feeling yucky. The author portrayed the minds of sadistic, narcissistic sociopaths making it a very dark book. And for some reason, I actually didn't find anything that happened a surprise. That made the story boring which may also have been because I didn't like or care about either of the unrepentant, unenlightened, and self absorbed characters. I just couldn't relate. Even getting some background on their families didn't engender any sympathy in me for them. It is not a satisfying read because there is no hope for these characters, no redemption, no justice for those murdered. As I said: Yucky.",1.0,negative,Gone Girl,19288043
"Quite simply, this is one of the best novels of the year. It's a thriller in the best tradition of Alfred Hitchcock and layered with brilliantly written characters; it's the kind of book that's nearly impossible to put down. The surprises and twists keep the reader guessing up until the final page, and my first thought upon finishing the novel was that I wanted to read it a second time.",5.0,positive,Gone Girl,19288043
"COME ON! Everyone (EVERYONE!!) loves this hateful book? suckers! Kind of makes me weep for the future. I did not think it was clever (as many have asserted) just depraved & manipulative. Also, if I ever read the words fucking bitch again it will be too soon.",2.0,negative,Gone Girl,19288043
