review,rating,sentiment,book_title,book_id
"(A) 86% | Extraordinary Notes: A relationshippy respite, it’s Sturm und Drang defogging: all lovesick woe, observing foes, and problematic snogging. *Check out progress updates for detailed commentary: Progress updates: - 3% (1) The Muggle Prime Minister would have been John Major. - No wonder he lost the 1997 election in a landslide. - Likely fictional, though, as Major wasn't elected to power, and his predecessor wasn't male. (2) Fudge: ""Is a man alive if he can't be killed? I don't really understand it, and Dumbledore won't explain properly."" - Well, horcruxes are forbidden knowledge. - 6% (1) ""A threadbare sofa, an old armchair, and a rickety table stood grouped together in a pool of dim light cast by a candle-filled lamp."" - How vampire-chic. - Snape's house could use a woman's touch. (2) ""In her fury [Bellatrix] looked slightly mad."" - I guess she's always in her ""fury"" then. (3) I never hear of wizard divorces... perhaps they make unbreakable vows? - 9% (1) ""Rufus Scrimgeour ... has succeeded Cornelius Fudge as Minister of Magic. The appointment has largely been greeted with enthusiasm."" - Appointment? By who? There doesn't appear to be any wizarding monarch or anything. (2) J.K. Rowling does love giving animal descriptions to antagonists: Scrimgeour is ""lionlike,"" Petunia has a ""horsey face,"" Vernon has ""piggy eyes,"" etc. - 13% (1) We're introduced to the idea of inferi, which are essentially zombies. The lack of a full-blown zombie chase is one of the series' big missed opportunities. (2) ""The wandlight sparkled on [Slughorn's] shiny pate, his prominent eyes, his enormous, silver, walruslike mustache ..."" - Again with the animal descriptors. (3) Gwenog Jones must be the Welshest name ever. - 17% Harry and Ginny be like, ""I shouldn't have been so happy about that hug."" (1) Two weeks since last book and Hermione's already at the Burrow when Harry arrives? Poor Hermione's parents. (2) ""Hermione flashed a warning look at Ron, and Ron changed tack at top speed."" - Already giving each other married couple signals. (3) Hermione: ""I know I failed everything!"" - 20% (1) Fred to Ginny: ""Moving through boyfriends a bit fast, aren't you?"" - Well, one per year's not so fast. Though, compared to the other Weasleys, I suppose. (2) '""Our Decoy Detonators are just walking off the shelves, look,"" said Fred, pointing at a number of weird-looking black hooter-type objects.' - I presume ""hooter"" means something different in British English. - 23% (1) '""She has let 'erself go, zat Tonks,"" Fleur mused.' - Sounds like Fleur's finally cottoned onto Molly and Ginny's cunning plan to get Bill to dump her for Tonks. (2) In the books, Luna's Spectrespecs are a kind of snake oil novelty. In the film they actually work! Film Luna is treated as more of an eccentric than the books, where she's sort of a lovable gullible. - 26% Ginny be like: ""Get a room you two."" (1) It's a mark of Ron and Hermione's closeness that she's comfortable enough to hit him repeatedly with a book, and he's comfortable enough to let her. (2) Nearly Headless Nick: ""I would rather die than betray [Harry's] trust."" Ron: ""That's not saying much, seeing as you're already dead."" - Ron again with the common sense. - 29% Finally! Book-accurate bushy hair! (1) Snape: ""We are practicing nonverbal spells, Potter."" Harry: ""Yes."" Snape: ""Yes, sir."" Harry: ""There's no need to call me 'sir,' Professor."" - New levels of reckless sass. (2) Harry smells something flowery in the love potion. Just 10 pages later, Harry smells something flowery and turns to see Ginny. - Not exactly subtle. - 33% (1) The House of Gaunt has a very Craster's Keep vibe to it. (2) Merope seems right out of a Jane Austen novel. (3) Dumbledore: ""The Gaunts [were] noted for a vein of instability and violence that flourished through the generations due to their habit of marrying their own cousins."" - Not so different than European royals, then... and a fair bit better than Egyptians. - 36% (1) Ron gets attention from Lavender, Hermione gives him the cold shoulder. Hermione congratulates Ron, Lavender walks off grumpy. Meanwhile, Ron's totally oblivious. (2) Harry: ""But wasn't that dishonest, Hermione? I mean, you're a prefect, aren't you?"" - Hermione gets a taste of her own medicine here, seeing as she says this to Ron all the time, albeit less polite. - 39% Callback/Mirroring: You've got something on your face. (1) Harry: ""The Prince had proved a much more effective teacher than Snape so far."" - Oh the irony. (2) Hermione: ""Ron, what are you staring at?"" Ron: ""Nothing."" Hermione: ""I expect 'nothing's' in the back getting more firewhisky."" - Ron crushing on Madam Rosmerta and Hermione being jealous never gets old. - 42% (1) Wonder if Caractacus Burke was named after the Briton chieftain or the dad from Chitty-Chitty-Bang-Bang? (2) Orphanage matron: ""He was to be named Tom, for his father, and Marvolo, for her father — yes, I know, funny name, isn't it? We wondered whether she came from a circus."" - Hmm... The Great Marvolo! (3) Young Voldemort owning a harmonica is just plain funny. - 44% (1) Harry: ""What if Ron and Hermione started going out together, then split up? Could their friendship survive it?"" - Depends how much they enjoy bickering... it's kind of their thing. (2) ""What if they didn't split up? What if ... it became excruciatingly embarrassing to be in their presence, so that he was shut out for good?"" - Classic third-wheel talk right there. - 46% (1) Harry: ""Ginny, don't call Ron a prat, you're not the Captain of this team."" Ginny: ""Well, you seemed too busy to call him a prat."" - Can't fault the logic. (2) Ginny teases Ron for ""never snogg[ing] anyone in his life."" She also tells Ron ""Hermione snogged Viktor Krum."" Enraged and shamed, Ron snogs stalkerish Lavender Brown. Ergo, Ginny's to blame for that mess. - 48% Ron makes Hermione cry on stairs a lot. (1) Ron: ""She can't complain ... She snogged Krum. So she's found out someone wants to snog me too ... I haven't done anything wrong."" - Ron's not wrong, but misses the point. (2) Hermione: ""He's at perfect liberty to kiss whomever he likes ... I really couldn't care less."" - She sure talks about it a lot for not caring. - 49% (1) '""Are you going out with [Cormac], then?"" asked Parvati, wide-eyed. ""Oh — yes — didn't you know?"" said Hermione, with a most un-Hermione-ish giggle.' - I doubt there's even a Hermione-ish giggle. Mostly she blushes. (2) Harry: ""Serves you right for coming with [Cormac]."" Hermione: ""I thought he'd annoy Ron most."" - I expect no less from a jealousy-fueled romance. - 51% (1) ""Harry ... was still trying not to think about Ginny any more than he could help, despite the fact that she kept cropping up in his dreams in ways that made him devoutly thankful that Ron could not perform Legilimency."" - Hopefully those dreams aren't Voldemort's doing. (2) ""Harry was left to ponder in silence the depths to which girls would sink to get revenge."" - 53% Harry and Ginny be like: Not cool bro! (1) Kreacher gifts Harry a box of maggots. Not useful, but it's the thought that counts. (2) '""Harry, you've got a maggot in your hair,' said Ginny cheerfully, leaning across the table to pick it out; Harry felt goose bumps erupt up his neck that had nothing to do with the maggot.' - Most romantic maggot scene in fiction? - 56% (1) ""Abstinence"" is the new common room password. Sneaky, having students recite it repeatedly. (2) Harry: ""Hermione, can't you [make up with Ron]?"" Hermione: ""No, I can't... So don't even ask."" - Can't or won't? (3) ""The contents proved difficult to empty into the Pensieve, as though they had congealed slightly; did memories go bad?"" - Eh, only the regrettable ones. - 58% (1) Hermione: ""Oh, well, if Won-Won thinks that, you'd better do it ... After all, when has Won-Won's judgment ever been faulty?"" - It's contagious! Now Hermione's saying ""Won-Won."" Sarcasm, yes, but ""Won-Won"" regardless. (2) ""Friends they might be, but if Ron started calling Lavender 'Lav-Lav,' [Harry] would have to put his foot down."" - The buck stops at ""Lav-Lav""! - 60% Poor Lavender :( (1) Hermione: ""Golpalott's Third Law states that the antidote for a blended poison will be equal to more than the sum of the antidotes for each of the separate components."" - That makes no sense! How can something be equal to more than a sum? It would just be greater than it! (2) The gif never happens in the book, but it's my favorite scene :) - 62% (1) ""[Harry] was now being dogged wherever he went by Cormac McLaggen and Lavender Brown. He could not decide which of them was more annoying."" - I vote Lavender. (2) ""Harry's imagination zoomed into overdrive ... Ginny, weeping over his lifeless form, confessed her feelings of deep attraction to him while Ron gave them his blessing."" - Pretty passive ambition there. - 64% (1) Lavender: ""Is Hermione Granger still visiting [Ron]?"" Harry: ""Yeah, I think so. Well, they're friends, aren't they?"" Lavender: ""Friends, don't make me laugh ... She didn't talk to him for weeks after he started going out with me! But I suppose she wants to make up with him now he's all interesting."" - Now we know what Lavender looks for in a partner. Interesting. - 68% (1) Lavender to Ron: ""Why didn't you tell me you were getting out today? And why was she with you?"" - I suppose a condition of being Lavender's boyfriend is having to cut loose all your female friends. (2) Voldemort: ""You are omniscient as ever, Dumbledore."" Dumbledore: ""Oh no, merely friendly with the local barmen."" - That's some stealthy foreshadowing there. - 71% (1) Ron: ""I love you, Hermione."" Hermione: ""Don't let Lavender hear you saying that."" Ron: ""I won't ... Or maybe I will ... then she'll ditch me."" - Essentially, that's what happened in the film. (2) The Imperius Curse = Temporary insanity defense. (3) Harry supposes Tonks was in love with Sirius, which no one thinks is weird. Wizard views on incest are oddly casual. - 73% (1) Ron: ""Quick, hide me!"" Hermione: ""It isn't Lavender!"" - If it were Lavender, I think hiding behind Hermione would make things much worse. (2) Harry hesitates to use his vial of Felix Felicis, having saved it to break up Ginny and Dean. Luckily, that happened as a side effect of his Slughorn mission. So, bonus points. - Incidentally, Harry's low-key a homewrecker. - 75% (1) '""What were you doing up there with her?"" shrieked Lavender Brown, staring right through Harry at Ron and Hermione emerging together from the boys' dormitories.' - Lavender's suspicions confirmed! - Lucky all around... except Lavender. (2) Slughorn: ""Had a house-elf taste every bottle after what happened to your poor friend Rupert."" - I see what she did there :) - 78% (1) '""You have [uncommon skill and power],"" said Dumbledore firmly. ""You have a power that Voldemort has never had. You can —"" ""I know!"" said Harry impatiently. ""I can love!"" It was only with difficulty that he stopped himself adding, ""Big deal!"".' - I had the same reaction as Harry to the ending of ""The Fifth Element."" ""Really? Love is the greatest power there is?"" - 82% (1) Flitwick: ""A little less talk, a little more action."" - Wasn't that an Elvis song? No, wait, that was ""A Little Less Conversation."" (2) Harry's mind: ""She's Ron's sister. But she's ditched Dean! She's still Ron's sister. I'm his best mate! That'll make it worse. If I talked to him first — He'd hit you. What if I don't care? He's your best mate!"" - Ron, Ron, Ron. - 85% (1) Ginny: ""All Romilda Vane does is ask me if it's true you've got a hippogriff tattooed across your chest ... I told her it's a Hungarian Horntail ... Much more macho."" - Harry's already kinda got a lightning bolt tattoo, and on his face too! I'd guess that's be even more macho. (2) ""Rage and resentment fought shock and excitement."" - Fight it! Angst was so Book 5. - 86% (1) Perhaps Harry's grown too used to magic. He's fine charging headlong into danger, but a short swim in cold water totally freaks him out. Who is he? Film-Ron? (2) ""Harry had long since learned that bangs and smoke were more often the marks of ineptitude than expertise."" - I wonder if he's referring to Seamus, who's gimmick is he often accidentally blows things up? - 87% (1) How is Harry shocked that blood magic is a thing? Voldemort was revived by his blood! (2) Dumbldore: ""You are underage and unqualified. Voldemort would never have expected a sixteen-year-old to reach this place: I think it unlikely that your powers will register compared to mine."" - So... Harry should be glad the alarm can't detect his negligible amount of magic. - 88% (1) Harry needs blood to open the archway. Luckily, he was already cut whilst fighting Inferi. Even zombies have a silver lining. (2) '""It's going to be all right, sir,"" Harry said over and over again ... ""Don't worry..."" ""I am not worried, Harry,"" said Dumbledore, his voice a little stronger despite the freezing water. ""I am with you.""' - Hits me right in the feels. *character limit",5.0,positive,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
"(A) 86% | Extraordinary Notes: It dwells on the delightfully mundane aspects of the magical world, and adds new dimensions to familiar characters.",5.0,positive,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
i dont want to talk to anyone dont even look at me i was expecting it and i still cried for like 30 minutes,5.0,positive,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
"2023: Jak co reread, to mój ulubieniec. 2021: Wiedziałam czego się spodziewać, a zakończenie i tak złamało mi serce.",5.0,positive,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
"""5. Should you feel that a family member, colleague, friend, or neighbor is acting in a strange manner, contact the Magical Law Enforcement Squad at once. They may have been put under the Imperius Curse."" Time for interesting little subplots is over. We've arrived finally, where everything is closely tied to the core of the story and progressing fast. It's always delightful to see, everything that was great about the series still remains the same, if not better. However, disappointments, sorrow and hardships are what the reader is going to encounter for the most part. As I finished reading Half-Blood Prince, more than ever before, I feel being trapped in a hopeless situation filled with nothing but forebodings. ""Destination...determination...deliberation..."" One would imagine, we're beyond being accommodated with new characters, but the author will quickly convince you otherwise, and introduction of new and interesting characters continues. It's great to see how Rowling keeps outperforming herself with each new book . Harry's ill-tempered nature and suspicions does not end with the last book as I hoped it would, but the results are quite the opposite this time around. Honestly, I did not anticipate the way how things turned out right till the last three chapters. ""To friendship! To generosity! To ten Galleons a hair! We've been somewhat used to happy ending in the first four books (relatively) with 5th being a bit disappointing but this one, it was the most depressing ending for me yet. It probably comes down to reinforcing the suspense toward the final book but, it's a difficult place to be in - especially if you had to wait for a year.. ""Eet 'as been too long!""",5.0,positive,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
"I'm not sure why, but this one took me completely by surprise. I was expecting this installment to be mainly filler to get us to the Deathly Hallows, but so much happened here that I must have forgotten from the movie. The Half-Blood prince was considerably darker than the previous 5 books, and I just adore how this series has progressed and grown just like most of its readers have. Obviously I knew what the big reveal was prior to finishing the book due to my viewing the films before, but it didn't take away from the experience the novel had to offer. I have this nervous lump in my throat knowing that the next book is the final one, but am simultaneously excited to finally read what the films surely have left out surrounding the conclusion of the series.",5.0,positive,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
"“I am a wizard, not a baboon or a transphobe.” - Not JKR because Black trans lives matter.",,,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
"Welcome to my re-read of the phenomenal series “Harry Potter”. 🤓⚡️I'm reading the books, listening to a fun (adult) podcast and watching the movies. ❤️📚🎧🎬 ⚠️This review contains spoilers⚠️ If you don’t yet know: *why the elf made wine is the one to try tonight *why the dragons blood is a bit dusty *why Hermione’s confiscating fanged frisbees from 4th years *why the mouth organ was always just a mouth organ *why we hide sherry bottles *why it is our mercy that matters now *why we’re reaching into the lake for water ——-Then proceed with extreme caution!——- Spoiler Credit: Podcast: Binge Mode (listen on Spotify) Personal Opinion Note: I’m terribly sad for you, if you’ve never read the books (or at least watched the movies). 😉📚🎧🎬 You really should jump on the Hogwarts Express with me! I’ll be making notes of my favorite part of each chapter/podcast as I finish. 📚Chapter 1: The Other Minister Fudges resignation. 📚Chapter 2: Spinner’s End Draco’s mother begging Snape to protect him. 🎧Podcast: Binge Mode: Chapters 1-2 ***Warning: Binge Mode contains adult content*** Snape insights and how he embeds himself in Voldemort's camp. 📚Chapter 3: Will and Won't Dumbledore calling out the Dursley's on their treatment of Harry throughout his life. 📚Chapter 4: Horace Slughorn Dumbledore admitting that it was cruel for Harry and Sirius to have such little time together. 📚Chapter 5: An Excess of Phlegm Ginny's expressed dislike of Fleur. 📚Chapter 6: Draco's Detour Fred and George’s shop lighting up the street in Diagon Alley and their joke about ‘you know who, versus you know poo’ and Mrs. Weasley being worried they’ll be murdered in their beds. 📚Chapter 7: The Slug Club Groups of girls asking Harry to join him in their compartment on the train and Harry declining saying he'll sit with his friends (Luna and Neville). 🎧Podcast: Binge Mode: Chapters 3-7 ***Warning: Binge Mode contains adult content*** The history of the Hogwarts Express. 📚Chapter 8: Snape Victorious Hagrid’s waving at Harry from the head table, with McGonagall shaking her head at his unprofessionalism. 📚Chapter 9: The Half-Blood Prince Harry’s perfect potion and Hermione’s reaction. 📚Chapter 10: The House of Gaunt Dumbledore’s slowly opening the curtain, for Harry to better understand, Voldemort’s past, present and future. 📚Chapter 11: Hermione’s Helping Hand Harry’s calling out Hermione on spelling McLaggen to miss a goal at keeper tryouts, pointing out that it was dishonest of a prefect to do. 🎧Podcast: Binge Mode: Chapters 8-11 ***Warning: Binge Mode contains adult content*** The Ginny/Harry foreshadowing. Also, the added insights into the Gaunt family (Slytherin descendants). 📚Chapter 12: Silver and Opals Harry’s relentless insistence that Malfoy is a death eater. 📚Chapter 13: The Secret Riddle Harry’s not shy about asking Dumbledore the hard questions. 📚Chapter 14: Felix Felicis This is the point where Harry really starts to recognize his real feelings for Ginny. But it’s also the angst of Hermione’s true feelings about Ron. Ahhhh… teenage hearts and jealousy. 📚Chapter 15: The Unbreakable Vow I love that Harry chose Luna to go to the party with him. 🎧Podcast: Binge Mode: Chapters 12-15 ***Warning: Binge Mode contains adult content*** History and process of potion making and the hilarious jokes about Ron being a virgin. 📚Chapter 16: A Very Frosty Christmas Mrs. Weasley continually turning up the volume on the radio over Fleur. 📚Chapter 17: A Sluggish Memory Whawn whawn… and the pensive Voldemort bits. 📚Chapter 18: Birthday Surprises Harry honestly asking Slughorn about horcruxes and admitting that Dumbledore shared his memory. 📚Chapter 19: Elf Tails Ron recovering in hospital saying Hermione’s name. 🎧Podcast: Binge Mode: Chapters 16-19 ***Warning: Binge Mode contains adult content*** Jason’s impression of Fleur commenting on Mrs. Weasley’s music had me rolling. 📚Chapter 20: Lord Voldemort’s Request Back into the pensive... Dumbledore refusing to hire Voldemort for the Defense Against the Dark Arts post. 📚Chapter 21: The Unknowable Room Harry scaring Goyle as he was guarding the room of requirement disguised as a girl. 📚Chapter 22: After the Burial Harry getting Slughorn and Hagrid trashed at the funeral. 📚Chapter 23: Horcruxes Diving into the pensive to finally see Slughorn communicate with Tom. 🎧Podcast: Binge Mode: Chapters 20-23 ***Warning: Binge Mode contains adult content*** All of the insights into horcruxes. 📚Chapter 24: Sectumsempra Finally! Harry and Ginny!! Harry and Ginny!! 📚Chapter 25: The Seer Overheard Trelawney trying to hide her booze. 📚Chapter 26: The Cave Man, this chapter was rough- but that last sentence uttered my Dumbledore- “I am not worried Harry, I am with you.” 🎧Podcast: Binge Mode: Chapters 24-26 ***Warning: Binge Mode contains adult content*** Dumbledore’s history and his passing of torch to Harry. 📚Chapter 27: The Lightning-Struck Tower Dumbledore’s belief that Malfoy would choose the right side, all the way to his end. 📚Chapter 28: Flight of the Prince Shapes refusal to kill or fight Harry. 🎧Podcast: Binge Mode: Chapters 27-28 ***Warning: Binge Mode contains adult content*** Cry fest episode… all heart wrenching. 📚Chapter 29: The Phoenix Lament Fleur and Mrs Weasley’s bonding over Bill. 📚Chapter 30: The White Tomb Harry loving Ginny enough to let her go. Plus, Ron and Hermione’s unwavering friendship. 🎧Podcast: Binge Mode: Chapters 29-30 ***Warning: Binge Mode contains adult content*** All about Dumbledore… my heart aches. 🎬Movie #6 I have a hard time with all the liberties taken in the film adaption- but the casting of Lavender and Luna is really great. 🎧Podcast: Binge Mode: Movie ***Warning: Binge Mode contains adult content*** They put into words all the things I felt about the movie adaptation. So, spot, on. This concludes my re-reading/listening/watching of Harry Potter and the Half Blood Prince. I’m sad that I’m so close to the end now. It’s been such an amazing adventure.",5.0,positive,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
"I’m yet to mention one of the most important characters in this series in a review. I’m, of course, talking about Severus Snape. Severus, the unsung hero. Severus, who sacrificed his own soul. Severus, who loved another more than life itself. Severus, the half-blood prince- the truth about his character was, and will likely always be, one of the most surprising twists I’ve ever read in fiction. The set up is all in this book.",5.0,positive,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
"I was first introduced to Harry Potter in a Children’s Lit class in college. I had resisted this popular phenomenon until I was forced to pick it up for a grade, and Book 1 was short enough that I could read it in the course of 2 hours. I have to admit I wasn’t impressed to any extent, nor did I dislike the experience, but I was critical on grounds of its being derivative, even if reading the first led to reading the second. After all, if I was bored and looking for something light, I could do worse than a fantasy about a child wizard who fights evil with his friends. But it was really the third book, with its increasing darkness, that took me in and made me a fan. With a movie coming out for Order of Phoenix and Deathly Hallows on the horizon, I decided I would reread Half-Blood Prince. I figured it would take four sittings, of course, with its 600 pages, but time does fly when reading this one, and I’ve come to the conclusion that this is my favorite so far. What I wouldn’t have been willing to admit in college that I’m perfectly comfortable saying now is that J.K. Rowling is a fantastic storyteller; she writes with great clarity, wit, and humor; and she’s created a cast of loveable characters with whom most people, due to the common experience of growing up, can relate closely. That said, the reason for my preference for the 6th book is that it’s the most emotionally rich in the series. Here we get the backstory of Voldemort (*spoiler alert*) through a series of flashbacks (coming in HP by way of magically extracted memories), and in this way, we come to understand the villain’s similarities and differences with our hero. After all, the villain has to have reasons for committing heinous acts, and until now, we don’t know what these are. Voldemort is from a once-powerful wizard family reduced to poverty that lives in a dilapidated hovel on the edge of a small town, wary of outsiders, and their main point of pride is their pure blood, the lineage having cross-bred for generations so as not to pollute the line. Voldemort’s mother lives with her father and brother and yearns for the love of a nonmagical man (“muggle” in this world) and when her father and brother are arrested, she uses the opportunity to bewitch her beloved and run off. She ends up pregnant, the man deserts her, and she dies while giving birth to her half-wizard, half-muggle son, thus making him an orphan (like Harry). (Faulkner anyone?) But whereas Harry comes to Hogwarts and befriends Ron and Hermione creating unity and strength through positive emotions, Voldemort, when growing in the orphanage shuns other children, torturing them at times (without the awareness of adults) and stealing their possessions. What fuels him is his hatred of his beginnings, his mother’s weakness at having died like a common person despite being a witch, and the “muggle” blood inherited from his father. Over the course of his time at Hogwarts, Voldemort, charming as only evil can be, learns to win over people as a means to an end and disguise his insidious purposes, but he never befriends anyone. He moves, through his hatred, further away from many of the emotions that drive Harry, namely the desire to protect the people he loves and avenge his parents’ death. With Dumbledore’s help in exploring Voldemort’s past, Harry begins to understand that he’s come to be where he is through the choices he’s made, that his greatest strengths are an alliance with his friends, and that this might hold the key to destroying his enemy, a fact that’s made all the more poignant when Dumbledore, in an all-out assault on Hogwarts by Voldemort’s Death Eaters, is killed at the end. The stakes are higher than before, the action and pace increase as the conclusion draws near, and things are looking darker than ever, which is the setup that any fan wants when the end is looming and it leaves us with the question: How will our hero prevail?",5.0,positive,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",1
