review,rating,sentiment,book_title,book_id
"(A) 86% | Extraordinary Notes: An angsty apprehension, it's a tome of teacher torment, misbelief, new girlfriend grief, and dread no longer dormant. *Check out progress updates for detailed commentary: Progress updates: - Preamble (1) You can tell things have gotten dark from the title sequence. No longer shiny metal against still skies. Now it's rusty, pitted metal against billowing clouds. (2) Prior to my current re-read of the series, this was my favorite. Before that it was ""Half-Blood Prince."" Wonder if it'll keep its position or if I'll have a new favorite this time. - 4% (1) Harry: ""Why had Ron and Hermione got together without inviting him along, too?"" - Oh, I can think of a few reasons... (2) Harry openly insulting his aunt and uncle and picking a fight with Dudley? This isn’t the Harry I know! (3) Super-angsty to start. ""No one understands me, no one tells me anything""... Someone’s been listening to Radiohead. - 6% (1) If you’re a wizard, don’t give your kids the initials AF, they’ll likely be a squib: Arabella Figg, Argus Filch. - Mrs. Figg's cat keeps tabs on Harry. Wonder if it's magic? (2) Petunia: ""I heard — that awful boy — telling her about [dementors] — years ago."" Harry: ""If you mean my mum and dad, why don’t you use their names?"" - She means Snape. - 8% (1) ""Mundungus Fletcher"" is maybe Rowling's most expressive name, alluding to the words ""fungus,"" ""dung,"" and ""retch."" (2) Rowling loves adverbs. ""Stupidly"" is perhaps the most overused. (3) Lupin: ""And this is Nymphadora —"" Tonks: ""Don’t call me Nymphadora ... It’s Tonks."" - She does take his name when they're wed. Can't be that insistent on it. - 9% (1) Tonks: ""Are you mad, Mad-Eye?"" - Well, it's in the name. Though it could just be the eye that's mad. (2) House elf heads line the hallway of Sirius' place. Awfully macabre... though muggle taxidermy is common, so is placing urns on mantles. (3) Ron and Hermione spend the summer mostly alone in bedrooms together... wonder what they do all day? - 11% (1) Who knew Percy would be the Weasley black sheep? (2) Bill leaves Egypt for a desk job in London just to be close to Fleur. Some might call that romantic... others might call it stalking. (3) Molly: ""Who’s left all those Dungbombs outside the kitchen door?"" Also Molly: ""Ginny, your hands are filthy, what have you been doing?"" - I mean, put two and two together. - 12% (1) '""Arthur!"" said Mrs. Weasley, rounding on her husband. ""Arthur, back me up!""' - Is it really backing up a point if it's by coercion? and in front of everyone at that? (2) ""[Harry] had been touched by what [Mrs. Weasley] had said about his being as good as a son, but he was also impatient at her mollycoddling."" - Wonder if ""mollycoddling"" is why she's named Molly? - 14% (1) '""Size is no guarantee of power,"" said George. ""Look at Ginny."" ""What d’you mean?"" said Harry. ""You’ve never been on the receiving end of one of her Bat-Bogey Hexes, have you?""' - Married life will fix that. (2) ""Mrs. Weasley, Hermione, Ginny, Fred, and George ... [looked] rather peculiar, as they had tied cloths over their noses and mouths."" - Life imitates art. - 19% (1) ""Mrs. Weasley ... started fussing with [Harry's] T-shirt, tucking in the label and smoothing out creases across the shoulders. He wished she wouldn’t."" - Get used to having a mom. (2) The Ministry has jurisdiction over Britain and Ireland. Huh, must not have split when Ireland left the union. (3) ""a heavy locket that none of them could open."" - Hmmm, curious... - 20% (1) ""Albus Percival Wulfric Brian Dumbledore."" - In other words: Latin, Old-French, Anglo-Saxon, Irish, Old-English. (2) Molly: ""I don’t believe it! Oh, Ron, how wonderful! A prefect! That's everyone in the family!"" George: ""What are Fred and I, next-door neighbors?"" - Well, Harry was facing expulsion. Between Ron, Neville, Dean, and Seamus, Ron's the clear choice. - 22% (1) '""Mrs. Weasley had hung a scarlet banner ...Congratulations Ron and Hermione — New Prefects.""' - Cut out the ""New Prefects"" bit and you could reuse that banner. - It's always ""Ron and Hermione,"" like they're a music act or a comedy duo. (2) ""Harry’s mood suddenly lifted. His father had not been a prefect either."" - It nearly always boils down to daddy issues. - 23% (1) Considering the amount of time prefects spend together, it's no wonder so many end up as couples. (2) ""[Harry] would have liked Cho to discover him sitting with a group of very cool people ... he would not have chosen to be sitting with Neville and Loony Lovegood, clutching a toad and dripping in Stinksap."" - Ginny's also there, but Harry's as yet blind to her. - 24% (1) '""Tell me, how does it feel being second-best to Weasley, Potter?"" he asked. ""Shut up, Malfoy,"" said Hermione sharply.' - More Ron/Hermione mirroring. Until now, it's always been Ron who's defended Hermione's honor against Malfoy's jibes. Here it's the other way around. (2) With Delores Umbridge, it'd be far more fitting for her initials to be FU instead of DU. - 25% One of these things is not like the other. (1) Students find it odd that Umbridge wears a pink cardigan. Not so much because it’s ugly, but mainly because it’s muggle attire. You know who else wears muggle clothes? Fudge. Umbridge is an insincere flatterer who does, or wears, anything to get to the top. A simple pink cardigan can say a lot about personality. - 27% (1) ""Harry was too used to [Ron and Hermione's] bickering to bother trying to reconcile them; he felt it was a better use of his time to eat his ... steak-and-kidney pie."" - Smart. He's got his priorities straight. (2) Harry: ""[Umbridge's speech] sounded like a load of waffle to me."" Hermione: ""There was some important stuff hidden in the waffle."" - Mmm... waffles. - 28% (1) Hermione hates Lavender because she's anti-Harry. - She'll hate her even more when she's pro-Ron. (2) Ron and Hermione as prefects are like an old married couple. Hermione even bosses Ron around like Molly does with Arthur. (3) ""Cho was almost always surrounded by a gang of giggling girls."" - That gang sounds terrifying! - I always hated Cho. - 30% (1) ""Poisonous toadstools don’t change their spots,"" said Ron sagely. - It's a much sharper metaphor than leopards. - Ron's all about wizarding common sense. (2) Umbridge sings her responses to student queries. Though, Mary Poppins she's not. (3) '""Have a biscuit, Potter."" ""Have — what?"" ""Have a biscuit!"" [McGonagall] repeated impatiently.' - Take a biscuit, Harry! - 31% (1) Hermione: If you don’t stop doing it, I’m going to —"" Fred: ""Put us in detention?"" George: ""Make us write lines?"" Hermione: ""No ... but I will write to your mother."" - Ouch! She sure knows how to twist the knife. (2) Hermione knits woolly hats and hides them under rubbish, hoping to trick house elves into freedom as they clean. - I mean, that's just unethical. - 34% (1) Angelina's not an ideal Quidditch captain. When she's stressed she gets bossy, when she can't get her way she gets stressed, and so on. (2) Ron spots Harry's scarred hand and implores him to tell McGonagall or Dumbledore. - Yet another Ron scene given to Hermione in the film. (3) Knitting things no one wants is yet another trait Hermione has in common with Molly. - 35% (1) Ron makes the Quidditch team by process of elimination. Two people fared better at keeper tryouts, but Angelina found one whiny and the other unreliable. Thank goodness for that! (2) ""[Harry] walked on, feeling quietly elated ... [Cho] did not hate him for being alive!"" - Well, that's an awfully low bar. I'm fairly sure most people don't hate him for being alive. - 37% (1) O=Outstanding, E=Exceeds Expectations, A=Acceptable, P=Poor, D=Dreadful, T=Troll. - And people complain about my grading system... (2) Fred: ""Nothing wrong with a good, healthy P."" - I expect higher brow humor from the likes of Fred and George... puns are my thing. (3) Feel free to use my gifs. I post them on Imgur at: - 39% (1) '""But Sirius, this is taking an awful risk —"" Hermione began. ""You sound like Molly,” said Sirius.' - Hermione/Molly comparisons continue. (2) Hermione: ""You know, I was just saying to Ron when you came in... we’ve got to do something about [Umbridge]."" Ron: ""I suggested poison."" - Well, poison would certainly be effective. - Ron, always with the practical ideas. - 41% (1) Ron: ""You’re not still in contact with [Viktor], are you?"" Hermione: ""So what if I am? ... I can have a pen pal if I —"" Ron: ""He didn’t only want to be your pen pal."" - Ron knows what's up. (2) ""The barman ... [had] a great deal of long gray hair and beard. He was tall and thin and looked vaguely familiar to Harry."" - Hmm... who's tall and thin with a long beard? - 44% (1) Ginny starts dating Michael Corner, Ron hates Michael Corner... it's math. (2) Hermione: ""It says in Hogwarts, A History that the founders thought boys were less trustworthy than girls."" - On the whole, sure. Though a girl is the book's big turncoat. (3) Harry: ""Don’t worry, I’ll behave myself..."" - Moments after founding a clandestine outlaw combat guild. - 47% (1) In the book, The Room of Requirement is Dobby's idea, in the film it's Neville's. Same with gillyweed in ""Goblet of Fire."" - Ergo, film Neville is book Dobby. (2) Hermione: ""I think we ought to elect a leader."" Cho: ""Harry’s leader."" Hermione: ""Yes, but I think we ought to vote on it properly ... It makes it formal."" - I don't know... the vote seems rigged to me. - 51% (1) '""Good luck, Ron,"" said Hermione, standing on tiptoe and kissing him on the cheek ... He touched the spot on his face where Hermione had kissed him, looking puzzled, as though he was not quite sure what had just happened.' - Ron had the same reaction with Fleur, except Hermione doesn't have veela powers. (2) ""Weasley is Our King"" is a hit song. Everyone sings it. - 52% (1) ""Hermione was going skiing with her parents, something that greatly amused Ron, who had never before heard of Muggles strapping narrow strips of wood to their feet to slide down mountains."" - My feeling exactly! But then, I'm from the tropics. (2) Dobby: ""HAVE A VERY HARRY CHRISTMAS!"" - ""Harry"" as an adjective means to harass. So, I suppose I'll take it as a pun. - 54% (1) '""Mistletoe,"" said Luna dreamily, pointing ... over Harry’s head. He jumped out from under it. ""Good thinking ... It’s often infested with nargles.""' - I'd ship Harry and Luna. (2) Ron: ""What does she see in Krum?"" Harry: ""I suppose he’s older, isn’t he ... and he’s an international Quidditch player."" Ron: ""Yeah, but apart from that."" - Ron's too obvious sometimes. - 58% (1) Harry: ""Are they doctors?"" Ron: ""Doctors? ... Those Muggle nutters that cut people up?"" - Ron's descriptions of the Muggle world never ceases to be a treat. (2) Arthur: ""I was just reading about Willy Widdershins’s arrest ... You know Willy turned out to be behind those regurgitating toilets last summer?"" - Well, that's a loose end I never expected to be tied up. - 62% (1) Arthur: ""Well, I don’t know whether you know what — what stitches are?"" Molly: ""It sounds as though you’ve been trying to sew your skin back together ... but even you, Arthur, wouldn’t be that stupid —"" - I guess Ron takes after his mother. (2) ""Harry was sure he saw Neville slip the wrapper into his pocket."" - One of the most poignant lines in the entire series. - 63% (1) Hermione gets Harry and Ron homework planners for Christmas, which is kind of like gifting someone a diet book... it sends a message. (2) '""I want you to take this,"" [Sirius] said quietly, thrusting a badly wrapped package roughly the size of a paperback book into Harry’s hands. ""What is it?"" Harry asked.' - It's Chekhov's Gun... uh, Chekhov's book-sized package. - 66% (1) Neville should have been the one to kill Bellatrix. Would have been justice for torturing his parents to insanity. (2) I figure with a name like Madame Puddifoot, your career options are rather limited. Either be the proprietor of a girly tea house or a shop for comfortable women's shoes. (3) Seems like Hermione withholds information from Ron just to see him beg. - 68% (1) '""Women!"" [Harry] muttered angrily.' - Well, that's what you get for dating your student. (2) ""Rita sat up straight again, her eyebrows raised, and drained her glass of firewhisky."" - Teatime's a bit early for firewhiskey. (3) Hermione: ""Harry, you’re worse than Ron... Well, no, you’re not."" - Ron, still champion of not being able to read girls' romantic signals. - 70% (1) Harry to Snape: ""Why do you call Voldemort the Dark Lord, I’ve only ever heard Death Eaters call him that."" - It's misdirection. Have the villains all do one thing and cast doubt on an ally by having him do the same. (2) Trelawny: ""You c-can’t sack me! I’ve b-been here sixteen years! H-Hogwarts is m-my h-home!"" Umbridge: ""It was your home."" - Cold-hearted. *character limit",5.0,positive,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
"Seriously, don't read this review if you haven't read the books. The biggest compliment I can think to give an 870 page book is that I wish it had been longer. I wish this had been longer. This book has always been my favorite in the series. Up until it, Harry’s story had been filled with light. Sure, there were some tough parts earlier on, and while it's true that some darkness crept into the ending of the previous installment, for the most part, that was a pretty happy book compared to this. Ron got over his jealousy, the school eventually got behind Harry as a Champion, and good still triumphed over evil. Our hero surmounted impossible odds in the Triwizard Tournament and then managed to escape Voldemort, yet again, and warn the wizarding world of his return. And then BAM! The beginning of this book hits you in the face. Where you expect Harry to be in the know, he’s in the dark, where you expect The Daily Prophet to be filled with stories about the ministry pursuing Voldemort, there’s only silence, where you expect excitement about returning to Hogwarts there is only frustration and angst. And you know what? You get it, you frigging get it, man. Because you were with Harry when he faced Voldemort and his Death Eaters alone, you stood beside him as the shades of his parents appeared from the tip of his enemy’s wand and helped save his life. And when he made it back to safety, you were just as dumbfounded as he was when the minister of magic refused to believe him, refused to believe Dumbledore. So how dare they? How dare they let him rot, alone, in a house full of people who hate and ridicule him, while the murderer of his parents begins to rebuild his army? How dare they feed him snippets like “We can’t tell you anything about what we’ve been doing, and we’ve been doing A LOT. But don’t worry, we’ll see you soon, we just can’t tell you when”? As if he hasn’t been through enough. If anyone has the right to know what’s going on, it’s Harry. Doesn’t anyone KNOW him like we do? Or do they just think that they know what’s best for him better than he does? And that’s part of the genius of this installment. This book grows up. Where the previous four could be labeled as children’s stories, this one cannot. There are so many hard lessons and difficult themes in this, ones that a child’s mind cannot fully grasp. Gone are the heroes, gone are the happy endings. This book teaches you that adults aren’t the perfect protectors you thought they were. Sirius isn’t infallible. James Potter isn’t infallible. Albus frigging Dumbledore isn’t infallible. None of them are. None of them are even fully good. And come to find out, those you thought were fully evil might not be either. This book introduces you to shades of grey, and each revelation seems to hit you harder than the last. Normally, I hate angst. This is mostly because I find the vast majority of what I see these days to be a sorry excuse to lengthen a story or a shoddy attempt to distract a reader from glaring issues. Trying to cover up weak characterization? Add some angst! Want to hide those holes in your plot? Add some angst! The only type of angst I can stand is believable angst. Rowling delivers on this. And that’s one of the many reasons that I love this book. There are a lot of other reasons, Fred and George’s badassery, Ginny Weasley finding her voice and becoming a character in her own right, the undiluted rage that coursed through my body every time I read a scene that included Delores Umbridge, the incredible courage and honesty of Hermione Granger, the loyalty of Ron Weasley, Neville Longbottom coming into his own, the failed Occlumency lessons (I WILL ALWAYS HATE SNAPE) and the way the entire school ended up doing exactly what the sorting hat suggested at the beginning of the year and banded together as one against the ministry’s interference. I even loved the ending. YES, I SAID IT! And do you know why? Because life isn’t sunshine and roses and you don’t always get to say goodbye to those you love. You don’t get the sense that Sirius’s death was a righteous one. You don’t get resolution. He didn’t make some grand sacrifice to save the lives of many others. He died taunting the bad guys, smiling at them, egging them on as though he was still that ego-inflated teenager you glimpsed through the pensieve. And then you find out that it was all for nothing. That there were so many ways that it could have been avoided. How do you deal with that? The best you can, I guess. So while I don’t necessarily ""enjoy"" this book as much as I do the others, it remains my favorite in the series for the reasons I listed above. | | | |",5.0,positive,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
"“Is it true that you shouted at Professor Umbridge?"" ""Yes."" ""You called her a liar?"" ""Yes."" ""You told her He Who Must Not Be Named is back?"" ""Yes."" ""Have a seat cause we bloody need to talk about trans lives."" I love Harry Potter as much as anyone, which is why I urge everyone who spends money on these books to also support the trans community. To say it with the author's words: “If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals.” Well. Here’s a list of organisations that support trans lives (feel free to reach out and recommend more). Every penny counts: because Black trans lives matter.",,,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
"Interview with JK Rowling... Stephen Fry: Can we settle an important question? JK Rowling: Yes. Stephen Fry: How do you pronounce your last name? JK Rowling: It is Row-ling. As in rolling pin. Stephen Fry: So if any of you hear someone pronounce her name “Rohw-ling”, you have my permission to hit them over the head with — not with Order of the Phoenix, that would be cruel. Something smaller, like a fridge.",5.0,positive,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
"(A) 86% | Extraordinary Notes: It's a transitional book, which holds back its potential, but it adds greatly to its mythos with excellent new characters.",5.0,positive,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
I had to re read it. I was in such a nostalgic mood.,5.0,positive,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
"I finished this book with tears in my eyes and laughter on my lips. Just wow, excellent book!",5.0,positive,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
Umbridge? More like Umbitch. That woman deserves to die. Painfully.,5.0,positive,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
"""Galloping gargoyles!"" ""Hang on. This Lord Voldything's back, you say."" When a book gets too long, there's always the risk of giving up halfway, or start skimming through parts. I think, The Order of Phoenix qualifies as long (the version I read had around a 1000 pages), but I wish it to be even longer. Only Rowling can do that. I didn't find one boring bit, or anything out of place. We are reaching a near-perfect level of writing here at the fifth of the series, which, in my opinion, is an excellent concoction of suspense, hope, triumph, disappointment, humor, anger, happiness, sadness and so many others. ""I've always wanted to try firewhisky -"" Right from the beginning, you'll find everything to be intriguing as always, with an excellent set of new characters being introduced. The main characters around Harry are of course the main focus, and the narration inherits a lot from how the teenage Harry views the world. Average emotional rollercoaster of a teenager blends in nicely with the main plot, and makes things more interesting. ""Ask us no questions and we'll tell you no lies,"" We've finally moved in to the core of the story, and an-action-packed story is being unfolded - full of dark times - with no more holding back. If it wasn't for Rowling's writing, this might've felt like one complex story, not to mention how unbearable it would've been with Umbrige, and also with Lestrange and Fudge closely behind. But everything's put in place perfectly, and even the annoying characters do their part really well. And the ending chapters - though disappointing - are the best and most dramatic in the series so far. This has been one amazing ride, while proving the 'Last-is-Best' still to be true. ""Youth cannot know how age thinks and feels. But old men are guilty if they forget what it was to be young...""",5.0,positive,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
"Despite this being the longest book in the series, I read it quicker than all the others. Here’s three things I really loved about it: 1. Harry and Sirius- they never had much time together but the time they did have really influenced Harry’s development, a few wise words from a sincere friend (or godfather) can go a real long way. And this scene was perhaps the most powerfully written in the series for me, we all know what happens next: 2. Dumbledore’s Army- Harry, Ron and Hermione have always taken matters into their own hands; they’ve never waited for someone to come along and save them. And here they have got so many great characters involved in their heroics, which leads me onto my next point. 3. Luna Lovegood- because the weird people are always the best people. Luna’s by far my favourite character because she is so completely herself in all her colourfulness; she’s often ignored, avoided and even ridiculed as a result but secretly she is brilliant. The world needs more Luna Lovegoods. I always thought she had far more chemistry with Harry than Ginny ever did.",5.0,positive,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2
