review,rating,sentiment,book_title,book_id
"all the ⭐ in the Universe (because, hell, why not? It only seems fair that way) Full review on my Blog: 🐺 If I am the only weirdo that reads the dedication at the beginning of a book and rates it too in her own head then okay, fine, weirdo I’ll be, but I have to start this review by saying this. Sarah J. Maas dedicated this book to her parents. It is one of the most beautiful dedications I’ve ever read at the beginning of a book. It says: “For my parents – who taught me to believe that girls can save the world.” How beautiful and inspirational and worth of all of our respect is this? Once upon a time, not too long ago, my life ended brutally. The cause of my abrupt death was simple: Throne of Glass series has ended; the final blow – Kingdom of Ash . Barely 5 chapters in and I was already crying. In that moment I realised that I had a storm of tears ahead of me and there was no way in hell I might elude it. It felt like I was about to be hit by it. And hard. AND GUESS WHAT. I was. This book was everything to me. I have never in my life declared that I might have a favourite book, simply because I haven’t found the one yet and I thought it won’t be fair for the rest of the great books out there. Now I am going to make a statement I’ve never made in my life: until further information, Kingdom of Ash by Sarah J. Maas is my favourite book ever. I cannot understand how, but this book just crept deep, into the core of my soul, ripped it apart, ruined my sense of life and left me aching both of devastating pain and of speechless joy. It felt complete and at ease with the Universe and I am grateful that there is a book that can destroy me but still find a way to mend me. Not even the best review I could ever come up with can cover all the awesomeness of this book. But I'll try. As good as I can. But keep in mind: everything I state here is not even half as good as the book itself. It’s like trying to explain colour to someone who’s never seen the light of the day. Hopeful, but utterly impossible. “(…) to have the power of eternity in the palm of your hand.” There was a line from this Romanian book I once read that says: the time run out of patience. When there might seem like there is an infinite amount of time that no one can take away from you, keep in mind that maybe the time itself decides when it might want to leave. In Kingdom of Ash, the time felt like its own god and indeed, it felt like it run out of patience. Everything felt desperate, hopeless. Nothing went according to any plan. There were no gods above, no demons below. There was nothing. And the characters and the action itself seemed to feel that too – the anarchy. They were rushed but reduced to silent fight. They were pressed and oppressed. They ran out of hope but still kept looking for it. It was devastating. Throughout and beyond. The world-building was still absolutely fabulous. Plus, the insides of an actual, super scary, dark war were a super addition. “Let’s make this fight worthy of a song.” In this book, the characters are the ones who make the action. They were the most important tool in the destruction of me. So, I don’t even have the faintest idea what to tell you about them. I can give my heart, soul, both kidneys, half a lung and one eye to protect them all. They are precious babies. My precious babies. I fell in love with all of those fantastic characters. Like truly in love. They made me ache all over and they made me feel part of their lives. I laughed and cried with them, I fought and won. I suffered and I loved. That is the most precious thing a book can soothe you with. To make you feel included. Hollow and whole. I wish I could say more about all this. I really do. But I can’t. It doesn’t feel complete. By this book, I am forever undone. “Once upon a time, in a land long since burned to ash, there lived a young princess who loved her kingdom.”",5.0,positive,"Kingdom of Ash (Throne of Glass, #7)",76715522
"Here is my updated shelf! Here's my big boxed set with poster. And below it is my shelf with the goodies! 11-1-18 Got my UK Edition with the beautiful art cards inside! If you want to see pictures of my wall art then just scroll all the way down past the other pictures. This is how much I love this series. Also, let it be known (that I'm crazy) that I have the hardback, audible, kindle, special paperback on its way and then ordered the complete hardback box set! Yeah! THIS. BOOK. WAS. EVERYTHING.... TO ME! I loved this last installment so much. All of the characters I love were in it. There was torture, sadness, war, happiness and so much more. I cried <-- I mean of course I did, that's what I do! I'm not giving out any spoilers, I just wanted to say it's perfect for me. I really wish it never came to an end but there are only certain things you can do in certain series without messing it up. At least, that's my take on it. I really have no words peeps. I'm going to leave it here because there are so many that are going to be talking about this, I really wish I had a real life friend that read books that I do so we could talk on the phone about it. Anyhoo, enjoy my pictures. I have some funko's I'm making slowly and changing the ones I have made. I am working on a couple of walls that I have dedicated to book art and my photography! I hated removing those book shelves but I'm loving my art. (Will do a wall and new bookshelf tour later on) This first pic is just a couple of things. Later on I will do the whole shelf tour when more things arrive and get made. My wall art of Aelin & Rowan And the beautiful, Manon! More to come my lovelies ... xoxo Mel ♥",5.0,positive,"Kingdom of Ash (Throne of Glass, #7)",76715522
"Rereading this was both an immense joy and a mistake. Everything hurts but I’m so happy right now. —————————————— I mean, I’d be happy to swear a blood-oath to Sarah J Maas. So many thoughts were running through my mind whilst I was reading this, but now that I have reached the ending of this book, I’m just a mess of tears and emotions and I don't know how to express how much it all means to me. I think I can safely say that this is my favourite book of all time. It was transcending. Sarah J Maas is a Dreamer, and I don’t think any book has fulfilled my dreamer’s heart as much as this book. It satisfied me to no end. All my hopes and dreams were placed in these characters and their world and for the cause they fought for. It hit me deep and it has carved itself into me and gratitude alone does not cover the feeling I have in my heart right now. You write and read stories and dream up better worlds, so you can find some hope in time’s of bleakness, to get by, to will yourself to live another day, and look towards a future that is better than what you’ve experienced and are living. Hope emanated throughout my course of reading these books and what I was left with. All of their lives intertwined so beautifully, kindness being repaid with infinite kindness and I was being taught over and over again that goodness outshines and outlives everything. And then the acknowledgements happened... I’m just done with my emotions getting trampled all over. I such an awesome time reading this with ! The support was needed. 😆😘 I’m going to go onto my mourning phase now, which’ll last for... let’s not even go there. —————————————— Pre-reading ramblings: WE HAVE AN EXTRACT! “I will find you.” 😶😭😭😭😭 RIP, folks! I can't believe this series is ending. These characters have absolutely become ingrained within me and every year these books were the ones I would look forward to the most. Sigh... my heart is already starting to hurt and I'm welling up. Fuck knows how I'll survive reading this. —————————————————— THE EDIT IS CLOSE TO A 1000 PAGES. I REPEAT: THE EDIT IS CLOSE TO A 1000 PAGES!!!!!! 😭😭😭 —————————————————— Title and blurb in one day? I feel spoiled. As for the title... I love it. But there's a sense of doom I can't shake off now. Ash? ASH?!!! I ain't gonna be able to make it. 😖 ------------------------------ THE FUCKIN SYNOPSIS!!!!!!!!!!!!!! MY EMOTIONS!",5.0,positive,"Kingdom of Ash (Throne of Glass, #7)",76715522
"“Once upon a time, in a land long since burned to ash, there lived a young princess who loved her kingdom …” I MADE IT!! And if I never hear a woman’s vagina described as her “heated silk” again, that will be just fine by me! Honestly, though, I have to give it to her: Maas showed a lot of restraint in this book. It was a good 350 pages before Rowan’s magical penis made an appearance 😬. Sorry, I just can't resist. Overall, I liked it enough to give it three stars. I mean, I read all of the bajillion pages, which is saying something. It's been a long ride. Emphasis on the long. I'm still perplexed as to why these books got so long in the end. has some really strong moments, but there's so much filler and repetition that you have to fight through the boring parts to get to them. This is, at most, a 500-page story, extended with long, slow stretches of the characters journeying from one place to another, and repetitive scenes of battle. Also: Chaol and Yrene are so dull. The first 100 pages and last 150 pages were the most gripping, for me. The conclusion is suitably dramatic though I'm amazed that everyone managed to survive and the beginning details the horrific torture Aelin suffers at the hands of Cairn-- it's not a book for the squeamish. The disgusting scenes of torture also become a little repetitive after a while, but it starts very tense. How will Aelin get out of this?? The answer is really quite satisfying, too. I do feel like this is a very long epilogue. There's battle scene after battle scene but not much of a plot. Dorian has an interesting part to play in this with his newfound abilities, which is one of the stronger aspects except the bit where he turns into a girl and, um, explores his new body *shudders* , but very little happens for an almost 1000-page novel . It's mostly about wrapping things up, tying up any loose ends and neatly establishing Aelin's awesomeness. The way each of the main characters has to be perfectly settled into a het pairing is a little forced, too, but oh well. Well, I'm glad I read it to the end, and I do feel a little sad that it's over. I've been reading these books for more than five years and I can't believe how much my own life has changed since I started. Maas might not be my favourite writer, but any author who can keep you reading for more than 4,000 pages must have something good going on. | | | |",3.0,neutral,"Kingdom of Ash (Throne of Glass, #7)",76715522
"Perfection. I am in awe and weeping, my remnants of a heart full. I was scared that this last book, through whatever course it took, might diminish my love for the whole series -- but gods, was I wrong. It was a thing of beauty, satisfying and heartbreaking in all the right ways. Bittersweet. I cried and sobbed, I gasped, I screamed, I smiled, I felt my heart beating out of my chest, I shivered, I swooned. I don't think I'll ever be able to write a proper review, but I still feel the need to highlight some elements that marked me (slightly spoilerish gibberish ahead). Fenrys & Aelin's silent language. Aelin not knowing what's real and what's not. Aedion hurting and being an ass because of it. Lysandra battling without stopping. Elide sprinting towards death for love. Ansel's soldiers. Aelin's scars. Rowan's vision. Dorian's lack of self-worth and perpetual need to sacrifice. Aelin crying when seeing her second love walk. Aelin realising little gifts pay off greatly. Aelin grinning and swaggering. Chaol running towards his King. Dorian thinking about Sorscha. Manon and the three Matrons. A Queen of Witches with a crown of stars. Aedion thinking about dying like his childhood heroes. Abraxos. The Little Folk. Petrah Blueblood. Gavin. Kaltain. Manon stopping herself from thinking about Dorian. The Thirteen, the Thirteen, the Thirteen. A tribute to the fallen. Dorian adoring his best friend's wife. Dorian as an uncle. The gods. Nameless is my price. Elena's soul. Mala's gift. The fall through worlds and the help received along the journey. A lion and his cub, together. Yrene Towers being amazing every step of the way. A queen defending the walls. Evangeline melting an old man's heart. Cousins finding one another, two faces of the same coin. A letter from a mother. The original trio and their incredible love for one another. A broken curse. Brothers by choice. Saying hello from time to time. A prince becoming a lord. A warrior becoming a lord. A field of blooming flowers. Looking forward to tomorrow. A better world. No, I'm not crying, you're crying. All these things above broke me in different ways, ripped me apart, some mending my heart back together. I am so in love with this story, so grateful for this fictional world and these characters, that I cannot quite believe it is over. It should be illegal to attach so deeply to imaginary beings, because it goddamn hurts when reality seeps in and they're no longer around you. My favorite series, without a doubt, one that I’ll cherish forever. Thank you, Sarah J. Maas, for sharing them with us. It has been a joy. P.S.: Shoutout to my faves -- Dorian and Manon, I love you to the moon and back. P.P.S: Where the hell is Nox?",5.0,positive,"Kingdom of Ash (Throne of Glass, #7)",76715522
"1.) ★★ 2.) ★★★★ .5) ★★★ 3.) ★★★★ 4.) ★★★★ 5.) ★★★★ 6.) ★★★★ [2024 reread] prepping to read soon [2018 first read] ★★★ (Thank you so much, , for this tour edition! I love you!) ♡ | | | | | 1.) ★★★★ 2.) ★★★ 3.) ★★★ 3.1) ★★★ 4) ★★★★ 1.) ★★★ 2.) ★★★ 3.) ★★★",,,"Kingdom of Ash (Throne of Glass, #7)",76715522
"I had impossibly high hopes for this book. I make no secret that this is my favourite book series. Yet somehow, every book just seemed to get better than the last. Could SJM possibly do it again. Yes, she can, and she did. Wow, what an epic finale. The book is a perfect length, though close to a thousand pages, not a single line is wasted. Every possible loose end is tied up. Every hint or hidden story leads to this masterpiece. The story is awesome. The character development and use are unreal. Every characters' moderation and reasoning is spot on. Every character has something to contribute. However, we still know who the hero of the series is. Action, adventure, suspense, and such intense emotion evoking writing. This could not have been done better. As mad as I was for having to wait an extra couple of years for this book to come out, it was worth the wait. I can not find a single negative thing to say about this book. Except the series is over. Though I think almost any surviving characters are good enough to have their own book (hint/begging). Aelin/Celaena is my favourite female character of all time. Strong, deadly, intelligent, and most of all, she ""will not yield."" I love that quote, and I honestly do not think it can be applied better to any other character. This is an awesome finale to the most awesome series after reading that all other games of thrones are secondary. ""The Queen that was promised"" delivers big time.",5.0,positive,"Kingdom of Ash (Throne of Glass, #7)",76715522
"rereading this series has been one of the better things to happen in 2020, tbh. __________________________ ‘once upon a time, in a land long since burned to ash, there lived a young princess who loved her kingdom very much…’ 5 special novellas, 7 powerful books, 10 beloved characters, 572 heavy chapters, and 4856 necessary pages have all lead up to this moment, the conclusion of one incredible story. aelin ashryver whitethorn galathynius, adarlans assassin, the kings champion, queen of terrasen, the queen who was promised, the queen who walked between worlds, the faeirie queen of the west, fireheart - it has been a pleasure and an honour to read your story. may you forever live in our hearts, always inspiring us. <3 ↠ 5 stars",5.0,positive,"Kingdom of Ash (Throne of Glass, #7)",76715522
"I tried to write something longer but I believe that only one word is enough so: - To this series which made me dream and live in a world of magic, friendship, love and sacrifices - To Dorian, Aelin, Chaol, Manon, Rowan and every single character that made me laugh, cry and fangirl feel with them - To everything Sarah J. Mass has done for us, no matter how frustrating it turned out to be or how we didn’t agree sometimes with it THANK YOU to this series which will stay forever in my heart <3 I'm going to miss you guys",5.0,positive,"Kingdom of Ash (Throne of Glass, #7)",76715522
"Wow. NEVER have I cried like this while reading a book. Such a testament to how SJM brings her characters to life and how connected I became to them. This entire series was an amazing tribute to the kinds of love that exist beyond romantic love (but it also gave me exactly what I needed in terms of romance and for that I am thankful.) I am genuinely devastated to be done this series. Though nothing could ever fill the ACOTAR shaped hole in my heart, I now have a TOG shaped hole to match",5.0,positive,"Kingdom of Ash (Throne of Glass, #7)",76715522
