review,rating,sentiment,book_title,book_id
"(I'd recommend reading Jan's review ( ), because it gets at a lot of the stuff I had an issue with in this book.) [plot spoilers] I had misgivings going into this, because its premise is 'one fierce woman in the 1960s uses her cooking show to teach the housewives of America what they're worth,' and that's a big white feminist fantasy red flag to me. Turns out, I was right, but oh my God I didn't know the half of it. This book is insane in ways that I couldn't even remotely predict from the premise. So this book centres on Elizabeth Zott, an impossibly intelligent woman with perfect 21st-century politics (also she's beautiful but she doesn't, like, care about that) who's been inexplicably plopped into a 1950s setting. She's a self-taught chemist, working on abiogenesis, which the book appears to think can low-key disprove religion (this book has a very weird relationship to religion - edgelord atheist vibes), but because it's the 1950s, she's forced out of her doctoral programme and undervalued at work. She strikes up a relationship with a powerful chemist who adores her, but he dies in an accident, leaving her unwed, pregnant and fired, doing consultation work so the men at her old lab can actually understand their results. Undeterred, she builds a lab at home, and ends up getting hired to a local cooking programme, which she converts into a serious scientific cooking programme that the housewives of America love because She Treats Them Like Adults. This all sounds relatively OK at first glance, but the tone is very off. This book is a mix of jaunty comedy and family drama, but there's a really graphic rape scene very early in the book, even though the spectre of rape is then played for laughs later because Elizabeth is All Powerful Now (another man pathetically waddles towards her with his trousers down, she pulls out a 14-inch knife and he has a heart attack on the spot). Structural misogyny is there enough to drive the book, but can also always be overcome through force of will or nicely timed plot conveniences. One of her viewers, a housewife with five kids, goes and becomes a doctor solely because Elizabeth is like 'yeah, sure, you can do that. Go take the tests.' Elizabeth literally says she's an atheist on air, pulls out a picture of Rosa Parks while chopping tomatoes, calls a sponsor 'poison', and this is depicted as causing a couple death threats and one half-baked bomb attempt, while her programme gets more and more popular. In 1960! So this book is a white liberal's dream: a woman blithely advocating gender and racial equality in a book with no characters of colour, where structural prejudice falls away if you're smart and correct and righteous enough. The instances of misogyny are all incredibly heavy-handed and didactic, with cartoonish misogynist men or silly unfeminist women who all say things like 'women should know their place' and 'blue is for boys and pink is for girls.' I hate, hate, hate how so many books right now treat their readers like they're idiots who don't know the absolute basics about history and context; at one point, Lessons in Chemistry actually says 'In the 1950s, abortion was out of the question.' As if we didn't know! Or couldn't be told in a less hamfisted way! But there's also one thing that ratchets up the ridiculous factor: the use of chemistry. God, the use of chemistry. I want to give this to a chemist so they choke to death on their own spit. To be clear, I'm not a pedant, or not too much of one - I don't care if literary fiction for nonspecialists is perfect on every point of chemistry. I care that its idea of a hyperintelligent chemist is one that says 'pass the sodium chloride' instead of 'pass the salt,' or sometimes calls water 'H2O', or calls vinegar 'acetic acid' (which is like calling orange juice 'citric acid', they're not the same thing), or says that they 'almost lost an atom in the isomerization process' while baking (what???). Madeline makes 'mud pies' by drawing 3.1415 in the mud. It's a very teenage nerd kind of approach, with an accompanying shot of the aforementioned edgelord atheism, and an instance of Elizabeth Publicly Owning a vegetarian by saying plants are also alive. In a couple of episodes of the programme, I glimpsed what a good implementation of the chemistry conceit might look like (the one with potato skin and glycoalkaloids was good), but too often it's cringe - particularly the extended metaphor around 'bonds' or the book's steadfast conviction that saying 'we had chemistry' is a deep and powerful statement. I'm not even going to get into the family drama that is technically kind of the core of the book, because it's convoluted and boring and appears to be there solely because there needs to be some resolution that isn't 'and the whole country became feminist. Hooray!'. But essentially, this book is entertaining (sometimes intentionally) but is also completely detached from any actual feminist politic, wilfully ignorant of class and race, hilariously inept vis-a-vis its central conceit, bludgeoningly unsubtle, and has independently rediscovered the fanfiction concept of the 'Mary Sue'. And it includes a dog that understands language and can talk to foetuses. P.S. Cambridge doesn't have rowing scholarships!",2.0,negative,Lessons in Chemistry,57684325
"1.5 stars The synopsis describes this book as “laugh out loud funny”, recommended for fans of Where’d You Go Bernadette and The Marvelous Mrs. Maisel. A female chemist in the ‘50s? Great! Count me in. BUT….I obviously read a different book. - this book should be shelved in the fantasy section. Seriously. It’s fantasy. Which is fine, but if I had known I would have skipped it. The switch between fantastical elements and serious ones gave me whiplash. - Funny? Within a few pages a woman is called a c*** twice, a brutal rape is described in detail, and there’s a suicide due to homophobia. Yeah, just hilarious. - I’m over quirky characters who behave as if they are on the spectrum. Why can’t we have a woman who is a brilliant chemist but isn’t naive, socially awkward, and clueless? Except when she’s not, usually in time to deliver another monologue. - the MC’s daughter is a genius who knew the periodic table as a preschooler and reads the Sound and the Fury at age 8. Of course she is. Very relatable. - Elizabeth’s views and actions were not consistent with the era. It’s as if a woman from 2022 time traveled back to the 1950s and then lectured everyone with lengthy monologues on social issues and women’s rights. I don’t need a lecture and I don’t need to be repeatedly hit over the head on relevant social issues. This book needed more showing, less telling. - the message is a worthy one. A woman ahead of her time in STEM who must fight the status quo in a male dominated world. But I think the message would have been stronger and more authentic if it had been realistic. There’s a lot of exaggeration and preposterous situations to drive a point home, which is not my favorite storytelling technique. - all the men, with one exception, were ugly and hateful misogynists. I’m weary of male-bashing in fiction. - Did I need to read details of a man who masturbates and flings pubic hairs across the room, leaving behind his sticky porn magazines for his wife to clean up? No I did not 🤮 - Atheism vs Faith. The author mentions multiple times that this is a free country and we have a right to our beliefs. I 100% agree. But she apparently believes only atheists have a right to their beliefs. I’m no bible thumping extremist, but it’s offensive when religion and people of faith are portrayed only in derogatory terms, such as faith is “a simpleton’s recipe for prayers and beads” and a funeral service was “boring verse and preposterous prayers”. A minister muses that the problem with his job “was how many times he had to lie”. The ministers and priests were all child abusers, liars, and greedy crooks. Lay people of faith were all violent protestors and/or morons. The message repeatedly driven home throughout the book, ad nauseam? Atheism = good People of faith = bad. Believe me, if the author had portrayed atheists as all bad I would find it equally as offensive. Why is intolerance of beliefs/religion the last acceptable prejudice? - I’m weary of the argument of science vs religion. Sure there are extremists who deny science but the majority of people and religions do not believe they are mutually exclusive. There are plenty of religious scientists. Sigh…. - Anachronisms. Subsidized child care in Sweden wasn’t enacted until 1975, although the MC refers to it in 1960. And was defunding the police a thing in the early 1950s? I think not. - certainly women have been, and are, discriminated against. I’m not denying that bias occurs but the exaggeration and preposterous events in the story hinders the message. I have a science degree. I took many college courses in STEM. I worked in a male dominated work culture. In this book every single man in a power position was a misogynist. Not realistic. Please stop it.. - Also, we are given information at the end that suggests there was a valid reason Elizabeth wasn’t accepted in the doctoral program, that had nothing to do with her gender or an incident that happened early in the book. This confused me?! What was the message? 🤷🏻‍♀️ No book is without merit. The positives: - I am not usually a fan of anthropomorphism but I loved the dog, Six-Thirty. By far he was my favorite character. And yay, he survives! 😍 - the cooking show was cute * this was a buddy read with Marialyce and another book to throw on top of the 2022 disappointing reads category. * I received a digital copy for review via NetGalley. All opinions are my own",2.0,negative,Lessons in Chemistry,57684325
"I gave all of my votes to this book, both for the best debut and historical fiction categories, at the Goodreads Choice Awards. I'm thrilled to find out that Barnes & Noble has chosen this brilliant work as the book of the year - it is highly deserved! Amazing news, my friends! This fantastic book has been adapted into a streaming series on Apple TV, starring Brie Larson as Elizabeth Zott and an outstanding cast crew including Lewis Pullman, Beau Bridges, Ana Naomi King, Kevin Sussman, Thomas Mann, Stephanie Koenig, and Patrick Walker. I cannot wait to binge-watch it! Okay, folks, I just finished the best book of 2022! Now I can relax knowing that I don't need to search for something better. No, wait, I lied. Not about finding the best book - this one is freaking amazing - but I will continue to search for exemplary fictions like this that can speak to my heart and soul at the same time! I give it five gazillion stars! I loved the author's extra-intelligent, dark, original sense of humor, and I fell in love with her characters. The story of Elizabeth brought out so many complex feelings: I laughed, I got angry, I cried, I sighed, I laughed again, and as soon as I finished the last chapter, I gave my ovation! This is an underrated secret gem! Don't you dare skip this book or let it sit in your TBR pile. Just read it! Let me give you a summary of the plot and introduce you to the characters: Elizabeth Zott: How can I express my feelings about this character? She's so unique, different, extraordinary, visionary, extremely quirky, odd, straightforward, honest, a real feminist, intelligent, intellectual, fighter, survivor, and a brilliant scientist who is brave enough to fight for her rights and her loved ones against mansplaining, inequality, abuse, and humiliation! In 1960, after her traumatic experience at UCLA, she starts working at the Hastings Research Institute, which is administered with a male workforce that ignores her enthusiasm and hard work. Only one person sees her and shows respect for her accomplishments: an aspiring, Nobel Prize-nominated, grudge-holder named Calvin Evans. The first time they met, he thought she was a secretary, and the second time they met, he vomited on her. There is nothing ordinary about their love story. They are soul mates. They are great minds alike. They are the quirkiest, most unconventional couple. They row together. They adopt the ugliest and most loyal, incredible dog and name him Six-Thirty. They were happy, even though Elizabeth rejected marrying him because she wanted to become an independent scientist without being acknowledged for her husband's contributions. But then... We fast-forward to see Elizabeth building a new life, raising her four-year-old, extra-smart, one-of-a-kind, sweetest girl named Mad Zott, helping their dog Six-Thirty improve his vocabulary skills, and most importantly, she's a TV star now! She teaches women to use chemistry not only in their kitchen but in their entire life to embrace change and challenges. She hosts the most eccentric cooking show called ""Supper at Six."" Her blunt and honest comments about marriage, religion, and society's norms will be considered rebellious and unconventional. Elizabeth is not alone. She has a 55-year-old, devoted neighbor named Harriet Sloane, who truly detests her husband. She has her supporting producer, Walter Pine, who believed in her enough to give her a chance on TV while raising his daughter by himself. Dr. Mason likes to row with her, stopping by to wash her dishes and check her out. But Mad thinks her mother is unhappy, and her homework to create a family tree pushes her to search for more information about her father's past. She has no idea that her search will uncover many long-kept secrets. Overall, this is the best book I have read lately! I fell in love with everything about this story and highly, extremely, and absolutely recommend it.",5.0,positive,Lessons in Chemistry,57684325
"This book is mind-numbingly bad. I really do not see what everybody writing rave reviews are seeing. So, I'm a chemist and this main character is exactly the type of chemist that we make fun of - a pretentious snob that non-ironically calls household items by their scientific name and inserts their scientific knowledge into any conversation they have to assert how intelligent they are. There's a part where she criticizes a can of soup for having 'chemicals' in it, even though a chemist should know all food that exists is made of chemicals - that is literally how the world works, so on top of being an arrogant snot she is also an incorrect arrogant snot on multiple occasions. Another point I'd like to bring up as a chemist, Elizabeth Zott apparently has several PhDs worth of knowledge, on degrees that she didn't even do. Her passion apparently is abiogenesis, to which actual scientists dedicate their entire academic careers solely, yet she also knows food science (an entirely different course of study) and can also teach herself how to row solely by reading physics textbooks (another entirely different course of study). It must be where her ridiculous daughter got her ridiculous genes from - she enthusiastically reads Norman Mailer and Vladimir Nabokov at age 4. I mean, didn't we all? She also debates religion with a reverend, who converts to atheism. Again, relatable pre-school experiences we all experienced. I'm also fairly sick of women putting down other women in all aspects of life, and this is no exception. Almost every other woman in this story is presented as catty, conniving and simple-minded (because they all believe in God, which this book hammers in that only total airheads do) except for our main character because she's not like the other girls. She wears pants and talks about how Sweden has subsidized childcare (which didn't even exist in 1960 yet so I guess the author phoned in on the whole research aspect). There is also no mention of any characters of color in this story, but that doesn't stop the author from comparing being a housewife to SLAVERY and including the daughter reading about the Congo cannibals to other-ize people of African descent. Bear in mind, that this is marketed as a comedy book. So ha ha. Every male character is also a chauvinistic pig with no redeeming qualities, also always hysterical. I didn't even touch on the most offensive part of this novel. TW: the beginning features a graphic r*pe scene, so good thing they didn't bother including a content warning. 'A novel that sparks joy on every page' claims the dust jacket, I claim bullsh*t. In summary, there are no redeeming qualities about this book, except maybe that there was a dog in it.",1.0,negative,Lessons in Chemistry,57684325
"Imagine if all men took women seriously . . . When you come across that perfect read, at what point do you realize? For me, it was from the very first page of Lessons in Chemistry . Honestly, who does Bonnie Garmus think she is, coming in here and writing a book that completely speaks to me? And on top of that, it's her debut. Well, just knock me over with a feather too while you're at it, why don't you! Elizabeth Zott is a chemist in the 1960s. The problem is, she is the only one who views herself that way. Her male colleagues cannot get past the fact that she's a woman, and treat her more as a secretary and doormat, acknowledging her only long enough to steal her work. That is, until Calvin Evans, another brilliant chemist, comes along and really sees all that she is capable of. But life is unexpected, and so a few years later, Elizabeth is somehow the host of a cooking show. But in her heart, she still desires to be truly seen as a chemist. You guys know how much I love strong female characters, and Elizabeth Zott is all that and more. She's fearless in the face of adversity, she stays true to herself, and she never lets others intimidate her into being less than all she can be. In other words, she is my hero. It's not just Elizabeth who warms my heart. This story has the most wonderful collection of supporting characters. They add so much color and spirit to the whole thing. I wanted to hug them all. And if you're an animal lover of any sort, just be ready to have your heart burst into a million ooey gooey pieces. In fact, Six-Thirty might just be my favorite literary dog of all time. The writing is so witty and brilliant. There's a zing to it that makes it feel zippy and wholly original. I couldn't stop laughing and I couldn't put it down. Usually I can't wait to reach the end of a book so I can check it off my long TBR and move onto the next. But I wanted this to go and go and never end. I tried to savor every moment, but I ended up devouring it. What an absolute delight this was, from the very first moment to the last. It possesses all the hallmarks of the very best stories. It made me laugh, feel, think, and wonder. It filled me with joy and buoyed my spirits. It gave me everything I wanted and everything I didn't even know to ask for. So many books come and go that often a true gem ends up buried in the deluge. Please don't let this one pass you by. Go read it. You'll be glad you did. ~~~~~~~~~~~~ ✧ Connect with me ✧ ✧",5.0,positive,Lessons in Chemistry,57684325
"This contains trigger warnings. *sigh* I wanted to like this, I really did, and based on the premise I should have. First of all this is described as ""laugh out loud"", it isn't. It's also described as being in the same vein as 'The Marvellous Mrs Maisel,' it isn't. For something that is decribed as being hilarious, there was an awful lot of dark subject matter. While I understand that humour can be found in dark places etc, this wasn't it. The tone of the book was all over the place, like it didn't know what it wanted to be. It thought it was smarter and funnier than it was. I genuinely struggle to see what was so hilarious, I was mildly amused in some instances at most. During this 'hilarious' story, there is a brutal rape in chapter 3, death of a spouse, implied paedaphilia, abuse, abandonment, bullying, a second sexual assault and sexism. Again, I don't have a problem with the subject matter, I do have a problem with the execution of the subjects and the marketing of the book. Elizabeth as a main character just isn't that likeable. I get that she is supposed to be super intelligent and 'quirky' but she doesn't feel like a real person for much of the book, there is nothing to connect to. She also speaks like she is quoting from a textbook about sexism and feminism which does not feel genuine or organic. It felt more like the author was lecturing us. Also don't get me started about her daughter and how intelligent and advanced she was at a ridiculously young age. Of course she had a genius daughter. *eye roll* The cooking show doesn't come into play until at least half way through the book. Theres also a subplot regarding her husband's parentage which just felt...tiring by that point to be honest. Oh...we also get the dogs POV for alot of the story, which was a choice. To be fair, I was more invested and in the dog than Elizabeth and would have preferred the whole book in his voice. At least you could connect with him...the dog. 🤔 The 2nd half of the book was a little better than the first and it had a more positive ending at least. I've given it 1 stars because I did like the love story between Elizabeth and Calvin, as short lived as it was. It was very sweet, with two lonely nerds and outcasts meeting and forming such a strong bond.",1.0,negative,Lessons in Chemistry,57684325
"After seeing endless 5 star reviews of “Lessons in Chemistry, a book I hadn’t considered reading…. — I thought- “Well, Wow…..it must be extraordinary—some secret I should find out?/!” My enjoyment value was simply ‘so-so’. I didn’t come away with the enthusiasm for this book like many other readers did. In my own life in ‘California’ - during the 50’s, 60’s…. I was a Kinesiology major at UC Berkeley. I never felt like I was in a man’s world. My organic chemistry classes were grueling- but that wasn’t because I was a woman. In my experience— I never had a problem. I wasn’t sexually harassed — nobody put their hand up my skirt unless I wanted them to . I was never patted on the head or belittle for being less than. There was something ‘off-putting’ to me about this book — The protagonist -Elizabeth Zott - was as equally fatuous as intelligent. I found the dialogue often condescending….with overly exaggerated themes. The theme ‘righteous indignation’ stood out for me more than ‘authentic equality’. Plus…..the humor lost me completely. The science descriptions felt more ‘for show’ — an indulgent plot device to produce proof of high levels of dopamine chemicals in the areas of love. I prefer what George Burns’ had to say about love: “Love is something like a backache, it doesn’t show up on any x-ray, but you know it’s there”. I wasn’t a champion for Elizabeth Zott, The emphasis of her being ahead of her day; a strong woman; or a groundbreaking woman felt false-hearted. Her bogus disposition was too fabricated for my taste. Most of the characters had that caricature type feeling; unscrupulous. Basically — the story wasn’t “zippy, zesty, or zotty” entertaining to me at all. Although I was overall underwhelmed, I did enjoy the authors notes - (my absolute favorite part) - she almost sold me on how groundbreaking her book was. Her enthusiasm had a contagious magnetism about her. I appreciated her passion for her excitement in writing this book — Congrats to Bonnie Garmus…. she has a large audience who applaud her work sincerely. So — please don’t pass on this book - on my accounts - it just wasn’t my cuppa tea. Average, lukewarm, to indifferent. 2.5 - rating up.",3.0,neutral,Lessons in Chemistry,57684325
"Sorry, but I don't get the hype. I found this mostly boring, to be honest. The book zips from really dark subjects like rape and abuse to light somewhat farcical subjects like teaching a dog English or Elizabeth becoming an amazing rower by studying physics (women can smart their way into being better than six foot athletic men at everything because saying they can't is sexist, yo)... and I struggled to find any of it compelling. Elizabeth was difficult to warm to --not because of her abrasive personality-- because she felt like a mouthpiece for 21st Century feminist monologues. This is supposed to be the 1950s? I just didn't buy it. All her rants are straight out of a modern day Smash the Patriarchy podcast. And it deserves a further eye roll for the fact that because she is all into science and logic and whatever, this means Elizabeth is also cold, robotic and devoid of emotion. Cos we all know you can't be a scientist AND have feelings. Maybe the author worried if she showed emotion we'd find her too womanly . I don't know what else to say. The reviews called it ""hilarious"", which I did not think it was. And also ""adorable"" which... what? On page rape, death, abuse, suicide and sexism... super cute. The book does sort of lighten up as it progresses, but it did not get any less boring.",2.0,negative,Lessons in Chemistry,57684325
"I could've saved time and read a laundry list of cliches instead of reading this book. Lessons in Chemistry was rife with issues. A non-exhaustive list: 🧪Elizabeth is a SCIENTIST in the 1950s but reads like someone time traveled back from 2022 just to spout feminist monologues at anyone within earshot!!! 🧪Elizabeth is an elite rower on her very first day!!!! No need for any background in sports whatsoever!!! She can keep up with 6'4"" men! Makes perfect sense bc......... feminism!! Keeping up with the boys!!! Etc! 🧪Elizabeth is VERY SEXY. She neither knows nor cares that she is sexy, puts no effort into her appearance, but the author makes sure we know that she is The Hot One. bc she is smart AND sexy. Or something. 🧪Elizabeth is a SCIENTIST, ergo she only thinks in LOGIC. She is actually a cyborg without feelings and without any idea of how human interactions work!! We know this based on how cringy every single interaction she has is!!! 🧪Elizabeth uses aforementioned LOGIC to disprove religion!!!! Checkmate, theists everywhere!!!!! Elizabeth has cracked the case!!!!! Overall, extremely ridiculous and unrealistic. Next.",1.0,negative,Lessons in Chemistry,57684325
"***WINNER OF GOODREADS 2022 DEBUT FICTION AWARD, THIS ONE IS SPECIAL*** This is one of the most unusual books I’ve read this year. Elizabeth Zott is not your average person. She’s a brilliant, highly trained scientist who hasn’t gotten farther along in the world of chemistry simply because she’s a woman. She is working at the Hastings Institute performing a job that she is completely over qualified for! Through some crazy, at times hilarious encounter, she meets Calvin Evans. He is a gangly sort of guy but also a brilliant scientist and well-known at the Hastings Institute. Calvin had an intense love for rowing, that’s why he accepted the job at this lowly Institute when he could have been doing research at any number of universities. He came to California for the nice weather and the ability to row all year long. Fast forward and Elizabeth has a daughter named Madeline, Mad for short. Elizabeth was trying to work as a scientist at a lab in her home. She is a consultant for scientists who need and want her help, but it’s not enough to provide for herself and her daughter. Half way through the book I was already completely into the story and the amazing characters! What a unique and multi-layered plot. For reasons you will discover she begins a very unique cooking show!!!! I love to see her fiery spirit and determination to get what she wants, to dress how she wants. She is determined to raise her child how she wants. All the while she knows that she’s doing things outside of the normal or “average” mother, although Elizabeth would tell you that scientifically there is no “average person”!!!! This novel is fresh and innovative with characters just flying off the pages. I loved her new acquaintance, Walter, who talked her into doing the 6 o’clock show. He wants entertainment and she wants science in this cooking show!!!! I LOVED EVERYTHING ABOUT THIS BOOK!!! I would like to give it more than 5*. I highly recommend this novel to EVERYONE, especially if you are a woman and have ever been looked down upon simply because you are female!!! I also wanted to add that there is a lot of humor in this book! And how could I forget “six thirty” the dog who know 600+ words! He is a narrator throughout the novel. JUST WAIT UNTIL YOU MEET HIM!!!!!! I received an ARC of this novel from the publisher through Edelweiss. It was my pleasure to read and review this title.",5.0,positive,Lessons in Chemistry,57684325
