review,rating,sentiment,book_title,book_id
"The order of the small town on the riverbank Forever at war with the order of the dark and starlit soul —Adrienne Rich, “8/1/68” The nonconformist has always been at war with the suburbs—Adrienne Rich was writing about it 50 years ago, and she surely was not the first. I can understand this dichotomy; I myself have certainly experienced suburbs where a high level of conformity seemed to be expected, resulting in a weird high-school atmosphere among grown adults. Still, you really don’t have to dig very deep to realize that things aren’t as black-and-white as they seem. There are all different kinds of people living everywhere, with varying degrees of happiness and fulfillment. All of which is to say, if you’re going to write on this theme now, you should probably have something new to add to the conversation, or at least a unique way of expressing it. Little Fires Everywhere takes place in the planned community of Shaker Heights, where an artist named Mia and her teenage daughter Pearl move into a rental home after having lived a peripatetic existence since Pearl’s birth. The battle lines are immediately drawn: the nonconformist, creative Mia versus the staid middle-aged matrons of Shaker Heights. Mind you, these battle lines aren’t initially drawn by the characters, but by the author, who makes it clear that Mia is the moral center of the book. Characters who like Mia are the good characters; characters who don’t like Mia are the bad characters; and characters who are suspicious of Mia at first and then come around to liking her have experienced a redemptive arc. This would be less problematic if Mia hadn’t agreed to be a surrogate mother while in college, run off while still pregnant, forced her daughter to live a nomadic life in order not to blow her cover, and lied to her daughter the entire time , as well as keeping her from her grandparents and her biological father . I was honestly horrified by Mia’s actions and I wasn’t brought around by the fact that she was an artist, or by the fact that she was allegedly the best mother since the Virgin Mary or whatever. But as far as this book is concerned, Mia is the real deal, an infinitely better person than all those Shaker Heights parents, who, let’s face it, are all kind of repressed. Being repressed is the real sin of suburbanites, you see. Nothing could possibly be worse, I guess. Oh, there’s also a subplot regarding a custody battle between a set of adoptive white Shaker Heights parents and the baby’s biological mother, a young Chinese immigrant, which could have been really interesting, but it’s given short shrift and is clearly meant only to underscore how amazing Mia is and how horrible the Shaker Heights mothers are in comparison. Now look, I don’t expect any character to be perfect, and I did not expect that from the character of Mia. Obviously, someone in the novel needed to do something scandalous, or you’d have no book at all. What I don’t like is being told who to root for. I don’t like it when authors stack the deck. Just present every character in the fullness of their humanity and let me decide who I’m rooting for. If you’ve done your job properly, I’ll root for who you want me to root for anyway. But if you idealize one extremely flawed character at the expense of everyone else, you’re going to lose me. You’re going to make me side with a bunch of repressed Shaker Heights matrons I have nothing in common with, because those poor matrons never even had a chance at the end of your pen. Okay, so the nonconformist versus the suburbs theme wasn’t handled in a particularly original or illuminating way here. It’s possible the book could have been redeemed by good writing, except Little Fires Everywhere doesn’t really have that either. The constantly shifting viewpoints didn’t work for me at all —and when I say constantly shifting, I don’t mean chapter by chapter. I mean paragraph by paragraph, and sometimes sentence by sentence. This results in some extreme awkwardness, as when every sentence in a paragraph is from the point of view of the character of Izzy, except for one sentence in the middle that relays a piece of information that Izzy doesn’t know. I guess an omniscient narrator is responsible for that particular sentence? In a few instances the omniscient narrator is even more obtrusive, reminding us who does and doesn’t know certain things that have just occurred from one character’s viewpoint. But beyond the awkwardness, so many characters are given a moment in the spotlight that I never really felt like I got to know most of them, and what we do know is revealed mainly through soliloquies and flashbacks, some of which are so long and involved that they derail the main story and quash any possible shot at narrative momentum. And let’s not forget the eye-rollingly dramatic and implausible plot twists that make it seem as if the author has watched too much Grey’s Anatomy . There’s the college student who can’t afford the year’s tuition, and because she’s “too proud” to accept a generous loan from her trusted mentor, and for some reason doesn’t want to seek federal loans, she decides to become a surrogate mother instead. Makes sense! . There’s the character who is suspected of getting pregnant and then having an abortion, because she seemed to have gained weight, then vomited conspicuously, then by the next month had lost the weight. It turns out she had been stress-eating junk food (hence the weight gain), then got food poisoning (hence the vomiting), and then stopped eating due to stress (hence the weight loss). What a calamity of errors, am I right? And then there’s the beloved mentor who is of course diagnosed with a brain tumor and given weeks to live at precisely the time she’s most needed. I guess at least it’s good that she doesn’t die in a car accident on an icy road—but that’s only because another character does fall victim to that cliché a few months later. There’s just so much crammed into this book, but it all adds up to so little. This is all very awkward, because a representative of the publisher offered me this ARC a few weeks ago and I enthusiastically accepted. I hadn’t read Celeste Ng’s previous novel, but I was under the impression that she was a good writer and I thought I would really enjoy this one. But I didn’t, and I have to be honest about it, because if I’m not honest about the books I dislike, I can’t expect anyone to trust my word on any book I review. Little Fires Everywhere seemed endless, it was pedestrian and tedious, and it just regurgitated stereotypes about the suburbs we’ve all heard countless times before. I initially thought I would give it 2 stars because, even though I didn’t like it, it seemed to me that the author had done what she’d set out to do, and I wanted to acknowledge that. But by the time I reached the end of the book, I’d changed my mind. It now seems to me that the author truly believes she’s written something deeply meaningful, and I know this sounds harsh, but I don’t agree. I learned nothing from this book and I didn’t enjoy the experience. There’s just no other way to say it.",1.0,negative,Little Fires Everywhere,34331079
"My reviews can also be seen at: “Little Fires Everywhere” is my first read by Celeste Ng, but I’m pretty sure that it won’t be my last. I could easily have read this book in just one or two sittings but life got in the way (in this case life being a glass of 7up, a knee jerk and “Nooo! Save the books!”). But once the book was dry, I picked it up again and didn’t stop until I finished the last page. Everything in Shaker Heights is planned and there are rules that residents must follow. Houses can only be painted certain colors (to ensure aesthetic harmony), garbage is never put out in front of the house, lawns must always be cut promptly, etc. The city motto says it all: “Most communities just happen; the best are planned” When Mia Warren and her fifteen year old daughter, Pearl rent a home from the Richardsons, a prominent Shaker Heights family – their lives will become intertwined in ways they never could have imagined. Mrs. Richardson liked to rent to people she felt were deserving of her help, people who may have had some tough turns in life. She felt it was her way of giving back. When she first meets Mia Warren and her daughter she thinks they are the perfect tenants. One of the Richardson boys, Moody is curious about the new tenants and heads over to the rental property. Moody and Pearl hit it off immediately. Moody who has never wanted for anything, is surprised at how this mother and daughter make their way. Mia can stretch a dollar (and leftover food) farther than anyone he’s ever seen. It’s not long before Moody brings Pearl home to meet everyone. Soon Pearl is spending much of her time at the Richardson home. At first, everything is fantastic. Mrs. Richardson even hires Mia to do some housekeeping and cooking at the Richardson home. But it won’t be long before the many differences between Mia and Mrs. Richardson cause a divide that will affect the two families in unimaginable ways. In some ways, I felt bad for Pearl as the nomadic life that her mother had them living would be hard on anyone, especially a teenage girl. However, Pearl also seemed to benefit from the way they lived. At first, Mia came across as incredibly selfish but it wasn’t long before I loved her. Her caring ways were evident and how she responded to the different crises that came up endeared her to me. I may not have agreed with all of her choices but I could certainly see how she would have made them. Right off the bat I was irked by Mrs. Richardson (the fact that she was rarely referred to by her first name was fitting). Mrs. Richardson was the type who wanted to be seen as someone who cared and helped others. However, you could tell right away that she kept track of all the good things she had done. And you never knew when Mrs. Richardson would want a repayment of her “kindness”. When she offers to buy one of Mia’s photographs and Mia doesn’t fall at her feet with gratitude... “That’s very generous of you.” Mia’s eyes slid toward the window briefly and Mrs. Richardson felt a twinge of irritation at this lukewarm response to her philanthropy. Izzy was a firecracker and I adored her impulsiveness and strong feelings about right and wrong. Even at ten years old, setting shelter cats free “They’re like prisoners on death row” , her refusal to conform was thrilling. Mrs. Pissers and the toothpick incident had me giggling. And I hurried to Google to search “ This Be The Verse ” by Philip Larkin. There was a lot going on in “Little Fires Everywhere” but I found it easy to keep up. I will say that it had a bit of a slow start but I feel the author was just setting the stage for all that was to come. And once I hit the halfway mark, I was so completely invested into all of their lives and HAD to know what was going to happen next. The additional story-line of little Mirabelle McCullough/May Ling Chow’s adoption was incredibly thought provoking and had me asking myself some hard questions. I honestly didn’t know which side I was on half the time. My head was spinning. “What made someone a mother? Was it biology alone, or was it love?” I thought that the development of the characters was fantastic. With so many characters and only so many pages, it takes skill to bring them all to life. And in my opinion; Celeste Ng did a phenomenal job. And with the many 90’s references such as Sir-Mix-a-lot, Smashing Pumpkins, Jerry Springer, and Monica Lewinsky - I was taken back to my own adolescence. This was an intriguing and compelling domestic drama. A story about motherhood, adolescence, race, rules, right and wrong, and so much more. Great characters and an interesting plot made “Little Fires Everywhere” a fast and fantastic read. Many thanks go to Penguin Press for providing a copy of this book for me to read in exchange for my honest review.",5.0,positive,Little Fires Everywhere,34331079
"UPDATE: have just watched the first episode of this tv show on Hulu. as someone who really loved the book a lot before the adaptation was even announced: I am a very big fan. Kerry Washington as Mia is a really good choice. also, for personal reasons, Pearl is my favorite character now. “Most of the time, everyone deserves more than one chance. We all do things we regret now and then. You just have to carry them with you.” Never in my life have I read any book, any narrative, that cared as deeply for all of its characters as this one did. Little Fires Everywhere lives in the grey area, leaving it impossible not to be invested, impossible not to love every character and cry for every character and root for every character, despite all their flaws. I really struggle to characterize this book; it’s sort of a combination between a mystery and literary fiction, and will probably work best for you if you’re a fan of both? Little Fires Everywhere is a very slow-burn story about a small town thrown into disarray by a court dispute. When an Asian baby given up by her mother is adopted by a white family, it causes a spiral of events that lead to a scene of a house on fire and a family driven away. I think I’ve already expressed this, but this book is.... a masterpiece. It’s one of those books that I finished and then was just on my bed tearing up because it’s so well-crafted. The reason this book is so fantastic is primarily structural; we see the end, and then we go back and see the beginning. But anyway, the reason this book works so well is the characterization. There is so much to appreciate here. I like that Moody is sort of written as the stereotypical jilted nice guy, and and then we see more nuance to that characterization. I loved the complexity of the dynamic between poor characters and rich characters; I loved how no character is black and white, but they have definition nonetheless. Of the approximately-eleven-person main cast, Izzy is my absolute favorite. Izzy is a ridiculously relatable character for me personally mainly through her relationship with her mom. There’s a line somewhere where Izzy says she thinks her mother sees her as such a demon that all her actions are framed in that light - that was me. And that is still me in my relationship with one of my parents. The degree to which the narrative of this book validates her trauma and her feelings is incredible. And on another very personal note, Mia… kind of reminds me of another. Some of you who follow me on this platform might now that my mom and I are really, really close, and I grew up with her as my main support system. And I think… her relationship with Izzy just felt so personal to me for that reason. So maybe this was too personal a read for me, but I’m going to be honest: it’s my belief that reading is something that is meant to be personal. And maybe the degree to which this personally affected me is the most important part of all. There’s a scene within this book that has stuck with me since the beginning, in which the adoptive mother of the baby is asked how she plans to incorporate Chinese culture into the life of the baby, and she brings up “oriental rugs” and how she gives the baby rice. And it’s this awful moment, because we know she loves that baby. We do. But in that moment she becomes the persecutor of her own child. She does not understand, and so she perpetrates a culture that has been trying to swallow up her child. I think that’s what this book is about, in the end: the degrees to which we can hurt people without ever attempting to. This book was masterful. And I hope you all read it. | | |",5.0,positive,Little Fires Everywhere,34331079
"All her life, she had learned that passion, like fire, was a dangerous thing. It so easily went out of control. 4 1/2 stars. You should go into this book expecting what it is: a slow-moving character portrait filled with complex family dynamics and small-town politics. If you know what this is, like with Ng's , and don't go into it expecting fast-pacing and high-octane drama, you will probably find this quiet read to be extremely engrossing and emotional . I have to be in the mood for this kind of read, but when I am, it packs a powerful punch. These characters are so vivid, so real , so caught up in the little fires of everyday life in Shaker Heights. There's several stories going on in here, but the book begins with literal fires lighting up the Richardson household and the knowledge that the youngest daughter, Izzy, the wild card, has disappeared. Presumably because she is guilty of the arson. Then we move back from there. We start to get a portrait of the events leading up to this dramatic fire. We see the poor artist, Mia, and her daughter, Pearl, move into town and the effect they have on all members of the Richardson family. Further back, we get the past stories of almost every character who comes into this book. It is such a rich work in which the personal stories and experiences of secondary characters play a huge part in influencing how events unfold . And, behind it all, is a court case that will affect all the characters lives. A custody battle over a Chinese baby who could be given every toy, every desire, every opportunity by her rich and white adoptive parents - but is that all? Is that enough when her poor birth mother is ready and willing to care for her? Things become very tense. The town becomes divided. And I felt an emotional wreck by the end of it, too. Mrs. Richardson, however, could not let Izzy be, and the feeling coalesced in all of them: Izzy pushing, her mother restraining, and after a time no one could remember how the dynamic had started, only that it had existed always. The Richardson family, along with Mia and Pearl, Bebe, and the McCulloughs, all pulled me into their lives. I despised a character at one point, only to find pity for them a couple of chapters later. The relationship between Izzy and her mother was a real point of interest for me. How Mrs. Richardson's fears about Izzy affected her behaviour toward her, which in turn affected how Izzy behaved. All leading to the ultimate question: was Izzy always what Mrs. Richardson feared she was? Or did Mrs. Richardson create what she most feared through her treatment of Izzy? is a great example of how small character dynamics can create a powerful and fascinating story . I love the empathy the author shows for all the people in this book - even the manipulative, morally corrupt and undeserving. No one is merely good or bad. And that is what makes the book so effective. Whose side am I on? I'll let you know if I ever figure it out. | | | |",4.0,positive,Little Fires Everywhere,34331079
"*4.25 stars* is such an apt title for a novel that delves into the intricacies and angst that undoubtedly burns through some relationships—maybe none more so than mother and daughter. At its core, this story explores the notion that being a mother doesn’t mean being perfect ; it comes down to love, sacrifice and sheer will. Through her cast of captivating characters, confronts the reality that haunts us all—each and every one of us is rife with cracks and flaws, no matter how well we hide it from prying eyes. That’s just life. It’s akin to pure magic when you pick up a book from an author you haven’t read before— I know, what’s wrong with me? How did I miss ? —and find yourself caught up in what can only be described as book nirvana. I had heard ’s writing style was incredible, but I took that with a grain of salt—merely an attempt on my part to avoid disappointment. What I didn’t anticipate was this level of character development. This level of intricate detail and the multifaceted beings I wanted nothing more than to surround myself with. I have to admit, it was Mia that started out as my least favorite of the bunch. Her artsy-fartsy, gypsy-ways came off as incredibly selfish. A mother sacrificing any sense of stability for her daughter, in an attempt to chase her next inspiration, rubbed me the wrong way. How could she not stay in one place and let her incredibly smart daughter thrive? Then we meet Mrs. Richardson who’s been hell-bent on living the life she laid out so perfectly in her mind. From most angles she has it all—steady career, lovely home, successful husband, wealth and four children. A conundrum of sorts, she’s tenacious, but still somehow oblivious. Initially, I wasn’t really sure what to make of her or her motives—was I reading more into things than I should? What binds these two very different women together is their teenage children who have their own fires burning between them and a custody battle that rocks their small town. The women end up on opposing sides of the equation, only working to further highlight their differences. The author juxtaposes these two women in many aspects—but not overtly so—and by the end, I was stunned. What struck me the most about this journey was the author’s ability to change my entire perspective—meaning, my thoughts and feelings in the beginning of the story were vastly different by the time I turned that final page. Some aspects ended on a sad note, but overall it was still a satisfying ending to what I can only describe as a fully immersive novel. I had the pleasure of reading this with the Traveling Sisters group; what a fun experience it turned out to be. gave us plenty to discuss. Looking forward to the next read sisters. ♥ *Thank you to Penguin Press and Edelweiss for a copy in exchange for an honest review.",4.0,positive,Little Fires Everywhere,34331079
"Dang! If this book does not get your brain churning, well, then you did not read the same book I just did! This book is filled with so many scenarios with so many questions and no perfect answers. Every situation is a little pile of kindling and any of the questionable solutions will only ignite the fire . . . soon you have a bunch of fires ready to burn everything to the ground. Man, that would be a great title for this book! Oh . . . wait . . . It has been a long time since I remember reading a book where my mind and problem solving skills have been this challenged. Usually when you are reading you think, ""well, the best route for them to follow is this"" or ""Geez, it's obvious that they should never have done that."" In this book I just kept thinking, ""I am glad I am not the one who has to make any of these decisions!"" Also, this book is full of so many misunderstandings. I get frustrated when someone is falsely accused or the wrong conclusion is assumed. Every 15 minutes I found myself yelling at this book! ""IT WASN'T HER!"" ""NO, THAT'S NOT WHAT HAPPENED! SOMEONE SPEAK UP!"" ""OH, THIS ISN'T GOING TO END WELL!"" I believe I have said it before, but any time a book has you engaged so much you yell at it, want to pull the characters out of the pages and shake them, and/or need a stiff drink to calm your nerves at the end of each chapter, you are reading a pretty darn good book. Give your analytical side a gift and read this book - it would be a great one for a book club. I imagine it would certainly lead to some lively discussion!",5.0,positive,Little Fires Everywhere,34331079
"4.5 stars. I was hooked while listening to the audiobook and finished it in 2 days. The family dynamics, tension, and nuance is well done. The themes about parenting and motherhood - what is considered ""good"" parenting and who is a ""good"" mother - was such an interesting exploration, along with how white suburbia can be suffocating and push for conformity. But most of all, I loved the portrayal of well-intentioned yet ignorant white and upperclass people, and the gap between a privileged and white POV versus an immigrant in poverty. It’s done in such a subtle way that’s not in your face and gives readers enough room to explore and think through these issues for ourselves. The only reason why I hesitate to give this 5 stars is I don’t think much was done with Mrs. Richardson’s kids for readers to care about. I think the ending would have been more impactful if the kids had been better developed and thus have a well-rounded cast of characters.",5.0,positive,Little Fires Everywhere,34331079
"There are some books when you finish, you just sit motionless with blank face, feeling speechless, resuming your awkward position for hours and then you turn back into your life after getting frozen by a magical dramatic literary wand’s power. That’s what happened to me. And I realized I haven’t written any word about this stunning, amazing book and now Witherspoon and Washington’s Hulu series is streaming right now and it seems like scriptwriter Liz Tigelaar caught the essence of the plot and reflected into 8 great episodes (especially episode 7 was remarkably the best and heartfelt one) And Witherspoon’s Elena is her best book character composition. I highly recommend it! (Better than Big Little Lies) So here we go: this book is character driven, slow burn drama which will help a lot turn into series to give us so much details and realistic portraits about characters, always works well for me. Small town dynamics, dysfunctional family issues, class differences, morality about a child’s own destiny, hypocrisy, lies, secrets mixing each other and slow-building tension rises at the end with powerful, thought- provoking, twisty ending leaves you speechless. Welcome to Shaker Heights! Richardson household is burning into fire and their daughter Izzy is nowhere to be seen. She might be responsible of this chaos. Then we slowly going back and forth between the snippets of Richardson family’s relationship with poor artist Mia and her daughter Pearl who became their tenants and afterwards. And behind their story, there is custody war over a Chinese baby’s adoption by Richardson family’s close friends. Should baby be adopted by people who are so rich and ready to present her every opportunity she’s dreamed of or should her biological mother take the custody even though they may suffer from poorness and financial struggles? Unhealthy, ballistic relationship with Izzy and her mother and striking differences between Mia and Elena and too many lies and secrets’ revelations change everything in their lives. When the fire starts to destroy everything they had in their lives, they need to start from scratch and learn from their mistakes. It’s powerful, emotional, questioning, unique story. I know it’s so challenging to pick a side because nobody is blameless and innocent. I hope we see a good adaption without losing the essence of the story and its well-crafted characterization.",5.0,positive,Little Fires Everywhere,34331079
"So, self-identification determines if a book is YA? Based on more than 60% of the content, this is young adult material. It’s good; parts are excellent, others not so much. I liked Mia’s backstory as she became an artist using experimental photography. I thought that the custody dispute concerning “Oriental Barbie” was worth at least a star or two. A lot of the characters are clichéd. The at-home Mr. Richardson could be a cardboard cutout with excellent earning skills. He fairs a lot better before the judge. The Richardson children fit into “The Breakfast Club” well. A jock, a popular girl, a smart kid and Izzy who may well be a transgendered Holden Caulfield (thank you to my GR friend, Bill Kupersmith), but I liked her a lot more than that wretched boy. So yeah, the Richardson’s have a child for each grade in high-school. Mrs. Richardson produced four singletons in roughly as many years. While in other respects, she is a perfect match for her orderly and rule-bound community. The rapid-fire baby production seemed reckless and out of place. It is the only part of her character that jibbed with aggressively investigating her tenant and employee’s past. Opening a ‘can of worms’ and a house full of screaming babies being equally disordered and unpredictable. I don’t believe that she is meant to be likable. She approaches friendship with same calculation as Claire Underwood with a careful tally of every kindness. But, as she is central to the book, I wish she were plausible. Even if she were perfectly constructed, the story is still awfully scattered. My son heard part of the book while we were driving over the holidays. When we stopped, he would say “So” and give a one-sentence summary of the upcoming section or chapter. I don’t believe he has any preternatural gifts as plot savant. A lot of the story is pretty predictable. I have a quibble about that car. Is that the same VW rabbit Mia’s brother bought when they were teenagers? If so, how did she manage vehicle maintenance on minimum wage earnings supplemented by occasionally selling a piece of art? Twenty to thirty years of use is aging NASA spacecraft territory, but this car starts reliably, runs well over long distances, and doesn’t need any repairs. It seems oddly out of place given the careful mathematics of Bebe’s poverty. P.S. I stand corrected my son says he is too a plot savant.",3.0,neutral,Little Fires Everywhere,34331079
"Update.... because I don’t know where else to ask this question: how many saw the Hulu series? Thoughts? I loved it. I liked it better than my experience of reading the book. The lead and supporting actors were so well chosen. Kerry Washington was outstanding...... I think she deserves to win an award for her acting role. Reece was great also. And so are her kids. Did anyone else enjoy the series more than the book? Less? Coronavirus chatter time? 🥰. Love yo hear others thoughts. Old review: I pre-ordered this book months ago. It arrived at 12:01am today. I’ve been reading non - stop.... a one- sitting read with a few necessity breaks. Here's is my problem.... I feel as if I've read this story before. I was only mildly interested in many scenes. There were parts I found trite and parts I found semi boring. Personally - I found the characters to be very one dimensional. Here's another problem I have: Yesterday I finished reading ""In The Fall They Come Back"", by Robert Bausch. I saw a lot of similarities in these two books, but this novel didn't 'wow' me nearly as much. This story 'seemed' like it had all the elements I usually love ..... The wealthy and thrifty battle it out...plus moral issues to think about ...but my heart wasn't always in it. Not sure why. It could be me. For one thing..... I spent summers in Shaker Heights .... I felt this book could have been written anywhere. Plus.... I'm not sure I appreciated some of the stereotyping of this community. BUT ....here's a small flavor of the characters you'll spend time with: 'The Richardson's family': Bill is an attorney and drives a BMW Sedan Elena is a wife & mom..... works for the local newspaper: 'Sun Press'. She drives a Lexus THE FOUR SIBLINGS: Lexie -senior drives an explorer- has the lead in her School play. Seems fruity & shallow at times - but is an excellent student Trip - a junior - drives a jeep - loves sports - handsome -fit --and charming Moody - sophomore- rides a bike ( bless him) - most compassionate- very bright -introspective Izzy - Freshman- considered black sheep of the bunch - feels different than others in her family. 'The Warren's: They recently moved into a rental ( a duplex) that the Richardsons own. Mia- 36 years old, single mom, artist. Mia drives a VW Rabbit. She would rather mop floors any day- quietly alone- than have to wait on customers. Pearl -15 years old - Mia's daughter - shy - honors student - Paul, my husband, is rushing me - he says RETIRE.... lol..... So.....I LIKED IT.....but..... after several great books I've recently read, I can't say I'm 'wild' about it. It was ok!!! - alright - better than OK! Worth reading! Others may love it! 3.6 stars",4.0,positive,Little Fires Everywhere,34331079
