review,rating,sentiment,book_title,book_id
"Some books read like a lifelong friendship, each page a warm or comforting embrace as you laugh and weep along with the characters. Little Women by L.M. Alcott is an enduring and endearing classic that will nestle its way so deep into your heart that you’ll wonder if the sound of turning pages has become your new heartbeat in your chest. To read the novel is a magical experience, and we are all like Laurie peering in through the March’s window and relishing in the warmth within. I have long loved the film adaptations and make it a holiday tradition to ensure I at least watch it every December (it has Christmas in it, it counts), so it was fascinating to finally read the actual novel and return to character I feel I’ve always known yet still find it fresh and even more lovely than ever before. Semi-autobiographical, Alcott traces the lives of the four March sisters, Meg, Jo, Beth and Amy, and their struggles to make their own way in a society that offers little use for women beyond the household. An emotional epic and moving family saga full of strong characters, sharp criticisms on society and gender roles, and a beautiful plea to dispense with the worship of wealth and find true purpose and value in simplicity, nature and generosity. ‘ I've got the key to my castle in the air, but whether I can unlock the door remains to be seen. ’ Little Women will leave your heart full and your pen dry from underlining the seemingly endless lovely passages. I’d like to thank for convincing me to finally actually read this and not just watch the movie again (I did last night though, because who doesn’t want to relive the joy of yelling “Bob Odenkirk?!” in a theater and later sobbing) because, just when I thought I couldn’t love this story more, now I’m fully engulfed by it. Surely enough has been written about this book already, but i like to ramble about things I love so here’s a more I guess (I’ll try to keep it shorter than usual [having finished writing it now, I failed]). But how can you not be with such incredible characters? Jo is of course the favorite, but I think part of loving this book is wanting to be Jo and realizing you are Amy, but each character touches your heart in their own way. Mr. Laurence and Beth’s connection with the piano and lost daughters makes me teary just writing this. Alcott based the story on and one can read a genuine love for the characters pouring from every page. ‘ Wealth is certainly a most desirable thing, but poverty has its sunny side, and one of the sweet uses of adversity is the genuine satisfaction which comes from hearty work of head or hand, and to the inspiration of necessity, we owe half the wise, beautiful, and useful blessings of the world. ’ Alcott was a and many of her beliefs shine through in the novel. Much of this came from her father and one will be pleased to learn that the real Mr. March— —was as radical in his time as his fictional counterpart. An abolitionist who also advocated for women’s rights, Amos became a major transcendentalist figure along with his friend, . Alcott’s mother was equally radical for her time too, and many of their teachings arrive here through Mrs. March to her children. There is, of course, the belief in nature as the ideal, such as when the March girls, having little jewelry, adorn themselves in flowers instead. Even Laurie states ‘ I don’t like fuss and feathers, ’ another instance of a return to simplicity over flashy status symbols. There is also the belief in generosity, which is seen throughout with the March family always involved in helping others, and the belief that hard work is important, but not for profit reasons but because it leads to spiritual and emotional happiness and freedom. ‘ Then let me advise you to take up your little burdens again; for though they seem heavy sometimes, they are good for us, and lighten as we learn to carry them. Work is wholesome, and there is plenty for every one; it keeps us from ennui and mischief; is good for health and spirits, and gives us a sense of power and independence better than money or fashion. ’ Towards the start of the novel, the mother advises the children to be like Christian from ’s allegorical novel and we can see how Little Women follows a similar fashion of Pilgrim’s being knowledge gained through the travel of a life lived, and each daughter is shown to face certain trials and must learn to bear their burdens, like Jo’s anger, Amy’s desire to be liked, Meg’s desire for vanity, Beth’s passivity. But the largest burdens here are those of love and labor. ‘ Women, they have minds, and they have souls, as well as just hearts. And they’ve got ambition, and they’ve got talent, as well as just beauty. I’m so sick of people saying that love is all a woman is fit for. ’ The relationship to work is threaded through the entire novel. We have Jo and Amy who wish to be great and break from the traditional mold for women in society. Jo wants to be a writer, though she only publishes scandalous stories under a false name, and Amy desires to be a painter. And neither will settle for anything less than greatness ‘ because talent isn't genius, Amy states, ‘ and no amount of energy can make it so. I want to be great, or nothing. ’ Meg and Beth, on the other hand, show different routes a woman can take. The novel questions if women can find happiness outside marriage and caring for a household, and these struggles bash against social expectations along the way. ‘ I'll try and be what he loves to call me, 'a little woman,' and not be rough and wild; but do my duty here instead of wanting to be somewhere else. ’ ‘ I can't get over my disappointment in not being a boy, ’ Jo quips, and a major part of Little Women is a critique of gender roles and how they stifle people in society. Laurie is an excellent foil to Jo, in many ways, but is also a way that Alcott addresses and subverts gender expectations. Jo and Laurie both use shortened versions of their name that seem to cross gender expectations (even though Laurie didn’t like being called Dora) and in many ways Jo tends to represent more masculine behavior while Laurie often a more feminine role. While Meg dresses in finery and tries to fill the traditional role of a woman, Jo prefers to romp in nature in simple or dirty garments and behave, by her own admission, like a boy. Recently there has been a lot of discussion on the author’s gender and sexuality, with even the New York Times writing wondering if Alcott or Jo was a trans man. I know that frustrates some people but personally I find it interesting to think about, even if a bit anachronistic, but it seems to be a genuine question people investigate about authors who subvert gender expectations (think how often it was avoided to discuss ’s sexuality in the past and now we have letters and look at scenes in Mrs Dalloway and think “oh yea, that makes total sense”). Honestly, I say Jo is whatever you want Jo to be. Trans, lesbian, ace, or just a girl pushing back on gender norms. I think the key detail is that Jo was breaking out of the mold, so let that empower you as you best see fit. Personally I thought the marriage to Friedrich felt tacked on anyways (I enjoy the way the Gerwig adaptation addresses this) but, side note, I do see how Alcott weaves in the transcendentalist notion of the “universal family” and belief in learning about and supporting other cultures here. Friedrich is German, Meg marries the English John, and Laurie is said to be half-Italian, which all comes as a rebuttal to the anti-immigration sentiments of the times. ‘ I like good strong words that mean something, ’ Jo says and that appeals to my love of language as well. This book deals with love in many ways, but feels like a romance between book and reader as you enjoy every page. Little Women was ahead of its time and still stands proudly today as an endearing work that dares challenge social convention. But most importantly, it feels like a friend. Finishing is hard as now I’ll miss the days with the March sisters, and I find books that take you from childhood to adulthood often hit the hardest because you feel as if you’ve grown up together. An emotional read, also a genius one, Little Women is a favorite now forever. 5/5 ‘ Watch and pray, dear, never get tired of trying, and never think it is impossible to conquer your fault. ’",5.0,positive,"Little Women (Little Women, #1)",1934
"“Don't try to make me grow up before my time…” The March sisters may be radically different but they all have one thing in common - love. Their love for their mother and father, their love for adventure and for each other unites them in this troubled time. The Civil War is afoot and all the sisters can do is think about their father away and in battle. Their mother tries to distract them but often she can barely distract herself. Jo, a radical tomboy and aspiring author - rallies her family with her amusing plays and scribbles. I like good strong words that mean something… Meg , the beautiful sister, often puts her family first and holds them together when her mother cannot. You don’t need scores of suitors. You need only one… if he’s the right one. Amy , the youngest , was spoiled as a child and oh my, it shows. But even she can rally when life looks darkest. I'd rather take coffee than compliments just now. Beth , sweet and good-natured , valiantly cheers on her sisters but her frail health often keeps her at the sidelines. There are many Beths in the world, shy and quiet, sitting in corners till needed, and living for others so cheerfully that no one sees the sacrifices till the little cricket on the hearth stops chirping... The sisters must face hardships their New England home. They must face things that they never would have thought possible. But, even in the darkest of times, they will have each other. And that is most important of all. Watch and pray, dear, never get tired of trying, and never think it is impossible to conquer your fault. This is probably my fifth or sixth time through and yes, I am totally going to read it again. There's just something about this book that's absolutely gorgeous and timeless . I love the sisters and their relationships with each other - I see so much of myself and my cousins with their day-to-day interactions. Jo, the darling, is the perfect mix of strength and fear. Watching her grow from a brash girl to confident young woman just makes my heart happy. You are the gull, Jo, strong and wild, fond of the storm and the wind, flying far out to sea, and happy all alone. And the message of the book! Ahh. My heart. So full. It often feels like the messages from books in the mid 1800s are saccharine sweet or so heavy-handed with their themes that they're ridiculous. (Just look at the later Anne of Green Gables if you'd like an example!) But this one had just the right mixture of loving family + religion + life lessons. It was beautifully balanced. Be worthy love, and love will come. That being said, I do absolutely hate that Beth has to die . I swear, every time I reread this series, I practically rediscover that fact (my brain is incredibly good at selective memory-ing those sorts of things)...which makes it awful all the more. Oh, and am I the only one who's still bitter over who Jo ends up with? This book may have been published in 1868 but this is my hill and I WILL DIE ON IT! But don't let that spoil your interpretation - this book is truly wonderful. I love it. Audiobook Comments Read by Kate Reading - can I just take a moment for us all to appreciate the the narrator is Kate Reading? Her last name is absolute perfection. | | | | | Snapchat @miranda_reads",5.0,positive,"Little Women (Little Women, #1)",1934
"Someone I know claimed this no longer has value, that she would never recommend it because it's saccharine, has a religious agenda, and sends a bad message to girls that they should all be little domestic homebodies. I say she's wrong on all counts. This is high on my reread list along with Pride and Prejudice, Jane Eyre, and a Tree Grows in Brooklyn--you could say that I'm pretty familiar with it. Let's see--there's a heroine who not only writes, but is proud of the fact and makes a profit from it in a time that this was somewhat out-of-the-ordinary. Reading this, and especially knowing later that the main character is (for all practical purposes) Alcott herself, inspired me to write myself, and I haven't forgotten the writing lessons even today: don't let money cloud your vision, write for yourself first, take criticism, write what you know. Still wise even today. Also in this book, we see the perspective of a family coping with the financial and emotional strain of having a loved one away at war, something that is unfortunately all too relatable today. There's also (extraordinary in those times, common in ours)a platonic, though not uncomplicated, friendship between a man and a woman that is sort of a different kind of love story in a way and a powerful one at that. We see people getting married, but marriage is never portrayed as The Answer to Everything--many of the matches involve sacrifice and struggling. The girls, though good at heart, aren't a picture-perfect family of saints. They're flawed and human. The paragon Beth would seem the exception, but the message with her is more about how even the quietest among us can make an impact on the world--not parading her isolated life as an example, only her kindness. I won't lie. Someone dies, there's a war and a father's away--so yes, God is mentioned: I think there's a few Pilgrim's Progress references in passing and there's some talk of faith at moments when the characters most need it. To contemporary readers, this may seem like a lot, but heavy-handed it is not. It was probably somewhat unusual for its time. The thought that everyone's relationship and perception of God could greatly vary, and that to be true to your religion was entirely non judgmental and meant being kind to other people and trying to make yourself better, not other people? The thought that each person must be allowed to deal with these feelings in their own time in their own way? Wacky stuff. I admit it seems like a tough sell to today's kids, packaged in somewhat formal sounding-language, and bearing every indication of being literary broccoli, but this book is a classic for a reason. It might be a tough sell, but I don't think we should give up on trying to think of ways to do it anyway. What's inside still counts. Don't write it off. *note* for those of you who liked this review, check out my review of the new The Little Women Cookbook by Jenne Bergstrom and Miko Osada.",5.0,positive,"Little Women (Little Women, #1)",1934
"I’M IN LOVE, I’M IN LOVE, AND I DON’T CARE WHO KNOWS IT! When I was a child, my mother used to drag me to antique stores all the time. There is nothing more boring to a kid than an antique store. It smelled like dust and old people, and everything looked the same (dark wood), and if we were in a particularly bauble-heavy shop I had to clasp my hands behind my back like a Von Trapp child in order to avoid invoking the you-break-it-you-buy-it policy on a $42 crystal ashtray. On one such excursion, when I was like eight, I found a vintage-ish copy of Little Women. Because it was a book, and because it had some kind of illustration of pretty girls in pretty dresses, it was far and away the most interesting thing in there. So I indulged in what was then and what remains one of my favorite pastimes: asking my mother to buy me something. She said no, both because it was confusingly expensive and because she doubted eight-year-old me’s lasting interest in reading a 750-page book from 1868. Ever since, Little Women has tantalized me. I am very pleased to say it lived up to every expectation. This book is so cozy and delightful and happy. A lot of the time, when series start out in the childhood of characters and then follow their growing up, the book gets worse. But I always liked reading about this ragtag group of gals!! Warning, spoiler ahead, and if you complain about me spoiling a book that was published seven of my lifetime ago I will absolutely freak out so don’t say I didn’t give you a heads up: Obviously Jo and Laurie were meant for each other, and his marrying Amy and Jo’s marrying some random old dude was the biggest flaw of this book. But even with that, this book ended happy, and I enjoyed almost every second of it. (Okay, I’m sorry, but Amy is the clear weak link and didn’t deserve Laurie!! I will not rejoice for them!!) (Did I have to take off a half star for that alone? Yes. Because it upset me immensely. And I won’t apologize. If anyone should be apologized to, it’s ME. And also JO. And also LAURIE!) But absolutely every other second was a pleasure. Bottom line: This book feels like Christmas. --------- pre-review cozy: ✓ comforted: ✓ joy: ✓ review to come!!! --------- currently-reading updates I am ready to feel COZY. I am ready to feel COMFORTED. I am ready to feel JOY.",4.0,positive,"Little Women (Little Women, #1)",1934
"Yes, yes. I AM a grown-ass man reading this, but I'm not even remotely ashamed. What I tried to do here was dispel the extra melodrama & embrace the cut-outs (fat trimmed out) of the Winona Ryder film. I was on the hunt for all the ""new"" (ha!) stuff that the regular person, well informed of the plot involving four young girls growing up (or in the case of Beth, not) never even knew existed. But it seems that the film did a great job not adding many more scenes than direly needed (like the Byrne-Ryder night at the opera scene-- it explains why she doesn't choose Laurie after all) nor taking indispensable scenes from the century-&-a-half old novel to the cutting room floor. Alas, there's a good reason why Entertainment Weekly once decreed that the film was a great comfort to all post-911 victims--a holistic healing to the nation as a whole. The story has no great battles to speak of... no violence, no terrible disasters. The minutiae is symbolic of fragile domestic existences... important & very fun to read about--this coming from a Bridget and Carrie Bradshaw fan of course. ""Little Women"" is at its core all about Old School American values, such as temperance, forgiveness, hard work. It has astute lessons aplenty--to rival even old Aesopus himself. Laurie and Amy have the best lines, & there are plenty of groans amidst cute vignettes and harsh but necessary life lessons--for Americans and non alike. This is relevant today, more so than ""On the Road"" or other so called ""quintessential American classics""--& that's a genuine plus. This one stands as outstanding soap opera theatrics woven intelligently with American history herself. Good stuff, like a wise mentor of American Lit would say. Also, mega appropriate for the season! (2014)",4.0,positive,"Little Women (Little Women, #1)",1934
"This book means SISTERHOOD... FAMILY… HAPPINESS…TOGETHERNESS… THANKFULNESS… GENUINENESS…SOLIDARITY…BELIEFS… RESPECT…UNCONDITIONAL LOVE…HONESTY…KINDNESS… This is magical book, when I get into my hands for the first time, I was only eleven and for decades I kept on getting it into my hands, reread it several times and same words resonated different for me, awoke different feelings, made me look at the characters’ flaws and differences at brand new perspective. Even though I know the ending: I laughed, I cried, I sighed, I smiled, I jumped, I felt peaceful and at the end I LOVED IT TRULY, DEEPLY so MUCH! Christmas is coming. You think there won’t be Christmas without presents and I think there won’t be any meaningful celebration without doing my yearly reading of this book and reconnecting with Holly March Sisterhood. Joe (tomboy, book-worn, hot-tempered, writer, definitely closer to my character), Meg (Romantic, sweet-natured, peace maker older sister), Beth ( sweet, shy, cute, friendly, fallen angel, musical prodigy) and Amy (spoiled, childish, artistic, elegant, refined youngest one): I LOVE YOU BOTH. It is why this book is always my all-time favorite one! Time to reconnect with the sisters and feeling the best holiday spirit!",5.0,positive,"Little Women (Little Women, #1)",1934
"I hated this book. I can't even begin to go into all the reasons I dislike this novel. It's dull and preachy through out most of it--aside from Jo who is a truly inspired character. But everyone else seems one note, most of the chapters come off as morality plays than solid scenes or plots. And just when Miss Alcott has something seemingly interesting she breaks it for no other reason than to do something. Whether its the pairing of Amy and Laurie (huh?), the point made CONSTANTLY that Beth's life isn't useless because she is an angel and showed them that angels do exist and is a total Mary Sue(Really? Cause I'm glad she died before I died of boredom), the forced pairing of Jo and the Professor (Why? I mean--really... Just keep her single) there is also the message that pursing art is selfish. (Jo giving up her writing, Laurie gives up his music, Amy gives up her sketching...) It's not a message I expected--this book is always lauded as one that has inspired countless girls... To do what? Because outside of Jo's sipirt I dont really see much to aspire to in this tsory? The overall message seems to be that as a good Christian one should sacrifice being an artist, being in love with who you want and any hope of independence... It's not because I'm from the modern era that I dislike this book. (Or that I'm an adult reading it.) If you look at other works being done in the same time period you will see that there were stories with less moralizing being done--including by Miss Alcott herself. I was just really disappointed",1.0,negative,"Little Women (Little Women, #1)",1934
there are no actual little women in this book. all regular sized women. title is misleading. 0/10. would not read again,1.0,negative,"Little Women (Little Women, #1)",1934
"The two books that I have read the most in my life: Little Women and Walden. Louisa May Alcott wrote Little Women in 1868. It centers on the 4 young March sisters: Meg, Jo, Amy, and Beth. Each of the sisters has a distinct personality. Meg is the oldest, Jo is the writer and tomboy, Amy is the vain one, and Beth is a saint. The sisters are guided by their mother, Marmee, and they strike up a friendship with the next-door-neighbor boy, Laurie. Little Women follows the March sisters as they grow up. Each chapter is relatively short and usually features a moral lesson without being preachy (much like parables in the Bible). Transcendentalism Now, I mentioned Walden. What in the world does that have to do with Little Women? Why I am so glad you asked (or if you didn’t I will tell you anyways). Walden is authored by a man named Henry David Thoreau. He also lived in Concord, Massachusetts, the same as Louisa May Alcott. Additionally, Thoreau and Louisa May Alcott were friends. They were both transcendentalists. Transcendentalism is centered around the philosophy of simple, plain living with high thinking. When was the last time you received an advertisement that said, “Buy less!” or “Stop buying things. You are enough!”? If you are like me, that has never happened. Yet every day, we are inundated to buy more concealer, a new pair of skinny jeans, a lavish vacation, or a gigantic mansion that will surely make us happy. Transcendentalism is anti-consumerism. It is a reminder that there is another way to live. Little Women is the more digestible version of Walden, but if you loved Little Women and enjoyed the morals therein, I highly, highly, highly suggest Walden (alright I suggest Walden to practically anybody). Jane Austen The last time I read Little Women was before the internet existed. When I picked this book up again for this reread, I am a completely different reader, and I have even more respect for Louisa May Alcott than before. One of the things that I simply hate about Jane Austen is that her characters just seem to sit around and do nothing but complain about men and their highest desire is to be married (the female characters also do a bunch of silly things). Louisa May Alcott is the opposite of Jane Austen, and I like her more for it. Her female characters are strong. At the beginning of the novel, both Meg and Jo are working jobs to support their family. Jo dreams more of being a writer than getting married. Marmee is more focused on raising wonderful people versus marrying off her daughters. One of the characters in Little Women refuses a marriage proposal. When she says no, she says that she really means no. In Jane Austen’s novels, her heroine receives multiple marriage proposals, and she says no and then yes. This is very confusing to young readers. Are you supposed to say no when you really mean yes? I think Louisa May Alcott has the better idea of just saying no when you mean no. As an introvert if I get even an inkling that the other person isn’t interested, I will never try again so if you mean yes, you should probably say yes and leave mind games to Jane Austen novels. Overall, Little Women is a timeless classic, one that should be read over and over again. 2025 Reading Schedule Jan	A Town Like Alice Feb	Birdsong Mar	Captain Corelli's Mandolin - Louis De Berniere Apr	War and Peace May	The Woman in White Jun	Atonement Jul	The Shadow of the Wind Aug	Jude the Obscure Sep	Ulysses Oct	Vanity Fair Nov	A Fine Balance Dec	Germinal Connect With Me!",5.0,positive,"Little Women (Little Women, #1)",1934
A new movie is coming out December 25th... I've never read it so I might have to do a readalong for it that month!,,,"Little Women (Little Women, #1)",1934
