review,rating,sentiment,book_title,book_id
", and in an adrenaline-fueled all-caps teen reviewing frenzy, will inadvertently give a major spoiler for this book. avoid these people, even though ordinarily, they are pretty cool. this is a really well-written teen fiction book. i mean, it won the printz award, i'm not discovering america here. i think i wanted to emphasize that it definitely reads like a book intended for a teen audience. and i think that me as a teen would have numbered this among my very favorite books. however, as an adult, there are a lot of years between me and the characters in this book, and i have read a lot more books than the average teen, so i am mostly jaded and ruined, but imagine me discovering this at say, 13... 1) a group of smart kids going to boarding school who read all the time and take pleasure in learning and have hundreds of books and quote marquez and rabelais. karen would have loved to have had friends like these. 2) emotionally unstable female lead who is mysterious and changeable who is not afraid of her sexuality but doesn't use it all the time to get what she wants who says tough and dramatic things like Y'all smoke to enjoy it. i smoke to die. (thirteen year old karen loves this line, grown up karen rolls her eyes) 3) drinking and smoking and fornicating that do not lead to bad grades and ruined lives. there are other causes for those things... 4) blow job tips. 'nuff said 5) brief crash course in eastern religions that would have been so exotic to small town karen. and the structure would have been novel to young karen: countdown leading up to the event then countdown leading away from it. very cool. so i see why the kids like it. and i liked it, too, but i think it would have been more important and surprising and enchanting to me as a kid - all the first love and first loss type stuff, all the unwritten behavioral codes between the teens and the authority figures, and the slow unravel of a mystery. very cool. but i have a question. and it is a spoiltastic question, so i am going to put up a barrier of images to protect anyone who has not read it, and wants to. these will be subliminal suggestions that are so subtle you won't even know what is happening... dude, seriously - why didn't jake go to alaska's funeral?? there is no reason for him not to have and there is absolutely no explanation given. it makes it easier for the author, yeah, to not have to write a confrontation scene between jake and pudge, and to have the mystery unravel more slowly, but it makes zero sense for someone so in love with his girl to not go to her funeral. seriously. dumb. i will accept any private messages about this, to keep the thread spoiler-free, but until john green tells me why, i am going to say ""dumb.""",4.0,positive,Looking for Alaska,99561
"That's me, realizing I was about to give a big one star to a super popular book on Goodreads. It didn't stop me. This book was beyond stupid. Miles is a little nerd boy from Florida, he is going away to boarding school hoping for a new life or maybe his ""Great Perhaps"". The Great Perhaps comes from a minute reference to some poet. Thrown in to this book to make it all edgy and shit. Fail. Once he gets there his roommate (the requisite character that is so poor but super smart) befriends him. The Colonel aka Chip takes Miles (now known as Pudge) under his wing and now he has friends! Including the super special Alaska, she is the beautiful, cool and allusive girl. She is moody and spontaneous. Of course, the boys all love her milkshake..including our Pudge. That smoking line? It's from the book. *head-desk* Then another thing..and this was a big one for me. John Green, you have enough dang money that if you are going to write southern characters at least try, TRY!!! to get them halfway right. You just put every stupid stereotype known into the characters that are southern for this book. You made them all sound stupid. If they didn't go to this wonderful boarding school that erased their accent they sounded like ignorant hicks. I hate to tell you honey, but last time I check Florida is also in the south. They have accents too. You lost a star just for not taking the two seconds to research southern speech. I've lived here my whole life and I have never heard someone speak like you had several characters speaking. Anyways, for me. This book glorified the whole ""oh I'm so dark"" ""don't you want to be me"" shit. FOR ME It glorified suicide even though Alaska technically did not commit suicide. My southern ass will give this book a big ole ""hell to the no."" (I really need that sarcasm font) For all the little fangirls and trolls that I'm sure I'll being seeing really soon. Here's a message for you. and bite me. Book source: Library",1.0,negative,Looking for Alaska,99561
"WROTE THIS IN 2010!!!!!!!!!!!!!! Now I am TEN YEARS OLDER. **** I didn't like this book. This is not what I expected to be. I hoped to find a book in the style of Stargirl (or something novel) and what did I find? A bunch of teens who try to ease their anxieties in their not-so-original vices and a sudden drama which leads to nonsense talking. All hiding, of course, in a couple of beautiful quotes that wrap all the 'inspiring-sites' on the internet, the reason I got to the book and I bet that you too. Boring, it was so so boring. I didn't like the characters. Alaska was unbearable (oh no wait, she was awesome if you were a character too: fantastic girl,beautiful and wonderful and ohmarrymerightnowplease , and she had to be an intelligent woman, so the author made her feminist and an avid reader, to prove she had brains), and there is no need to write about the boys because... booh . The main character was a cronic linnet, who got lost in his difficulties (mostly, not having a girlfriend, such a big problem you see) and searching The Great Perhaps, thing he forgot to do so easily so... What a waste of time! 2013 EDIT: almost FOUR years have passed since I read and reviewed Looking for Alaska and I hope nobody expects me to discuss anything related to the book. It's great if you loved the book but I didn't. Maybe at this time of my life I would express myself in a different way but when I wrote this I was convinced of all I said before. After Looking for Alaska, I read other John Green's books. And I loved some of them, like really did. It's sad that Looking for Alaska didn't work for me but I think it is wonderful that it did for you. Not so many books can inspire that kind of passion :_) Thanks everybody for your likes and comments and my apologies for not answering them anymore. 2020 EDIT: I read this MORE THAN TEN YEARS AGO (I was about 20, so before sending me to tiktok guess my actual age first, please, I could be your mother by now) and I still get comments saying the same thing over and over again and honestly... I read the comments twice in the last... two or three years. Don’t waste your time being angry at me for not sharing your thoughts about a book because If you are lucky I’ll notice next year and... well, I bet you have better things to do. And nowadays I ONLY REVIEW IN SPANISH. So don't expect more reviews on crack like this unless you speak or understand Spanish. Thank you very much!",1.0,negative,Looking for Alaska,99561
"I'm going to explain my emotions about this book in a billion of gifs because I love this book too much to put into words <3 So first I was like... because Pudge was pretty cool. Then we met the Colonel, and I did this because the Colonel is awesome! and he got my approval. Then we met Alaska and I go because, who knows? She's really not that bad. Then we really get to know her and I'm like Then ALL this stuff happens and I don't know what to expect, because now we're at the After part, and I'm excited... Then BAM! And I'm like... Because there is NO WAY that can happen and I'm pretty sure someone is playing a sick, sick joke on me. Then I realize its not a joke, and the waterworks start flowing... And I'm like... And... Then I finally calm down... And I'm trying to stay strong and remember it's only a book so I'm like... Then I can't help myself and go back to ugly crying... Then FINALLY... acceptance. or as close as I can get to it! Then, after all that, I realize... I LOVE THIS BOOK!",5.0,positive,Looking for Alaska,99561
"My assistant Amanda has been a John Green fan for ages, which is one of the reasons I decided to start giving his stuff a read. I decided to start here because it was one of his first books. After I finished this book, I went to her and asked, ""Are all of John Green's books going to leave me feeling like I've had a hole kicked straight through my guts?"" ""Not all of them,"" she said. ""But yeah. Some."" I thought about this for a while, then asked her. ""In Name of the Wind, when X happens, did it feel like that when you read it?"" (Except I didn't say X, obviously. I mentioned a particular scene in my first book.) ""Well,"" Amanda said, ""Not really. His scene is more central to his book. But even so, yeah. It was kinda like that."" ""Shit,"" I said. ""Sorry about that."" So yeah. Sorry about that.",5.0,positive,Looking for Alaska,99561
"I just want to know what weed addicted brunette broke JOHN GREEN heart in highs school and gave him enough material for a decade’s worth of identical books. I have really got nothing to say about this book. It’s shitty like all of this other books no doubt about that!! Speaking of MILES PUDGE HALTER is a misogynistic piece of shit. Throughout the book he objectifies Alaska and cheats on Lara , he belittles Takumi and is just a whining piss baby.",2.0,negative,Looking for Alaska,99561
"Wow. I must've skipped a bunch of pages or read the Hebrew translation or was having root canal or something because that was one terrible book. All those awards-- WHAT??? Such a clumsy story— every move of the author was heavy-handed and so transparent I felt like I was a fly on John Green's ceiling watching him go ""Oh that's good-- oh that's just precious"" and fall asleep in his soup again. Miles—I mean ""Pudge,""as he is deemed within minutes of his arrival at his School of Great Perhaps— may be looking for Alaska throughout this story but I sure knew her right away. She's the pretty girl who's even prettier because she's a bit damaged and makes you feel like you have a chance with her because she's a flirt. Yes, she's a hopelessly thin character, as are they all (with the exception of The Colonel). Takumi, for example, who is supposed to be one of the Big Four around whom this story revolves, is completely characterized by his unrealistic rap improvs (""My rhymin' is old school, sort of like the ancient Romans/ The Colonel's beats is sad like Arthur Miller's Willy Loman"") and basically disappears from the story until required by the plot to re-emerge with More Information. Lara, Pudge's first girlfriend, is so bland she is given a Russian accent complete with long e's for short i's (""I put the stuff een the gel... and then I deed the same thing een Jeff's room"") to prevent her from evaporating off the page and into THEEN ARE. In fact, each character is carefully provided with a shtick, often a savant-like ""talent"" that would in reality win game shows but is meant to be That Thing That Makes Him Special: The Colonel can remember capitals of countries to the point of extreme autism! Pudge knows the last words of famous people— only he's so doggone quirky that he reads the biography but not the work of the famous person! And our precious Alaska? She keeps stacks and stacks of books in her room that she intends to read (when she's done selling cigarettes to high school kids, I guess), called her life library (or something), but has wrestled with life's Big Questions alongside some very Heavy Thinking Authors, and can recite poetry, of course. Everybody is way too philosophical and literary for their own good, but god forbid the reader is allowed to think. Lest you miss the point, every moment is interpreted for you: I finally understood that day at the Jury: Alaska wanted to show us we could trust her. Survival at Culver Creek meant loyalty, and she had ignored that. But then she'd shown me the way. She and the Colonel had taken the fall for me to show me how it was done, so I would know what to do when the time came Ok, then—I guess that's what happened, except that's just not the way high school kids work. Even word choice reveals fear we won't get it; if an author has to tell you FIVE TIMES in the book that the character ""deadpanned"" instead of ""said"" (the Colonel""deadpanned"" three times and Pudge, just a little less dry I guess, ""deadpanned"" twice) then either the dialogue is not written well or the author believes it is not written well. (The former, at least). So just hanging with these kids leaves one searching for a third dimension, but then the story itself pretty much jumps genres halfway through, from slacker-YA-Holden-mentioned-on-the-back-cover to straight mystery. Why'd she do what she did? Lest I ""spoil"" this story for you, I won't go into this part, but suffice it to say the above question is left out in the sun to rot while we are forced to look on, sniffing the decay. The story doesn't work in any genre anyway. I know what the story is supposed to do— make me fall in love with Alaska, feel all warm and cozy when the four friends smoke cigarettes, shoot the breeze, and look out for one another, and care when one of them screams with cosmic agony, but alas. Maybe if I wasn't basically tapped on the shoulder and demanded these reactions I would be better at having them, but lines fall flat and soggy like cigarettes tossed casually into some cliche prep-school lake: The Colonel let go of my sweater and I reached down and picked up the cigarettes. Not screaming, not through clenched teeth, not with the veins pulsing in my forehead, but calmly. Calmly. I looked down at the Colonel and said, ""F— you."" My first Kindle read, too!",1.0,negative,Looking for Alaska,99561
yup. this is not the right book to read for the first time at 23 years old in 2020. yup,2.0,negative,Looking for Alaska,99561
"""The Great Perhaps."" Miles ‘Pudge’ Halter is a quirky teenage boy starting Culver Creek Preparatory High School. In short time there he befriends strategist Chip ‘The Colonel’ Martin, gifted Takumi Hikohito and beautiful Alaska Young. The wild and troublesome group quickly grows close and strong in camaraderie; until the fateful day arrives when their lives are forever changed. Sometimes you can see the storm coming, but often tragedy occurs when you least expect it. Another Green masterpiece alongside , with many quotes and moments to remember by. In “Looking for Alaska” you can find many of the elements that made TFIOS so great; the captivating writing style, the ever memorable characters, the unputdownable pacing, the engrossing plot twists, and so on. The story is divided in two parts, the ‘Before’ and ‘After’. Both parts distinctively unique, emotional and sometimes even funny. And Gosh! I really loved that wild and crazy ending! However, unlike TFIOS, I couldn’t fully empathize with the characters. I understood them, I accompanied them in their pain and joy, but couldn’t deeply connect with them. The characters are hardly lovable, and most of the time borderline unlikable, if not completely obnoxious. Yet, despite being seriously flawed, you still grow to love them, or at least as part as the story as a whole, whether you like it or not. So very memorable characters, for all the right and wrong reasons. All in all, discounting a few cons, this was an unique and beautiful story that will most likely stay with me for the rest of my days, or so already has for the past decade. A must read in life, especially if you enjoy Green or anything YA. Highly Recommendable, for the right audience. *** The TV series (2019) is a fairly faithful adaptation, capturing much of the book’s essence. Charlie Plummer, Kristine Froseth and Denny Love; Pudge, Alaska and The Colonel, respectively, the best of the movie by far. Not a superb acting mind you, but a great casting nonetheless. Loved the artistic cinematography of the whole series and the quirky young adult vibe. The eight episodes reasonably faithful to the work, the last one being my favorite. The ending was exquisite and beautifully depicted. Of course the book was vastly superior in almost every way, like so often happens, but still a great complement to the reading; and always a fantastic experience to see a book you loved come to life. Recommendable. ----------------------------------------------- PERSONAL NOTE : I think this book is about loss, and not knowing how to deal with the pain. Everyone lost something with Alaska, a love interest, a friend, a partner in crime, a student college. And their friends managed to find a way out of the labyrinth with their ""final act"", Alaska was freed, and in doing so, so were they. [2005] [221p] [YA] [Highly Recommendable] [""So I walked back to my room and collapsed on the bottom bunk, thinking that, if people were rain, I was a drizzle, and she was a hurricane.""] ----------------------------------------------- ★★★★★ ★★★★☆ ----------------------------------------------- ”El Gran Tal Vez.” Miles ‘Pudge’ Halter es un extraño chico adolescente empezando la Preparatoria Mayor Culver Creek. A poco tiempo de llegar se hace amigo de Chip ‘El Coronel’ Martin, el enigmático Takumi Hikohito y la hermosa Alaska Young. El alocado y problemático grupo rápidamente crece fuerte y unido en camaradería; hasta que un fatídico día llega cuando sus vidas dan un terrible vuelco. A veces podés ver venir la tormenta, pero a menudo la tragedia golpea cuando menos lo esperas. Otra obra maestra de Green junto a , con muchas citas y momentos para el recuerdo. En “Buscando a Alaska” se pueden encontrar muchos de los elementos que hicieron a BLME tan grande; el cautivador estilo de escritura, los siempre memorables personajes, el ritmo que no te permite parar, los absorbentes giros de trama, y demás. La historia se divide en dos partes, el ‘Antes’ y ‘Después’. Ambas partes distintivamente únicas, emotivas y a veces hasta graciosas. ¡Y por Dios! ¡Cómo amé ese salvaje y alocado final! Sin embargo, a diferencia de BLME, no pude empatizar completamente con los personajes. Los comprendí, los acompañé en las buenas y en las malas, pero no pude conectar profundamente con ellos. Los personajes apenas si son queribles, y la mayor parte del tiempo rayando desagradables, si es que no completamente insoportables. Aun así, a pesar de todas sus grandes fallas, uno aprende a quererlos, o al menos como parte de la historia en su conjunto, ya sea que te guste o no. Tan memorables personajes, por buenas y malas razones. Dentro de todo, descontando algunos contras, esta fue una historia hermosa y única que muy probablemente permanecerá conmigo por el resto de mis días, o así ha sido el caso durante la última década. Un deber para leer en la vida, especialmente si disfrutás de Green o cualquier cosa Joven Adulto. Altamente Recomendable, para la audiencia correcta. *** La mini serie de TV (2019) es una bastante fiel adaptación, capturando mucha de la esencia del libro. Charlie Plummer, Kristine Froseth y Denny Love; Pudge, Alaska y El Coronel, respectivamente, lo mejor de la película por lejos. No una sobresaliente actuación en absoluto, pero sí un gran elenco. Amé la artística cinematografía de toda la serie y la rara vibra de joven adulto. Los ocho episodios razonablemente fieles a la obra, el último siendo mi favorito. El final fue exquisito y maravillosamente representado. Por supuesto el libro fue superior en casi cualquier forma, como tantas veces pasa, pero igualmente un gran complemento para la lectura; y siempre una hermosa experiencia ver un libro que amaste cobrar vida. Recomendable. ----------------------------------------------- NOTA PERSONAL : Creo que este libro trata sobre la pérdida, y no saber cómo lidiar con el dolor. Todos perdieron algo en Alaska, un amor, una amiga, una compañera de crimen, una colega estudiante. Y sus amigos encontraron una salida fuera del laberinto con su ""acto final"", Alaska fue liberada, y a través de ella, ellos también. [2005] [221p] [Joven Adulto] [Altamente Recomendable] [""Así que regresé a mi habitación y caí sobre la litera inferior, pensando que si las personas fueran lluvia, yo sería llovizna y ella, un huracán.""] -----------------------------------------------",4.0,positive,Looking for Alaska,99561
"Update- 3/10/23 Boy I was passionate 9 years ago. 🤦‍♀️ I still dislike this story but any book that gets me this worked up, deserved better from me. If you can write so well, that I become so invested into the characters, even if I hate those characters, you are a brilliant writer. Officially giving another 2 star for a total of 3 stars. Update- 4/12/14 This review/rant receives more comments than any other book review I have. I decided to reply to a few of the comments in my review because the people that don't like my review/rant don't like it for pretty much the same reasons. First, please note there are spoilers. However, the spoilers aren't really spoilers since it doesn't affect your enjoyment or lack of enjoyment if you know the big secret. Nevertheless, a helpful few have pointed out that I have spoilers and I didn't mark them. So are you happy now? Ok, now to another criticism. Many lovely critics bring up the same point- ""maybe John Green just wanted to show a flawed character & you just don't grasp the flawed character""...blah,blah,blah, I'm paraphrasing here and kinda combining all the criticism. All right I'll bite. Yes, Alaska is flawed. That is obvious. Ok? Did Mr. Green show how Alaska was flawed and resolve either her flaws or how others deal with her flaws if she chose not to change her ways? Nope. Still not buying my argument? Ok. Let's say for the sake of argument, Alaska was a puppy abuser. She goes around kicking puppies. Is her puppy kicking dealt with? Do any of the characters say ""listen Alaska Darling, you kick one more puppy and I'm kicking your ass""? Ok, maybe that is a bit extreme, how about does Mr. Green have his characters abandon Alaska because she refuses to give up her puppy kicking ways? Nope. I know, you are saying, ""listen, you stupid idiot, Alaska didn't abuse puppies, she only abused other's people's kindness, took advantage of people, emotionally manipulated people and was an all around piss poor person that used her own poor past to lash out"". Oh, ok, I see what you mean, nope, not a puppy kicker...clearly I'm wrong. Below is the old rant/review...enjoy I'm totally going to regret putting this review in and I'll probably change it later but oh...what...the...hell.... Poor Alaska. She screwed up in her past. She blames herself for something that happened when she was a child. It caused her to be moody, withdrawn, angry, and unpredictable. It caused her to drink too much, take unnecessary risks, take advantage of other people’s kindness. One minute Alaska was fun, the life of the party, caring, and everyone’s best friend. The next minute, she was the bitch. Poor, poor Alaska. Let’s save Alaska. Give me a break! Alaska acted the way she did because she could. She used her past as an excuse for her destructive behavior. Alaska’s friends enabled Alaska’s behavior because they didn’t stand up to her. In fact, they had destructive behavior that needed to be addressed as well but since this book is called “Looking for Alaska”, I’m going to focus on Alaska. Many people had really shitty childhoods. Many people were physically and mentally abused as children. Many people were left to survive on their own as children…hungry, dirty and alone. These people didn’t grow up to use their bad childhood, their own guilt, or their past mistakes to act out, take advantage of other people, or to basically treat people like crap. I’m not uncaring. Far from it. I have a ton of compassion. I’m too caring. But being a victim does not excuse your behavior. Being a victim does not justify your behavior. You still have to treat people with kindness, compassion, love, and honesty regardless of what struggles you survived. Get help, and then move on. If someone is treating you wrong, call them on it. Don’t look into their past to try to explain away their behavior. That is BS. It isn’t quirkiness, it isn’t moodiness, it is abuse. So dear Miles aka Pudge, why are you seeking Alaska’s forgiveness? You did nothing wrong except failing to recognize Alaska’s destructive behavior and failing to get away from it. If a person is friendly, kind, caring one minute, but then angry, withdrawn the next, THEY have a problem. If a person is drinking too much, partying to hard, ignoring authority, breaking the rules, THEY have a problem. If you are trying to figure the above-mentioned person out, if you are trying to solve that person’s problems, figure out why they are the way they are, YOU have a problem. I’m off my pedestal now. I’m going to probably change this review once I stop being so irritated but for right now, I’m rolling with it. And if I didn’t “get” the true meaning of the book, well, I’m sorry; I don’t want to “get” it. I don’t care. Alaska sucked as a friend and she was a lousy human being, and she took up too much of my time by reading the book.",3.0,neutral,Looking for Alaska,99561
