review,rating,sentiment,book_title,book_id
"Stephen King once said, ""Stephenie Meyer can't write worth a darn. She's not very good."" I couldn't agree more, Stephen. With that, we shall kick this off with a joke: Heh. This re-reading is brought to you courtesy of . I'm sorry folks. I just could not get through this shit book another time. However, since I've already read it a few times, I feel extremely confident in skipping to the review. But first, can someone please explain to me why this book is 563 pages?! Seriously, how is it possible a book with almost no plot can be so long? When I first read New Moon back in 2008, I didn't like it. In fact I'm not even sure why it had three stars because I remember being super frustrated. Even though Edward and Bella's relationship deeply disturbs my soul, Bella is so incredibly boring without him. I'm not even sure how Stephenie Meyer managed 563 pages. Truly, I'm amazed because I can sum up New Moon in one big picture: But let's get on with it, I'll go into some detail for ya. The book starts off on Bella's 18th birthday, a day she has been dreading for months only because in her mind she will be one year older than Edward. So, she makes a huge production about people not celebrating her birthday, but the Cullens ignore her and Alice plans a party. Before Edward forces her to attend they watch Romeo and Juliet (the book's supposed theme) and they have merry little conversation about Edward's contingency plans once Bella dies. Now, let's not forget they've only been dating for a few months. Yet, here they are making out and talking about killing themselves in the event of the other's death. How romantic. Don't even ask me the logic behind how they can even kiss when his teeth are supposed to be ""venom coated."" Stephenie Meyer gives some bull shit excuse she must have learned from ass-grab 101. But I digress... Finally, they make it to the birthday party. Bella gets a paper cut and Jasper almost single-handedly ends this series on page 29. Unfortunately, to my dismay his attempt was foiled by Edward. Eddie pushes Bella out the way and she crashes into the glass plates, slashing up her arm. Pause, let's think about that scene a bit: Who's bright idea was it to have glass plates? With a human. In a room full of vampires. That drink blood. Isn't Alice psychic? Why didn't she see Bella cutting her finger on the wrapping paper? Wait, don't think about that because if you spend all your time contemplating the stupidity, we'll never get through this review. Obviously, Eddie is not happy with the events that went down at his place and Bella further irritates him by apologizing for...wait for it...being human. Bella, you know you've been hanging out with mythical creatures too much when you start thinking your humanity isn't normal. But anyway, Eddie does what any loving boyfriend would do after their girlfriend is attack by their brother: he ignores her. And because Eddie is ""Alpha Male Edward"" and Bella is ""Submissive Mary Sue Bella,"" she doesn't confront him about it. Instead, she waits for him to be ready. On the third day of ignoring her, he drags he into the words and chucks up the deuces. The exchange goes a little like this: Alpha Male Edward tells Submissive Mary Sue Bella firmly, ""No, I don't want you to come. You're no good for me."" And she pretty much agrees realizing how much of a waste of space she is. Then Edward just pours salt all over her open wound and tells her: ""Don't do anything reckless or stupid,"" he ordered, no longer detached. ""Do you understand what I'm saying?...I'm thinking of Charlie, of course. He needs you. Take care of yourself--for him."" I nodded helplessly. Wow. Relly? You're just going to let him order you around like that? How about you look after yourself FOR YOU first, everyone else second? Awesome Bells. Can I call you Bells? Not only do you have ZERO self-preservation skills, but also no self-confidence. Just awesome. There's only about a million or so girls looking up to you as a role model. No pressure to be a strong female character. You could have walked away from this with grace, but no, instead all your dignity flies out the window when you pull a bitch move and run after Edward through the woods. Then, she defaults back to ""Fuck my life"" mode and slips into a depression for four fucking months. I find it kind of funny her depression was longer than their actual relationship. Heh. But this wasn't just any depression, it was some serious shit. I always had nightmares now, every night. Not nightmares really, not in the plural, because it was always the same nightmare. You'd think I'd get bored after so many months, grow immune to it. Or how about this: Even my outsides looked different--my face sallow, white except for the purple circles the nightmares had left under my eyes. My eyes were dark enough against my pallid skin that--if I were beautiful and seen from a distance--I might even pass for a vampire now. Once again I find myself asking the question: Where are her parents?! Why did Charlie let this go on for FOUR months?! She should have been in counseling or something. But Meyer thinks she can just pacify readers by Renee sending a random e-mail here and there or Charlie just suggesting she seek help, only to be shot down by Bella. Fail. So much fail. All that considered, that's not even the biggest problem I have with this book. Bella soon figures out she can conjure up hallucinations of Edward if she does something reckless or suicidal. This is where Jake comes into play. Bella uses Jake (like everyone else) to get what she wants by asking him to fix up two motorcycles she found and giving her riding lessons. She figures it will be the perfect thing to help her see more of Edward. I suppose she simply forgot how big of a klutz she is and once the bikes are fixed the lessons commence. The first time she gets on she falls off and Jake (the only one with common sense) thinks they should call it a day before she gets hurt. But Bella thinks this is BK and she can have it her way, and gets back on the bike. Chick has gone batshit crazy and she promptly busts her ass. But she doesn't care because her mission was a success! She got to see and hear Edward! Her next brilliant idea is to throw herself off a cliff during high tide. The first time I read this I was secretly hoping she would drown, but the other two books already were published, so it was a hopeless wish. Oh and I almost forgot to mention the actual plot. LOL. Funny how that happens when there isn't one, huh? LOL. The She-vamp, Victoria, is scoping out the area trying to get to Bella. But her part is VERY small in this book (like the plot), so we don't really need to talk about her. I suppose the wolf pack is worth mentioning: They're pretty much a bunch of wannabe werewolves that run around with their shirts off. That's all you really need to know about them. So, finally Alice shows up in chapter 18 because she thought Bella was trying to commit suicide (close enough Alice). And through a nice little exchange of ""he said, she said"" BS, Edward is off to Italy to kill himself. This causes Bella to go into ""hero"" mode and race to Italy and save Edward. I really don't care enough to give my thoughts on the race to Italy. That entire part was rushed and anti-climatic. There isn't even a fight scene. Instead here is a timeline courtesy of (Thanks for the link Cait and Jen!): Anyway, they get back to good old Forks and Bella composes a vote on everyone's thoughts of her joining team undead. Edward is at a steady ""no"" along with Rosalie. But everyone else says, ""Hell yes!"" Like becoming a vampire is a party or something. Funny thing is when Bella asks Jasper he goes: And she's all: Hmm, yeah, that's not weird at all. Not the least bit creepy. In the last few pages Edward and Jake have a little pissing contest and Edward proposes to Bella. The End. Yawn. Thank God it's over. Now where's my fuckin' chocolate? My Twilight Review can be found . ***BONUS*** Oh, yeah, bonus time. 'Cause what's a review without one? Quick! If I were to light Edward on fire what would he become? More reviews and more at .",1.0,negative,"New Moon (The Twilight Saga, #2)",49041
"Forbidden to remember, terrified to forget; it was a hard line to walk. Really cringing at my younger self.. And yet....I still loved it So, I guess I'm cringing at my older self too. Before you, Bella, my life was like a moonless night. Very dark, but there were stars, points of light and reason. ...And then you shot across my sky like a meteor. Suddenly everything was on fire When Bella gets a paper cut during her birthday, she (in typical ridiculously unstable fashion) slices her arm open and stuffs it with glass. She becomes surrounded by seven thirsty vampires. While she manages to make it out alive, Edward is horrified by what his family has the potential to do. (How is this a surprise?) ( They're bloody vampires. ) Edward does the sensible thing and completely erases himself from her life. Bella does the sensible thing and completely erases her mind. She throws herself into this weird fugue state for the first few chapters. I honestly have no idea how to live without you. Codependency for the win. Seriously, their relationship is so messed up when I think about it. 100 year old man, 18 year old girl. I mean technically it isn't statuary but give Edward a few wrinkles and a stooped walk...and this book would be giving off a whole different vibe. Looking back now, I don't understand how I was Team Edward for this book. Poor Jacob did all that work with healing Bella only to get thrown aside as soon as a little sparkle dances her way. I remember my sixteen year old self absolutely crying when Bella goes into the fugue state after Edward leaves and bawling again when he came back. I kept thinking, ""This is TRUE love."" Woah, Nelly. At least I don't feel the same now...right? The 2018 PopSugar Reading Challenge - An allegory Audiobook Comments The girl voices (done by Ilyana Kadushin) were alright but her version of male voices were rather terrible. Picture a girl with the scratchy-cold voice. That's every guy in the book. Sigh. | | | | | Snapchat @miranda_reads",4.0,positive,"New Moon (The Twilight Saga, #2)",49041
"Have you ever been reading Twilight and been like, wow, I wish I could read this book except with no romance, a ton of suffering, a protagonist who’s heartbroken to the point of nonfunction for most of the book, way more of the characters you don’t care about, and also a lot of extraneous Native American stereotyping? Because if so, Stephenie Meyer wrote this book for you. You have to hand it to Steph for a writing a smash hit book and then being like I wonder what would happen if I took all the good fun stuff out of this and then added a bunch of bad stuff. Kind of a baller move. Especially since it worked. Anyway. I have a soft spot for these books a mile wide due to a little something called “I was thirteen when Edward Cullen changed my life forever,” and even I had a hard time getting through this one. This series is not well-written and the characters are not likable and the romance is insta-lovey AT BEST. All they have going for them is being fun. Hopefully Stephenie Meyer got the memo in time for my reread of Eclipse. Bottom line: The best part of this whole book is when like 5 whole months are just blank pages. ---------------- pre-review turns out the only thing i needed to become team jacob was 9 years and the harsh hit of reality. review to come / 2 stars ---------------- currently-reading updates even when i was 13 i knew this book was...not good. what better time to reread it than in the midst of a reading slump?",2.0,negative,"New Moon (The Twilight Saga, #2)",49041
"Reread (2024) ~•~•~ ""Time passes. Even when it seems impossible. Even when each tick of the second hand aches like the pulse of blood behind a bruise. It passes unevenly, in strange lurches and dragging lulls, but pass it does. Even for me."" ~•~•~ ""These violent delights have violent ends And in their triumph die, like fire and powder Which, as they kiss, consume."" For a book about heartbreak.. it oddly makes you feel warm and fuzzy. This is hands down the best book in the series, despite the lack of Edward (in my opinion). I still wish Stephenie Meyer would someday write this one from Edward's perspective. I need to know what was going through his mind, how was he coping, what was he doing. So many possibilities😩",5.0,positive,"New Moon (The Twilight Saga, #2)",49041
"please, this book would have been 20 pages long at best if this girl went to therapy",1.0,negative,"New Moon (The Twilight Saga, #2)",49041
"Keep in mind that though this review is about to wheel off into an angry rant, this book is good. The series is addictive. And as I said previously about Stephanie Meyer, if you want to cease brain function for a few hours, she's your girl. The beginning is slow, the middle is gold, the end is lacking. The blank pages to represent months passed in zombie-depression, great idea. Now, my problem. My problem is not so much with the story as it is perhaps with the idea behind the story and thus, the author herself. It all starts with Romeo and Juliet. Stupid kids. Yes, yes, the great tragedy of love. Please note the word tragedy came before the word love. Because without the tragedy there would be no story. What would the story be otherwise? I'm not going to presume to rewrite Shakespeare (at least not for the hypothetical purposes of illustrating a point in this review). I will say, that I find it sad and unfortunate that Meyers insists on her characters not only admiring Romeo and Juliet (not the play, but the hormone-addled teenagers who committed suicide rather than take a minute to think it through), but specifically referencing the star-crossed lovers in near direct comparison to her protagonist and the lover-vamp. (Her main character also can be caught reading Jane Austen, but more on that later). My point? Impossible love is a great story. No doubt. And Meyer's characters, the human girl and the vampire (um, Buffy and Angel anyone?) are certainly in an impossible situation. Great, perfect, wonderful. The difficulty? No where to go. That's what makes Romeo and Juliet a tragedy. That's why Buffy and Angel never got back together. What choices has she left us? Either the human becomes a vampire or the vampire (in what would be a HUGE cheat) becomes human again. So? Make the human a vamp, right? Problem solved. Well, despite the flippancy with which so many of Meyer's characters approach this option, to do so would be a tragedy of sorts. Because in effect, it would be suicide, a life ended to be with the man she loves so senselessly that it makes you wonder how she could admire Jane Austen at all. Yes, Jane Austen writes about love, but take a look at ""Sense and Sensibility"". Jane Austen recognizes that love is more complex than the simple lust of it (while Romeo and Juliet barely get a chance to blink before they marry, screw and die-much like the carrion flies Romeo references. . .) Strength of character, not the sweaty passion, conquers all. Clear conscience and unerring moral fortitude conquers class-differences, social stigmas and familial disapproval. And so, they all get to live happily ever after. This is your dilemma Stephanie Meyers. You've laid the groundwork, not for a Jane Austen like happy-ending despite the odds, but a Shakespearian tragedy that will not only leave the audience sobbing, but foaming mad. Frankly, the readers of today don't want a tragedy (for the most part), they get that enough every day. They want the happy ending. I want the happy ending and what would that be in this situation? As far as I can see there is no way to have a true happy ending. Either you make a living girl a vampire. Or you pull out the deus ex machina and make the vampire a human. Neither option will be unsullied enough to be fully satisfactory. Personally, I would rather see the girl become a vampire, though I wish the character would take it a little more seriously than she has. Because my sense of fairness would be violated if the vamp miraculously becomes a human. But no matter how it ends, I fear I will be disappointed, as the endings of both books have been so thoroughly let-downs I cannot imagine the author has it in her mind to tack a new course at this point. How do I have the audacity to be so critical? Have I written a New York Times Bestseller? Two, three? Not yet.",3.0,neutral,"New Moon (The Twilight Saga, #2)",49041
"You know its true love when its between a 100+ year old virgin pedophile and a 18yr old child with one brain cell😌 She is so bad at everything, like she cant even put herself in danger properly",1.0,negative,"New Moon (The Twilight Saga, #2)",49041
"Nie oceniłam pierwszego tomu, ale obok tego nie przejdę obojętnie. Romantyzowanie myśli samobójczych nie jest właściwie, tak jak budowanie relacji na toksycznych motywach. Pomijam, że cała książka jest pisana na kolanie.",1.0,negative,"New Moon (The Twilight Saga, #2)",49041
"When she was 12 me and my daughter Georgia went to see Twilight. After the movie I asked her what she thought. ""THAT WAS THE BEST MOVIE EVER"" she said. And she went to see it three more times, with people other than me. So she bought the book and read it in about four hours. I asked her what she thought. ""THAT WAS THE BEST BOOK EVER"" she said. Then we got the dvd of the movie and she watched it again. ""THAT WAS THE WORST MOVIE EVER"" she said. I was surprised but she explained - ""Bella is stupid, Edward is stupid, nothing looks right, they miss out all the important stuff, it's so bad, it's so so so bad"" Then she read all the other Twilight books in like four hours. ""NEW MOON IS THE WORST BOOK EVER FOR 200 PAGES AND THEN IT'S THE BEST BOOK EVER"" she said. By now she was 13. A week ago she said ""NEW MOON IS COMING OUT SOON, I'M SO EXCITED, I CAN'T WAIT TO SEE IT, CAN WE GO ON THE VERY FIRST DAY PLEASE PLEASE PLEASE"" and I said ""But you think Twilight The Movie is stupid"". ""Yes, it is stupid"" she said ""and I can't WAIT to see how bad New Moon is!"" Critics. *** ps : Now (aged 13) she's going to see the new Robert Pattinson movie Remember Me. I assume that's because he's so hideous and such a bad actor",,,"New Moon (The Twilight Saga, #2)",49041
This is the worst. Spoil alert: Literally nothing happens.,2.0,negative,"New Moon (The Twilight Saga, #2)",49041
