review,rating,sentiment,book_title,book_id
"“Life offers up these moments of joy despite everything.” (see my instagram review: ) The first time I read this, I rated it three stars. While this can be considered relatively high for me (don’t check my average rating, it will only bring despair to us both), it is approximately two stars lower than what I expected to rate this book. I adore Rooney’s prior novel, Conversations with Friends, to a degree that is almost disturbing. Or possibly just disturbing. But this one fell flat for me. In a way that was difficult, at the time, to put a finger on. While I encountered the same stellar, almost painful writing, and the same reading experience so all-encompassing that it felt like it changed something fundamental about me, while I loved the characters so much that my concern for their well-being stressed me out, I did not come away from this book in love. I put a finger on what the thing keeping me and this book away from eternal love and matrimony was. It’s because I was sad. The first time I read this, I was so wrapped up in the characters and their lives and my concern for them that I overlooked...everything else. To me this was the story of Connell and Marianne and nothing else, and while I adored them both I missed out on the multitude of nuances and themes and symbols at play. The treatment of privilege and wealth, the examination of capitalism through relationships, the look at what love and self-worth mean, the submission and sometimes humiliation that is love. This is a gorgeous book, and a beautifully written one, and the second read of this enthralled me so much I lived in the story for a week. For once, I’m at a loss for what else to say. Bottom line: I was wrong, okay!!! There’s a first time for everything. p.s. In the original review I say that I'll never reread this book. That wrongness counts as the same one. --------------------- reread 2 updates i am swiftly abandoning this reread because i'm not enjoying it and i'm scared. update: resuming in light of how soon sally rooney's next book is coming out. still scared. update to the update: this stays 4 stars! --------------------- reread pre-review raising this from 3 to 4 stars upon reread, so guess i have to rewrite this review. oh, the twists and turns life takes. review to come / 4 stars --------------------- reread 1 updates maybe someday i will be the kind of person who doesn't take every excuse to reread, but today is not that day --------- original review When I finished this book, I didn’t even rate it. I couldn’t. I had no clue how to even approach such a thing. I still don’t. That’s because I loved reading every single word of this (because every single word of this was written by Sally Rooney), but I also, in a much more real way, did not enjoy at all. , which I five starred, reread just a few months after my first read, and have not stopped thinking about, is not an easy book to read. I adore it, but I did not enjoy every second of it. Far from it, actually. That book’s characters are part of my heart, but I didn’t necessarily like them. I felt intensely and deeply known by its story, and that process doesn’t necessarily feel like a walk in a park. Well, maybe it is. But on one of those days where when you first go outside the temperature is perfect in a long-sleeve shirt, but then you spend every minute outside growing slightly chillier to the point of discomfort. And you’re excited to see the park has little ice-cream carts, but then you realize the process of eating the ice cream ultimately won’t live up to your imagining of it, and you don’t really like ice cream all that much anyway. If that’s Conversations with Friends… Normal People is a walk in a park during a blizzard. Without a jacket. And to distract yourself you have an ongoing internal monologue that’s actually sort of brilliant, you’re in rare form, and that’s great and all but it’s not quite enough to distract from the fact that all of this seems pointless and rather painful. It really seems to me that Rooney abandoned the gorgeous, deep characterizations and slow-moving stories of Conversations in favor of making characters vessels for themes. And I’ve simply never been that kind of a reader. I read FOR the characters, not around them. I didn’t much care for Connell and Marianne, nor their romance (if you can call it that). I couldn’t click with their arcs or their escapades or much of anything, besides Rooney’s writing. (Which was unchangedly amazing and possibly even better.) There were also some things about this that made me feel...icky. Sexual submission (specifically Marianne’s) is used as a metaphor here, and never kindly. This behavior of hers is presented as negative, usually, but it’s also inarguable that Marianne is submissive in her relationship with Connell, and that is never resolved. Connell feels unhappy several times over about the degree of her power over her, and while they return to their relationship contentedly towards the end, this is not at all resolved. I missed the lovely, tied-strings ending of Conversations. Conversations made me feel heard, made my heart and brain feel full, and Normal People made me feel...almost dumb. As if I was missing something that would have helped me put it all together, and without it of course it felt incomplete, silly, because I didn’t have the intellectual capacity to complete it. It’s possible this just isn’t the book I needed, when Conversations with Friends certainly was. It was still written by Sally Rooney, though. Bottom line: I will never reread this. Also I desperately need more Rooney. Update: I reread. --------------------- pre-review i......cannot even rate this right now. review to come, when i regain the ability to think --------------------- tbr review i want Sally Rooney to write my internal monologue",4.0,positive,Normal People,41057294
"Disclaimer: I understand that Normal People is very popular and much beloved. While I recognise that Rooney has talent, I found Normal People to be a mediocre read. If you dislike reading reviews expressing opinions different from your own, well, I suggest you skip this review. There are plenty of glowing reviews out there for this novel so there really is no need for you to waste your time leaving me a comment along the lines of 'you are wrong and here's why'. Also, note that I wrote this review in 2018 and not recently. If you believe that characters who dislike themselves, shrug a lot, and say ""I don't know"" 24/7, are very deep and realistic, well this may be the perfect read for you. Or if you enjoy reading about ""in"" authors...look no further. If you are thinking about reading this novel, I suggest you listen to instead, since it will take you less time and you will get the same story. At first I enjoyed Rooney's style, the way in which she juxtaposed ordinary moments with emotionally charged ones and the uncertainty that pervaded her story, but I soon found her style rather hollow and impersonal, in a manner that soon became predictable. There was a flatness to her voice that seemed affected, and gave her story an artificial quality. I had the impression that Rooney was trying to conjure a certain millennial ""vibe"" through her characters and their experiences, one that isn't all that effective or interesting. The central figures of her novel, Connell and Marianne, lacked depth and, as stupid as it might sound, character. Their looks were emphasised in a way that made them ""stand out"" from others: they are skinny and beautiful, they smoke, they make languid movements, they are smart, and unlike their peers they actually care about world politics. Throughout the course of this novel we are told how different and special they are, that's literally me type of characters. Marianne comes from a wealthy and abusive family (we are supposed to feel bad for her), Connell was raised by his mother and suffers from bouts of anxiety and depression (we are also supposed to feel bad for him). That they have issues that they can't cope with is realistic, but what I didn't appreciate is the romanticising of their difficulties. What I didn't like is that being ""alienated"" is synonym of ""cool"" and that seeking sadomasochistic relationships is understandable/inevitable if you come from an abusive family (i understand that this happens, and a lot of media manages to portray this reality, that of being a victim who either choose or fall into toxic relationship, or actively seek partners or friendships that emulate old patterns of abuse, with nuance, depth even. but rooney doesn't, for all her attempts at candid reality, her depiction of this struck me as sentimental and simplistic). Rooney handles serious issues (eg. an abusive family, depression, etc.) very badly (a book that handles trauma and self-harming incredibly well is by ), there we see why the characters behave in self-destructive ways, but in NP these things seem merely props ). Marianne and Connell aren't terrible people but god, they are so self-involved. Their relationship is made to appear fraught but I didn't always understand why. Drama for the sake of drama? They enter forgettable relationships with equally forgettable people but they remain fixated on each other. Why? No one knows... Marianne is depicted by the author and the other characters as being the sort of person who does not to care about others' opinion of her but soon after a breakup with a cliched dick boyfriend she is obsessed with what people are saying about her...Connor is...intelligent? Indecisive? As interesting as a stale sandwich?! Secondary characters and family members are barely sketched out, they have little to no purpose other than creating more ""drama"" for the main characters. Marianne's family was so badly written that I had a hard time taking any of them seriously. Her brother is laughably cruel and her mother is uncaring and snobbish (they are rich so...). Friends from college serve very little purpose, other than making the main characters seem ""different"" and ""real"" (they are special, not like other people). What I disliked the most is that by the end neither Marianne or Connell show any sort of character growth/change. Not that I always want to read about characters who learn from their mistakes or gain some sort of insight from their experience, I can appreciate characters who keep perpetuating their 'bad' behaviour or even those who get worse or regress into 'bad' habits/behaviour, some of my favourite novels feature characters unable or unwilling to put an end to their self-sabotaging ways. But they have to be believable. Marianne or Connell were not. They were merely an 'aesthetic', more befitting as subjects of a black and white grunge photo than anything else. The only reason why I finished this novel is that I listened to the audiobook and the narrator managed to make this otherwise unappetising storyline sort of okay.",2.0,negative,Normal People,41057294
"Let it be known that I found this book both exhilarating and almost unbearably frustrating. About halfway through the book I literally lied down on my couch and screamed to my empty apartment, “Connell, you are such an incompetent communicator, I swear to God herself if you don’t help yourself I’m going to loathe every person named Connell I ever encounter for the rest of my life.” Even though I’m giving this book 2 stars, it’s more out of how invested I felt in the characters and how little I felt Sally Rooney capitalized on their potential, and not out boredom – I felt anything but bored reading this novel. I will start with what I liked about Normal People before I continue roasting Connell. Now having read both Conversations with Friends and Normal People , I find Rooney’s dialogue so, so sharp and entertaining. It’s witty and interesting and realistic, smart yet sincere enough so that it rarely feels pretentious. Some combination of how she writes dialogue and scenes is just so compelling, like I felt propelled to keep reading even when I felt tired of Connell and Marianne and their poor choices. Rooney also weaves in astute commentary about class and socioeconomic status. A few of the passages about class really made me pause and reflect on my own socioeconomic privilege, which I appreciate. At the same time, my best friend pointed out how ultimately Marianne and Connell’s whiteness both afford them the opportunity to be continually mediocre in ways that people of color are often not given, which I agree with. Which brings me to my main critique of this book: Connell and Marianne’s relationship felt so, so annoying and inhibiting. It honestly felt like reading an interpersonal train wreck that I could not look away from, even though I would have much rather looked at anything else (e.g., attractive actors like Steven Yeun, BlackPink music videos, the ceiling of my apartment, etc.) On one hand, I totally get and appreciate that people miscommunicate with one another and experiencing or working through miscommunications is part of life. But Connell and Marianne’s miscommunication literally drives the plot of this book for like, the first 200 pages, and even after that they never really have an explicit conversation about their communication and its indirectness? The majority of this book felt like: Marianne and Connell are intimate, then they have a miscommunication (probably caused by Connell), then they somehow reunite and are intimate again, but then they have another miscommunication (also probably Connell’s fault, like yes I get class factors into this but dang he’s a poor communicator), then they’re intimate, then they miscommunicate, etc. until the end. Finally, I felt like Marianne’s character had so much unexplored depth and potential. She goes through so much: abandonment, familial abuse, trauma and disordered eating, to name a few. Rooney did such a nice job showing some of the effects of her experiences on her psyche and view of relationships. Yet, instead of really going deeper into her struggles or her potential path to healing, Rooney dedicates the majority of the book to Marianne’s relationship with Connell, which I found almost insulting to Marianne’s character. I recognize I may be being a bit harsh here, on one hand I get that Marianne is desperate for some form of healthy connection as we all are to some extent, yet I so, so wish Rooney had given Marianne the chance to heal or develop more within the scope of the novel, so we could see that on the page and feel that hope for her. Instead, toward the very end of the book, Marianne essentially attributes all the goodness in her life to Connell, which made me blanch a little (while sitting on the same couch in which I cursed Connell’s name). Despite my 2-star rating of this novel and my 3-star rating of Conversations with Friends , I still feel somewhat compelled to try out whatever book Rooney publishes next, just because of the sheer addictiveness of her dialogue. There is some quality content in Normal People , about consent and power within sex, about mental health and help-seeking as well. I wish there had been more growth for these characters, outside of their relationship, especially for Marianne.",2.0,negative,Normal People,41057294
"No one can be independent of other people completely, so why not give up the attempt, she thought, go running in the other direction, depend on people for everything, allow them to depend on you, why not. This is going to be a polarizing book. I mean, I think I liked it. And I say ""liked it"" in the sense that it made me very miserable. It is a quiet character study, almost a YA novel but not quite, and it is a profoundly lonely and depressing love story . I didn't begin by liking it. follows two characters - Marianne and Connell - through adolescence and into early adulthood, and they begin by being the kind of uber-precocious teenagers who read Proust and Marx for fun. It took a while for me to settle into their story. My initial impression was that this was going to be some kind of for adults, which is not something that floats my particular boat. Without fully realizing it though, this book had crept quietly under my skin. The relationship between Marianne and Connell is angsty, sure, but it felt painfully real. They are so flawed, marred by unlikable characteristics, and yet, I could not stop caring about them . Not for the first time Marianne thinks cruelty does not only hurt the victim, but the perpetrator also, and maybe more deeply and more permanently. You learn nothing very profound about yourself simply by being bullied; but by bullying someone else you learn something you can never forget. The story is really just about the two of them and their relationship. In high school, Marianne is a smart and wealthy girl, but is socially ostracized and emotionally abused at home, whereas Connell is working class, but very popular. Connell's mum works as a cleaner for Marianne's family. They begin a secret sexual relationship that falls apart when Connell fears his friends will find out. The compelling dynamic between them drives the story-- issues of class and social status cause much conflict. In college, the two meet again. This time, Marianne is popular, and Connell is feeling increasingly depressed. The two of them lean on each other time and again as they move through a social world filled with social expectations. There's a bit of a When Harry Met Sally vibe, except that this book is more soul-destroying. Nothing had meant more to Rob than the approval of others; to be thought well of, to be a person of status. He would have betrayed any confidence, any kindness, for the promise of social acceptance. There's clear criticism of our constant need to impress and perform for others in a world that grows ever more connected. Much of the tragedy that befalls Marianne and Connell is caused by other people, peer pressure and social expectations. It is very sad to think that someone might give up who they love the most because they can't deal with how it makes them look to others. The pair's inability to adequately communicate is frustrating but feels realistic. I was on the verge of tearing my hair out at all the things left unsaid in this book, but I think it was a good kind of frustration. The kind that comes from caring too much. I feel like there are any number of reasons I could have hated , but I didn’t. I actually kinda loved it. It's a weird, awkward, depressing novel about a connection formed between two very different people who find exactly what they need - and perhaps a lot that they don't - in each other. CW: sexual assault; domestic abuse; drug use; casual racism (called out); depression; anxiety; suicide & suicidal ideation. | | | |",4.0,positive,Normal People,41057294
"***NO SPOILERS*** This is one of the most overrated books I've read in a long time, and I'm stunned it was long-listed for the Women's prize and the Booker prize (but then, I usually dislike what's chosen for that). The critics are gushing over it, too. A professional review I saw in Book Page calls it “wise and wondrous.” I ask this: How ? How is Rooney’s message “wise”? Show me what’s “wondrous.” I’ve read wondrous and wise many times before. Those are the transportive books I never forget. They overwhelm me in the best way. Everything about Normal People underwhelmed me. Although Rooney’s simplistic prose makes Normal People easy to read, the book is poorly organized, overly sexual, plot-less, and ultimately never comes together in a satisfying way. Considering how ordinary, often boring, most people’s lives are, her book actually is about “normal people,” but I expect authors to dress up the everyday. I expect tension, some drama, maybe a little suspense. I need a plot with a compelling reason for being. Normal people’s lives don’t make for good stories as they are; they require tinkering. A story about two friends-with-benefits who are confused about what they mean to each other isn’t a story. It’s merely the rough outline for a layered, more meaningful story. Rooney’s intention was a story about miscommunication between close friends as they grow and have various life experiences—except there is no miscommunication. The characters are clear about how they feel. They profess their love for each other more than once. They have sex all the time. They show each other care and consideration. What I saw was unexplainable hesitance. In high school Marianne is unpopular and rich; Connell is popular and poor, so early on this difference drives their hesitance and makes sense. I thought then that Normal People was going to be an exploration of how class and social difference can harm a relationship, a kind of contemporary Romeo and Juliet . Instead Rooney dropped this as soon as the characters move on to college, and their hesitance no longer makes sense. Where these characters’ class differences are concerned, development is shallow. Rooney didn’t illustrate how Marianne is unpopular and Connell popular or how Marianne is rich and Connell poor. She said that Marianne lives in a big house; she showed Connell’s housekeeper mother working for Marianne’s family a few times. That’s it, and Rooney could just as easily have made them the same level of popular and of the same class. I was continually confused about, or forgot, most of the secondary characters because none have distinguishing features or much, if anything, to do. Marianne’s mother isn’t shown, just talked about matter-of-factly a few times. A cruel brother pops up here and there to dole out cruelty, then disappears. A boyfriend is callous and doesn’t stick around long enough to do anything interesting. A sub-plot about abuse is mildly intriguing, but it’s also arbitrary and ends in a flash. They all tease, hinting at Normal People ’s unrealized potential to be phenomenal. Of course normal people have lives that can change drastically and in unpredictable and sad ways, but translating that to the page necessitates a concrete story arc. I understand why some critics have called this book “stream-of-consciousness.” Rooney didn’t employ that writing technique , but the events, jumping as they do from one disconnected thing to the next, flashing backward and forward confusingly, are stream-of-consciousness in plot form. As a writing style, stream-of-consciousness is horrible, but in plot form it’s disastrous. I’ll give Rooney another try with but with the lowest expectations.",1.0,negative,Normal People,41057294
"Sally Rooney is the real deal Normal People has been lavished with praise from critics, longlisted for the Man Booker prize and . And that's just in its first week of publication! All that attention will, no doubt, attract quite a few readers who would not ordinarily touch this subject with a barge pole. Because this book: A)	Is about young people B)	Is a love story (but not a 'romance novel') C)	Contains a fair bit of sex (which is crucial to the storytelling, btw, and is not graphic) All of which (possibly also the fact that the author is a 27-year-old woman) means that Normal People will inevitably be dismissed by some as frivolous. It isn’t. This is a confident, accomplished and serious work. Of Rooney’s debut, Conversations with Friends , I said in my review it ‘occasionally scrapes close to the bone’. Well, Normal People cuts to the core. Normal People is not out to inspire, instruct, entertain or talk down to anyone, which makes it something of a refreshing anomaly in current fiction about young people. It is a novel (for anyone, young or old) that simply presents the truth of youthful experiences without the filters of nostalgia or sentimentality. It invites you to inhabit the psyche of someone else – two someone elses: Connell and Marianne – to identify with them and to feel their pain and turmoil. For the reader who connects to that, it is wracking. The story focuses only on the pivotal moments for these two characters, jumping forward three weeks, six months, or five minutes, as needed, to excise all the uneventful bits of life and leave us with the most emotionally intense supercut possible. It follows them from high school in a small town, through their years at university in Dublin, as the dynamic between them shifts with their surroundings and social circle. They’re not officially 'together' the whole time, or even most of the time, but they always figure in each other’s lives in a significant way. Sally Rooney writes with such precision that this all feels painfully true. She conjures the tension and emotion in a scene just from the way someone wrings out a dish sponge; she conveys the full weight of feeling from a look or a shrug. In Rooney’s imagining, Connell and Marianne as separate entities are less important than the interplay between them – their relationship dynamic and the influence each of them has on shaping the other, that’s the real stuff of this book: ""How strange to feel herself so completely under the control of another person, but also how ordinary. No one can be independent of other people completely, so why not give up the attempt, she thought, go running in the other direction, depend on people for everything, allow them to depend on you, why not."" There’s irony here, and self-conscious posturing (though not nearly as much as in CWF), but earnestness, truth and kindness as well. In addition to the central relationship are issues of class and intellectual integrity. It's a particularly astute look at the rebuild of self that teenagers undergo in the transition from school to uni, how it allows some to thrive while others stumble, and in some ways is just an illusion after all. So there’s hype and there’s backlash to the hype, and Normal People is sure to resonate powerfully with some readers and not at all for others. If you like a minutely observed novel about people and feelings that isn’t mawkish, I'd say give it a go.",5.0,positive,Normal People,41057294
"On the second page of Sally Rooney’s universally acclaimed, Booker- longlisted novel is the following paragraph: ‘He puts his hands in his pockets and suppresses an irritable sigh, but suppresses it with an audible intake of breath, so that it still sounds like a sigh.’ What? I get the hand in the pockets bit, but how the hell does the rest of it work? A sigh is an exhalation and I have no idea how any attempt to suppress a sigh by inhaling could possibly sound like one. I’ve tried hard to imagine it, but no luck. I’ve tried even harder to do it, but even less luck. In fact, in an effort to understand this twaddle I have tried it so often that I have come close on several occasions to hyperventilating and passing out. What have those Faber editors been doing? Maybe they have no problem with it because they are all so much cleverer than me and know how to read properly. Or maybe they also tried to do it and actually did pass out, which might explain why they have failed to apply the editorial pencil with any intelligence in the 264 pages that follow. The more likely explanation, of course, is that the problem is mine – and I offer the following gems from Normal People on that understanding… • ‘He looks down into his lap, and exhales quickly, almost like a cough’. It’s hyperventilation time again. I’ve imagined it and I’ve tried it, but I still don’t get it. • ‘He can’t even visually imagine himself as a lawyer, wearing a tie and so on..’ Do we really need that ‘visually’? • ‘It’s true she is Connell’s type, maybe even the originary model of the type:’ Originary? What does that mean? Am I the only one who had to look it up? (It’s not in Chambers, by the way, so you’ll need the OED) • ‘Peggy, watching, took a performatively large mouthful of Cointreau…’ Can anyone explain what ‘performatively large’ actually means? • ‘Enraged now, Alan wrenched her back from the sink by her upper arm, and, seemingly spontaneously, spat at her.’ Seemingly spontaneously? I could go on. It’s not often that I feel the need to read with a pencil in my hand but Normal People drove me to it, and my copy is now covered with question marks and annotations. I retired from teaching last year but reading Sally Rooney’s feted novel felt like I was marking again - in this case marking the work of a precocious, but overindulged, talent. In 'Normal People' alternating points of view are combined with an inconsistent and confusing authorial presence, voices are often difficult to differentiate in an ineffectual free indirect style, the comma splices (Ferrante this isn’t) and the unpunctuated dialogue, far from creating an impressionistic flow, suggest a lack of precision, and the prose shifts from past to present for no apparent reason and even within paragraphs, creating a chronological blur. In short, it's a bit of a mess. If I cared about the characters or cared about the story, these things would not matter quite so much but on the few occasions when I saw through the writerly mess I found it difficult to care about them at all. The novel, though, has been so well received that its very reception has become a news story. ‘Salinger for the Snapchat generation’: critics unite to praise 27 year-old novelist’ was the headline in last Saturday’s Guardian. So the problem is clearly mine. Maybe I've read a different book from the one everyone is raving about. Maybe I've read the same book but don't know how to read properly. Or it could be that I'm the child's voice at the back of the crowd politely suggesting that the emperor might not be wearing any clothes.",1.0,negative,Normal People,41057294
"I am not sure how to write this review because I seem to be so far beyond the pale on my antipathy to this book. In simplest terms I didn't connect with this work at all and I would be best to chalk this up to a ""reader/writer"" mismatch and move on but I will try and articulate some of my reading experience. Some of my perplexity with Normal People is that I just couldn't relate to the twenty something, highly educated, politically aware and cynical young adults that populate this novel. I am not sure how reflective these voices are of young Irish making their way in the world, but as presented here I found them exasperating to listen to and not particularly nuanced. It is possible that even if I didn't enjoy the novel I might like the writing but in actual fact Rooney's style is perhaps the single biggest thing that bugged me. I found some passages of interest sandwiched between a lot of wooden dialogue and these flat descriptions ... Marianne goes inside and comes back out again with another bottle of sparkling wine, and one bottle of red. Niall starts unwrapping the wire on the first bottle and Marianne hands Connell a corkscrew. Peggy starts clearing people's plates. Connell unpeels the foil from the top of a bottle as Jamie leans over and says something to Marianne. He sinks the screw into the cork and twists it downwards. Peggy takes his plate away and stacks it with the others This kind of writing really gives me nothing. Others have cited the two dimensional nature of her secondary characters and I would concur. Barely any of them made much of an impression on me. Alan - Marianne's brother, seemed particularly badly drawn. He appears to be a key part of understanding Marianne and yet he warrants only a few pen-strokes of unexplained malice and cruelty. The opening of a wine-bottle and pouring of cups of tea receives much more page space. I tried to understand Marianne, who seems to be both ugly and beautiful, popular and friendless. Her hinted at troubled family life was suppose to underpin her need to be a submissive. I remain unconvinced that this is really how dominance and submission works and I would think experts in BDSM might strongly take issue with some of the cliches here. The relationship between Marianne and Connell should have kept this book afloat at the very least. The intense emotional and physical connection, the will they / won't they stay together, all the drama of YA love is here but it is in an eye-wateringly navel-gazing form. I found it all exactingly po-faced. The number of inexplicable break-ups, largely based on mis-communication was about three or four break-ups too many for me. I just wanted to yell at this novel most of the time. Say what you mean and stop being so insufferably difficult !, either split up or stay together, both your friends and I really don't care !. Marianne and Connell were of most interest to me when they started emailing each other, discussing novels and politics thus preventing them breaking up over some new emotional minutiae. Perhaps this should have been a novel of their email exchanges. Oh well, I guess I will never be a Rooney fan and I have doubtless missed the point of this book entirely but that is ok not every book is for every reader.",1.0,negative,Normal People,41057294
"Normal People starts out beautifully. Marianne is a loner in high school with no friends, while Connell is the popular football player. His mom works as a cleaner at Marianne's house, so they run into each other when he stops by to pick up his mom. Over time, they start to thaw around each other, growing closer as they realize that they can be their true selves when they are together. Rooney captures so well the vulnerability and awkwardness of teenage years, along with its exuberance and infinite possibility. It was sweet to follow along to Marianne and Cornell's developing relationship. Even though there is the stress of school and the pressure of being teenagers, when they are alone together, they can be free to express themselves and be who they really are. Then they are off to college, and the dynamics change. Marianne becomes the popular one, and Connell becomes the loner with no friends. At this point, I start to realize Rooney captures a very black and white version of high school and college. You are either part of the popular obnoxious crowd or you are a nobody with no friends, and there is nothing in between. And everyone's ultimate goal was to be in the popular crowd. But that isn't the school experience I remember, so it became harder and harder for me to connect with this book. In my experience, people had several different groups of friends, and no one liked obnoxious people. Most were working so hard that they didn't have time to worry about popularity and how others regarded them, especially in college. This story has a very YA feel to it, where the characters are filled with angst and lack emotional maturity. While that made sense when Marianne and Connell were in high school, as the story progressed through their college years, it didn't anymore. The two seem to love each other, and yet, they are so sensitive to perceived slights that innocent conversations would quickly escalate to a breakup. Honest communication would clear this up immediately, but they don't do that. Instead, they circle and prod each other until they are back together again. Then the cycle repeats. It's all very dramatic, but it left me pretty apathetic by the end of the book. This book also tackles the subject of abuse, but I think it was a missed opportunity here. Rooney portrays abuse as if some people just want to be abused, so they will let anyone abuse them, and even go around looking for it until they find it. That's not right. Victims have trouble escaping because abusers are often the people they love most, who treat them well most of the time and express regret after an incident. But there is no love or good treatment in this book, so it doesn't make sense that the victim would just put up with it. In the end, I thought the first half of this book was wonderful, but everything stagnated in the second half. The main characters never really grew up, so they repeated the same mistakes over and over again. Their lack of maturity and insight into themselves and their relationships grated on me. I went into this book with really high hopes, but ultimately it didn't live up to its potential. ~~~~~~~~~~~~ ✧ Connect with me ✧ ✧",3.0,neutral,Normal People,41057294
"I am either going to need new eyes or eye sockets because for the entire 266 pages I could not stop rolling my eyes.... I try not to attempt to write ""book reviews"" when I am mad because more than likely I will say something I will regret or just be super mean. In this instant I have to because I am so mad and so underwhelmed by this read and I want the hours I spent reading it back. #RefundOnTime I try not to fall for the book hype but the hype around Normal People was relentless. I could not open Bookstagram and not see it and the RAVING reviews. In typical #BookstagramMadeMeDoIt I succumbed and read the book and I am kicking myself for doing so because this was not worth the hype. Normal People follows the lives of Connell and Marianne from their high school days to college. In High School Connell was popular and fully immersed into his social life and group of friends. Marianne was the opposite. Marianne and Connell ended up bein together but Connell didn't want anyone to know because it would affect his social standing. *roll eyes*… I mean seriously..... Anyway, fast forward to college and the tables turn, Marianne is now the belle of the ball and Connell is finding it hard to make friends of his own or assimilate to college life. Throughout high school and college Marianne and Connell are always finding a way back to each other.... If you are planning on reading this book, let me put you out of your misery. The ENTIRE book is Connell and Marianne going from, I want to be with you... I don't want to be with you... lets have sex.... I am not sure you love me.... I didn't say exactly what I mean two months ago, this is what I meant.... more I want to be with you... REPEAT 10 TIMES. I understand if the break-ups were because of groundbreaking things, they weren't. It was because of miscommunication and these grown ass individuals refusing to open their mouths and say exactly what they are thinking, feeling or asking. It was FRUSTRATING. SO FRUSTATING. Also this lead to zero character growth because up to the end of the book theres still miscommunication. Also I did not care for any of these characters they were so one dimensional and underwhelming. What a boring book. Ugh. Save yourself and your time, go read something else. #ThankMeLater",1.0,negative,Normal People,41057294
