review,rating,sentiment,book_title,book_id
"THIS! This is what happens when you jump into a rebound relationship with both feet. So, when the story opens, Romeo is desperately in love with Rosaline. But since she won't give up that pussy has sworn to remain chaste, he's all depressed and heartbroken. Annoying emo style. His friends, tired of his constant whining, give him a Beyoncé mixtape. He takes her words to heart, and her lyrics begin to mend his broken soul. His boys drag his sad ass to a party, and across a crowded room, Romeo spies his next victim. I mean, his really really for real this time True Love. Meet 13 year old Juliet. Who is 13 . And how old is Romeo? Well, he's old enough to kill Juliet's cousin in a sword fight, so...yeah. Probably not 13. But since he's such a punk little pussy - what with the whining, sobbing, and spouting off crap poetry - I'm going to assume he's not much older than she is and say 15 or 16. If I'm wrong, don't correct me. It'll help me sleep tonight. Tragically, Juliet is a Hatfield, and Romeo is a McCoy. Their families have been feuding over a McCoy pig that was killed during a Hatfield moonshine run decades ago. Totally true. I swear. Needless to say, tensions are still running high. So. Shhhhh. They gotta keep their love on the down low. And it is love, dammit! I mean, they've stared at each other a whole bunch and had like two conversations. This time around, Romeo isn't going to make the same mistake as before, and let the new girl of his dreams slip through his fingers. Fuck, yeah! Time to get married! Because marriage will solve all your problems. No, really. Pinkie promise. And we all know what happened next, right?! Well... Ish. You know, I can't help but wonder what that first encounter would've been like if they'd met when they were older? Romeo: Hey baby, Heaven must be missing an angel. Mind if I crawl up to your balcony tonight? Juliet: The fuck?! *taser crackles...Romeo screams* At any rate, this isn't a romance, it's a cautionary tale. And a pretty funny one at that! I originally gave it 3 stars, but I had to bump it up for making me smile as I remembered all the fun I had mistakes as a young woman - without drinking poison! Between Romeo & Juliet both crying, moping, and twirling around like tweenage girls and the rest of the cast flailing around to accommodate these idiots, this was way better than I remembered it. I listened to this on Playaway, so I got to have the audio version with a full cast of characters, sound effects, and music. Loved it! Totally recommend going this way if you're planning on trying out Shakespeare.",4.0,positive,Romeo and Juliet,18135
"The people who dislike this play are the ones who view common sense over being rational, and prefer to view the world in a structured way. One of the main arguments that come across is the 'meeting, falling in love, and dying all in a weekend when Juliet is but 13'. We all must die in the end, so wouldn't you want to in the name of love than of an awful disease? Perhaps the two lovers weren't truly in love, but their last living moments were spent believing so, so what does it matter? How can one truly know if one is in love? Is it a feeling? In that case, what is a feeling? If you believe you are in love, then you may as well be, contrary to what others might say. The argument with the 'weak' plot; Shakespeare didn't invent Romeo and Juliet. It was infact a poem which is constantly being adapted over time. Shakespeare did add in some aspects but the meeting in the ballroom, Tybalts death, the sleeping draught and such were already in the poem. I personally love this play, purely because it's an escape from this modern world. I'm not saying I like the treatment of women, nor the fighting, but it's like a different world that i'm never going to experience, and reading it through Shakespeare's gorgeous writing makes Verona seem all the more romantic.",5.0,positive,Romeo and Juliet,18135
I faked my death prank *gone wrong* (not clickbait) (we died) 🤣😱😻,3.0,neutral,Romeo and Juliet,18135
"Two things struck me during this re-reading: 1) From the first scene of the play, the sexual puns are drenched in metaphorical violence (drawing your weapon, laying knife aboard, forcing women to the wall, etc.), creating a stark contrast with the purity of Romeo and Juliet's love and language, and 2) Mercutio, the Nurse and Old Capulet are something totally new both in Shakespeare and also in English drama, that is, characters who are not only realistic but whose language completely reflects their thought processes to the point where they take on a life of their own. Shakespeare would create many other such characters, but these three are the first.",5.0,positive,Romeo and Juliet,18135
Why didn’t they just run away together? It would have saved a lot of heart ache.,5.0,positive,Romeo and Juliet,18135
"Every emo fourteen year old's dream. In bullet-point form: • fall in love with hot boy/girl (delete as appropriate) that parents can't stand; • tender words and some sex - gotta find out what that's like; • major tragic incident that really wasn't your fault, you were provoked ; • everyone's mad at you; • die beautiful death in loved one's arms; • parents finally understand how much they cared about you and are sorry they didn't treat you better when you were alive. So how did Shakespeare manage to turn this heap of crap, which even Zac Efron would think twice about, into one of the most moving stories of all time? If you still need proof that he was a genius, look no further.",5.0,positive,Romeo and Juliet,18135
"Let us zealously, prance through this amorous love-story, to relish the Shakespearean era!😊 Following, is the abridged plot summary, as per what all I could gather, post the endearing read, pardon and correct me for any of my follies and errors- ##################################### The long-standing brawl between the Capulets and Montagues, the banquet- The Capulets throw a feast, in which Montagues aren’t invited, due to the long-standing feud between the two families. The hero of the play, Romeo Montague, pining over Rosaline, dares to masquerade and gate-crash, the banquet, just to catch a glimpse of his searing-love. But destiny has other plans, Romeo loses his heart to the heiress of the Capulet family, Juliet! Meanwhile in the banquet, Tybalt, nephew to the Lady Capulet, having recognised Romeo, willing to enter into a brawl with him, is dissuaded by Lady Capulet, in order to maintain the decorum of the ball. Juliet has also discovered his identity in the feast, and has been swooned and swept by his charm. Both are head-over-heels for each other by now! The balcony love-scene 😊- Forlorn and lovelorn, resorting to her balcony, Juliet confides her affection for Romeo to the moon and the stars(this famous balcony scene is the most-loved!), unaware, Romeo has heard it all underneath the balcony. Ecstatic, by Juliet’s searing passion, both resolve for a secretive and speedy nuptial the following day. The marriage is brought to pass, in the cell of Friar Laurence, Romeo’s friend. The brawl and gory on the street ☹- On the wedding day, Benvolio and Mercutio, Romeo’s friends, are accosted by Tybalt, seeking vengeance from Romeo for trespassing the feast. A contention ensues, Romeo lost in marital-bliss, doesn’t show any interest in the brawl, but Mercutio, all infuriated, takes on Tybalt and is slain! Romeo, now all exasperated, in turn butchers Tybalt. For this act of gory, Romeo is banished by the Prince of Verona. Juliet’s condition ☹- The bride of one night, Juliet, is left sobbing and dishevelled. Unaware of the secret nuptial rites, Juliet’s father, resolves to get her married to the kinsman, Paris. The devastating conspiracy! Devised for the good, but fails miserably ☹- Friar Laurence, devises a secret plot to help the love-birds unite.(the dramatic failure of the plot, leads to the long-lived tragedy!). He suggests Juliet to drink a potion, which will give her semblance to death, on the day of her marriage to Paris. But Alas! Purporting as dead, she is consigned to the tomb by her father mistakenly. Unaware of the plot, Romeo, is all frenzied, frantic, heart-broken, grieved, and rushes to the tomb, having drunk poison, just to lay beside Juliet in the tomb. Upon waking up and discovering, Romeo lying dead beside her, Juliet seizes his dagger, and kills herself. Reconciliation- This double tragedy, reconciles the two families, alas, after all the carnage & gory. Favourite lines from the play- Defining the bad-luck of the two- “A pair of star-cross 'd lovers take their life” Few general ones- To move is to stir, and to be valiant is to stand “With tears augmenting the fresh morning's dew. Adding to clouds more clouds with his deep sighs : But all so soon as the all-cheering sun Should in the farthest east begin to draw” Romeo brooding over the luxury of his sorrow, post which he meets Juliet- "" Why, then, O brawling love ! O loving hate ! O anything, of nothing first create ! O heavy lightness ! serious vanity ! Misshapen chaos of well-seeming forms ! Feather of lead, bright smoke, cold fire, sick health ! "" …………………… ""Under love's heavy burden do I sink."" ……………………. ""Death, that hath sucked the honey of thy breath, Hath had no power yet upon thy beauty."" ……………….. ""Thus with a kiss I die."" ……………………….. Upon hearing the sweet Juliet’s voice in the garden- How silver-sweet sound lovers' tongues by night. Like softest music to attending ears ! Juliet’s expression of love- My bounty is as boundless as the sea, My love as deep ; the more I give to thee, The more I have, for both are infinite, …………. Good night, good night ! parting is such sweet sorrow That I shall say good night till it be morrow …………………… ""O, swear not by the moon, th' inconstant moon, That monthly changes in her circled orb, Lest that thy love prove likewise variable."" ………………. The Prince of Verona- ""For never was a story of more woe than this of Juliet and her Romeo."" #################################### My views- It is a play with delineation of all sentiments, from a hideous family feud, a personal vendetta turning into bloodshed, to a torrential love story, and a tragedy of mistakes and a failed plan! Both Romeo and Juliet, are subjects of a tumultuous youth, living in a warlike hubbub, living a contrasting life, of passion and despair! Romeo , is a man with good intentions, but all his efforts are forfeited. He is showcased as an epitome of bad-luck/star-crossed. Romeo nurses his love in his heart, and is seen lamenting and foreboding, shedding tears throughout. He isn’t a mature thinker, and is given into hopelessness on every occasion, soon enough! Juliet , is a simpleton, naïve, true to the core, and is given into poetic imaginations of a tender heart. She thinks aloud in words! An ardent, unrestrained, tender, young love, nothing is factitious or fallacious about their sovereign love! I am gob-smacked, how can one write a play with such a purity of heart, dignity of manners, passion in love and violence, in a rhythmic sonnet, in an era, beyond contemplation!! That is what Shakespeare is all about, after all! 😊 This delicate tale of love and misfortune, deserves an endearing 5-star!!!!",5.0,positive,Romeo and Juliet,18135
"يعني انت عامل فيها : روميو؟ سؤال استنكاري مرح..لا يعني عبر العالم كله سوى انك عاشق بجنون نادرة هي الشخصيات الادبية التي تقفز خارج السطور..لتتحول إلى أساطير واقعية..نلفظ باسمها بدلا من جمل تملأ مجلدات و سر خلود شخصية روميو.انه احد الرجال القلائل في الأدب..و في الواقع"".ممن ضحوا بحياتهم من أجل الحب"" الحب هو مفتاح شخصية ذلك الشاب الذكي..حاد اللسان..المفتقر إلى الوسطية زاده حبه لجولييت نزقاً..و ليس نضجا و على النقيض نجد جولييت..فرغم سنواتها ال 14تتبلور شخصيتها بعد وقوعها في الحب ..و تتحول لفتاة ذات إرادة و قوة..وفي خلال 5ايام هي كل عمر قصة الحب التي صدعتنا لقروون..تحولت لامرأة وفية قادرة.. ✒ و من الغريب حقا ..ان مدارس العالم اتفقت علي ان تقررها على الطلبة في سن 14-15..لا اعلم ..من باب الإنذار و لا التشجيع؟ على المستوى الشخصي أري ان شكسبير كان موفقا حقا في اختيار هذا السن الصغير..هكذا صار من حقه..التمادي الىاقصى مدى في تطورات هذا الحب ..و أثبت لنا للمرة المائة ..ان ذكائه و خياله كان سابقا لعصره✏ وصالحا لكل العصور...ويكفيه فخرا أن روميو هو اللقب الذي يحظى به كل عاشق ..بعد مرور 4قرون كاملة",4.0,positive,Romeo and Juliet,18135
"Romeo and Juliet is an enduring tragic love story between Romeo Montague and Juliet Capulet written by William Shakespeare. It is also a story of the family feud between the Montagues and Capulets and how it affects the romance between Romeo and Juliet. The story is set in Verona and Mantua in Italy. I have more than a dozen friends who love to read works with romance as the central theme. I was surprised to see that most of them haven't read this masterpiece yet. If you are an ardent fan of romance or William Shakespeare, you should never miss the opportunity to read this book. ————————————————————————— You can also follow me on | | | | | | | |",5.0,positive,Romeo and Juliet,18135
"‘in fair verona, where we lay our scene..’ i went to verona this past weekend and there is a very special experience that comes from reading a story in the same place where it is set. the city has a very romantic feel to it, but its a gentle and quiet romance. which is completely different from the urgent and desperate love between romeo and juliet. we could argue for days about whether or not romeo and juliet were actually in love with each other (let alone old enough to know what love is) but, for me, my focus isnt the story. its how its told. the writing in this is so lovely (even when tybalt gets called a saucy boy lololol). i think shakespeare is a genius and the way his characters express love and longing and desire in this is really something else. ‘come, gentle night; come, loving, black-browed night; give me my romeo; and, when i shall die, take him and cut him out in little stars, and he will make the face of heaven so fine that all the world will be in love with night.’ maybe i just fell under the spell of city, or maybe shakespeares words really do have a profound effect on the reader, but i enjoyed this play and these star-crossed lovers. and its true what the prince says, ‘for never was a story of more woe than this of juliet and her romeo.’ ↠ 4.5 stars",5.0,positive,Romeo and Juliet,18135
