review,rating,sentiment,book_title,book_id
"If you loved The Good Sister, this book is for you! The Curious Incident of the Dog in the Night-Time is a UK story about a 15 year-old boy named Christopher Boone. Christopher is a brilliant person who is extremely analytical and starts to investigate the death of his neighbor's dog, a poodle named Wellington. Who killed Wellington and why? Christopher will be pushed well beyond his comfort zone while unabashedly telling the truth and going on an impossible journey. How comfortable are we to change and adventure? This book was delightfully funny as Christopher tries to solve the murder of Wellington. Christopher uses his skills of analysis to matter-of-factly investigate this horrible crime, and he vividly describes how he goes about the world, the level of detail that he observes. It was a wonderful reminder to take time to look around at the world around us. He also spoke about Stranger Danger and how uncomfortable he is when speaking to other people. For many people, conversations do not flow naturally and being bombarded by chaos and overwhelmed by stimulus is quite challenging. The characters in this book were well developed - these are my favorite types of characters because they are imperfect but try their best especially for Christopher. This book truly is British, not an American author pretending to be British. How can I tell? Well, in my last job, my entire team was based out of London so not a day would go by that I wasn't on the phone with someone from the UK. Also, I have actually been to London so I would consider myself to be a bit more than average on UK terminology. One of the things that I found simply delightful with this book was the British approach. This is very difficult to put into words, but I shall do my best. The British usually respond less hysterical and with less overaction than Americans. For example, when I was in London, there was a protestor who had glued himself to the street. The police were freeing him and taking him down to the station. A large group of people (myself included) gathered around to watch. The protestor was sitting quite calmly while the police gently put goggles over his eyes and started the process. When they freed him, the protestor calmly accepted his fate and allowed the police to do their job. A man next to me explained in a matter of fact tone that they usually just take you down to the station for half a day and release you. He had a rather good plate of eggs when he was last detained by the police. In America, the police would be making the onlookers disband, and the protestors aren't really that committed to actually glue themselves to anything. If someone does encounter the police, usually they are thrashing about and making the whole process as difficult as possible. As an American reading this book, I found it so interesting how the various people interacted with Christopher because I can assure you that Americans would have reacted so very differently, and I found it rather refreshing that the adults weren't hyper-protective and allowed Christopher to fully experience his journey (to some degree). There really should be a slightly Americanized version of this book though because although I do know that The Underground is called The Tube and boot is actually the trunk of a car, there were a few times when I was a bit confused. For example, Christopher was talking about how he didn't like metaphors. One of them was ""I've had a pig of a day."" This phrase is not used in the The States so Christopher wasn't the only one confused. Overall, I thought that this was a delightful read. One of my family members (a bit younger than Christopher) has a genius IQ. He is extremely talented in math and can easily build almost anything. Bring something home from IKEA, blink, and he can put it together. But he can't spell to save his life. This book was a refreshing reminder that not every person fits the traditional mold and not to judge a person based on one skillset. It's a short read - pick this one up! This was one of the 100 Books to Read Before You Die According to the BBC: 2025 Reading Schedule Jan	A Town Like Alice Feb	Birdsong Mar	Captain Corelli's Mandolin - Louis De Berniere Apr	War and Peace May	The Woman in White Jun	Atonement Jul	The Shadow of the Wind Aug	Jude the Obscure Sep	Ulysses Oct	Vanity Fair Nov	A Fine Balance Dec	Germinal Connect With Me!",5.0,positive,The Curious Incident of the Dog in the Night-Time,13532549
"Coping With Conscience My 34 year old daughter is severely autistic, and has been since she was seven. No one knows why and the condition has never varied in its intensity. So she is stuck in time. She knows this and vaguely resents it somewhat but gets on with things as best she can. Each case of autism is probably unique. My daughter has no facility with numbers or memory but she does with space. As far as I can tell any enclosed space appears to her as a kind of filing system which she can decipher almost instantly. When she was twelve I brought her into a cavernous Virgin megastore to get a particular CD. She had never been in the place before, but after standing in the doorway for three or four seconds, she walked immediately to the correct aisle and bin and picked out the desired CD without any hesitation. I have a theory, probably rubbish, that autistic people perceive the world as it actually is or, more precisely, within strictly limited categories that might be called ‘natural’, somewhat in the vein of Kantian transcendentals - space, time, numbers, etc. Most, like my daughter and Christopher, the protagonist of The Curious Incident, have no facility with purely linguistic manipulation - metaphor, lying, irony, jokes, complex allusion, actually fiction of any sort. The world is not just literal, it exists in a way that ensures words are always subservient to things and without imagination that it could be any other way. In my experience autistic people tend to become upset when non-autistic people attempt to reverse the priority by making things subservient to words. This makes the autistic person confused, anxious, and often angry. They appear resentful that such liberties can be taken with what is so obviously reality. In effect, the autistic life is devoted to truth as what is actually ‘there’, stripped of all emotional, figurative, and cultural content. This makes autistic people often difficult to live with. They insist and they persist about things which appear trivial to others. They nag and needle until they obtain recognition. In those areas that interest them, they are capable of splitting the finest hairs to avoid abandoning their perceptions of the world. They may on occasion conform in order to gain a point but they never really give in. They are stalwart in being, simply, themselves. Adaptation occurs elsewhere, not in them. It is, therefore, probably impossible for non-autistic people to live without tension among autistic people. The latter are maddening in the solidity of their selves. They are, in a sense, elemental, for all we know formed in the intense energy of a star in some distant galaxy. Fortunately, the fact that most of us cannot understand their elemental force is not something that worries them very much. Their emotional reactions may be intense but these attenuate rapidly, leaving little damaging residue. Ultimately, perhaps, autistic people are the conscience of the world. And conscience is always troublesome, not because it threatens to judge but because it reveals. Postscript 19/08/22: My daughter died today of a cerebral stroke, aged 37. I am devastated.",5.0,positive,The Curious Incident of the Dog in the Night-Time,13532549
"The Prime Reasons Why I Enjoyed 's : 2. Death broken down into its molecular importance. 3. Clouds, with chimneys and aerials impressed upon them, and their potential as alien space crafts. 5. Black Days and Yellow cars. 7. Red food coloring for Indian cuisine. 11. Christopher's reasons for loving and disdaining . 13. White lies. 17. The patience of Siobhan 19. Father’s frustration, and Father's love. 23. “I reasoned that....” 29. Metaphors are lies and similes are not. 31. The intimacy of fanning out the fingers and pressing the hand of another. 37. Christopher punches a policeman and later decides he doesn't like policeman much after all. 41. My empathy for Father's pain. 43. Mystification through demystification. 47. Father admitting one of his “crimes” before he was caught. 53. Did I mention Christopher? 59. A Level Maths. 61. The London Underground as a scary, thrilling adventure. 67. Toby the rat. 71. Wellington forked. 73. The book has yet to be discovered by Oprah. 79. Behavioral Problems 83. Maps 89. Prime numbers = Prime chapters 97. That every day life, if seen from a certain perspective, can provide the conflict for a compelling novel.",3.0,neutral,The Curious Incident of the Dog in the Night-Time,13532549
"pooƃ ʎɹǝʌ ʇou puɐ ʎʞɔıɯɯıƃ ʎɹǝʌ sı ʞooq sıɥʇ if you want to read an excellent book about autism in a young person, read marcelo in the real world . this book is like hilary swank - you can tell it is trying really hard to win all the awards but it has no heart inside. and yet everyone eats it up. C0ME ON!! no one likes gimmicks.",2.0,negative,The Curious Incident of the Dog in the Night-Time,13532549
"This book I read in a day. I was in a Chapters bookstore in Toronto (that's like Barnes and Noble to the Americans in the crowd) and anyway I was just browsing around, trying to kill time. When suddenly I saw this nice display of red books with an upturned dog on the cover. Attracted as always to bright colours and odd shapes, I picked it up. It's only about 250 pages or so. I read the back cover and was intrigued. I flipped through the pages and noticed that it had over One Million chapters. I was doubly intrigued. So I walked over to the far wall of the bookstore to sit and begin to read a few pages. I always do this to ensure that I don't waste what little money I have on a book possessing nothing more than a flashy cover. (I do the same at the cinema - if I don't like the first 20 minutes, I get a refund. Restaurants, too: if I don't like the first ten bites, I walk out on the bill). This is a book written by a Child Developmental Psychologist - I think that's the right term... - anyway, a doctor who works with mentally or physically challenged youngsters. The novel itself is a first person tale written by a high-functioning, mentally challenged boy in England who wakes up one morning to find his neighbor's dog dead on his lawn. The boy's teacher suggests he should write about the incident, which he eagerly sets out to do. So we have his first ""novel"", ""The Curious Incident of the Dog in the Night-Time"". He plays Inspector and tries to solve the mystery as Sherlock Holmes would do... Of course, if he's going to write a book, that means he can take control. He hates the way other books have chapter numbers that increase sequentially (1,2,3). He prefers prime numbers and will number his chapters in sequential primes - hence, by the end of the book, you're reading chapter 123,314,124 or whatever (I ain't no math guy ;) Now then, he also writes about other things in his life and through his perspective you get some tear-jerking moments of true, unobstructed humanity: the way his parents broke up because of his state, how he has all these dreams about being someone great and going to a top college, even though you know that his situation will never really allow it. Anyway. I read this book cover to cover sitting on the floor of that Chapters bookstore. By the end of it I was absolutely bawling my eyes out. Never cried so much in my life. In fact, as I type this and think back on that story, I'm dripping on my keyboard (and I'm at my office!). However - these are tears of joy. The boy does it. He can do anything. It's the most uplifting book I've ever read. I highly recommend this book to anyone who feels anything deep down inside.",5.0,positive,The Curious Incident of the Dog in the Night-Time,13532549
"This is the most disassociating book I've ever read. Try to read it all in one sitting -- it will totally fuck with your head and make you forget how to be normal your brain used to work. [ As I noted in the comments below, I read this book in 2004 and wrote the review in 2007, long before I understood how ableist it was for me to use ""normal"" as I did initially. I changed it to be more accurate and inclusive, but I wanted to leave the trail // historical record in order to show that I was wrong and there's no need to use careless language like this, which didn't even properly indicate what I meant. ]",5.0,positive,The Curious Incident of the Dog in the Night-Time,13532549
"The concept is interesting: narrating the novel through the POV of an autistic boy. The chapters are cleverly numbered by prime numbers, which ties in with the novel. It has interesting illustrations and diagrams to look at. However, I would not recommend this because it disappointed me and I couldn't, in good conscience, tell anyone to read a book I was disappointed in. I guess my disappointment lies in the fact that not only did my book club tout this as a mystery novel but also many of the literary reviews I read as well. What I was expecting was an exciting roller coaster ride mystery about an autistic boy trying to find the killer of his neighbor's dog and, as he slowly sleuths out the killer, finds himself embroiled in dangerous life threatening situations. Kind of like Tartt's The Little Friend told from an autistic POV. However, The Curious Incident... is not a mystery in any way, shape or form and because of this, the autistic POV begins to wear thin by the second half of the novel remaining sometimes fascinating yet sometimes tedious. Instead, you get a novel that starts off as a promising murder mystery. At the first half of the novel, the mystery is solved. Or rather we're unceremoniously told who is the murderer of the dog. From that point, the second half of the novel hugely focuses on Christopher attempting to travel to London by himself. A difficult task considering Christopher is autistic, hates crowds and can't stand to be touched by people. I won't tell who the murderer is or why Christopher takes off to London, as these are the only two real surprises of the novel. I will say overall this was a huge disappointment to me. I thought I was getting an exciting murder mystery and instead I got a highly readable family melodrama. Perhaps if this was not pushed as a murder mystery I would have enjoyed it much more. An interesting read but I wouldn't recommend it.",1.0,negative,The Curious Incident of the Dog in the Night-Time,13532549
"Here's what I liked about this book: 1. I found Christopher, with all his many quirks, to be sweet and rather endearing. 2. I thought it was a creative idea to write a book from the point of view of a boy with Asperger syndrome. This is difficult to pull off, but the author does it well. 3. I enjoyed Christopher's musings about life and the way in which he sees it. 4. I love making lists. Here's what I didn't like about this book: 1. It wasn't really a mystery and I found some of it to be a bit predictable (I guessed who killed Wellington long before it was revealed). 2. The first half is better than the second half. 3. As much as I love making lists (see above), the list thing got the slightest bit annoying after awhile. Overall, a poignant story about a young, brave autistic boy trying to make sense of and find his place in this very complicated world. Worth the read.",4.0,positive,The Curious Incident of the Dog in the Night-Time,13532549
"Overview First person tale of Christopher, a fifteen-year-old with Asperger's Syndrome or high-functioning autism, and a talent for maths, who writes a book (this one - sort of - very post modern) about his investigations of the murder of a neighbour's dog. He loves Sherlock Holmes and is amazingly observant of tiny details, but his lack of insight into other people's emotional lives hampers his investigation. Nevertheless, he has to overcome some of his deepest habits and fears, and he also uncovers some unexpected secrets. It is primarily a YA book, but there is more than enough to it to make it a worthwhile adult read as well. ASD or not? Neither autism nor Asperger's is mentioned by name in the book, but the back cover of my 2003 first edition has this quote from neurologist Oliver Sacks that does: ""Mark Haddon shows great insight into the autistic mind."" Photo . Prime Chapters and Structural Quirks The structure of the book (chapter numbers are all primes; inclusion of maths puzzles and diagrams) and narrative style (attention to detail, excessive logic, avoidance of metaphor) reflect Christopher's mindset and way of viewing life. It is peppered with snippets of maths and explanations of his condition: how it affects him, and what coping strategies he adopts. The effect is plausibly stilted and occasionally breathless, which is reminiscent of people I know who are on the autistic spectrum and tallies with my limited reading about the condition. Honest but Unreliable Narrator? Christopher's condition makes him very literal - something he is aware of. He can analyse a joke, but still not ""get"" it. Truth is paramount, so he hates situations where he can't tell the truth (e.g. for politeness) and indeed the fact that ""everything you tell is a white lie"" because you can never give a fully comprehensive answer to anything. He also hates metaphors (even ""the word metaphor is a metaphor"", meaning ""carrying something from one place to another""), but he doesn't mind similes because they are not untrue. Christopher's feelings about metaphors are highly pertinent to a very different book, China Mieville's wonderful Embassytown (see my review ), which is about how minds shape language and how language shapes minds, and focuses on the relationship between similes, truth and lies. Many novels are about uncovering what is true, but Christopher's quest takes the idea to a deeper level, and even though we know this narrator is almost pathologically truthful, his condition means his observations sometimes miss the real truth of a situation. There is plenty of humour, and it usually arises from Christopher's naive misunderstandings of situations and the conflict between his lack of embarrassment and desire to be unnoticed by unfamiliar people. Logic and Truth Christopher loves maths because it is safe, straightforward and has a definite answer, unlike life. He's also good at explaining some aspects, ending an explanation of calculating primes with ""Prime numbers are what is left when you have taken all the patterns away"". His apparent deviations from logic are justified with ingenious logic. For example, having favourite and hated colours reduces choice and thus stress, counteracting the effect of his inability to filter or prioritise: he notices (and remembers) every detail of everything, and can rewind it at will, whereas other people's brains are filled with imaginary stuff. He is a little like his hero Sherlock Holmes, who is quoted saying ""The world is full of obvious things which nobody by any chance observes"". Similarly, defining a good or bad day on the basis of how many red or yellow cars is no more illogical than an office-bound person's mood being dictated by the weather. All of this means animals are a better bet than humans: ""I like dogs. You always know what a dog is thinking - it has four moods. Happy, sad, cross and concentrating. Also, dogs are faithful and they do not tell lies because they cannot talk"". People are more of a mystery: when having a conversation, people look at him to understand what he's thinking, but Christopher can't do likewise. For him ""it's like being in a room with a one-way mirror in a spy film"". Love is even more unfathomable: ""Loving someone is helping them when they get into trouble, and looking after them, and telling them the truth, and Father [does lots of things for me]... which means that he loves me"". Comparisons I reread this during a rather stressful journey, including the passages when Christopher is making a stressful journey. It helped me empathise with him - to the extent that it exacerbated my own stress! It's worth comparing this with: * Iris Murdoch's The Word Child , whose main character has tacit Asperger's tendencies. See my review . * Yōko Ogawa's The Housekeeper and the Professor , which is also about finding number patterns in everyday life, and involves a protagonist whose brain does not work like other people's. See my review .",5.0,positive,The Curious Incident of the Dog in the Night-Time,13532549
"Such a terrible and overhyped book - please, if you want to write a book that is meant to make people feel sympathy (if not empathy) for the main characters, don't make him a sociopathic spoilt brat who ruins everyone's lives without feeling sympathy. Yes, he's meant to be autistic, but Haddon didn't bother researching autism at all so that point is moot. I can't describe how much I wanted this little shit to be ran over by a train when he went to fetch his pet rat (which had made an entirely understandable decision and ran away from Chrissy), but alas, he wasn't and he went on to ruin someone else life. I can deal with a character that is evil (in the sense that they hurt others), but they have to have some charm or they just come out as one dimensional douchebags. There was nothing interesting about Chrissy boy, he just commented about how good he was at maths, how much he hated people (even when those people were trying to help him), and how hard his life is even when he is being mollycoddled. Make no mistake, I have nothing against autistic people, but I'm pretty sure the vast majority of autistic people don't think they're God's gift and that everyone else deserves to die; my (admittedly limited) understanding of autism suggests that people suffering from autism have trouble expressing emotion, rather than being devoid of it. Haddon's lack of research seemed to show mainly in the fact that, even though the book is meant to be from the viewpoint of an autistic child, the understanding of autism seemed to be very superficial, as if Haddon had looked at child with autism and said ""yep, what they say and act like must be exactly how they think... Better write a book about it."" Understandably, as I wasn't overly fussed on Chrissy boy, I did not enjoy the writing style at all. It was a recount of events in the most obnoxious way, appearing not to have taken any literary skill at all. It is very reminiscent of how I (and most others) used to write when I (or they) was five, you know, saying ""and this and then and now and when and and and and"" - I was sat there thinking ""say 'and' again, I dare you, I double dare you!"", and if I had been Jules (I think he was the one played by Mr. jackson), I'd have shot Chrissy boy around seven hundred times, because it seems the only word the author could think to write was 'and'. If this had been fully a murder mystery, then I may have given this book a two stars (providing it was done well) because a good puzzle can make up for unlikable characters and shoddy writing. But no, the culprit was 'found' (he gave himself in without any tension leading up to the moment) and then the book turns into a family drama. A family drama about a horrible and boring family. Great. This book lied to me, it should have been called ""The Curious Incident of the Dog in the Nighttime and the Less Curious Incident of a Dysfunctional Family"". Another thing that really bugged me was the random God-bashing thing. I'm not a Christian (or religious at all), but it was not needed in the slightest, it was as if Haddon thought he may as well get Dawkins on all our asses. It felt really preachy and forced and it didn't fit in the context of that part of the story, it was just stupid. The final point I'll make is that this book gives people a false view of autism, and many people who did not know much about the condition before may now think this unresearched drivel is correct.",1.0,negative,The Curious Incident of the Dog in the Night-Time,13532549
