review,rating,sentiment,book_title,book_id
"Four stars for pure entertainment value . However, Dave Barry's review gets five stars: `The Da Vinci Code,' cracked by Dave Barry I have written a blockbuster novel. My inspiration was The DaVinci Code by Dan Brown, which has sold 253 trillion copies in hardcover because it's such a compelling page-turner. NOBODY can put this book down: MOTHER ON BEACH: Help! My child is being attacked by a shark! LIFEGUARD (looking up from The DaVinci Code: Not now! I just got to page 243, where it turns out that one of the men depicted in ''The Last Supper'' is actually a woman! MOTHER: I know! Isn't that incredible? And it turns out that she's . . . SHARK (spitting out the child): Don't give it away! I'm only on page 187! The key to The DaVinci Code is that it's filled with startling plot twists, and almost every chapter ends with a ''cliffhanger,'' so you have to keep reading to see what will happen. Using this formula, I wrote the following blockbuster novel, titled The Constitution Conundrum. It's fairly short now, but when I get a huge publishing contract, I'll flesh it out to 100,000 words by adding sentences. CHAPTER ONE: Handsome yet unmarried historian Hugh Heckman stood in the National Archives Building in Washington, D.C., squinting through the bulletproof glass at the U.S. Constitution. Suddenly, he made an amazing discovery. ''My God!'' he said, out loud. ``This is incredible! Soon I will say what it is.'' CHAPTER TWO: ''What is it?'' said a woman Heckman had never seen before who happened to be standing next to him. She was extremely beautiful, but wore glasses as a sign of intelligence. ''My name is Desiree Legume,'' she said. Heckman felt he could trust her. ''Look at this!'' he said, pointing to the Constitution. ''My God, that's incredible!'' said Desiree. ``It's going to be very surprising when we finally reveal what we're talking about!'' CHAPTER THREE: ''Yes,'' said Hugh, ``incredible as it seems, there are extra words written in the margin of the U.S. Constitution, and nobody ever noticed them until now! They appear to be in some kind of code.'' ''Let me look,'' said Desiree. ``In addition to being gorgeous, I am a trained codebreaker. Oh my God!'' ''What is it?'' asked Hugh in an excited yet concerned tone of voice. ''The message,'' said Desiree, ``is . . . '' But just then, the chapter ended. CHAPTER FOUR: ''It's a fiendishly clever code,'' explained Desiree. 'As you can see, the words say: `White House White House Bo Bite House, Banana Fana Fo Fite House, Fe Fi Mo Mite House, White House.' '' ''Yes,'' said Hugh, frowning in bafflement. ``But what can it possibly mean?'' ''If I am correct,'' said Desiree, ``it is referring to . . . the White House!'' ''My God!'' said Hugh. ``That's where the president lives! Do you think . . . '' ''Do I think what?'' said Desiree. ''I don't know,'' said Hugh. ``But we're about to find out.'' CHAPTER FIVE: Hugh and Desiree crouched in some bushes next to the Oval Office. ''We'd better hurry up and solve this mystery,'' remarked Desiree anxiously. ''It's only a matter of time before somebody notices that the Constitution is missing.'' She had slipped it into her purse at the National Archives while the guard wasn't looking. ''The answer must be here somewhere,'' said Hugh, studying the ancient document, which was brown from age and the fact that he had spilled Diet Peach Snapple on it. ''Wait a minute!'' he said. ``I've got it!'' ''What?'' said Desiree, her breasts heaving into view. ''The answer!'' said Hugh. ``It's . . . But just then, shots rang out. CHAPTER SIX: ''That was close!'' remarked Desiree. ``Fortunately, those shots had nothing to do with the plot of this book.'' ''Yes,'' said Hugh. ``Anyway, as I was saying, the answer is to hold the Constitution up so that it is aligned with the White House and the Washington Monument. . . . There, do you see what I mean?'' ''My God!'' said Desiree, seeing what he meant. ``It's . . . '' ''Hold it right there,'' said the president of the United States. CHAPTER SEVEN: '' . . . and so you see,'' concluded the president, ``you two uncovered a shocking and fascinating secret that, if it should ever get out, could change the course of history.'' ''Mr. President,'' said Desiree, ``thank you for that riveting and satisfying explanation, which will be fleshed out into much greater detail once there is a publishing contract.'' ''Also,'' noted Hugh, ``we may use some beverage other than Snapple, depending on what kind of product-placement deals can be worked out.'' ''Good,'' said the president. ``Now can I have the Constitution back?'' They all enjoyed a hearty laugh, for they knew that the movie rights were also available...",3.0,neutral,"The Da Vinci Code (Robert Langdon, #2)",968
"PLEASE do NOT recommend The Da Vinci Code to me because you think it's brilliant. Please do not try to explain to me that it is a ""really interesting and eye-opening book."" Just don't. Please. I've read Iain Pear, I heart Foucault's Pendulum, Dashiell Hammett is my hero, Alan Moore is My Absolute Favorite, I listen to Coil on a fairly regular basis, and cloak n' dagger secret society/Priory of Sion/Knights of Templar-tinged num nums make me a very happy girl... but if you truly believe that Brown's stupid airport thriller has ANY right whatsoever to be placed in the same category with Michael ""Wooden Dildo Dialogue"" Crichton, let alone Umberto Eco, kindly keep this opinion very far away from me, or the ensuing conversation we have will not be constructive or polite in any way. I loathe Dan Brown. I resent him for spoon-feeding the masses pseudo-intellectual ""Holy Blood, Holy Grail"" D-grade thriller shite under a pretense of real sophistication, and getting orally serviced by The New York Times for his effort. I'd heard that the novel was meticulously researched and contained some really interesting and controversial assessments of religious zealotry. Um, not really? Well, not by my Merovingian standards, anyway. :D Let's put it this way. If Dan Brown was teaching an Insurgent Christian Symbolism in Art and Literature 101 class at my local community college, I'd definitely have a different opinion about him. But NO. Dan Brown is not a professor of anything but pap. He is a barely competent thriller writer who wrote an AWFUL book that I could not bear to finish because I felt my IQ plummeting a little further with every ""Let's Go to Paris! Guidebook"" description and blowhard authorial essay. Oh, don't even get me started about those cute soliloquies the main characters are so fond of delivering, ever so calmly, often while cops n' bovvers are chasing them. The characters are weakly drawn. The dialogue is excruciating. The research is shoddy and self-serving at best. The plot, no matter how open-minded you are, is beyond ludicrous. It's laughable enough to be incorporated into the next Indiana Jones movie. That'd be sweet, dude. What really irks me are Dan Brown's sanctimonious interviews, wherein he shows off all of his priceless antiques while expressing his abiding convictions that the American public needs a ""deeper appreciation"" of art and history and culture. What a shallow, self-aggrandizing hypocrite. I'm all for fictional subversion of the dominant Catholic paradigm, but only if the subverter knows what the hell they're talking about. Brown DOESN'T. He's all ""la la la, connect the dots"" but the picture he comes up with is awkward and unconvincing. The DaVinci Choad is a dead easy, nay, downright lazy read, and yet droves of people are patting themselves on the back for having read and *gasp* actually understood it. Like this is some spectacular achievement? WHY? What, because the slipcover describes it as ""erudite""? Are you fucking kidding me? Don't believe the hype, kids. You are profoundly more intelligent than this holiday page-turner gives you credit for. If you really, honestly, just plain liked the book, that's cool I guess. Maybe you also prefer Anne Geddes to Alfred Stieglitz, Kenny G to Sidney Bechet, John Tesh to Igor Stravinsky. Your prerogative. Just.... please don't try to tell me that this is ""fascinating"" or ""meaningful literature"". Frickin' read The Club Dumas or something. Then we'll talk, and I won't want to shoot myself in the face. Alright, glad I purged that poison from my system. Carry on.",1.0,negative,"The Da Vinci Code (Robert Langdon, #2)",968
"most of us have heard of this controverisal book. it takes an open minded person to read this and to remember it is just fiction. but it brings up a lot of important questions about the Christian church, and the loss of paganism and the respect of the Goddess or the Woman. I don't care if I am the only one who likes this book. it is my own truth, and i will think what i want to think. Dan Brown didn't LEAD me or anyone else. he OPENED our minds. simply and importantly...he was just a catalyst for different thinking. that is a good thing...poorly written or not. if you finish the book you will notice that Dan Brown even makes it clear to readers through his characters words, that he doesn't want to destroy christianity because it has done so much good for so many people, and if it works for them, let's let them continue to do what works for them. but find your own path. if you were or are a Christian ask yourself about the topics in this book. They are so eye opening. Jesus having a baby? totally possible...never thought of it before. never thought of it. is it true? who knows. Things like this are happening all the time today...Weapons of Mass destruction in Iraq? sound familiar? Maybe the church repressed information LIKE this because it was a threat to the church. totally possible. The catholic church creating the biblical canon with a political agenda to wipe out paganism? actually this seems to be a fact. women being oppressed due to the fear of religous zealot men in power losing their power...never looked at it that way. but this seems to be a fact too. is it helpful in broadening my perspective of the fact that christianity is just a religion made by fallible people. it sure is. does it open my mind to other faiths like paganism, judiasm, islam, bhuddism, and want to take the truths from all of them, and then THINK FOR MYSELF and figure out my own truth. it sure does...and that is what this book has probably done for many other people. why do you think Dan Brown's book was on the bestseller list for so long...and became a movie...obviously it was doing some good.",5.0,positive,"The Da Vinci Code (Robert Langdon, #2)",968
"(A-) 80% | Very Good Notes: Excessive exposition and ludicrous writing discolor an otherwise captivating, thought-provoking, page-turning read.",4.0,positive,"The Da Vinci Code (Robert Langdon, #2)",968
"The Movie Was Better When the curator of The Louvre is found murdered, Robert Langdon finds himself in the middle of a mystery filled with riddles and puzzles. Will Langdon be able to figure out all of the clues? The Da Vinci Code is structured in very short chapters which at first was refreshing but became old pretty fast. Instead of focusing on one major mystery with a bunch of players, there are a bunch of riddles to solve. Of course, I wasn’t able to solve the riddles (alright well I did solve the first riddle because if I was guessing someone’s password that would have been my very first try). The prose is simply horrible in this book. The sentences were very short. To read this, you have to suspend reality (and not in a good way, yes, I’m talking to you all of my fantasy friends!). There was always a car ready to whisk them away. The police were constantly outsmarted. Planes could easily be redirected in mid-flight. If you ask Langdon the most basic yes/no question, he would answer you with a full treatise. But apparently this is really quite an aphrodisiac because the women seem to just love this nerdy guy. Thank you to everyone who participated in The Da Vinci Code Readalong! 2025 Reading Schedule Jan	A Town Like Alice Feb	Birdsong Mar	Captain Corelli's Mandolin - Louis De Berniere Apr	War and Peace May	The Woman in White Jun	Atonement Jul	The Shadow of the Wind Aug	Jude the Obscure Sep	Ulysses Oct	Vanity Fair Nov	A Fine Balance Dec	Germinal Connect With Me!",2.0,negative,"The Da Vinci Code (Robert Langdon, #2)",968
"أولا زي ماقلت في الرواية دي لو حابب تتمتع وانت بتقراها بجد ليها حل من الاتنين 1-Illustrated Edition تقرأ النسخة الإنجليزية المصورة أو 2- وانت تقرأ نسختك تفتح جوجل صور وتبحث وتشوف صورة كل مكان يزوره روبرت لانجدو��،كل قاعة باللوفر أو لوحة لدافنشي ومخطوطاته، والكنائس وشوارع باريس أهم لوحات الرواية وسر حبكتها، شفرة دافنشي، العشاء الاخير واﻷن اربط الحزام، الطائرة ستقلع بك إلي باريس لرحلة جديدة مع لانجدون لكشف أسرارها،خباياها وتاريخها وشفرتها شفرة دافنشي مع فتاة تعشق لعبة ""البحث عن الكنز"" وضابط يبحث عن جريمة قتل وراهب يسعي للقتل من اجل اخفاء سر وجماعات سرية ودكتور يعرف اكثر مما ينبغي والأهم روبرت لانجدون *** تاني تجربة ليا في قراءة رواية مليانة تفاصيل ومعلومات حقيقية مع دان براون والشخصية الممتازة روبرت لانجدون وكملائكه وشياطين المعلومات في اطار تشويقي فعلا يخليك مستني تعرف المعلومة اللي بعدها وتحاول تبحث عن حقيقتها او اصلها علي الانترنت خاصا انها المرة دي مثيره للجدل جدا فكما قدم لنا بروايته الأولي صدام العلم مع الدين في القرن السابع عشر بالأخص مع نظريات جاليليو ..هنا يقدم لنا تاريخ اقدم , من دافنشي وعصر النهضة من القرن الرابع عشر مع نظريات مثيرة للجدل حول لوحته الأشهر ""العشاء الأخير"" وليزيد في معلومات مثيرة أكثر عن فرسان الهيكل والحملة الصليبية والتي تعود قبل عصر النهضة بثلاث قرون تقريبا وكمان معلومات تانية عن التنويريين والماسون بتكمل الجزء السابق في رواية ملائكة وشياطين افتكر ان من الأفضل انك تدخل بين صفحات الرواية أفضل لمعرفة تلك المعلومات والتاريخ والفن والعلم الغامض عند دافنشي وغيره من فناني عصره...اما عن رأيي بيها فشايف فعلا فيها بعض التكهنات أكيد وبعضها يصدم بالدين المسيحي مما اثار الجدل حول الرواية لكن بعض الأخر منها يرمي بصيص من التنوير عن بعض الأحداث الغامضة عن تاريخ الأديان عاما -مثل حقيقة ظروف تعميد الامبراطور الروماني والاعتراف الروماني بالدين المسيحي وماحدث لفرسان الهيكل ومحاكماتهم المثيرة للجدل واسرار حرق الساحرات وغموض مصير مريم المجدلية وغيرها من بعض المواضيع الجدلية -وكالكتاب السابق الذكر , بنجاح تلك الرواية أدي لمحاولات للعديد من الكتب تقليدها او الوصول لتلك المرحلة التاريخية وابسط مثال لمستفيدي هذا النجاح روايات وان كان قدمها البعض بابتذال وتعدي علي الدين نفسه كـيوسف زيدان في ظل الأفعي وعزازيل مع ان دان براون نفسه روايته قيل انها متشابهة في الموضوع الجدلي الكنسي كرواية امبرتو ايكو 1980 وبرغم من انها من الثمانيات الا انها لم تلق نصيبها من الشهرة الواسعة الا عندما تم اطلاق عليها دعائيا ""اصل رواية شفرة دافنشي لدان براون وايضا استخدام عنصر لوحة العشاء الأخير وفرسان الهيكل التي أثارت جدلا من قبل خاصا بعد 1997 بصدور كتاب لكن يظل دان براون هو الأشهر والأقوي بروايته المثيرة تلك ""وربما تنبأ دان براون بهذا الاعتلاء علي عرش اعلي مبيعات الكتب اثناء كتابته للرواية بذكره لكتابين من اعلي مبيعات الكتب في العالم من قبله في الحوار التالي: الذي دار بين روبرت لانجدون الذي يريد نشر كتابه حول نظريته عن الكأس المقدسه وبين صديقه ناشر كتبه الذي يساله لماذا لم يحاول احد الكتاب من قبله نشر الحقائق التي كتبها لانجدون حول ذلك الموضوع """"These books can't possibly compete with centuries of established history, especially when that history is endorsed by the ultimate bestseller of all time."" Faukman's eyes went wide. ""Don't tell me Harry Potter is actually about the Holy Grail."" ""I was referring to the Bible ."" يمكن المفاجأت الأقوي بالنسبة لي واللي اعجبني جدا جزء المعلومات عنها هي ليست المعلومات الدينية فحسب -لبعض التكهنات بها وليس الحقائق- , هي المعلومات الكونية الحقيقة ""مثل حقائق الرقم المقدس فاي، اﻷديان عبر العصور , لفظة ""أمين"" التي نقولها في كل الأديان تقريبا وغيرها و ايضا معلومات عن الأنثي المقدسة وتاريخ أضطهاد الأنثي علي مر العصور والأديان كان موفق فيه جدا ... مع بعض التلميحات لمعرفه دافنشي باسرار الانثي المقدسة هي سبب ميوله الانثوية , وان كانت قد تندرج تحت بند التكهنات ولكن لندع الجدال الديني جانبا ... لا أنكر انني احترم من يدافع عن الدين , وتأتي النجمة الخامسة فقط لفقرة كاملة في الرواية أعجبتني جدا ... هي الجزء الذي يشرح فيه لانجدون اهمية الدين في حياة الانسان والذي قدمه بشكل محايد ومتميز بعكس ملحدي عصرنا ، فبالرغم من أن لانجدون نفسه غير مؤمن إلا أن كلامه عن الدين كان موفقا جدا ومحترما ويجعل من الرواية أثرا جيدا حتي أن اختلفت معه في بعض الأجزاء ~~~~~~ ونعود للرواية بالنسبة للشخصيات *********** مثل الرواية الاولي شخصية روبرت لانجدون لم تخرج عن اطارها..نفس الدقة في رسم الشخصية,قوه الملاحظة وتصرفه وقت المواقف المثيرة..شخصية الهادئ الوقور و 'كمبيوتر' رموز متنقل صوفي وماضيها الذي يطاردها منذ ان شاهدت جثة جدها ، الفتاة الرقيقة القوية بنفس الوقت والتي تتورط في مطاردة لكشف أسرار جماعة غامضة كانت السبب في تفرقتها عن جدها فكرة ماضيها والكشف عن الكنوز والكريبتيكس مع جدها كانت اكثر من ممتازة لاحظ أنك تجد ان صوفي..جدها..الظابط..العالم..الكاهن..والمجرم التائب..دافنشي..وحتي مريم المجدلية كلها شخصيات مهمة في الاحداث يتم فك شفرتهم جميعا فصل فصل لكل شخصيه شفرة, شفرة قد تكون..ماضي..سر دفين..رغبه..علاقه..شفرة تنكشف لك ولكن بتدريج محسوب ومتقن طوال اﻷحداث و بالنسبة للاحداث ********** الرواية متعددة وجهات النظر دائما تحتاج لبراعه في الكتابة...لم تنقص في هذه الرواية عن الرواية السابقة بل كانت مثيرة اكثر والمرة دي كمان الرواية كلها في يوم واحد او يوم ونصف لكن المكان اتغير في تنقل مثير وسلس ولايقل سحر عن روما والفاتيكان..المرة دي بين باريس ليلا وانجلترا صباحا الأحداث هنا ايضا متلاحقة في فترة زمنية تعتبر قصيرة بالنسبة لرواية ضخمة ولكن الحبكة تختلف..فهذه المرة لانجدون هو المطارد من قبل الشرطة الفرنسية وليس مساعدا للشرطة كما كان في الفاتيكان والمشكلة أنه ليس مطاردا من الشرطة فحسب....بل من منظمة دينية غامضة ستتعرف عليها خلال اﻷحداث في أسلوب سينمائي متلاحق الوصف للاماكن واللوحات متقن و لايفوقه الا الصور الملونة في النسخة المصورة من الرواية Illustrated Edition ~~~~~~~~~~~~~~~~~~~ الهروب من المطاردات والاختفاء في اخر لحظة Narrow Escapes كان كثيرا جدا في الرواية ""واللي كان يشفع للفيلم نجاحه الوحيد في أبرازها سينمائيا"" الموضوع ده زاد الاثارة في الرواية دي عن سابقتها، لكنه كان احيانا زائد جدا في بعض الأحيان لدرجة ازعجتني في أحدهما في النهاية انسوا الفيلم تماما وابدأوا بالرواية .. حتي لو كان توم هانكس مبدع ..المخرج رون هاورد عبقري..حيفضل دان براون افضل مؤلف ومخرج وممثل علي الورق محمد العربي الاسكندريه من 10 مارس 2013 الي 19 مارس 2013 The English Review First of all I hate Action books, thriller and just action novels. I hate book would got that much of Facts that can sometimes got the equal pages of the novels events itself.. I love fiction ,I adore fiction with a hint of fantasy ,that make me escapes of our realistic, raw, ugly most of times, unpleasant world to another different one ..I'm a big fan of Harry Potter -although successfully made me read her greedy, realistic, raw, ugly most of times, unpleasant world on and even loving it - So what kind of magic does got to make me fall in love with Robert Langdon's adventures? *Is it his mixing and blending the real historical events with his non-stop thriller ""fiction"". I know some of the historical events he mention are true and some are not -or are they!? :)- ? *Is it the characters itself? The Mickey Mouse watch is amazing touch -as a Disney's big fan- *Is it the talented story telling and the easy swift from a POV to another? *or Is it the melting of the wall between the Hard and Row REAL Facts,Historical Events and Symbols meanings and Enjoying reading about it -WITHOUT being an expert or even interested to know about them from the start- All of what I can say is that the search and hunt of that kind of a thriller novel,A SMART thriller is set for me by Dan Brown with these 2 novels ""Angels and Demons"" and the squeal ""The Da Vinci Code"" March 2014",5.0,positive,"The Da Vinci Code (Robert Langdon, #2)",968
"This is a pretty formulaic page turner, a fun quick read. Written at about the level of the average Nancy Drew mystery, it is best appreciated at that level. As far as the content, there are howlers on virtually every page (starting with the hero who looks like ""Harrison Ford in Harris tweed"" and is a ""Professor of Religious Symbology at Harvard"" -- good work if you can find it). You have to ignore very pulpy, cheesy writing to enjoy this romantic thriller. Intended as a book that a dedicated reader could finish in a day, or something you take to the beach and casually finish in a weekend, The Da Vinci Code makes for a reasonable airline novel, so much so that it is often a bit clunky in its desire to ensure that no intellectual effort on the reader's part will be required. Here's a recurring example in this novel: a bit of unfamiliar terminology, say ""crux gemmata"" (jeweled cross) will will be explained on page N, then on page N+1, a character will finger his jeweled cross and explain, ""Oh, yes -- this is a crux gemmata."" I've read dinner menus that were more demanding on the reader. My wife and I both read about a third of it in a day, sharing the same copy, and that's a full work day plus taking care of kids, bedtime, etc. That's also a kind of virtue, I guess -- it's fast and peppy. As far as history goes, Dan Brown apparently thinks that ""most historians"" give credence to the hoary forgeries and frauds promoted in sensationalist best-sellers like . This author gets the best of both worlds: simultaneously claiming that ""it's just fiction,"" while introducing the novel with claims that the historical record contained within is ""fact."" That claim is ridiculous. To pluck a random example, he spends some time talking about the Council of Nicaea, and incorrectly summarizes it as the origin of the doctrine of Christ's divinity by Constantine. He ignores the Arian controversy out of which it arose, which is like trying to explain the Treaty of Versailles without mentioning World War I. He ignores the documented fact, agreed upon even by the cheerleaders of the gnostics that he is sympathetic to, that the earliest gnostic doctrines held that Christ was *purely* God, and not really man -- the very reverse of the doctrine that serves as the linchpin of his novel's intellectual base (such as it is). This is a bad novel for weak or misinformed Christians, but anyone familiar with history should spot the train wreck of Brown's ideas a mile off. Oh yes, and in Brown's world, Opus Dei has shadowy assassin ""monks"" (in real life, Opus Dei is not a monastic order -- there are no Opus Dei monks, let alone trained assassins), and the Catholic Church has been promulgating known lies as its central dogmas, promotes violence throughout the world, and has been retarding the progress of science and knowledge for 2 millennia. Brown leaves the reader with the impression that this, too, is a matter of settled historical record. Oh, but then again, it's just fiction. Except when it's not. In general, if you're looking for a heady thriller wrapped around Christian arcana, I'd recommend Umberto Eco's excellent , not this dumbed down, by-the-numbers novel.",1.0,negative,"The Da Vinci Code (Robert Langdon, #2)",968
"Alternate history, uchronias, and indirect criticism of faith and ideology combined into one of the most successful thriller series of all time. The separate parts were already there Everything was already on the table, many authors had dealt with the different ideas Brown is mixing together, and finding and recombining conspiracy theories isn´t that complicated. It´s the mix of different topics that interest many people stirred together that make it entertaining for the ones who like art or thrillers, for atheists and religious people, for the ones interested in plot or characterization, it´s just difficult to find someone who would immediately say that she/he isn´t interested in one of the plot vehicles. Uchronia, dystopia, or big history? It doesn´t just relativizes general history, but religious and political history in a way that makes it a prime example of the fact that history and holy texts are written by the winners. Widening the range, questioning the status quo, and making people skeptical regarding omniscience, commandments, and whatever is something of huge importance. Brown did more than Richard Dawkins and Christopher Hitchens combined and multiplied could have done in centuries by reaching so many people and making them think about the legitimation of any kind of belief. Religious fan fiction Imagine many people would start writing fanfiction like that about different religious texts, expanding universes with new and alternative prophets, letting the whole thing collapse into a parody of itself within years. Hard vs soft science I tend to equate religious, economic, and political science texts for the simple reason that, as soon as there is one more truth, or in hard science, formulas, and equations, the others or even the own one must the wrong. The more open criticism and sarcastic to profound interpretations of all those one hit wonders are made by sophisticated, young people, the less power all of those charlatanries can generate in their stupid quest towards the one and only variation of reality they want to establish. Blasphemy in a Why can´t JC have a daughter, what´s your problem dudes? It´s so ridiculous, if any prophet would be a woman or, gosh, a lesbian (or even a gay male prophet), they would of course completely freak out even more. Tropes show how literature is conceptualized and created and which mixture of elements makes works and genres unique: A wiki walk can be as refreshing to the mind as a walk through nature in this completely overrated real life outside books: Sakrileg ist der Titel der 2004 erschienenen Übersetzung eines",4.0,positive,"The Da Vinci Code (Robert Langdon, #2)",968
"A thriller devoid of pacing or exciting language. A mystery devoid of clues, foreshadowing, or facts. A tell-all of half-truths based upon a forged document written by a schizophrenic conman. A character-driven modern novel devoid of character. The second draft of Angels and Demons. Page-turning action thanks to the literary equivalent of pulling out at the moment of orgasm. A spiritual awakening built on new-age conspiracy theory. This book is many things, and none of them good, new, or interesting. However, it is an excellent litmus test for idealistic delusion. Upon the first reading, I must admit I found it a bit interesting, but then I turned the final page, and there was no bibliography. No explanation of how the author became familiar with all the concepts he claimed to 'faithfully portray'. He wrote this book and pretended it was a history book, and then refused to support it in any way. And any history you can't check up on is a bad one. He's no better than James Frey. In fact, he may be worse, since I know people who base their religious beliefs on this book, whereas Frey's only crime was wishing he was Scarface. And really, what macho thirtysomething male doesn't? Brown had good reasons for hiding his sources: they were forged by con-man Pierre Plantard and snuck into the Bibliotheque National in Paris back in the seventies. And it's not like Plantard got away with it, either--the whole 'Priory of Sion' thing was debunked thirty years before this book was even written. The artistic 'iconography' that figures heavily into the mystery is also completely made-up, and was declared ludicrous by an art history professor of my acquaintance. There are a lot of well-known symbols and allusions in classic art, but none of them resemble Brown's claims. The whole hinge on which the plot turns--the notion that an inverted triangle is automatically symbolic of women--makes about as much sense as declaring that the use of the swastika by 3rd century, BC Buddhists was proof that they were fascists. The rest of Brown's book is filled with the sort of cliched religious conspiracies you get from your first year as a theology student. Not only that, but these conspiracies were already explored by better writers in and the . Well, I've already done more legitimate historical research on this review than Brown did in his whole book, so I guess I'll call it a day.",1.0,negative,"The Da Vinci Code (Robert Langdon, #2)",968
الرجل الفيتروفي ايقونة الحضارة الغريبة يتحول الى :الجثة الاكثر شهرة ادبيا عندما استخدم سونيير دمه كحبر ومستعملاً بطنه كلوحة..رسم عليه رمزاً بسيطا :اًلنجمة الخماسية لننطلق لاغرب مجموعة من الرموز قد تقابلها في حياتك اجمل ما يمنحنا إياه إي كتاب :المعلومات الممتعة..و هناك روايات تمت كتابتها لتحتفظ بها في رف خاص :رف الصدارة ..فبعض المعلومات لن تبحث عنها بنفسك ابدا ولكنك ستلتهمها اذا وضعها لك دان براون في اطار مغامرات شيقة لن تنساها ما حييت فمن ينسى الشفرات البارعة واللعب بالكلمات ..والرسائل المستترة..والجناس التصحيفي ..و الوقت المتامر ضد البطل والحفيدة و ترتيب الأحداث في يوم واحد في براعة لا تجدها الا عند براون ..و المفاجأة في النهاية و الضجة التي إثارتها الرواية. .الضجة التي أعادت الكتب رونقها 📚و صار الجدل من جديد على لسان رجل الشارع و هو يناقش أحداث رواية. .ليست مجرد رواية بل هي حجر حرك المياه الادبية الراكدة ..ا..و رغم حجم الكتاب الذي يقترب من الكومدينو الا انه افضل من الفيلم بما لا يقاس,5.0,positive,"The Da Vinci Code (Robert Langdon, #2)",968
