review,rating,sentiment,book_title,book_id
"the potential this book has is staggering but the lack of refinement makes this subpar at best. you could cut this book in half and it would still be the exact same story just waaaay less exhausting. bcos the parts that weren’t a snoozefest? they hit hard for me, ngl. there were some seriously cute moments between Rowan and Zahra— especially some of the special things Rowan did for her. with the book signing, the dinners, the drawings, etc. and hands down, Rowan and Ani’s interactions were the superior parts of this book. i will die on this hill!! but the parts of this that were insufferably boring?? i wanted to give this three stars. but the way i skimmed the fuck out of the last quarter of this book. like you best believe i was i will tell you why this book exhausted me so much— the contradictions. the first one being, this is supposed to be a slowburn. and it is... in a way. but the insta-lust definitely undermines the slowburn aspect – like they kiss for the first time around the 20% mark? then they spend the rest of the first half of the book afterwards wondering in their internal dialogues if the other likes them/if there’s anything going on between them... girl you felt his dick in the boardroom two days ago, im taking a wild stab in the dark and saying yes. it was just so strange. idk how to articulate how i felt reading them go back and forth after their kiss. it felt as though the author added the kiss to placate the readers who don’t like slowburn. then for the readers who do like slowburn, get to see Zahra and Rowan go painfully back and forth for the rest of the book... best of both worlds?! but it failed miserably imo. the other example that stood out to me was when Rowan admits to Zahra he’s Scott... that is a whole other can of worms i ain’t even touching bcos wtf. but when he apologises, Rowan basically declares how obsessed and infatuated he is with Zahra, how he can’t think of anyone else but her. how she’s makes him a better person. blah blah blahhhh... then when they have sex right after, Rowan tells her this can’t be anything more than causual between them? my guy, you basically just declared you’re in love with her without using the word love. and you’re both agreeing to this relationship being causal? followed by a date in the city at the most expensive restaurant where a single glass of wine is £200 and you’re legit dressed up like you’re going to a ball? hmmm, yeah casual as fuck that. then he whisks her away to New York and plans a whole book event and meet and greet with her favourite author... then immediately rebukes that she’s his gf. it made zero sense and was so annoying to read. like if he was doing the bare minimum while insisting they were causal, fine. but when they talk like a couple. act like a couple. think like a couple. then they’re a couple. so it felt like a weak way to just prolong the already exhaustingly long plot that should have ended when Rowan admitted he was Scott. Lauren Asher needed to pick a conflict and stick with it. there were too many overlapping ones that i struggled to identify what was *bad* and what was just a regular piece of the plot. so the contradictions just kept undermining the romance and it was so damn annoying. idk if it was the author’s way to cause conflict? to drag shit out waaay longer than it had to. bcos i am telling you right now. this book could have been 200 pages shorter and nothing would have been different. it’s just filled with a lot of base, repetitive filler in these small pockets of boring interactions. any time i had something to finally sink my teeth into, it was yanked away for the repetitive formula to start up again: of Rowan and Zahra bickering at work, saying the same things over and over and over again. to Rowan and Zahra having the same thoughts and dilemmas about each other, over and over and over again. to them talking online about the same things... you get the picture right? i will give another example bcos i am putting my English degree to good use😌 Zahra says this to Rowan at 67%: “I think you hate how much you want me. Because to care about me means you have to admit to having a heart.” I place a soft kiss against his lips. “So keep telling yourself those pretty little lies. Your secret is safe with me.” she gives a bit of a monologue, this is just a snippet of it. now this is cute or whatever... but this has been established already. like approximately three or four times?? during Rowan’s huge declaration i mentioned earlier, all of this is established – that he low-key hates how much he wants her. so why tf do you have to keep telling me every few pages, maam? i get it. you don’t have to bat me over the head with the same poetical, flowery nonsense. any chance they got, it was reiterated that Rowan made Zahra ✨feel✨and they would admit to one another how much they meant to each other... while keeping things casual. y’all need to look up the definition of casual in the dictionary bcos i think you’ve got the wrong idea. this particular repeated sentiment just heightened my awareness of just how much of this book was filler content. it got to the point where id read an interaction or a conversation or an inner monologue and think “swear to god i have already read this??” probably why it took me so long to read and why i then ended up skimming the ending. i just loathe in books when there’s truly nothing keeping the MCs apart anymore and they both know they have feelings for each other. yet do precisely nothing about it and aren’t together... for what? angst? drama? conflicts? bcos to me, y’all just look fucking dumb as shit. and it annoys me so much bcos this had potential for me to be really good! you best believe i am reading Declan and Cal’s books... Cal, sir👀 if you’re looking for a heroine for your book look no further baby😘 i fluctuated so much with the characters. one minute i loved Zahra and was riding the Rowan-hate train... then after one small conversation or interaction my feelings would do a reverse uno and it was Rowan i was rooting for while Zahra was the one grating on my last nerve. it was draining to keep up with them. slowburn gotta deliver the delicious burn to compensate from being so slow. but their back and forth just burnt my brain cells to a crisp. i hope i make sense bcos at this point, i feel like im rambling since trying to articulate my thoughts is a struggle😭 that being said. i liked the moments i liked... if that makes sense. if i could cut all the useless shit out of this book, the way this would be soooo good. it had the bones of a good book, just Lauren Asher needed to decide what she wanted this book to be. slowburn or insta-lust? then the grumpy-sunshine, the workplace aspect with forced proximity and the boss and employee dynamic, the talking online but not knowing you know each other in real life... it just needed so much refinement. for real, someone needs to get Lauren Asher and editor. and if she already has one they need to be fired. random side note: whenever characters have sex in cars, i really want their chauffeurs to slam the breaks on while they’re fucking and send the bitches flying. y’all need to pull your trousers up and put yourself seatbelts on for fuck sake. can’t you wait??!",2.0,negative,"The Fine Print (Dreamland Billionaires, #1)",74045390
"1.5⭐️ ""There’s nothing in the world I’ll find more beautiful than her. Not the sun. Not the moon. Not even the entire galaxy compares to the light she radiates wherever she goes.” me reading this book: my mom: is it that bad? me: i don’t understand the hype with this book. i mean there was potential somewhere in the storyline but goddamn it, it was a MESS. i'm lying.. no potential whatsoever. its just bad. i also don't know why i picked up this book after dnfing it. i felt bad and i want to read the second book but this was torture. this was so INSTA lust INSTA everything. ugh. his dick twitched in chp2, she was panting by chp3. they kissed by chp9 while also grinding against each other. idk these characters yet why are they making out already? i don’t feel anything for them yet i don’t feel the chemistry, like CHILL we are only 18% in and its just TOO fast??? they didn't do anything romantic until like 51%?? so why couldn't it have been a semi slowburn instead of this insta lust and then nothing for over 40%?? “Lucifer: Please tell me where you are? Me: Look at you using the word please. And people say old dogs can’t learn new tricks. ” also idk what is up with this relationship dynamic but no fucking boss and employee talk this way? she’s yelling at him and saying shit as if he’s not her boss? get off your high horse tbh where is the respect? i’m tired of authors writing sunshine girls as stupid bitches with no filter. make them polite PLEaSE. this is a workplace romance not the fucking zoo. i lost all my respect to zahra. i don't like stupid bitches who act like they are above everyone else. bitch he gave you a promotion, ignored your rude words and then still call him an asshole to HIS face?????????????? “If you act like a child, then you’ll get treated like one. Goodbye!” I wave over my shoulder as I power walk out of his vicinity. ” “Seriously, what kind of idiot complains about a woman having curves? Off the record, your body is hot as fuck.” Her cheeks turn into two red splotches. “Please pretend I didn’t say anything.” “Why?” “Because we shouldn’t be having this conversation. You’re my boss,” she whispers the words as if someone can hear us. ” so now he’s your boss? but when u called him an asshole to his face he wasn’t? i don't understand this girl. i just want to punch her all the time. also she just has lots of embarrassing moments. she acted like an idiot all the time. me every time zahra opened her mouth: but also me: don't get me started on rowan or should i say the most boring man to ever live . i can't believe i'm saying this but alex from twisted love is 10x better than daddy issues rowan. “I’ve always prided myself on the ability to remove my emotions from any kind of business decision.” SHUT UPPPPPPP rowan. he was the most emotional lil shit throughout this whole book. he acted with his dick the whole time because if he removed his emotions during work he would've fired zahra instead of cornering her after her presentation and sticking his erection. please. ah yes all this shit happened in the first 30% . idk what happened after that bc it was so boring i picked up 7 other books to forget about this. their romance was so bland and forced i couldn't appreciate a single sentence. but one thing i noticed in almost ALL romance books is this: “I want to kiss Rowan until his lips are swollen and the sad look in his eyes is replaced by lust. Part of me wants to go back in time and protect that little boy who wanted nothing more than to dream and draw and be who he was without being attacked for it.” why when someone explains their trauma and shit someone always gets horny? i don't get it???? and this sentence just makes me icky. he's saying stuff that happened to him as a kid and you want to make him horny???? WHATT??? first read; DNF @ 19% idk i feel nothing for them might try again next year ffs",1.0,negative,"The Fine Print (Dreamland Billionaires, #1)",74045390
"4.25 stars The way I drool over men that are absolute dicks is actually sad at this point. Like, where is my hot-as-shit billionaire boss that gives me dirty looks, but is secretly lusting after me??? summary: Rowan (H) is the Director of a Disney-like amusement park called Dreamland and Zahra (h) is an employee of Dreamland that is promoted to a Creator, they propose new ideas to Rowan to try and improve the park. Rowan and Zahra start off as hating each other, but quickly become friends and eventually they're in love 🥰 Now, back to what I was saying before. I love when heroes judge the heroine and even embarrass them. I just think it's hilarious and to be honest the banter in this is incredible ""Will this be a habit while you're on the clock?"" ""Oh no! I barely drink. It was a stupid idea to help me unwind—"" He lifts his hand. ""Save me the monologue. I don't care."" Could this man not be anymore of a mood? Like just stfu already. Then this next scene had me cackling because guys just get so ticked off when you comment on their pecker so any joke that tells a man he’s 🤏🏻 has me gone ""You better have a massive dick to back up that attitude or else people will be mighty disappointed."" ""Care to bring out a ruler and test your theory?"" ""I left my magnifying glass at home, maybe tomorrow."" Also Zahra purposely messing up the bowling swing he was teaching her just so he could keep touching her... ""Now you try by yourself."" He drags his fingers up my arm again before they disappear. I pout at their loss since he can't see me, I mess up my swing on purpose because I'm petty. ""No, but you were better this time."" He shakes his head and lets out a low laugh. Ah yes, men are such simple creatures, bless them 🥲 As to why I subtracted .75 star? I don't know, I guess it was sort of predictable and I wish the banter and angst lasted longer. For example, Rowan is super insecure by the fact that he's a good artist so he hides that fact from Zahra. When Zahra needs to find someone to illustrate her ideas, Rowan gave Zahra the number of a guy he made up, Scott, and pretended to be him for a while, like at least a month. It was predictable that Zahra was going to be pissed when she found out about Scott actually being Rowan, but it's always fun to watch heroes chase after heroines like puppy dogs so it's both good and bad. Though, after Zahra found out and her and Rowan made up it brought this incredible line ""Just to be clear, should I scream your name or Scott's when you fuck me?"" Oh and you just KNOW he didn't like that at all so she got it damn good. Get that shit girl Anyway, I have nothing else to say peace",4.0,positive,"The Fine Print (Dreamland Billionaires, #1)",74045390
"naur because why the fuck was this book was so good?!?! from the very first page to the last it was a banger. this is the best book i’ve read this year by far!!! it did not fucking miss!! what type of crack shit did the author put into this?!? i was screaming, crying, throwing up, and queefing all while reading this book! now I didn’t think I’d enjoy this book as much as I did. because it’s giving me “Disneyland but for adults.” and grown ass adults obsessed with Disneyland already deserve the most brutal deaths in my opinion. /j…kinda this book not only had my toes curling, lungs empty, and ass smacked but it ate me out from behind like it was judgement day. i had to run laps around the house to calm myself. i tabbed and highlighted so many things like i was gonna be graded for it. if i could give this book the sloppy toppy 3000, i would no questions asked!! this book was the perfect mix of grumpy X sunshine. like it’s the standard at this point. no one has done it better than fucking lauren asher. zahra is just perfect all around. i really saw a lot of myself in her. she’s so confident and strong and kind and overall just a ray of fucking sunshine! she was such a well rounded and deep character. we need more people like zahra. rowan. could fucking get it to say the least. this is the best version of a grumpy fictional character that i’ve read. bro the fucking groveling he does? had me screaming. his whole character development was flawlessly done. the romance, plot, and SMUT were equally parts 10/10! i love that this is the type of book in which SHE falls first but HE falls harder. i loved how their character traits cancelled each other out. how they thaw and breakdown each other’s walls. lauren is so smart for doing that shit. i was up all night read this shit. it’s addictive to say the least. lauren deserves her ass ATE for making this masterpiece ngl. lauren if you’re reading this, which i hope you aren’t, i wish you the world because that’s what you deserve! i hope you go to sleep with both sides of your pillow cold. i hope you find a suitcase filled with money on the streets. i hope you get the best head of your life! i hope you get your ass smacked like a drum like you did mine with this book!",5.0,positive,"The Fine Print (Dreamland Billionaires, #1)",74045390
how many times are these characters gonna throw their head back and laugh?🤨 I’m struggling💀,2.0,negative,"The Fine Print (Dreamland Billionaires, #1)",74045390
This man did not do nearly enough groveling for all the dumbassery he did.,2.0,negative,"The Fine Print (Dreamland Billionaires, #1)",74045390
ladies is it hot when your man doesn't pay his employees a living wage until he starts fucking one of them and realises that they're human beings,2.0,negative,"The Fine Print (Dreamland Billionaires, #1)",74045390
1.5. if you want to fuck walt disney please keep it to yourself,1.0,negative,"The Fine Print (Dreamland Billionaires, #1)",74045390
"We will never be free from book men with dead mothers, a bad relationship with their father, trust issues, and more money than functioning braincells.",2.0,negative,"The Fine Print (Dreamland Billionaires, #1)",74045390
30 year old man magically learns human decency after meeting pretty girl,1.0,negative,"The Fine Print (Dreamland Billionaires, #1)",74045390
