review,rating,sentiment,book_title,book_id
"I've heard and read many complaints about 's : 1. It's misogynistic. 2. It's packed with cliché. 3. It's too convoluted. 4. It's too disturbing. 5. Lisbeth wasn't autistic enough or was foolishly autistic. 6. There were too many red herrings, and the damn Nazi red herring didn't have the usual payoff. 7. Too/Two many plots. 8. Too hard on Leviticus. I will answer these in a moment, but first I must declare that I am an unrepentant fan of this book. This is one of the rare times when I long for goodreads to have half grades, because I would love to give this 4.5. I can't give it a full 5, though, because I sense Mr. Larsson's series is going to grow in his last two books. And now...back to the top eight complaints: 1. Perhaps, but how can a book whose original Swedish title is ""Men Who Hate Women"" avoid misogyny? It can't. But at least the misogyny present is a comment on misogyny. Larsson isn't being misogynist. He's attacking misogyny. Moreover, our hero, Mikael Blomkvist, is not one of the men who hate women. He is a pretty good guy, actually; in fact, he's one of the rare guys I would actually categorize as a ""good guy"" in most modern literature. Sure...he's a bad Dad. Sure...he has a failed marriage and many sexual relationships. Sure...he makes some decisions that challenge his ethics. But he remains a ""good guy."" He tries to do well in an ugly world. He never succumbs to cynicism. And he genuinely cares about all the people in his life. Male and female. And it's not like Berger and Salander are weak women -- far from it. There may be misogyny in , but it is wholly the characters' misogyny -- those who have it -- and not the author's. 2. With apologies to my friend who's first name starts with T: Cliché, smiché! Yes there's some cliché -- maybe plenty of cliché -- but who cares?! Seriously? We're not talking about here. We're talking about a mystery novel, a serial killer who-dunnit. Complaining about cliché in is like complaining about ""pinko sympathies"" in . There's communism in Marx? Really? You think!? 3 & 7. Yep. There's a couple of distinct plots here, but there's a level of verisimilitude to that. Have even our banal lives ever had anything important happen without something else important occurring at the same time? Not mine, and to have multiple incidents happening simultaneously makes sense to me. The search for Harriet Vanger wasn't hampered at all by the Wennerström drama, and vice versa. And to be honest, I loved having a pair of mysteries solved in the same novel. 4. Too disturbing compared to what? It's nowhere near as disturbing as , and it's about average as far as the serial killer genre goes. Plus, I think there is a power in the graphic moments of this novel, particularly Lisbeth's vengeance on her guardian. I am not on her side when it comes to this vengeance, but I understand it, and the drive to take vengeance in such a way -- such a human way -- fascinates me. Who'd have thought, besides maybe my friend Manny, that the Swedes have it in them? 5. Perhaps this is true, but at this point I have only read one of the trilogy, and the only person who suggested that Lisbeth was autistic was Mikael, and while he thought she was suffering from Asberger's his guess was only in passing. I can cut the book some slack here. (suspend my disbelief, suspend my disbelief). 6. I was stoked that, for once, the Nazis were a red herring rather than the ultimate, degenerated evil. We all expect the Nazis to be the worst of the worst, so it is refreshing to see them as a deflection instead. 8. Can anyone really be too hard on Leviticus? Ummmmm...nope. Now, I admit that I might love this novel simply because it is set in Sweden. After all, I do love ABBA, Fredrik Ljungberg, IKEA (my apologies), glögg, Stellan Skarsgård, Max von Sydow, Ingmar Bergman, and Mats Sundin. I looked into emigrating to Sweden but had no excuse, being a resident of Canada with no skills the Swedes were looking for, and I am a fan of Norse Mythology, but I do love Sweden, and I was jazzed by the setting of 's book. All that aside, however, I think was a compelling, entertaining and unabashedly thrilling read. If you can overlook the eight complaints, or consider them in a different light, you'll like this book too. I promise.",4.0,positive,"The Girl With the Dragon Tattoo (Millennium, #1)",2429135
"I really don't understand the critical orgasms over this book. Amazon pushed it on me for weeks, and the minute I stepped into Borders an employee ran over and recommended it. Thinking, this really better be the best book I've ever read, I took it up to the checkstand, where the register guy asked: ""Did one of our employees recommend this?"" Um, yeah. And Amazon, too. So of course I asked him why. ""Oh,"" he replied, ""we've been told to recommend it this week."" That should have tipped me off right there: recommendations handed down by management. Pfft. I hesitate to suggest a conspiracy, but - did someone end up with too many of these in a warehouse in Duluth? Did Oprah make a bet with someone that she could pull strings and make the most boring book in the world a best seller? But I am suckered in by numerous good reviews and a fairly interesting book jacket description, so I buy it and take it with me on a trip camping with my family. Of course it totally sucks. I'm kicking myself because I feel like I really should have known. But the reviews - ALL the reviews - are absolutely positive from generally reliable sources, so I just DO. NOT. UNDERSTAND. Here's why I don't like it: I am about a third of the way into it, and literally hundreds of characters have been introduced. NOT ONE of them has done anything interesting, so I am finding it nearly impossible to keep them straight. I am the type that will be more or less satisfied reading the back of a cereal box, but this is BAD. I mean bad. The mystery is dull. The who done it is more like a who cares. The two primary characters are so far not very likable at all - in fact, the review descriptions are more interesting than the book descriptions of them. I'm betting part of the problem is the translation, presumably - but god, there is just some boring writing in here, too. ""He went to the store. He bought milk. He was cold. He went home."" - BOR-RING! I am not really exaggerating, either. Actual content: ""He put on a pot of coffee and made himself two sandwiches. He had not eaten a proper meal all day, but he was strangely uninterested in food. he offered the cat a piece of sausage and some liverwurst. After drinking the coffee, he took the cigarettes out of his jacket pocket and opened the pack."" Again, I'm willing to give the author the benefit of the doubt with the translating, but I wouldn't have gotten out of high school writing with that kind of boring and utterly pointless description. It sets the tone of ""lonely dude being lonely"" but really: two sandwiches? why two? sausage and liverwurst - fascinating. That's really just a page I opened to randomly - there is much worse. I am truly bitterly resentful of every minute I am stuck on the side of this mountain without a good book to read. I'm ready to browse the mini mart down the way and read the real estate magazines instead. Why have all the reviewers and Amazon steered me SO WRONG??? I am not trying to insult anyone's taste - so please don't get mad about my opinion. But if you love this book, please - tell me WHY. What am I missing?",1.0,negative,"The Girl With the Dragon Tattoo (Millennium, #1)",2429135
"Swedish people are nuts! I realize that’s a bit of a broad generalization and it sounds a bit rude, but I don’t care. Because more often than not, I’m nuts too. I was born and raised in Minnesota, and if you know our state history, you’re already aware that we were predominantly settled and populated by Swedish (and Norwegian) immigrants. So not only are many Minnesota residents of Scandinavian descent, myself included, a lot of our quirky mannerisms and even our accents are commonly attributed to this influence. I attended a Swedish Lutheran college (which attracted a lot of Swedish exchange students). And one of my oldest and dearest friends is an American by birth but was raised in Sweden and didn’t return to live full-time in the U.S. until she was 18. She’s always found Minnesotans to be a very interesting form of science experiment—what happens when you mix Swedish and American culture anyway? Taking what I know firsthand of Minnesota culture into consideration, I can only assume that Sweden, aka the motherland, is also a twisted place of dark, dry humor. Some mainstream examples that support this claim would include: Fargo, Drop Dead Gorgeous, A Prairie Home Companion and yes, even Mr. Purple Rain himself, who even though he’s genetically a bit more exotic than a plain old Swede, definitely displays some of the more oddball (but typical) Minnesota traits in his own special way. The point being, the characters in this book felt oddly familiar to me, quirks and all. I’m actually a bit surprised I loved the book as much as I did because I normally criticize authors for trying to jam too much into one story and this book had a lot going on: --shady business dealings --corporate fraud --murder --religious fanaticism --extramarital affairs --Nazis --casual sex --creepy pervs --violence against women --money laundering --sexual sadism --political proselytizing --dysfunctional family secrets And that’s just scraping the surface. Because once Larsson got into it and started digging deeper into the plot and revealing more details, my head started spinning and I had smoke coming out of my ears. I wasn’t expecting to be sucked in so quickly by the plot and am still reeling over the fact that this brick-like book (my copy has nearly 600 pages) went as quickly as it did. I just reserved the sequel from the library and am also excited at the prospects of a third. I’m also sad that Mr. Larsson passed away. What a talented author—not many could tie so much crazy shit into one story and still have it make sense AND be entertaining. Although I think whoever decided to change the title when they released this book in English is nuts too. The original Swedish title, Men Who Hate Women, is much more fitting.",5.0,positive,"The Girl With the Dragon Tattoo (Millennium, #1)",2429135
"(A) 85% | Extraordinary Notes: It's a logical, captivating mystery where everything clicks into place. It gives backwoods Sweden a Transylvania feel.",5.0,positive,"The Girl With the Dragon Tattoo (Millennium, #1)",2429135
I'm very late to this party but... best mystery I've read in a while!,5.0,positive,"The Girl With the Dragon Tattoo (Millennium, #1)",2429135
"Buckle up. It's gonna be...a slow ride until about halfway through. Then it's hairpin turn after hairpin turn at breakneck speed. Whiplash. This book was a bit difficult to get into. Mikael Blomkvist (a journalist) is sentenced to jail for liable. He knows he's right. His team knows he's right. But they don't have enough evidence to overturn it. His magazine is about to go under and with this jail scandal....let's just say life isn't a bouquet of roses. Henrik Vanger - ex-head of the Vanger corporation - decides to hire Mikael for a special assignment: writing the family history. However, that is just a cover. His real job? Solve a decades-old murder of Henrik's favorite niece (Harriet). Mikael soon teams up with Lisbeth Salander. She's a hacker extraordinaire with her own, peculiar brand of justice. She's simply stunning and absolutely puts all other heroines to shame. An absolute motherfreaking badass. Together, they discover far more than their wildest nightmares. NOTE: This was my third time through, and honestly... third time's the charm. Attempt 1 : Eighth Grade. Read up until the financial scam and lost interest (DNF). Attempt 2 : Learned that this was my grandfather's fave book. I wanted to have something in common with him so I reluctantly picked it up. I listened to the audiobook and became engrossed in the mystery but frequently lost track of who was who. I'm still glad I tried it because it gave me something to write to him about in the weekly letters. Attempt 3 : It's been a bit over a year since my grandfather passed and I just felt like I needed to read it again. Reading this book for the third time just blew my mind. It's partly because I was constantly reminded of him and partially because I'm familiar enough with the plot/characters that I can pick up on all the things I missed earlier. It's been a bittersweet reread. The 2018 PopSugar Reading Challenge - Nordic Noir Audiobook Comments Read by Simon Vance and he was just the absolute perfect voice for this book. Really, truly a great listen. | | | | | Snapchat @miranda_reads",4.0,positive,"The Girl With the Dragon Tattoo (Millennium, #1)",2429135
"WARNING! This is going to be a long TED Talk because: I could talk about this book all day without breathing pauses and I’d still not finish everything I want to say about it. 4.45/5 ⭐ for this one because I couldn't convince myself to give it 5 stars, no idea why though. Full review on my Blog: 🐺 “I’d reckon you’d bite off my hand if I laid a finger on you”. As Dragan Armansky felt in that particular moment about Lisbeth Salander, I felt that about her the whole book. And I must say that I liked feeling that way about her. That means that she has some sort of wilderness in her personality that makes her so interesting, not only as a character but also as a possible real-life person. The Girl with the Dragon Tattoo made me ascend through different stages while reading it. I rarely find a book like this one, to make me feel all sorts of feelings towards it, from all the levels of human sensitivity in thinking. If I’d have to layer the stages of my process of reading this book, probably it would go like this: 1) Level 1: Confusion I was extremely confused with the beginning. I think I had to read it at least five times to actually get a grip of the story in the beginning. Maybe it is because I was briefly introduced in the middle of a scene with unknown characters and undiscovered plot. I don’t know, but I had a hard time with it anyway. 2) Level 2: Boredom I’ve had a hard time convincing myself that this book deserves to be read because of the epic state of boredom that I encountered. I spent two hours reading without stopping only to find out I’ve made only 4% progress (yes, I read it on my tablet because I don’t have enough finances to buy all the books I want and also survive as a student who is away from home and also likes to eat). I kept asking myself what was this bug of boredom that I had and then…it hit me. TOO MUCH ECONOMIC TALK. As a student at the Academy of Economic Studies, my interest should’ve been aroused. Even more – as I study Business Administration, all the business talk should be some delicious dessert for me. But NA-AH. I am bored enough by the countless hours of business terminology, ideology and any other –ology that shit implies, I don’t need to read about it in my spare time too. But hey, why not creeping some of that ish in my casual reading to keep the brain on its right track of self-destruction, ceteris paribus ? 3) Level 3: Spark of interest After about 100 pages (I reckon even more) something started working for me. The mystery started to crawl at the surface so I could see and touch it and also expect more and more. Then, the author added some interesting family dirt (that I absolutely love, don’t judge me, I have a weird family too, amazingly weird, if I may add, but still weird) and also some World War 2 references (all these besides the actual mystery of Harriet Vagner’s disappearance and also possible murder). I don’t know what happened from that moment on, but it started being good. Like really good. It’s just…you can feel the mystery, especially because the book gives you almost 0.1 details about the possible murder. Your inner Miss Marple must be intrigued. Mine was for sure. 4) Level 4: Outrage and disgust Since now, I haven’t talked much about the eponym of the book, right? Well, let me talk then. Lisbeth Salander . And the surely nauseous manner in which she was treated. How do you expect anyone with at least a bit of empathy and humanity not to be OUTRAGED and DISGUSTED by the rape scenes which Lisbeth has been put through? It is absolutely indisputable, morally wrong and socially disgraceful. I am going to be very mean and very direct and I am going to ask a question: What level of psychical constipation do you need to have to pursue such an abominable act? Yeah, those passages made me very sick. And very sad. Truly. I felt nauseous after all. But then… 5) Level 5: ‘She’s a f-ing genius-arse boss and I’m here for it’ Lisbeth Salander is a bloody queen and you can’t make me change my mind even with an AK-47 glued on my temple. She’s ice cold, but she’s breathing fire. She’s the fool of the village, but she’s the hero of the nation. She’s invisible, but she’s not transparent. The way she seems not to care about anything that may interfere with her principles and also the way she cares about things but never speak them up is just so her , so part of the true individual she is, even though she might look unrealistic constructed. You do you, girl. You do you. The fact that, until the middle of the book, Salander and Blomkvist didn’t meet and also ‘the girl with the dragon tattoo’ was reduced only to a few scenes made me question my reading choice. I was on board only for Salander, because she captured my interest from the first time she appeared in scene. But then, Pippi Longstocking and Kalle Blomkvist merged together and gave life to this fabulous Swedish detective dream team and I was down for it. Talking about the characters of the book, the female characters were such badass women it felt so good reading about them (super businesswomen taking over multinational companies? Yeah, okay, sign me up). I couldn’t feel any real connection towards the male characters however, except for Mikael Blomkvist. Even though he is a lousy father and husband and he has some shaky ethics in life, he is definitely a good man by his nature. Yes, he has his own issues, but who doesn’t? Yes, he was having a not so secret love affair with his best friend and business partner, Erika Berger, but as long as they didn’t make a secret out of it and people in their lives accepted it, I can’t say that it is that punishable. And, also, because we are still on the topic: Erika Berger. I absolutely loved her. She is a witty businesswoman, with a lot of gut and a lot of cold blood to make decisions and to run her own world. She’s a strong woman who makes her own living out of her own life and enjoys it as it is, never letting anyone getting to her with some second-hand crap. But . The most important character of all, the one that I absolutely loved beyond any other character is…ladies and gentlemen…*drum rolls*…yes, you're right, Lisbeth Salander! I can’t tell you why I feel this way about Salander, but she was my absolute favourite since the very first moment I met her. The passive way that she adopted, the cold feelings that she spread, the taciturn nature and her absolutely killer mind just had me on board. Everyone saw Salander as a victim of society, but I felt that was wrong. I have never had that feeling about her. She always inspired me survival. She was a fighter by nature and fighters always survive. And this is how Salander made her way through life. Also, let’s be honest now, she has a killer T-Shirt taste, like seriously badass (see ‘Armageddon was yesterday, today we have a serious problem’ and ‘I can be a regular bitch. Just try me’ ). In conclusion, this book gave me such a hard time I cannot explain, but it was also a really good book that I might consider as one of my own personal favourites. Also, as a side note: has anyone notice how much coffee do those people drink?? Or is just me? All in all people, good reading!",4.0,positive,"The Girl With the Dragon Tattoo (Millennium, #1)",2429135
"Hey, kids, if you like books in which the only major descriptive moments happen during sexual torture scenes, where major characters lack motive, and where the red herrings...stink ... this book's for you! I may feel less strongly after a few days, but I am having a hard time believing this book has hit the best-seller lists in multiple countries. **Rant containing Mild Spoilers** Here are my complaints: 1. The entire book sets you up to think that the alleged killing/s were perpetrated by one or more people for complicated reasons. Spoiler: They're not. A murderer, at the climax, reveals, ""I like killing [people]."" That's the motive. That's it. 2. The title character has her macabre past detailed at length. The salient facts to the case - how did she come into possession of her detective-ing skills? - is left out entirely. Her emotional life is ignored until it's needed for a little plot development and then ignored again for a gazillion pages. She makes Kinsey Milhoney look like a guru of emotional awareness and self-knowledge. 3. When a MAJOR DEVELOPMENT happens in the case, like, THE MAJOR DEVELOPMENT, we the readers hear about its resolution third hand. A reunion occurs and we are not privvy to it, even though it's REALLY IMPORTANT. That is LAME. 4. Stop with the Mac commericials aleady. Is it possible that the well-financed campaign for this book had to do with the fact that the dead author couldn't object to selling Apple and Kawasaki shout-outs? 5.The two plot lines are almost entirely unrelated. They don't even intersect, really; one segues into a second, and then, when the second is wrapped up entirely, the first plot returns to end with a whimper. 6. There is a Lot of torture-porn in this book. Did I mention that? Detailed description of sexual abuse, incest, and general nastiness that does nothing to advance the plot. Really. It just takes up space making you think there are reasons for the murders, but ...no, see #1. We listened to this on cd and I kept trying to forward and ending up on the absolute worst moments. Blech. 7. Several passages written as an email conversation. It's like the author realized at a certain point that he was so bad at dialogue that he'd better just give it a rest for a while and instead use stilted telegraph talking. 8. This book was not fun or smart. I kept thinking it was about to be, but I was wrong. **End of Rant**",1.0,negative,"The Girl With the Dragon Tattoo (Millennium, #1)",2429135
"This is everything I've come to expect from a Scandinavian noir. It's dark, complex, and disturbing, and I couldn't look away. It's hard to nail down exactly what The Girl with the Dragon Tattoo is in a few simple sentences. It's a multi-layered story with several different mysteries that are sometimes closely and sometimes loosely intertwined. There is a historical disappearance, a hunt for a serial killer, and even a financial mystery all wrapped up in one. Along the way, we are introduced to two compelling protagonists in Blomkvist and Salander, and together they make a fascinating and unstoppable team. But first we must get to the exciting part. Now, this wouldn't be a proper Scandinavian noir without the requisite slow start or the long page count, and this one clocked in at just under 600 pages (at least in the version I read). It's fair to say that the first 300 pages was more or less setting up for the story and nothing exciting really happens until we are about halfway through. In the meantime, it does count on the reader to keep track of a large number of characters, several subplots, and multiple timelines. That isn't to say it isn't an interesting or riveting start. The best books in this genre have a way of grabbing the reader and keeping them engaged, all the while expecting them to wade through gobs of backstory and tons of extraneous information—all of it dark and bleak—and then come out the other side still excited and wanting more. And so this book does too. But make no mistake, this story is as dark and disturbing as they come and should carry pretty much every trigger warning you can think of. In fact, the original Swedish title is directly translated as ""Men who hate women,"" which I think is a much more appropriate name and should give you a better idea of the grotesque directions this story takes. You have been warned. And yet for all the darkness and monstrosity of the crimes depicted, the resolutions bring a surprising amount of satisfaction and buoyancy to the reading experience. While not every crime can have a just outcome for the victims, there is closure for all and every villain gets their comeuppance and then some on the pages, so we do end up in a place of light instead of darkness. By the way, speaking of the title, I thought the English one is a complete misnomer. This book isn't about Salander so much as it is about both Salander and Blomkvist. In fact, Blomkvist plays a much more central role to the mysteries, at least up until near the end when Salander steps in. But the English translation must have happened during that crazed period when every thriller had to have ""girl"" or ""woman"" in its title, so here we are. Oh, one last observation—this story seems to think that people of the opposite sex cannot possibly coexist in the same place without wanting to jump each other's bones immediately, no matter the circumstances or their backgrounds or really anything. If you thought romance books have got the lock on instalust, you obviously haven't read this yet. Random thoughts aside though, I did enjoy this book. While I wouldn't say it was the perfect mystery for me, I did find it gripping and compelling and ultimately satisfying. If you're a fan of Scandinavian noir, I don't think you'll regret picking up probably the most famous and quintessential book of the genre. ~~~~~~~~~~~~ ✧ Connect with me ✧ ✧",4.0,positive,"The Girl With the Dragon Tattoo (Millennium, #1)",2429135
"Women are raised to routinely fear rape. “If you go at night, take a friend.” “Check under the car and in your backseat before you get in.” “I’m just saying it’s a good idea to know where the exits are.” “I got you this whistle for your keychain, you know, just so you have it.” “You were an hour later than I thought you’d be! We called the police!” “Oh, that’s pepper spray; I keep it with me just in case.” “I just make sure I get my keys out and check for other weapons if I’m getting off work late.” “Is this weird? I live alone and I’m going running, so if I don’t call you by 11:15, call the police, okay?” A woman who fights back – no, a woman who argues at all – does so knowing it will probably make her a social pariah. “She’s just one of those women who makes life hell . . . like a Hillary Clinton type.” “You’re different; you’re not a ball buster like some girls.” “You know that rape accusations can destroy a man’s life, right? And when she said it, did you see how she looked? I mean . . .” “All girls do is complain and nag. Not you, of course – most girls.” “But it is really women who are the privileged ones to be covered and cared for by the man; all of the responsibility for decisions are on him.” “He didn’t mean it the way it sounded, so you'll just regret it if you tell him he's wrong.” “She never understood me, and now she’s making all of these claims and trying to take practically half of my paycheck. I think she was just in it for the money in the first place.” “All I said was she has a nice rack; what a bitch.” “That’s just life; make the best of it.” And there is good reason we are raised to fear rape, and raised not to fight back: survival. Women know that if we walk alone in the dark, statistically there is a good chance we will get raped. If we go to the wrong party, we’ll be raped. If we misread that boy next door and his swellness is a con, rape. And when a person is in a position of being systematically controlled, it often does cause more physical or emotional damage to fight back. It’s not right, but it is realistic. It seems to me like it is the equivalent of every man being raised that if he leaves the house at the wrong time, he might encounter a woman who will strip him naked, hold him down, and knee him in the balls while she masturbates. And then in this alternate universe, these boys find out, as they grow up, that most of the men they know have had that happen to them. And I’m not trying to minimize sexual assault experiences that involve little or no physical injury, nor am I trying to minimize sexual assaults against men: no one has the right to touch another person’s body without permission. I’m talking about the way women are raised to think of daily life. Women are not raised to be afraid we’re going to get a super hot BJ that we didn’t realize we wanted, which is sometimes how I feel people talk about rape accusations. We are raised to encounter our daily lives knowing that, even if violence wasn't in our past, violence probably is in our future. And every time someone says, “Don’t go alone,” it is a little reminder that a lot of men hate us. I have to say, though, that while I think it is realistic to say that women are raised to fear rape and to incorporate that fear of rape into our daily routine, and that sometimes fighting back makes things more dangerous, I do not believe it is effective to live in fear or to encourage women to live in fear or not defend ourselves. I think that perpetuates an idea that women are powerless, which then encourages women to freeze up when encountered with violence or even conflict. I think is probably more productive. And teaching men not to rape. That seems like the approach this book takes, though it more directly simply reflects, with appropriate outrage, on the levels of male contempt for women. And I think in that way, in the way it is directed to men, it is about how gross contempt for women is, whether it takes the form of self-absorption or sadism. This book is smart. It is symmetrical in its execution in many ways: in starting and ending with Blomkvist’s corporate corruption story, and in the way it shows men and women accused of race whoring, men and women subjected to violence. The juxtaposition of Salander’s rape with Blomkvist’s consensual sexual encounter with Cicilia is really well played. It is viscerally grotesque in the contrast, and it highlights the theme of consent. It was physically difficult for me to read, especially in the contrast, and I thought that made it very effective. Salander’s character, too, is smart. She is both the outcast that women are when we fight back, and she is something of the misunderstood-bad-boy hero turned girl. I liked that. When she saves Blomkvist, it is all really vivid and heroic, but still corporeal and disgusting. I liked that Blomkvist couldn’t take charge because he was in too much shock, and that she truly saved his life . It bothers me when a storyteller starts to let a girl save a guy, but really she only tosses him the gun to save himself. Salander gets some real action and some real credit, and it is satisfying. Ultimately, it is pretty clear, but not laughing in your face, just resigned, Larsson knows Blomkvist is a self-serving ass, too. It was so smart at the end when Blomkvist runs into his nemesis with a girl Salander’s age on his arm, and Blomkvist so despises him for it. I like how in the end our hero really isn’t our hero. He really has only used Salander, and how far is that from hating women? It is certainly not respectful . The hatred we condemn in this book, though, manifests as violence, and I can get behind featuring that and then fading out to Cicilia’s father condemning her as a whore and Blomkvist’s blissful self-absorption. It is a meaningful gradation. But, it is important that Blomkvist isn’t the ideal model of men being friends with women because he would be too specific – because there probably isn’t an ideal model. Larsson doesn’t justify Blomkvist’s assholery, but he is not so in love with his hero that he can’t acknowledge it . And, aren’t we all assholes to each other a lot of the time? But not all of us get off on kneeing each other in the balls. This struck me as a very masculine translation of male hatred of women and the way women navigate a world that tells us every time we turn a corner that it hates us. It seems like men either have considered what life would be like if they had been trained to fear leaving the house after dark, or they haven’t. And in my experience, it is difficult for men to understand a woman’s words if she tries to describe it, so I think it is important to have a man tell a story this way. I do see how the graphic descriptions of sadistic violence against women might allow a sadistic audience to read only for that, but the fact that Larsson balances this with graphic violence against men neutralizes the gender-hatred aspect of that to me. And if you are reading these books for the violence, see a psychiatrist, but I don’t think it is productive to censor descriptions of violence just because someone fucked up might get off on them. And if you think these descriptions are fantastical exaggerations, go spend some time at your local women’s shelter. Unfortunately, I think you will find you are wrong. And I don't think it does anybody any good to be afraid to tell these stories. I hated the writing in this book a lot. Like, I hated it a lot. It both hit a lot of pet peeves of mine and it was just objectively bad in a lot of places. I don’t have a problem with books being badly written if the writing doesn’t get in the way of a good story, but here the writing was waiving its hands in my face the whole time trying to get me to lose the story. The sandwiches! OH TEH SANDWICHES! I wonder how much tourism for Sweden Larsson drummed up by the sandwich descriptions. I hope none because gag. I can see how he created the effect of an investigatory report through the writing, so, I think it is intentionally the way it is, but it was a choice I did not enjoy at all. So, overall this was a very unpleasant book to read, but it was smart, and its smartness outweighed its unpleasantness in my evaluation. It is always kind of a funny experience to read your own words as someone else would write them. In every Willa Cather novel I have read, there has been a moment where I’ve read something and thought, “I just said that last week!!!” It was funny in Girl with the Dragon Tattoo : I wanted to high five Salander all the time because I would think her dialogue right before I read it. I imagine everyone in the world has told me to read this book because of the times I say, “Oh, another man who hates women.” Or that it is bullshit to say someone had a violent childhood, so of course he had to be violent against women as an adult. So, it was funny to read somebody else say those words. At the same time, Salander felt like a man recording the facts of what he saw a woman do and say once, not like a living, breathing human character. That doesn’t take away from the smartness of the book, but it is another reason my actual enjoyment factor was low. Also, I had to go buy pickles yesterday because reading about so many of them gave me a craving. I hope Larsson’s estate got some sponsorship money from the sandwich and pickle lobbies.",4.0,positive,"The Girl With the Dragon Tattoo (Millennium, #1)",2429135
