review,rating,sentiment,book_title,book_id
"I have this terrible, dreary feeling in my diaphragm area this morning, and I’m not positive what it’s about, but I blame some of it on this book, which I am not going to finish. I have a friend who is mad at me right now for liking stupid stuff, but the thing is that I do like stupid stuff sometimes, and I think it would be really boring to only like smart things. What I don’t like is when smart (or even middle-brained) writers take an important topic and make it petty through guessing about what they don’t know. I can list you any number of these writers who would be fine if they weren't reaching into topics about which they have no personal experience (incidentally, all writers I'm pretty sure my angry friend loves. For example, , , , , etc.). These are the books for which I have no patience, topics that maybe someone with more imagination or self-awareness could have written about compassionately, without exploiting the victimization of the characters. They’re books that hide lazy writing behind a topic you can’t criticize. The Help is one of these. You’ve got this narrative telephone game in this book. The telephone game is pretty fun sometimes, and it is really beautiful in monster stories like and because what they are telling me is not intended as trustworthy or earnest. All of the seriousness in monster stories is an impression or an emotion reflected back through the layers of narrative. I don’t feel that way about the topic of The Help , though. In this book, a white woman writes from the point of view of a black woman during the Civil Rights movement, who overhears the conversations of white women. It's an important topic, and I don't want to hear it through untrustworthy narrators. So, I can basically get on board with the dialect of the black maids, but what throws me off as a reader is when the black maid is quoting the white women and they’re all speaking perfect English without a trace of an accent. It becomes particularly weird when one of the black maids starts to comment on the extreme accent of one of the white women, Celia Foote, whose written dialogue continues to be impeccable. Who is this narrator? Why does she choose not to speak proper English if she can speak it? Why does she choose to give proper English to someone else who she has told me doesn't speak it? Also, usually the layers of narration in a telephone-game book are only within the book. In this case, it’s the author’s voice stabbing through the story. I am convinced it is her whose brain hears the white woman speaking TV English, and the black women speaking in dialect. It gives away the game. Even the quotes from the movie have an example of this. A conversation between her and Minnie goes like this: Celia Foote: They don't like me because of what they think I did. Minny Jackson: They don't like you 'cause they think you white trash. Celia speaks in a proper sentence, but Minny misses the ""are"" in the second part of the sentence. Celia says ""because,"" but Minny says ""'cause."" If the reader were supposed to understand that Celia does not speak in dialect, that would make sense, but since it specifically states that she does, it doesn't make sense. To attempt to be clear, I didn't have a problem that the book was in dialect. I had a problem that the book said, ""This white woman speaks in an extreme dialect,"" and then wrote the woman's dialog not in dialect. Aerin points out in message 111 that I am talking about , which is about spelling, not pronunciation, as in the example above. Everyone, in real life, speaks in some form of non-standard English. Though I have seen some really beautiful uses of eye dialect, as Aerin points out, writers typically use it to show subservience of characters or that they are uneducated, which often has racist overtones. If it troubles you that I'm saying this, and you would like to comment on this thread, you may want to read other comments because it is likely someone has already said what you are going to say. I’m not finishing this one, and it’s not because I think people shouldn’t like it, but rather because I’m almost 100 pages in and I can see the end, and it’s failed to engage me. When a few IRL friends have asked what I thought of the book and I said I didn't care for it, they have told me that I am taking it too seriously, that it is just a silly, fluff book, not a serious study of Civil Rights. Again, I don’t have a problem with stupid books, but when it’s a stupid book disguised as an Important Work of Cultural History, all I want to do the whole time is tear its mask off. And a book about Civil Rights is always important cultural history to me. Anyway, the book becomes unpleasant; I become unpleasant; it’s bad news. If you loved this book, though, (or, really, even if you hated it) I would recommend . I think that book is one of the more important records of American history. Plus, it’s beautifully written, inspirational, and shocking. It's been years since I read it, so I might be giving it an undeserved halo, but I can’t say enough good things about it. INDEX OF PROBLEMS WITH THIS REVIEW ""You should finish the book before you talk about it"": ; . “Stockett did experience the Civil Rights Era”: ; . “The author of The Lovely Bones was raped”: . “The author of The Kite Runner is from Afghanistan”: . "" Memoirs of a Geisha is accurate and not comparable to The Help "": . “Don’t be so critical!”: . “Have you written a bestseller?”: . “Fiction doesn’t have to be a history lesson”: . “Having grown up in the South during this era and having had a maid, I could relate to the emotional nuances of this book”: . ""Minny and Aibileen are relatable"": “You are trying to silence authors”: and . “Why do you want to read a Civil Rights book about racism and hatred? I would prefer one about friendship and working together”: . “Why are there so many votes for such a half-assed review?”: . “Authors can write outside of their personal experiences”: .",,,The Help,4667024
"I read the first paragraph of The Help , absorbing the words, but suddenly being caught off guard by the dialect. I stopped reading. I shifted the book in my hands, flipping to the author's biography and photograph on the back of the dust jacket. Staring up at me was this: [image error] Oh, sweet Jesus, I thought. An affluent, white Manhattanite. Great. And one who apparently fancies herself a master at Southern Black Vernacular. Even better. I rolled my eyes and returned to page one, fully prepared to hate every word on every page, beginning with Aibileen's horrifically stereotyped ""voice"" written by this smug White Lady. Look, I really don't subscribe to the belief that one must be a part of a culture in order to write effectively (or even stirringly) about or in the voice of that culture. Wally Lamb wrote convincingly as a twin in I Know This Much Is True (and as an identical twin, I can vouch for its authenticity). Nancy Farmer wove African culture beautifully into her science fiction novel The Ear, The Eye, and the Arm . Mark Haddon's Christopher Swinton character is a remarkable sketch of a child with autism. So clearly it can be done. But I was not convinced about Stockett. When Minnie's first chapter hopped along in The Help , I prepared myself for an unconvincing spin on Aibileen's narrative, a pasty twist of the vernacular that had been spewed out in the first paragraph. That is not what I got. Instead, her character was nothing like the other maid; her own voice was rendered in tough, bitter layers, providing a nice foil to Aibileen's complex struggle between resolve and resign. NO! my brain screamed. WHAT ARE YOU DOING?! DO NOT ENJOY THIS! But the pages turned, and when I next looked up at the clock, a few hours had passed and I was well on my way to the halfway point. Dammit. And this was the pattern that followed in the 2 1/2 days it took me to read The Help ; I found myself loving it and hating it simultaneously, but leaning more to the Love side of the dilemma. There are countless trite episodes in The Help , standard plot fillers that can be found in both heaving Harlequin romances and sucky Oprah Book Club fodder. But there are more moments of striking beauty, humanity, and humor, even if the ending is a bit of a cop-out. (No surprise that The Rich White Lady Saves The Day And Gets What She Wants.) Is The Help Great Literature? No. Is it a fast and enjoyable read? Yes. It's also a fairly striking and genuine portrait of what life in the south was like during those tumultuous times. And for that... well, for that I quite liked it. So congratulations, Whitey McWhiterson, I wound up not hating your book. And God knows I tried.",4.0,positive,The Help,4667024
"I was uncomfortable with the tone of the book; I felt that the author played to very stereotypical themes, and gave the characters (especially the African American ones) very inappropriate and obvious voices and structure in terms constructing their mental character. I understand that the author wrote much of this as a result of her experiences growing up in the south in the 1960's, and that it may seem authentic to her, and that she was even trying to be respectful of the people and the time; but, ultimately, I thought that it was written from a very narrow, idealized, almost childish perspective of race relations without a true appreciation of the humanity and soul of the characters. And the ultimate theme & message (i.e. ""why, we're all the same - there's no difference between us after all!"") only reinforced my feeling that this is written from someone who has a very undeveloped or underdeveloped concept of race and race relations in the United States. The author would benefit from exploring authentic African American voices (Richard Wright, James Baldwin, Zora Neale Hurston, Langston Hughes, Toni Morrison, Alice Walker, Maya Angelou) and understanding the scope, range and (most important) the foundation of the emotions genuine African American characters express as a result of their journey as a people in the US (hope, frustration, drive, passion, anger, happiness, sadness, depression, joy).",1.0,negative,The Help,4667024
"OK. Wow. Wipes Away Tears. The Help is a fictional story set in Mississippi in 1962. The perspective shifts between three characters: two black maids, Aibileen and Minnie, and a young white woman nicknamed Skeeter. Will these women be able to change the status quo and what will it cost them? First of all, the audiobook is phenomenal with a full cast of characters. It is definitely on my list of top 10 best audiobooks of all time. Second, this book made me laugh and cry. It has a very conversational tone similar to Project Hail Mary but with no science and women instead of men. When the story rang out across my living room, I felt fully immersed in the story, just like Aibileen was sitting on the edge of my couch sharing her story. This was one of those books where you hoped that it wouldn’t come to an end. The characters are unforgettable, complex, and imperfect. This book was incredibly fascinating because the stakes were so high for the maids. At any time if their employers were unhappy for any reason, they could be fired. Not only would they be unemployed, but no one would hire them with a bad reference especially in a small town. However, I think the title, The Help, is has more than one meaning. The plot was intricately woven together, and it felt realistic. At the end, I googled, “Is the Help based on a true story?” Apparently, this question is quite common. Based on my Google research, the author was sued by her brother’s maid, Ablene Cooper, for using her likeness. This book tackles meaningful issues such as racial injustice, rejection, and being on the outside of a clique, fear. But it also covered love, hope, bravery, and children, the future. It was really a very beautiful book, and I am grateful for reading it. This will be a strong contender for book of the year. 2025 Reading Schedule Jan	A Town Like Alice Feb	Birdsong Mar	Captain Corelli's Mandolin - Louis De Berniere Apr	War and Peace May	The Woman in White Jun	Atonement Jul	The Shadow of the Wind Aug	Jude the Obscure Sep	Ulysses Oct	Vanity Fair Nov	A Fine Balance Dec	Germinal Connect With Me!",5.0,positive,The Help,4667024
"While it was a well-written effort, I didn't find it as breathtaking as the rest of the world. It more or less rubbed me the wrong way. It reads like the musings of a white woman attempting to have an uncomfortable conversation, without really wanting to be uncomfortable. It's incredibly hard to write with integrity about race and be completely honest and vulnerable. The author failed to make me believe she was doing anything beyond a show & tell. And if her intent isn't anything greater, then it makes this book all the more pandering to the white imagination of what it must have been like to be ""the help"" during that era. It's passive self-reflection at best and utterly useless. The national fascination with this book makes me sick. It makes me think of my grandmother who was ""the help"" to many white families for well over 50 years. Her stories aren't too different from those told in this book, but they are hers to tell. If she were alive today, I don't believe she would praise Stockett's book. In fact, I think she we would be horrified at the thought that her years of hard work (in some cases, for some very horrible people) would be reduced to some wannabe feel good story of the past.",1.0,negative,The Help,4667024
"Here is an illustrative tale of what it was like to be a black maid during the civil rights movement of the 1960s in racially conflicted Mississippi. There is such deep history in the black/white relationship and this story beautifully shows the complex spectrum, not only the hate, abuse, mistrust, but the love, attachment, dependence. Stockett includes this quote by Howell Raines in her personal except at the end of the novel: There is no trickier subject for a writer from the South than that of affection between a black person and a white one in the unequal world of segregation. For the dishonesty upon which a society is founded makes every emotion suspect, makes it impossible to know whether what flowed between two people was honest feeling or pity or pragmatism. An eloquent way to describe Stockett's intentions for this novel. I know most reviews will probably focus on the racial relationships in the book, but to me the most haunting statement was that when you are paying someone to care for you and their livelihood depends on making you happy, you can't expect an honest relationship. I did not expect this book to hit so close to home. After all, I did not grow up in the South and completely missed the racial mind shift in the country. But the book isn't just about racism and civil rights. It's about the employer relationship too. And I did grow up in South America with a maid trying to keep herself out of poverty by making our crazy family happy. As much as we loved her, I can see so many of the pitfalls from these complex relationships in my own history. I know our maid was stuck between pleasing my mother and raising us the way she believed appropriate. I know it was physically hard to work from sunup to late everyday and emotionally hard to never relax because she wasn't the decision maker of our home and at any moment she could be reprimanded for making the wrong decision. She had absolutely no power, and yet she was all powerful to shape and mold us. I needed her, felt bad for how much I imposed upon her, but I never voiced how much I appreciated or loved her. I took her for granted. Even though she was paid to love us, I know she did. We were her children, especially my youngest brothers. And yet when she moved back home, we lost contact. Was it out of laziness of our own narcissistic lives or was the complexity of our relationship so draining she cut the tie? It is my fear that she thinks we did not return her affection and only thought of her as the maid. I often think about her, we all reminisce about her wondering where she is, and more than anything, I just want to know that she is happy and tell her thank you. It is so strange that someone who is such a vital part of your childhood can just vanish out of your life. ""They say its like true love, good help. You only get one in a lifetime."" I know. Believe me, I know. The story is strong and real and touched something deep inside me. I could so relate to the motherly love from Constantine to Skeeter, see that pain in the triangle between Aibileen and Mae Mobley and Elizabeth, feel the exasperation of Minny toward Celia, and understand the complexity of the good and bad, the love and hate, the fear and security. Stockett captured all these emotions. I also loved the writing style. When style compliments plot, I get giddy. I don't always love grammatically incorrect prose or books about an author trying to be published, but here it works because it's honest. The novel is about a white woman secretly compiling true accounts of black maids--and the novel is in essence a white author trying to understand black maids. The styles parallel each other as do the messages. The point of Skeeter's novel is to make people see that people are just people no matter the color of their skin and Stockett's novel beautifully portrays that with both good and bad on both sides. The fictional novel cover is decorated with the white dove of love and understanding. To get us there, Stockett gives us three ordinary birds, a picture of ordinary life asking to be accepted for its honest simplicity. This book is Stockett's masterpiece, that story in her that was just itching to get out. From the first page, the voice of the characters took vivid form and became real, breathing people. I loved Aibileen, but think I loved Minny's voice more because she is such a strong character. Besides the maids, I loved Hilly as a portrayal of the white Southern belle with the ingrained belief that black people are not as good as whites, verbalized as ""separate but equal"" so it doesn't sound racist. My favorite scene was when Hilly says they have to be careful of racists because they are out there. She's a bit over the top, but if you've been to the South, not that far of a stretch. I just would have liked to find some redeeming qualities in her from Skeeter's perspective. While there are some instances where I felt Stockett was squeezing historical facts into the novel, forming the plot around these events instead of letting them play backdrop, and occasionally I could read the modern woman in this tale pushing her message too hard, Stockett's sincerity to understand and appreciate shines through. She lived this book to some extent and the story is a part of her. Because it's important to her it becomes important to me.",5.0,positive,The Help,4667024
"Hey so, while this book and its film adaption have long been favourites of mine I've learnt many things about privilege, racism and white saviourism since I first read this as a teenager. There are quite a few things about how this story came to be that don't sit right with me, hence I've removed my rating and I won't be promoting this any longer. If you want to know more about the reasons for this, google is your friend. The answer won't be hard to find.",,,The Help,4667024
"The Help is a tale of lines, color, gender and class, in the Jackson, Mississippi of the early 1960s. This is a world in which black women work as domestics in white households and must endure the whims of their employers lest they find themselves jobless, or worse. It is the Jackson, Mississippi where Medgar Evers is murdered, and where spirit and hope are crushed daily. It is the Jackson, Mississippi where Freedom Riders are taken from a bus, a place where segregation and racism are core beliefs and where challenge to the status quo is met with resistance, to the point of violence. It is a time of political turmoil on the national stage, as the civil rights movement is picking up steam. It is also a place where using the wrong bathroom could get a black person beaten to death. Kathryn Stockett -image from The Telegraph The Help sees this world through three sets of eyes, Aibeleen, a fifty-something black woman who has taken care of many white children and is beginning again with a newborn. Minny, in her thirties, has troubles enough at home, with an abusive, drunken husband and several children of her own, but her inability to control her tongue has led to a series of jobs and a series of firings. Skeeter is a young white woman, newly graduated from college, and eager to pursue a career in writing. Skeeter has grown a conscience and no longer accepts the presumptions of the past. She yearns to know what happened to Constantine, the black woman who was so important to her as a child. Skeeter sees the unfairness of the social structure. She engages Aibeleen, Minny and a host of other black domestic workers to tell their stories for a book, hoping to expose the hypocrisy and cruelty of Jackson’s white society. The story not only places the events in historical context, but offers a taste of what it must have been like for the Aibeleens, Minnys and Skeeters of the time. Stockett has created living, breathing characters, people you can relate to, cheer and cry for. If there is softness here, it is that the devils are painted in glaring red, which may be an accurate portrayal of the time, but makes for a melodramatic feel at times. The heroines are fully realized. We get a sense of how they came to be the way they are. While we are offered some background on the baddies, it is not enough to make them as completely human as the three narrators. The Help is a powerful, moving read, blessed with a colorful, believable cast of characters, a compelling setting and an eternal message of shared humanity, a knockout of a first novel. ============================= EXTRA STUFF Stockett's and pages There is a website with her name, but it has been hijacked by a Japanese entity. The last entry on her FB page is from 2010.",4.0,positive,The Help,4667024
"""I know what a froat is and how to fix it."" Aibileen Clark knows how to cure childhood illnesses and how to help a young aspiring writer write a regular household-hints column for the local paper. But she's struggling mightily to deal with grief over the death of her 20-something son, and she SURE doesn't think conditions will ever improve for African-American domestic-engineering servants in early-1960s Jackson, Mississippi or anywhere else in the South. Aibileen's good friend Minny has been a maid since she was very young, and on the first day of her first job her mother admonished her that sass-mouth, especially her degree of it, is highly dangerous--but it's not long before she's just gotta mouth off....and look for another job. As Minny's first ""episode"" of the book opens, she is yet again looking for a new job, and this time an opportunity pretty much falls into her lap. Celia Foote needs a domestic engineer, but she also needs a friend, a real ally, even a confidante. Oh, one more thing: she needs to keep Minny a secret, at least for a while. I think this plotline was my favorite part. Celia's husband had formerly gone with (even been engaged to?) somebody else; did any of you wonder how they would have gotten along if he had married her instead of Celia? But, really, which is the worse attack from Minny: a good sass-mouthin' or a good slice of her extra-special chocolate revenge pie? Thanks for reading.",5.0,positive,The Help,4667024
"This is one of those few books where people have a polarising opinion. Some loved reading it, while some others detested it. Kathryn Stockett tries to tell us the story of the life of two African American housemaids named Aibileen and Minnie in Mississippi. The racism and rejection they had to face in their life and how they faced it with courage form the crux of this story. Even though the character creation of Skeeter by Stockett has some cliches, we will still like the way the author crafted this story due to the way she unravels the complex plot enmeshed with various themes with a Surgeons precision. I loved the way the author made sure that this novel never becomes pedantic or preachy in any place. I also equally loved watching the silver-screen version of this book. Some of the events mentioned in this book have the propensity to disconcert you to a certain extent. Still, I can easily say that this is one of those rare books that you should never miss. ————————————————————————— You can also follow me on | | | | | | |",5.0,positive,The Help,4667024
