review,rating,sentiment,book_title,book_id
"In a hole in the ground there lived a hobbit. Books exist in time and place and our experience of them is affected by the specific time and place in which we encounter them. Sometimes an uplifting or inspiring book can change the path of a life that has wandered onto a wrong course. Sometimes a book, discovered early on, can form part of the foundation of who we are. Or, discovered late, can offer insight into the journey we have taken to date. Sometimes a book is just a book. But not The Hobbit . Not for me. In January, 2013, I pulled out my forty-year old copy in anticipation of seeing the recently released Peter Jackson film. It is a substantial book, heavy, not only with its inherent mass, but for the weight of associations, the sediment of time. The book itself is a special hard-cover edition published in 1973, leather bound, in a slipcase, the booty of new love from that era. The book, while victim to some internal binding cracks (aren't we all?) is still in decent shape, unlike that long-vanquished relationship. Not surprising. I had read the story six times and been there and back again with this particular volume five. J.R.R. Tolkien - image from Vision.org The Hobbit had first come to my attention in 1965 or '66. I was then a high school underclassman, and my eyes were drawn to it at a school book fair. That was probably the ideal age, for me anyway, to gain an introduction to Tolkien. Not too far along into adolescence and an appreciation of the reality of the world to have completely tarnished my capacity for child-like wonder. That is what one must bring to a reading of this book, openness and innocence. Tolkien was a step sidewise for me, as I was a fan of the science fiction of that and prior eras. It was also, of course, a gateway drug for the grander addiction of LOTR, still my favorite read of all time. One might think that looking at this book again with old, weary fresh eyes might lend new insight. After all, I have read literally thousands of books since, and have picked up at least a little critical capacity. And yes, there are things I notice now that perhaps skipped past back then. Of course that begs a specification of which back then one considers. While I first read the book as a high-schooler, I read it again when I was gifted with this beautiful volume, in my twenties. That makes two readings. But there would be more. I well recall reading the book aloud while sitting in a chair by my son's bed. And yes, each of the major characters was delivered with a distinct voice. I went as deep as I could for Gandalf. I vaguely recall giving the dwarves a Scottish burr. Bilbo was definitely a tenor. My Gollum was remarkably like the sound of the one created by Andy Serkisssssss. (patting self on back). Of course, my son was not the last to arrive at the gathering. Some years later there was a daughter, and more bedside theater. It was a bit more of a struggle then. Life was rather hectic. Nerves were often frayed. Sleep was in short supply. And there were far too many times when my eyes closed before those of my little gingersnap. But reading it that fourth time, one couldn't help but notice the absence of any significant females. Who might my little girl relate to here? It is certainly possible for folks to identify with characters of another gender, but the stark absence of representatives of the female persuasion did stand out. Somehow I managed to keep my eyes open long enough to get through the volume. But the party was not yet complete. There would be one more arrival, and one more opportunity to sit on or near a daughter's bed and read aloud, sometimes to an upturned, eager face, sometimes to a riot of ringlets as she settled. My capacity for consciousness remained an issue. By then, my voice had also suffered a bit with the years, the reward for too many cigarettes, too much yelling, too much ballpark whistling, and the usual demise of age, so it took a fair bit more effort and strain than reading it aloud had done previously. I am pretty certain I made it through that third time aloud. Truthfully, I am not 100% certain that I did. You probably know the story, or the broad strokes anyway. In the quiet rural village of Hobbiton Across the Water, in a land called Middle Earth, an unpresupposing everyman, Bilbo Baggins, lives a quiet existence. He has a smidgen of wanderlust in him, the genetic gift of ancestors on the Took branch of his family tree, but he is mostly content to enjoy hearty meals and a good pipe. One day, Gandalf, a lordly, father-figure wizard Bilbo has known for many years, comes a-calling and Bilbo's life is upended. Gandalf is helping a group of dwarves who are on a quest. Led by Thorin Oakenshield, a dwarf king, they aim to return to their home, inside the Lonely Mountain, somehow rid the place of Smaug, the dragon who has taken up residence, and regain the land and incredible treasure that is rightfully theirs. Gandalf has recommended that Bilbo accompany the group, as a burglar. Bilbo, of course, has never burgled a thing in his life, and is horrified by the prospect. But, heeding his Tookish side, Bilbo joins the dwarves and the adventure is on. One need not go far to see this as a journey of self-discovery, as Bilbo finds that there is more to him than even he realized. This raises one question for me. How did Gandalf know that Bilbo would be the right hobbit for the job? Bilbo faces many challenges and I betray no secrets for any who have not just arrived on this planet by reporting that Bilbo's dragons, real and symbolic, are ultimately slain and he returns home a new, and somewhat notorious hobbit. Bilbo serves well as the everyman, someone who is quite modest about his capacities, but who rises to meet the challenges that present, acting in spite of his fear and not in the absence of it. He is someone we can easily care and root for. Elements abound of youthful adventure yarns, treasure, a map to the treasure, a secret entrance that requires solving a riddle to gain entry, a spooky forest, foolishness and greed among those in charge, a huge battle, and, ultimately, good sense triumphing over evil and stupidity. Oh, yeah, there is something in there as well about a secret, powerful ring that can make it’s wearer invisible. Sorry, no damsels in distress. (Rivendell remains a pretty special place. If I am ever fortunate enough to be able to retire, I think I would like to spend my final days there, whether the vision seen by Tolkien or the Maxfield Parrish take as seen in the LOTR films.) There are magical beings aplenty here. Hobbits, of course, and the wizard and dwarves we meet immediately. A shape shifting Beorn assists the party but remains quite frightening. There are trolls, giant spiders, giants, goblins, were-wolf sorts called wargs, talking eagles, a communicative, if murderous dragon, elves of both the helpful and difficult sorts, and a few men, as well. Then there is Gollum. IMHO, Bilbo is not the most interesting character in Tolkien's world. Arguably there is a lot more going on with Gollum, an erstwhile hobbit riven by the internal conflict of love and hate, corrupted, but not without a salvageable soul. While he is given considerably more ink in the LOTR story, it is in The Hobbit that we meet him for the first time. He is the single least YA element in this classic yarn, one of the things that elevates this book from the field and makes it a classic. The Hobbit was written before Tolkien's ambitious Lord of the Rings. While there are many references to classic lore, the bottom line is that this is a YA book. It is easy to read, and to read aloud, (something that is not the case with LOTR. I know.) and is clearly intended for readers far younger than I am today. It remains a fun read, even on the sixth (or so, I may have dipped in again somewhere along the line) time through. Were I reading it today for the first time, I would probably give it four stars. But as it bears the weighty treasure of memory and fond association, I must keep it at five. If you are reading this for the first time as an adult, or an antique, the impact is likely to be different for you. If you are a younger sort, of the adolescent or pre-adolescent persuasion, particularly if you are a boy, it might become an invaluable part of your life. Maybe one day you can sit by your child's or grandchild's bedside and be the person who reads these words to them for the first time, "" In a hole in the ground there lived a hobbit "" and begin the adventure again. To see the glowing young eyes as the tale unfolds is nothing less than absolutely precious. PS – I would check out the offered by GR pal Ted. He includes in his review outstanding, informative and very entertaining excerpts and comments re info on The Hobbit from JRRT's son Christopher. ============================== EXTRA STUFF Here is a , from Smithsonian Magazine, January 2002 In comment #32, below, GR pal Rand added a link to a by Nicol Williamson. It is just the thing for bedtime, yours or your child's. Adding it here was done with Rand's kind permission. In March 2022, I came across notice of a wonderful source for things Tolkien-ish, . There is a dragon's trove of treasures here. You might want to listen to your Tookish side, and go exploring.",5.0,positive,"The Hobbit (Middle Earth, #0)",38819529
"Some books are almost impossible to review. If a book is bad, how easily can we dwell on its flaws! But if the book is good, how do you give any recommendation that is equal the book? Unless you are an author of equal worth to the one whose work you review, what powers of prose and observation are you likely to have to fitly adorn the work? 'The Hobbit' is at one level simply a charming adventure story, perhaps one of the most charming and most adventurous ever told. There, see how simple that was? If you haven't read it, you should, because it is quite enjoyable. At some level, there is little more to say. Enjoy the story as the simple entertainment it was meant to be. Read it to your children and luxuriate in the excitement and joy that shines from their faces. That's enough. But if it was only simple entertainment, I do not think that it would be anything more than just a good book. Instead, this simple children's story resonates and fascinates. It teases and hints at something larger and grander, and it instructs and lectures as from one of the most subtle intellects without ever feeling like it is instructing, lecturing or being condescending. At its heart, the complaint I opened the review with is just a variation on one of the many nuanced observations Tolkien makes in 'The Hobbit' when he complains that a story of a good time is always too quickly told, but a story of evil times often requires a great many words to cover the events thereof. How often has that idea fascinated me. Consider also how the story opens, with Bilbo's breezy unreflective manners which are polite in form but not in spirit, and Gandalf's continual meditation on the meaning of 'Good morning.’ How much insight is concealed within Gandalf's gentle humor! How often do we find ourselves, like Bilbo, saying something we don't really mean and using words to mean something very unlike their plain meaning! How often do we find ourselves saying, ""I don't mean to be rude, but..."", when in fact we mean, ""I very much mean to be rude, and here it comes!"" If we did not mean to be rude, surely we wouldn't say what we say. Instead we mean, ""I'm going to be rude but I don't want you to think I'm someone who is normally rude..."", or ""I'm going to put myself forward, but I don't want you to think of me as someone who is normally so arrogant..."", or even, ""I'm going to be rude, but I don't want to think of myself as someone who is rude, so I'm going to pretend I'm not being rude..."" I think that is what makes this more than just a good book, but a great one. Tolkien is able to gently skewer us for our all too human failings, and he does so without adopting any of the cynicism or self-loathing so common with those that seek out to skewer humanity for its so evident failings. We fantasize about heroes which are strong and comely of form, and we have for as long as we've had recorded literature. Our comic books are filled with those neo-pagan mythic heroes whose exaggerated human virtues always amount to, whatever else may be true of them, 'beats people up good'. These modern Ajaxs, Helens and Achilles dominate the box office, and I would imagine dominate our internal most private fantasy lives as well. Oh sure, the superhero of our fantasy might have superhuman ethics to go along with his superhuman ability to kick butt, attract the opposite sex, and enforce their will upon others, but it is always attached to and ultimately secondary to our fantasy of power and virility. How different is Tolkien's protagonist from Heracles, Lancelot, Beowulf, or Batman - short, small, mundane, and weak. Of all the principal characters of the story, he possesses probably the least of that quintessential heroic attribute - martial prowess. And yet, he is not actually merely an 'average Joe'. Bilbo is just as much an exaggerated idealized hero as Heracles, it's just that those attributes in which Bilbo is almost transcendently inhuman isn't the sort of attributes we normally fantasize about having ourselves. Bilbo is gentle. He is simple. He is humble. Power and wealth have little attraction for him. He is kind. He takes less than his share, and that that he takes he gives away. He is a peacemaker. Though wrongly imprisoned, he bears no grudge and desires no vengeance for the wrongs done to him. Rather he apologizes for stealing food, and offers to repay in recompense far more than he took. Though mistreated, he harbors no enmity. He never puts himself forward, but he never shirks when others do. How often do we fantasize about being this different sort of hero, and yet how much better we would be if we did? How much better off would we be if we, like Thorin could declare in our hearts, ""There is more in you of good than you know, child of the kindly West. Some courage and some wisdom, blended in measure. If more of us valued food and cheer and song above hoarded gold, it would be a merrier world."" How often is it that we hunger after all the wrong things? What profit would we really have if we had in great measure the power to 'beat people up good'? What real use could we put it too? How much better off would we be individually and as a people if we most desired to be graced with Bilbo's virtues, rather than Achilles speed, strength, and skill with arms? How much less mature does this mere children's book of a well lit-world cause our darker fantasies to seem? Now, I admit I am biased in my review. I read this book 36 times before the age of 16. I broke the spines of three copies of it with continual reading. Yet in my defense I will say that I'm considered only a moderate fan of the book by many. I've known several devotees of the book who, like the protagonist of Bradbury's 'Fahrenheit 451', can recite whole chapters from memory - ensuring that this would be one of the few books that would survive the sudden destruction of all the world's technology if only the world's story tellers survived. If you are inclined to think no book can be that good, and that my review overhypes it, so much the better. Go in with low expectations so as to be certain that they will be met or exceeded. Forget all I have said save that, ""If you haven't read it, you should, because it is quite enjoyable.""",5.0,positive,"The Hobbit (Middle Earth, #0)",38819529
"In a hole in the ground there lived a hobbit. Bilbo Baggins, living comfortably in his hobbit-hole in Bag End, finds himself on the wrong end of an adventure. Gandalf the Grey has come recruiting for a burglar willing to raid the home of Smaug (a dragon) whose taken over the ancestral home of the dwarves. These dwarves, who number thirteen, are deeply suspicious and are unwilling to proceed unless their number is rounded up. Evil is afoot and they refuse to ignore common sense (aka superstition). Gandalf soon finds that persuading Bilbo ends up a quest in and of itself! 'I am looking for someone to share in an adventure...it's very difficult to find anyone.' 'I should think so — in these parts! We are plain quiet folk and have no use for adventures. Nasty disturbing uncomfortable things! Make you late for dinner!' Reluctantly (very reluctantly), Bilbo joins on this journey...and soon finds out that quests are not very friendly to hobbits. Is it nice, my preciousss? Is it juicy? Is it scrumptiously crunchable? And yet, despite the hardships, trials and tribulations. ..Bilbo finds himself eagerly plunging ahead. Already he was a very different hobbit from the one that had run out without a pocket-handkerchief from Bag-End long ago. He had not had a pocket-handkerchief for ages. Absolutely. Love. This. Book. I've read it so many times , and yet each time through, I find myself just absolutely enamored with the book as if it is the first time. Do you wish me a good morning, or mean that it is a good morning whether I want it or not; or that you feel good this morning; or that it is a morning to be good on? It just has such a wonderful feel - I want to read it over and over and over again. I absolutely love Bilbo's reluctance to adventure - he and I would get along splendidly! So many characters are just ready to run off and do things...but I would always be like, ""What about my books? My blankets? My turtle???"" Agatha, my turtle, for reference But, even moreso, I adore how Bilbowcomes out of his shell and he grows into hismself. You certainly usually find something, if you look, but it is not always quite the something you were after. And, above all, the world that J. R. R. Tolkien is absolutely magical . Elvish singing is not a thing to miss, in June under the stars, not if you care for such things. Such an enchanting book - one that I truly, truly treasure. May the hair on your toes never fall out! Audiobook Commnets Read by Rob Inglis...and honestly, was not a big fan of the audio. You'd think that the narrator would be able to muster SOME enthusiasm for such a wonderful story. | | | | | Snapchat @miranda_reads",5.0,positive,"The Hobbit (Middle Earth, #0)",38819529
"Gandalf Stormcrow. Bilbo Baggins is a Middle-Earth halfling merrily living his peaceful and uneventful days in the joyous lands of Hobbiton. As any well self-respected hobbit, Bilbo loves cooking his tasty meals, enjoy the blissful sun, and dutifully drink his midday tea; ever so good-natured and hospitable with his neighbors, always undisturbed, and never bothering anyone else. This has been the way his whole pleasant life, until one fine day an unexpected troublesome visitor knocks heavily at his door; a wizard of all things, with a map, and an extraordinary treasure quest. The outrage! What started it all. The timeless masterpiece and foundational basis of what later became the amazing Lord of the Rings trilogy that forever changed fantasy. How to ever forget poor pushover Bilbo, the formidable Gandalf, mighty Thorin Oakenshield, his band of lively dwarves, and their audacious adventure to reclaim Lonely Mountains from the terrifying dragon Smaug. So many fantastical moments to remember by the troll dinner party, Elrond in Rivendell, Gollum’s riddle game, the awakening of Smaug, the Battle of the Five Armies and a bittersweet ending that pierces the soul. An unforgettable fantasy journey like few others out there, considerably short, with a very simple and direct delivery for such an intricately complex world, with exquisite lovable characters, boundless lore, and an otherworldly universe that you just can never get enough of. Masterful, every single page of it. Highly Recommendable. *** I’m not even sure how to rate the movies (2012-13-14), since they have way more stuff made up than the actual book. I mean really, one movie for each LOTR, and three for this third of a book? –cough- money grab! –cough-. I didn’t time myself but this may be one of few examples where reading the book may actually be faster than watching the films. Visually astounding, that’s for sure. Flawless scenography and special effects, granted. But faithful to the book? 20% yes, 80% NO. The glaring lack of Oscars and accolades pretty much says it all too. How many times have I watched it? Once, and it was more than enough. ----------------------------------------------- PERSONAL NOTE : [1937] [366p] [Fantasy] [Highly Recommendable] ----------------------------------------------- ★★★★☆ ★★★★☆ ★★★★☆ ★★★★☆ ★★★★★ ★★★★★ ----------------------------------------------- Gandalf Cuervo de la Tempestad. Bilbo Baggins es un mediano de la Tierra Media felizmente viviendo sus pacíficos y tranquilos días en las alegres tierras de Hobbiton. Como todo decente y bien respetado hobbit, Bilbo ama cocinar sus deliciosas comidas, disfrutar del dichoso sol, y beber su habitual té de mediodía; siempre bondadoso y hospitalario con sus vecinos, sin problemas, y nunca molestando a nadie. Esta ha sido siempre la manera de su muy placentera vida, hasta que cierto día un inesperado y problemático visitante golpea fuertemente a su puerta; un mago para colmo de males, con un mapa, y una extraordinaria misión en búsqueda de tesoros. ¡El descaro! Lo que empezó todo. La obra maestra de todos los tiempos y base fundacional de lo que luego se convertiría en la asombrosa trilogía del Señor de los Anillos que para siempre cambió la fantasía. ¿Cómo alguna vez olvidar? Al pobre y doblegable Bilbo, el formidable Gandalf, el tenaz Thorin Oakenshield, su banda de vivarachos enanos, y su audaz aventura para reclamar las Montañas Solitarias del terrorífico dragón Smaug. Tantos fantásticos momentos para el recuerdo la cena de los Trolls, Elrond en Rivendell, el acertijo del Gollum, el despertar de Smaug, la Batalla de los Cinco Ejércitos y ese final tan agridulce que perfora el alma. Un inolvidable viaje de fantasía como pocos allá afuera, considerablemente corto, con una muy simple y directa entrega para tan intrincadamente complejo mundo, con exquisitamente adorables personajes, lore sin fin, y un universo de otro mundo del cual nunca se puede tener suficiente. Magistral, cada página de ella. Altamente Recomendable. *** Ni siquiera estoy seguro de cómo calificar las películas (2012-13-14), ya que tienen muchísimas más cosas inventadas que el libro original. O sea en serio, una película para cada LOTR, ¿y tres para este tercio de libro? –cof - avaricia! –cof-. No me tomé el tiempo pero creo que este es uno de escasos ejemplos en que leer el libro pueda ser incluso más rápido que ver las películas. Visualmente asombrosa, eso por seguro. Impecable escenografía y efectos especiales, concedido. ¿Pero fiel al libro? 20% sí, 80% NO. La notable falta de Oscars y premios dice todo muy claro también. ¿Cuántas veces la vi? Una, y eso fue más que suficiente. ----------------------------------------------- NOTA PERSONAL : [1937] [366p] [Fantasía] [Altamente Recomendable] -----------------------------------------------",4.0,positive,"The Hobbit (Middle Earth, #0)",38819529
"There are some days when I actually think that the humble Hobbit is superior to it's bohemoth brother, . It's a much tighter story, and Bilbo is a much more appeal character than is Frodo. I also just love this poem, from The Hobbit Far over the misty mountains cold To dungeons deep and caverns old We must away ere break of day To seek the pale enchanted gold. The dwarves of yore made mighty spells, While hammers fell like ringing bells In places deep, where dark things sleep, In hollow halls beneath the fells. For ancient king and elvish lord There many a gleaming golden hoard They shaped and wrought, and light they caught To hide in gems on hilt of sword. On silver necklaces they strung The flowering stars, on crowns they hung The dragon-fire, in twisted wire They meshed the light of moon and sun. Far over the misty mountains cold To dungeons deep and caverns old We must away, ere break of day, To claim our long-forgotten gold. Goblets they carved there for themselves And harps of gold; where no man delves There lay they long, and many a song Was sung unheard by men or elves. The pines were roaring on the height, The winds were moaning in the night. The fire was red, it flaming spread; The trees like torches blazed with light. The bells were ringing in the dale And men looked up with faces pale; The dragon's ire more fierce that fire Laid low their towers and houses frail. The mountain smoked beneath the moon; The dwarves, they heard the tramp of doom. They fled their hall to dying fall Beaneath his feet, beneath the moon. Far over the misty mountains grim To dungeons deep and caverns dim We must away, ere break of day, To win our harps and gold from him",5.0,positive,"The Hobbit (Middle Earth, #0)",38819529
"In certain crowds, my rating and the words I'm about to write (well, type) would probably get me shot. But The Hobbit is still one of the most boring books I have ever read. Tolkien's writing seems so dry and impersonal, though I can't deny he had a lot of fascinating ideas.",1.0,negative,"The Hobbit (Middle Earth, #0)",38819529
"What makes The Hobbit such a seminal work in the fantasy genre? Is it the nine hours of over-budget, sensorially explosive movies by Peter Jackson? Nope. Is it a complex tale of multiple human kingdoms slaughtering each other for an Iron Throne with buckets of blood and guts and plenty of sex? Nope. Is it simply wonderful writing. As simple and boring as that. Does that mean that I was incredibly disappointed in the movie adaptation (not to say abortion)? Yep. Does that mean I don't love Game of Thrones (books and TV shows)? No, they are great too. But the seminal work, the Divine Comedy that created the language and inspiration for George R.R. Martin as Dante created Italian from the common vernacular in Florence and Ravenna, was The Hobbit. The book, even for a slow reader is most likely able to be finished in 1/3 the time that Peter Jackson spent telling the story in 70mm film. Unlike Peter Jackson's version, there are no orcs and the element of danger is more psychological than psychical: Bilbo Baggins is battling his fears and his provincialism and growing up. The Hobbit should be read as the Odyssey of Middle Earth - a voyage of self-learning and maturation that is more about the monsters in Bilbo's imagination than those encountered in his baptismal voyage into the unknown with Gandalf. Gandalf. Honestly, would there EVER have been a Dumbledore had there not been a Gandalf? Did any Tolkien reader NOT picture Gandalf when Rowlings talked about Dumbledorf in the first Harry Potter book? Bilbo does encounter some monsters and even outsmarts Smaug the Dragon (wow, I mean what a perfect name for a dragon! More evocative than Drogon, Rhaegal, and Viserion in my opinion - and again would they even have existed had Smaug not preceded them?) and he saves Middle Earth before returning to the Shire. He is not the same person he was before leaving. He is Ulysses without a Penelope waiting for him (unless his pipe is secretly called Penelope in his expanded imagination or his Penelope is a symbol of his vast library in Rivendell). In literature, there is nothing quite like the Hobbit in its simplicity and beauty and its symbolic voyage: we are of course introduced to the elves, the humans, the dwarves...but they are all on the outskirts of the story. The Hobbit is about one small hobbit fighting his greatest fears...and winning. Fino's Tolkien Reviews:",5.0,positive,"The Hobbit (Middle Earth, #0)",38819529
"Reread 10/24/21 _________________ I probably won't write a full review here, as this is just a reread for me, but I found this just as enchanting as the first time I read it. While I still like this one only SLIGHTLY less than , I'm glad I took the opportunity to read this first before diving into a reread of LOTR this year. When I first read Tolkien's books about 15 years ago I didn't experience until I finished LOTR, so it gave me the feeling of being able to read this one as an introduction to the latter book. Highly recommended to anyone who may not have read this yet; Tolkien's world building and storytelling skills are rarely matched and aimed for all ages.",4.0,positive,"The Hobbit (Middle Earth, #0)",38819529
"Andy Serkis is doing a live reading of this for charity! To call this the epitome in which all high fantasy should be judged does not quite suffice; this is simply one of the best books that has ever been written or will ever be written. The Hobbit defines the high fantasy genre along with its sequel, of course, and has been an inspiration to countless authors and readers alike. Tolkien, quite literally, kick started a genre that would eventually capture the hearts of thousands of people. He changed the literary world. He made fantasy real. The best fantasy universe ever created Middle Earth is undoubtedly the best fantasy universe created. It is the most original and richly devised. It is very hard for fantasy authors not to borrow elements from Tolkien. He set the definition with his wonderful world. Tolkien’s references to modern day are also very amusing and almost unnoticeable in the brilliant narrative, but a perceptive reader will notice the whimsical contrasts he has drawn between his world and the real world. The sheer depth of Tolkien’s imagination is really unmeasurable. I wonder what other ideas for books he may have had that he never got to write. “The road goes ever on and on” Bilbo, like the reader, is blown away by the breath-taking landscape of Middle Earth. We must remember that he too is experiencing the majesty of Rivendell and the mightiness of Erabor for the first time. His reaction reflects a reader who is also awestruck by a world that is as beautifully magical as it is corrupt and wicked; it is a world in which both the benevolent and the malignant reside; it is a world whose people are capable of both great kindness and equally as great cruelty. The peoples are diverse and contrasting; I think the differences between the elves and the dwarves are best captured in their music. The music of the elves is full of mirth and is generally quite playful whereas the music of the dwarves is strong, deep and full of resolve to match their stubborn nature. The wonderful, wonderful, story This story belongs to Bilbo Baggins. This is something I think Peter Jackson would do well to remember, but that’s beside the point. The tale begins as Bilbo accidently, unexpectedly, invites Gandalf for tea the next day after a brief encounter. The Wizard marks him as the fourteenth member of his company, his burglar. Bilbo doesn’t really understand what he is getting himself in for when he agrees to join their mission. Indeed, the next evening thirteen dwarves, headed by Thorin Oakenshield, arrive along with their quest to reclaim their gold and slay a dragon: Smaug. Smaug has stolen their home fortress of Erebor. They want it back. Bilbo reluctantly gets dragged along though this reluctance is quickly overcome by a strong, secret, desire for adventure. “I am looking for someone to share in an adventure that I am arranging, and it's very difficult to find anyone.' I should think so — in these parts! We are plain quiet folk and have no use for adventures. Nasty disturbing uncomfortable things! Make you late for dinner!” The story becomes darker as they close in on the mountain. The company are attacked by spiders and abducted by the wood elves who want a share of the dwarfish treasure. The dwarves begin to rely on their burglar who they believed would become a liability. How wrong they were. Bilbo was destined to come along. They would have surely failed if he had not, and the ring of power may never have been destroyed. But, that’s another wonderful story. The game of riddles and the finding of the ring is one of the more memorable scenes of the book and is Bilbo’s gateway into heroism. I think the power he receives from the ring helps him to discover that not only does he have courage and fortitude, but he has lots of it. Gandalf, if anything, is an excellent judge of character. The ending is just the beginning The ending of this book is undeniably rushed. Bilbo is unconscious for most of it, and we receive a post battle update. There are off page deaths and victories. In this, I think Tolkien cements the message of the story; it is not about the tragic death of a dwarf who went slightly mad, and then redeemed himself; it is not about a boatman who slayed a dragon, and became a renowned hero: it is about a Hobbit. This is Bilbo’s story and no other's. It is a story in which a Hobbit who had no courage and no bravery found it. It is a story about a hobbit who was too scared to leave his house without a hanky eventually evolved into a Hobbit that would trick a dragon. “You have nice manners for a thief and a liar,"" said the dragon.” Five stars. I think you know why. ________________________________ You can connect with me on social media via . __________________________________",5.0,positive,"The Hobbit (Middle Earth, #0)",38819529
"It's a beloved children's book and it's a classic. But a word of advice from someone who went down this dark path? Know thyself , Random Goodreader. I read books from the 1930s all the time but there is just something about the way Tolkien writes that kills me slowly inside. I knew this going into it, but I really wanted to like one of his books. In my defense, my goal was to finish what I started with the Lord of the Rings trilogy. And I really tried to cling to what was happening but I just kept zoning out because there was nothing here for a reader like myself to hang onto. I want to understand the appeal of Tolkien in the modern-day sense because there are people who swear to have recently read and loved his books! The fault lies not with Tolkien, but with me in trying to read Tolkien. So, it's not you, Bilbo. It's me. And it's all the fucking songs in this thing. I've come to the conclusion that I should have read this when I was younger. Because the older I get the less patience I have. For the parents of annoying children in restaurants, for the people who tell me that my opinions are wrong, and for the books that drag ass. If I had read this when I was a kid, I'm pretty sure I would have the nostalgia glasses needed to say that this book shaped my childhood and whatnot. As it is, I got nothing. I'm not saying The Hobbit is terrible, but it's the wrong kind of story for a grumpy fart like myself who doesn't enjoy dry questing and a bunch of shitty songs in their reading material. And this thing is filled to the brim with both. It felt like I was swimming through jello to get to the end. I will say there was more humor in this than there was in the LotR books, so that was cool. But as far as plot goes, I just didn't care about any of it. What are they even after? Some leftover dwarf treasure? Dammit. I wanted to be in your club. I wanted to get invited to all the larping parties. I wanted to learn how to throw down cool elvish gang signs. I wanted to wear pointy ears & play a flute off-key at my daughter's wedding. You Tolkienites are a great bunch of people and I'm just sorry I couldn't like the books the way they deserve to be liked.",2.0,negative,"The Hobbit (Middle Earth, #0)",38819529
