review,rating,sentiment,book_title,book_id
"Suzanne Collins has balls ovaries of steel to make us willingly cheer for a teenage girl to kill other children. In a YA book. Two reasons why this book rocks: (a) It is not Twilight , and (b) I really hate reality shows. Seriously, how long would it take for reality shows to evolve from ""Survivor"" to ""Hunger Games""? Yes, this book is full of imperfections. It often requires a strenuous suspension of disbelief. It can cause a painful amount of eye-rolling and shaking fist at the book pages. Its style is choppy and the first-person present tense gets annoying. The story is simple, and the message is heavy-handed. But is does set a better example for young impressionable pre-teens than gushing stories about sparkly co-dependency. And here is an obligatory taken out of contest Twilight-bashing quote: “But just the fact that he was sparkling leads me to doubt everything that happened.” So why did I add it to my to-read list for my future (hypothetical) daughter? Because Katniss is cool and a badass. She is fierce, independent, resourceful, intelligent, and skilled. She is loyal to her friends and family. She is a survivor. She will never allow a guy to carry her around as though she is a delicate flower. She skewers that apple in the pig's mouth with an arrow in front of the Gamemakers in the most awesome way imaginable. For all that, I love this imperfect, surly, prickly, sullen and perpetually pissed-off, quick to jump to judgment, and sometimes clueless girl. And I love this book because - despite The Hunger Games being YA literature that seems to hinge on the romantic puppy love - the happiness of Katniss does not revolve solely around a cute male lead. Yes, there is a (hated) love triangle here *eyeroll* but there are other issues that occupy Katniss' mind - such as the survival of her friends, family, and herself rather than just pining over a cute boy. (*) * Unlike other so-called ""books"", where a boyfriend of a few months dumping you is a valid reason for catatonia and almost-suicide.(**) ** And yet we still get readers who divide themselves into the incredibly annoying ""Team Peeta"" and ""Team Gale"". (***) *** Because clearly nothing else ever matters besides sappy love - in a book about children murdering each other. *eyeroll* Now, here is what bugged me about the romance that DID make it into the book. There is actually a LOST OPPORTUNITY here to have a YA book where people CAN be just friends, where devotion and loyalty stem from friendship and respect and not from attraction. Katniss and Peeta could have had plenty of other reasons to care for each other that don't include puppy love - they are from the same district, same school, he gave her that bread, she trades with his dad, etc. But alas, that did not happen. I understand that Collins had to cater to the way that YA publishers and Hollywood tend to view us, the female audience. At least Katniss escapes the perils of insta-love. But poor Peeta - all of his actions are colored by him being ""Lover Boy"", and I think it detracts from his personality and reduces him from a kind compassionate person to a fool in love who'd do anything for Katniss only because of his physical attraction to her. Yeah... ...Rue...Oh, Rue... Now, back to the GOOD. Rue, my favorite character. Little, fragile, almost-too-perfect Rue who was clearly doomed from the start. Who despite her appearance was neither weak nor helpless. Whose death scene brought the human side to Katniss (who, until that point, was almost bordering on robotic). There was real grief and anger and sadness in that scene, and from that point on I began to care. Suzanne Collins strictly follows the ""show, don't tell"" rule. (Actually, she does it to such an extent that the book reads almost like a screenplay.) The plot moves along at a fast pace, only slowing down a bit in the drawn out Capitol makeover and cave makeout sessions. Collins does not shy away from gruesome scenes, making many parts of the book hit home. ---------- I enjoyed it despite the imperfections. Katniss easily beats the majority of the popular YA heroines. And because of all her coolness, this gets 3.75 stars . ""Exactly how am I supposed to work in a thank-you in there? Somehow it just won't seem sincere if I'm trying to slit his throat."" ----------------------------------------- EDITED TO ADD: So I saw the movie today. All I have to say - Suzanne Collins may have given life to Katniss, but Jennifer Lawrence definitely gave her heart. Lawrence's Katniss has such emotional depth, and she brings such truthfulness to her character. Excellent adaptation with a great balance of tugging on the heartstrings and darkness. I CRIED TWICE (yes, apparently I am less of a cynic than I thought). First time - when Katniss volunteers for Prim and people salute her. I JUST CHOKED UP. It felt so real. I have a brother who is much younger than me, and all I could think at that moment was how I would do the exact same thing for him WITHOUT ANY HESITATION . It wouldn't even be a choice. Just like it wasn't for Katniss. *Sob* The second time I teared up - Rue. Oh Rue... And the salute from District 11 - so powerful and so touching. I...I...I just can't... PLEASE EXCUSE ME WHILE I GO AND GRAB A BOX OF TISSUES. OR TWO. OR TEN. *SOB*",4.0,positive,"The Hunger Games (The Hunger Games, #1)",2767052
"Dystopian Perfection. In a post-apocalyptic future, life has turned extremely hard. Fighting poverty and hunger every day, sixteen years old hunter Katniss does absolutely everything in her power to have enough for her defenseless little sister, and a barely lucid mother. Life is hard, yet not impossible, until the one fateful day arrives. Once every year, the ever vigilant all powerful Capitol of Panem celebrates for their entertainment the “Hunger Games”, a yearly tournament where a handful representatives of each district are forced to fight in a massive arena, to the death. In a sad turn of events, young Katniss will have to fight not only for herself, but for the future of her starving family. I think this series needs as much introduction as Lord of the Rings; but what the hey, old habits die hard. Maybe not everyone has read it, maybe not everyone has watched it, but doubt anyone has never heard of it at some point. One of the greatest dystopian fiction of all time, or at least one of the best-selling ones. A literature masterpiece? Hardly. One of the most entertaining ever? Quite possibly! Astounding world building and character development. Not a profound reading at all, but a plot perfectly balanced, fast paced and action packed; if you can withstand YA that is, and the triangle thingy. Along with Percy Jackson and Divergent, one of the pillar series that sparked my literary addiction. Highly Recommendable. *** Hunger Games (2012) is a superb adaptation, maybe as good as the book, if not better. Highly popcorn and re-watch worthy. I don’t normally reread, or feel the desire to; but lost count of how many times I’ve watched the movie on TV. It just never gets old, and is perfect, for what it is; really bringing the characters alive in a way a book never can, and few adaptations ever succeed. Jennifer Lawrence and Josh Hutcherson just marvelous in their roles, with an unforgettably heartbreaking performance by Amandla Stenberg as Rue too. Still, even a decade later I can never forget that Madge Undersee was left out of the adaptation; and the Tessera system hardly explained or mentioned; along with a few other minor things cut out. Not one of the greatest films but one of the greatest adaptations ever, hands down. One of those few cases where I think I ultimately prefer the movie rather than the book. Extremely Recommendable. Team Peeta btw. Also. Fatniss I’m scared! <3 ----------------------------------------------- PERSONAL NOTE : [2008] [374p] [Dystopia] [YA] [4.5] [Highly Recommendable] ----------------------------------------------- ★★★★★ [4.5] ★★★★★ ★★★★☆ [3.5] ----------------------------------------------- Perfección Distópica. En un futuro post apocalíptico, la vida se ha vuelto extremadamente dura. Luchando contra la pobreza y el hambre cada día, la cazadora Katniss de dieciséis años hace todo lo humanamente posible en su poder para tener lo suficiente para su indefensa pequeña hermana, y una apenas lúcida madre. La vida es difícil, pero no imposible, hasta que un día llega el fatídico día. Una vez cada año, el siempre vigilante y todo poderoso Capitolio de Panem celebra para su entretenimiento los “Juegos del Hambre”, un evento anual en una masiva arena donde un puñado de representantes de cada distrito son forzados a lugar, hasta la muerte. En un triste giro de eventos, la joven Katniss deberԕ luchar no sólo por sí misma, sino por el futuro de su hambrienta familia. Creo que esta serie necesita tanta introducción como El Señor de los Anillos; pero qué demonios, los viejos hábitos nunca descansan. Tal vez no todos lo hayan leído, tal vez no todos lo hayan visto, pero dudo que nadie no haya escuchado hablarlo en algún momento. Una de las más grandes ficciones distópicas de toda la historia, o al menos de las que mejor vendieron ¿Una obra maestra literaria? Difícilmente ¿Una de las más entretenidas jamás? Muy probablemente. Increíble construcción de mundo y desarrollo de personajes. No una lectura muy profunda en absoluto, pero con una trama perfectamente balanceada, rápida en el ritmo y cargada de acción; si podés soportar lo Joven Adulto claro, y el coso ese del triángulo. Junto con Percy Jackson y Divergente, una de las series pilares que encendieron mi adicción literaria. Altamente Recomendable. *** Los Juegos del Hambre (2012) es una sobresaliente adaptación, tal vez tan buena como el libro, sino mejor. Altamente digna de palomitas y volver a ver una y otra vez. Normalmente nunca releo, ni siento el deseo; pero perdí la cuenta de cuántas veces he visto la película por TV. Nunca se gasta, y es perfecta, para lo que es; realmente trayendo a la vida a los personajes de una forma que un libro nunca puede, y pocas adaptaciones llegan a lograr. Jennifer Lawrence y Josh Hutcherson absolutamente maravillosos en sus roles, con una inolvidablemente desgarradora actuación de Amandla Stenberg como Rue también. Igual, incluso una década después no puedo olvidar que cortaron a Madge Undersee fuera la trama; y el sistema de las Teselas apenas explicado o mencionado; entre otras pequeñas cosas que quedaron fuera. No una de las mejores películas pero sí una de las mejores adaptaciones jamás, sin duda. Uno de esos casos donde creo que en última instancia prefiero la película sobre el libro. Extremadamente Recomendable. Equipo Peeta por cierto. ----------------------------------------------- NOTA PERSONAL : [2008] [374p] [Distopía] [Joven Adulto] [4.5] [Altamente Recomendable] -----------------------------------------------",5.0,positive,"The Hunger Games (The Hunger Games, #1)",2767052
"LMAAAOOOO! Thats Peeta folks! xD Hahahahaha, Totally! xD HAHAHAHAHA! Laughed my ass off on this! XD OMFG. HUNGER GAMES. CINEMA. O.O IT.WAS.FREAKING.AMAZING. ♥ Am I...am I still alive...? o.O *pinches myself* -ouch! Yes, I can stay alive for the next movie. And I was crying before the movie even started. Damn cinema, showing 'The Titanic 3D' movie trailer. >.< OMG, there were sooo many moments where I was crying. And God, I love my Pakistani people, they were so much fun to watch with :') <3 Go and watch The Hunger Games movie NOW! When is the next movie coming? :'D <3 I just died. OH YES I DID becaaaussseee... ‘Hunger Games’ Clip: Peeta Mellark’s Interview With Caesar!!! OMG PEETA LOOKS SO HOT! OMG OMG OMG! <3 And how he says, well, shes here with me! :'D The Hunger Games ET Behind The Scenes [Extended Version] *Yes people, in this video you can watch Peeta escaping for his life, throwing breads and hugging Katniss* EEEE! ^_^ Five Days and 21 hours till the Red carpet premiere... OMFG OMFG OMFG! O_O Anyway guys, KATNISS AND CINNA FULL 4 MIN SCENE! Another SONG released. Its so creppy and weird. LOVE IT! xD Arcade Fire - Abraham's Daughter OMG! ONE OF THE HUNGER GAMES SCENES! xD (When Katniss shoots arrow in the apple while preparing) After watching this, I am like, ""FUCK YEA! ^_^"" 27 days.... OMFG! ^_^ SO DAMN EXCITED! :D Anyway, new picture people!! :D Peeta painting. Now isn’t that just adorable. XD <3 Josh Hutcherson (Awesome one)interview: OMG OMG! THE ORIGINAL SOUNDTRACK! <3 Deep Shadows by T.T.L: I am getting chills. This instrumental is Perfect. New picture! =D *Official cover* OMG! FIRST SOUNDTRACK RELEASED! ^_^ <3 Safe and Sound by no other than TAYLOR SWIFT FT THE CIVIL WAR. Ok. I thought it would be like you know, metal, but this rocks! =D <3 THE OFFICIAL TRAILER! OMG OMG OMG! ITS PERFECT! ITS FAB! *girl squeal!* THIS IS SO FREAKING AMAZING! xD For me its like, I read this series. I loved them. Then I saw the first book becoming a movie. And now watching the trailer, I feel so good. Like a dream come true. =) And I already watched the trailer like, 15-20 times. XD Yeah. I nearly died while looking at this pictures. X__X Whats the use of reviewing this book when its awesome and everybody knows it! I.just.can't.wait.till.freaking.March.23.2012. =D ****** May The Odds Be Ever In Your Favor ! ﻿*******",5.0,positive,"The Hunger Games (The Hunger Games, #1)",2767052
"“Happy Hunger Games! And may the odds be ever in your favor.” Every year, Panem (post-apacolyptic North America) hosts a Hunger Games involving one female and one male representative from each of its twelve districts to fight to the death. All of the Districts of Panem must watch the Games as a form of yearly ""entertainment"" when in actuality, it's a power play put on by the Capitol (the wealthiest of the districts). For there to be betrayal, there would have to have been trust first. The Capitol uses the Games as a way to demonstrate the sheer helplessness of the other Districts and to keep the population cowed and in fear. When Katniss's sister (twelve-year-old Prim) is chosen as this year's competitor, Katniss volunteers to take her place. Peeta, a boy from the ""richer"" side of District 12 is chosen as the male representative. I'm more than just a piece in their Games. Soon, she and Peeta are whisked away to the Capitol - a place of incredible wealth and heartbreaking cruelity. And while Katniss has sworn to come back to her sister, she really has to wonder, what will be left of her if she returns. “Here's some advice. Stay alive.” Honestly, this was the best apocalyptic YA teen novel I've read this year. To be fair, this was one of the very first YA series I read, so every time I re-read it, I am just overwhelmed with nostalgia. But, when I take off my rose-tinted glasses, I still think it's a pretty solid series. The characters are really well-done. I love how Katniss's motivation is both pure and ruthlessness - and her personality isn't tainted with over-the-top self-sacrificing eyerollingly awful simpering mess that I see in quite a few of the newer YA series. Katniss's love for her sister humanized her otherwise stiff character. Her pride and will to survive energized the novel and kept me absolutely hooked. I appreciate that the smidge of romance does not overpower the novel. Finally, a YA novel that plot doesn't solely hang on a love triangle - I love that it's more of a survivalist story. Overall, really pleased with this novel - cannot wait to reread the rest! Audiobook Comments Read by Carolyn McCormick and she gave life to Katniss! Loved the audio. If you've ever wondered which literary world would be the best to live in, wonder no longer, cause there's a to answer that! | | | | | Snapchat @miranda_reads",4.0,positive,"The Hunger Games (The Hunger Games, #1)",2767052
"I was forced into watching Mockingjay: Part II this weekend. To clarify, I watched the second part of the last Hunger Games movie without having read any of the books, without having watched any of the movies. Needless to say, I was confused as fuck . So many questions and thoughts ran through my mind as I watched the movie. Why is Peeta so thin? Did that huge-ass bruise really disappear from her neck the next day? Is Katniss supposed to look like she's about to burst into tears at any given moment, or is that just Jennifer Lawrence? Woody Harrelson is in this movie? Hey, it's Margaery from Game of Thrones! Who's President Snow? What's a Mockingjay? Lesser Hemsworth is pretty hot. Well, you get the point. I know how the book ended and I still have no idea who anyone is, and neither do I know their names, with the exception of Peeta, Gale, President Snow, that Coin woman, and Katniss. Of course, knowing how the book ended means I probably should read the first book, so here I am, the last person on earth to read The Hunger Games. And it was good. It was really good. My sister was right (she usually is). What else can I say that hasn't already been said? I loved it. The world building was interesting (although it helps that I've seen what it looks like on the big screen), and Katniss is awesome . One of the things my sister didn't like about the first movie is that the on-screen Katniss was different from her portrayal in the first book. I haven't watched that movie, but I kind of see how the screen portrayal of Katniss might have bothered her. Book-Katniss is strong, kick-ass without being a Mary Sue. She has a fierce love for her sister, and she is manipulative and cunning. She uses the prospect of romance to protect herself, she has no qualms about using people, and I love that about her. Time to watch Movie #1!",5.0,positive,"The Hunger Games (The Hunger Games, #1)",2767052
"My ""Epic Book Recipe"" Checklist for The Hunger Games : 1. A sharp and intelligent heroine with just the right amount of emotion who gives in to absolutely nothing and no one? 2. A sweet and sensitive hero who loves and supports the heroine un conditionally? 3. An original setting with a unique and thrilling plot? 4. A couple of earth-shattering shocks every now and then to keep the readers' mind reeling? 5. Extraordinary side characters from interesting backgrounds who possess the much-needed Voice of Reason and/or Humor in every crisis? 6. Desperate circumstances that force me to bite my nails in anxiety? 7. An ending that provides the perfect premise for the sequel but also concludes the present book? Like I said, EPIC. For more reviews, visit my .",5.0,positive,"The Hunger Games (The Hunger Games, #1)",2767052
"(A-) 83% | Very Good Notes: The literal corruption of youth by reality television. Forced into murder, thievery, treachery, and kissing to stay alive.",4.0,positive,"The Hunger Games (The Hunger Games, #1)",2767052
rereading this for the first time in 10 years and it feels more relevant than ever. truly a timeless classic.,5.0,positive,"The Hunger Games (The Hunger Games, #1)",2767052
"(A-) 83% | Very Good Notes: A Pax Romana parallel, where odds are ever mostly misses, and games of guise, of glossy lies, mean existential kisses.",4.0,positive,"The Hunger Games (The Hunger Games, #1)",2767052
"A lot of things are troubling me about The Hunger Games. A lot of things which I more and more perceive and which are not solely connected with this book but with the metaphor behind the words. People attach themselves to fictional freedom without seeing what something really is, and which, unfortunately, is here to stay, because you can't wake a person who is pretending to be asleep. You can’t make a shift on a deeper level if the only thing that attracts you to this book is a vision of fight, retaliation, and the outcome of freedom. Freedom of flesh. In comparison to the freedom of and from your mind - which is nowhere to be found. And this is why I detest this book, although detest is such a strong-from-the-ego word. Because the whole purpose of this story is to show how people shouldn’t sacrifice their children for the betterment of their communities, and with the positive outcomes realize that we are so much stronger and dot dot dot. The whole purpose of this book should be that there shouldn’t even be, in the first place, a need to sacrifice members of our society for some other people to be amused. And where, after the battle of “united” people, we heal and repair the damages for a better tomorrow. The societal cancer of Western civilization thinking. Heal the damage. Never heal the cause of it. But then we wouldn’t be talking here about the same book. We would be discussing how humanity can help each other by being better, by taking responsibility, and by being open to each other. And yet, imagine this paradox we live in: better, as if the majority of the population can even understand that we are in constant bloodthirst to achieve peace. With war comes peace. While along the way, we are trying to be better and safer. Yet most people deliberately choose to live on the utmost lowest level of their existence - in fear, frightened of themselves. And people read books which are so extreme in their numbness. And people connect with Katniss because she is the heroine. She has managed to outsmart the system. Instead of thinking that she was not even supposed to be there in the first place. Because we live in a society that does this to their children. “No, we don’t!” “We do…” “But children can learn how to fight.” “You teach them to fight for individual puppeteers. And instead of working on yourself, on how to achieve your inner peace, you associate yourself again with the group because it feels better to be in the tortured crowd than to be alone and awakened.” “What are you talking about? It is just gibberish. Leave Katniss alone. And in the end, it is just a book. Why don’t you want people to read and educate themselves? Does everything have to be deep and meaningful? Can’t you just relax?” Yes, everything has to be deep and meaningful - since we are drowning in meaningless and shallow. The system as it is, the plot of this book, is just another piece of evidence showing us how we are controlled. That we are left barren from our true selves, which we only find in empathy, love toward each other, and genuinely understanding that we are one, and everything is one. But on this marginal & emotional level, so many took this book for granted. One of the main reasons why I can’t really keep things light and popsy is because so many things are already deep down in the gutter: light and popsy and mainstream. As if having money is any criterion for life, as if not having your own free will, education, and information means nothing. And the other side of the rich coin is poverty—people who believe in symbols, who are sidetracked by religions, censored TV, economy, and the utter lack of information circulation. And this is not a critique toward Collins. In my nature and seeing her as a person who shared her thoughts and whom millions of people loved and connected with, I am still a firm believer that the general public just didn’t understand what she was talking about. And this is my silver lining. Because it has been like this throughout centuries and with the biggest thinkers of our civilization. What they meant and wanted to show is definitely not what most of the public projected. Because the mainstream public is a group of sheep—not seeing anything properly, but following, and like a Tarzan screaming, “Don’t you dare steal my Jane from me.” As a metaphor: Don’t you dare tell me these uplifting emotions are not true, when all in me about this book tells me otherwise and how people should live their lives. And if the mainstream likes it—uh, then definitely that is not what’s true. It is just a constant reminder of how so many things are left unrecognized, while these superficial stories which evoke cheap emotions are always so hugely praised. It could have been just a little story. But never underestimate the obese octopus that is called In God And Country We Trust—code red mentality. And although this is a teen book, it is more deeply hurting and sickening because if you want to influence somebody, of course you will influence the children. And yet, there is nothing that children can truly learn from it. They can learn some things—we all need a little courageous Katniss—but on a deeper, subtler level, it is just an intravenous injection of more Nothing, and more Numbing, and more Disconnected. “At least they read,” is one of the arguments. An argument as fruitful as: at least they eat GMO food. One food for the blind intellect, the other for digestion—both resulting in basic survival without any interference of you in all of it. Because it takes courage and guts and a pinch of anarchy to stop, turn around, and start questioning what is handed. For me, the thought of giving this to a child is sickening, especially because we live in this world where all life criteria are upside down. Because a child will not learn how things are vile and disturbing because Katniss told them through her delusional and hyperventilating focus. A child will learn about life’s cruelty, and they will be touched by it sooner or later—by questioning everything that is served in front of them. Because if it is served—somebody is earning money. And you are just getting fatter and sicker. And children will learn how to question—if you teach them how to find, not if you broadcast them the answers. Not if you teach them through aggressive examples and keep the nation in cold sweat, especially if you are lucky enough to live in countries where oppression is not the issue but consumerism, body image, and mediocrity have you on the leash. The core of this book is pointlessly graphic and sadistic, without any concrete message except the negative: this book is just proving that the world today is fucked up - if this book is so successful. I don’t see the point of reading about fictional kids who are doing this to each other. In a metaphorical way, it is promoting political establishments of certain countries, and that is getting tiring. Not all people are eager to swallow the shit of general brainwashing. Katniss being the heroine. Being loyal and darling and a role model. Some pretty dark things are happening while you are thinking that Katniss is the representative of the club called liberation. For me, in a bookish way, it stands for one bad one-night stand: kiss and forget. But as always, readers tend to bring fiction into their real life. And just as many think that kittens and superheroes are comfort zones, a lot of readers perceive this plot as their own little shrine. But that is me not being in tune with the mainstream population—which is too distracted by billboards. Because it is easier. Because why protest, why not simply take what you are given—eat your GMO Monsanto company hamburgers, eat your cancer-giving Nestlé products, and think that The Hunger Games are the best franchise ever, like ever. If you don't have any arguments about real-life activism, and if you think that there is deepness in this plot which I have yet not seen, so you need to enlighten me—just include North Korea, or Hitler, or ISIS(L), or those poor people who are closed in Zara hangers who work nonstop somewhere in the world, because obviously you are aware of the crisis, although you don’t think you could show it on the map—but you have heard somewhere on Murdoch media. This shit sells. It's genuinely bad - but excellently targeted. You know, it evokes pride and loyalty and massacring children, freedom and scandal and Hollywood. Marketing agencies know that people are united when they are jealous, when they want, and they, with those hamburgers, want freedom. Nobody is going to kill their Katniss in a goddamn book! Really? Take a look around you. And then the punch line for this book comes from the so-called activism from the shopping mall. People who devour literature of this kind and think that everything is all right, while at the same time—fuck—you are getting oozingly fat. Bottom line. I'm very surprised that it didn't come with some trash magazine subscription. If it doesn't have savage brutality, prize money, and the prefix “media coverage,” then it won’t be appealing and educational—because surely this is how children of the 21st century survive this techno-media world: through examples of true moral issues and realistic outcomes. Have another gulp of Coca-Cola along the way while you listen to 140 BMP music. It saddens me when a violent, hillbillish book is so popular. What is there to truly identify yourself with? Except if your chicken soup for the soul are basic emotions—which come with buy 1, get 1 free.",1.0,negative,"The Hunger Games (The Hunger Games, #1)",2767052
