review,rating,sentiment,book_title,book_id
"Chiron looked surprised. “I thought that would be obvious enough. The entrance to the Underworld is in Los Angeles. ” As someone who has worked in Los Angeles, I can tell you that this is completely accurate. While Harry Potter was spending his summers at the Dursleys, Percy Jackson attended Camp Half-Blood. This book has done the impossible: it has redeemed the name of Percy. Yes, that's right, that snot-faced, lily-livered waste of air of the very same name from the Harry Potter universe. That name is now relegated to the ranks of ""acceptable,"" because of my love for this book. Perseus (Percy) Jackson is the kind of kid with whom you can't help sympathizing. He is the type that's born under a dark star, because inevitably, wherever he goes, whatever he does, however good his intentions, he can't help but fuck everything up. Everything that can, does and will go wrong. A simple field trip can turn into a disaster in seconds. Jay-Z's got 99 problems, Percy might have more. He nearly flunks all his classes, he's got dyslexia, he's got ADHD, and then there's Nancy Bobofit. Nancy Bobofit appeared in front of me with her ugly friends—I guess she’d gotten tired of stealing from the tourists—and dumped her half-eaten lunch in Grover’s lap. “Oops.” She grinned at me with her crooked teeth. Her freckles were orange, as if somebody had spray-painted her face with liquid Cheetos. Nancy Bobofit is not a major character in the book. I have to mention her because her character resounded with me. I had my own Nancy Bobofit back in grade school, only her name is Mimi. Nearly 2 decades later, the memory of her horrible face still makes me shudder. But I digress. As if the bullies aren't bad enough, his dad is a no-show, his stepfather is LITERALLY named Ugli, and there are crones foretelling Percy's death as well as a minotaur chasing his ass around. AND NOBODY'S TELLING HIM A SINGLE FUCKING THING. What's with all the secrecy, man? As it turned out, Percy is *whispers* special. He is a half-blood, meaning one of his parents is a Greek deity. He gets sent to Camp Half-Blood, with roughly 100 other kids like him. It's a freaky place for a kid who's known nothing but relative normalcy his entire life. All of a sudden, he's playing Pinochle with a Greek God (Dionysus---what a drunk), his best friend Grover turns out to be a satyr, and the gorgeous blond girl who rescues him thinks he's a doofus and she keeps calling him ""seaweed brain."" To be fair, Percy had it coming. He is kind of a seaweed brain. ""Another time, Athena and Poseidon competed to be the patron god for the city of Athens. Your dad created some stupid saltwater spring for his gift. My mom created the olive tree. The people saw that her gift was better, so they named the city after her.” “They must really like olives.” “Oh, forget it.” “Now, if she’d invented pizza—that I could understand.” “I said, forget it!” Not your best moment, Percy. As it turned out, Percy IS special. His dad is one of the Big Three gods. Which kind of sucks, because that's not supposed to happen. “About sixty years ago, after World War II, the Big Three agreed they wouldn’t sire any more heroes. Their children were just too powerful."" A lot of people would think it was pretty cool to have such a powerful dad...not really. Now that I was declared a son of one of the Big Three gods who weren’t supposed to have kids, I figured it was a crime for me just to be alive. Not only does Percy have to struggle to fit in at Camp Half-Blood, but there's some shit going on in Mount Olympus. The gods are fighting again (when are they not)... ""During the winter solstice, at the last council of the gods, Zeus and Poseidon had an argument. The usual nonsense: ‘Mother Rhea always liked you best,’ ‘Air disasters are more spectacular than sea disasters,’ et cetera."" ...and consequently, like a brother playing a prank on his younger siblings, someone's stuff was stolen. And Zeus thinks that his bro, Poseidon, put Percy up to it. Of course, blame the poor kid. Now Percy is shit out of luck YET AGAIN, and he's got no choice but to go on this huge stupid quest into the underworld (Los Angeles, ha!) to clear his name. He's not alone, he's accompanied by the snarky, gorgeous, fiercely competent Annabeth (she of the seaweed brain name-calling), as well as the most incompetent satyr that ever lived . In his pocket was a set of reed pipes his daddy goat had carved for him, even though he only knew two songs: Mozart’s Piano Concerto no. 12 and Hilary Duff’s “So Yesterday,” both of which sounded pretty bad on reed pipes. It's going to be a loooooooong trip to the Underworld. The Setting : THIS. THIS IS HOW YOU DO GREEK MYTHOLOGY. I am a Greek mythology buff. I FUCKING LOVED THIS BOOK. This book is just absolutely fucking perfect in every way when it comes to rewriting and reinterpreting the Greek pantheon. It is so hilariously, awesomely irreverent, but completely fitting. The gods are reimagined, but they stay true to their true nature, and the myths are retold in a cheeky, flippant manner that had me giggling my ass off . This book is so fantastically snarky to the Greek gods. Everything is incredibly well-explained to a lay audience, like how the Greek gods can't seem to keep it in their pants. Annabeth nodded. “Your father isn’t dead, Percy. He’s one of the Olympians.” “That’s...crazy.” “Is it? What’s the most common thing gods did in the old stories? They ran around falling in love with humans and having kids with them. Do you think they’ve changed their habits in the last few millennia?” And apparently, the habit runs true for both male and female goddesses. “What? You assume it has to be a male god who finds a human female attractive? How sexist is that?” The existence of Greek gods and goddesses themselves are well explained, and believable. “Come now, Percy. What you call ‘Western civilization.’ Do you think it’s just an abstract concept? No, it’s a living force. A collective consciousness that has burned bright for thousands of years. The gods are part of it."" ""Did the West die? The gods simply moved, to Germany, to France, to Spain, for a while. Wherever the flame was brightest, the gods were there. They spent several centuries in England. All you need to do is look at the architecture. People do not forget the gods."" I had my doubts about the execution of the premise of Greek mythology, and all my doubts have been destroyed. his book does great justice to the Greek gods, it is the most faithful rendition than I have ever read. The Characters : Yes, Percy is a special snowflake, but HELL, I LOVED THE LITTLE SHIT. He's got a special destiny. He is a special child. I DON'T CARE. Percy is such a sympathetic character, and although he won't be replacing Harry Potter in my heart any time soon, there is a special spot for him. He can give up pretty fast. He's kind of a wimp, but you know, finding out that you're a hald-blooded demigod is kind of a big deal, and I understand his attitude of ""GET ME THE FUCK OUT OF HERE."" I didn’t know what else to do. I waved back. “Don’t encourage them,” Annabeth warned. “Naiads are terrible flirts.” “Naiads,” I repeated, feeling completely overwhelmed. “That’s it. I want to go home now.” He doesn't really want to do anything big. He's pretty stupid sometimes (Auntie Em, geez), he's not exactly heroic. He only does the heroic shit when there are no other options. “All right,” I said. “It’s better than being turned into a dolphin.” I loved Annabeth, she is all I could want from a female supporting character. I can't say that I'm fond of Grover...but I can't help feeling that we'll be seeing more of him in the future. “But a quest to . . .” Grover swallowed. “I mean, couldn’t the master bolt be in some place like Maine? Maine’s very nice this time of year.” Overall: a fantastic book. A good middle grade book makes you feel like a child again, and this book did just the trick. I found myself giggling throughout the book, and an hour after reading it, there's still a smile on my face that can't be wiped off.",4.0,positive,"The Lightning Thief (Percy Jackson and the Olympians, #1)",28187
"I'm slightly ashamed to say that I watched the movie before I read the book. But I'm even more ashamed that I watched the movie only to experience the hotness that is Logan Lerman. But, come on! Someone tell me that this , is not hot: Really. What did I tell you? (I do imagine that you probably won't read the rest of the review anf just stare at this gif instead, but that's no reason not to like my review! :D) But, I really have to thank Logan. I really do. Because without his unfreakingbelieveable hotness, I wouldn't have watched the movie, and I would've never read the awesomeness of The Lightning Thief. Yes, I loved the book. I've always taken an interest in Greek Mythology and I thought Rick Riordan's take on it was very unique, and unlike anything I've read before. I absolutely loved Camp- Halfblood. Well, it sure seemed better than the budget summer camps I've been to. RR seriously out did himself with writing the camp. I could imagine everything vividly and I like to think that I know the camp from back to front. The cabins would have to be my favourite feature of the camp, though. If only they were like that in the camps I've been to. Percy. What can I say? The guy has amazing underwater powers, is kick- ass and is a demigod. He's super loyal to his friends and family, is brave and has the looks (this is the part when you look at the gif of Logan Lerman again ;D). And he can make me laugh. Come on. You have to give a guy who make you laugh some credit. In short, the guy's the full package. Another thing I loved were the other characters. Especially Annabeth, who looks like Cinderella in Percy's words (am I right? I don't have the book on me, sorry. Stupid library fines). And I'm expecting something to develop between her and Percy, if you know what I mean.... So, yeah. I loved the book, it was exciting, fast- paced and humorous. Just one thing though, I'm kind of pissed that they didn't have cabins in the movie. Or Clarisse. Or the Oracle. Though it's hardly RR's fault. I just had to get it out there.",5.0,positive,"The Lightning Thief (Percy Jackson and the Olympians, #1)",28187
"When I was about halfway through this book, I started making a list of its similarities to Harry Potter. Here is a sampling from that list: 1. There are three young heroes: a brainy girl (Annabeth/Hermione), a funny screw-up type (Grover/Ron), and a somewhat troubled but very brave lead (Harry/Percy). 2. People freak when the Harry/Percy character says the name of a powerful character. 3. The main bad guy (Kronos/Voldemort) is seeking to return to his former power, but most people are totally in denial of that happening. 4. The heroes train at a school that divides its students according to their character. (Chiron, the head trainer of the camp, equals Dumbledore.) 5. Chiron/Dumbledore knows a prophecy about Percy/Harry but won't tell Percy/Harry what it is exactly. 6. Percy/Harry has a gross stepfather named Smelly Gabe who protects him during his childhood, so Smelly Gabe obviously equals the Dursleys. 7. Harry/Percy can talk to a certain animal because of his special gifts (Harry could talk to snakes, Percy can talk to horses). 8. Riordan's three young heroes face down a three-headed dog at the end of their big quest, which if I'm not mistaken is exactly what happens in HP1 (granted, the three-headed dog is straight out of Greek mythology, so I should cut Riordan some slack on this one). I could go on (and on and on) which would be fun for me, but I won't. Instead, I'll shock you by saying that I totally loved this completely derivative book. It's super fun and fast-moving and the fact that it's kind of a HP rip-off actually makes me like it more. God, I loved Harry Potter. The Lighting Thief is like methadone. That might be what I said about the but it's more true here. I can't wait to read the second one!",4.0,positive,"The Lightning Thief (Percy Jackson and the Olympians, #1)",28187
"Chapter One: I Accidentally Vaporize the Person who Tried to Take this Book Away from Me Look, I didn't want to be obsessed. If you're reading this because you think you're only going to read The Lightning Thief once, my advice is: close this book right now. Believe whatever lie your mom or dad told you about binge-reading, and try to be a normal person. Being obsessed with this book is dangerous. It's scary. Most of the time, it gets you killed because you want to read it just one more time. If you're a normal kid, reading this book because you were forced to, great. Read on. I envy you for being able to believe you're immune to being obsessed. But if you recognize yourself in these pages - if you feel something stirring inside - stop reading immediately. You might be becoming a member of the Percy Party. And once you know that, it's only a matter of time before you read it again. And again. And again. Don't say I didn't warn you.",5.0,positive,"The Lightning Thief (Percy Jackson and the Olympians, #1)",28187
"Annabeth: calls Percy a wild animal me: 🥺🥺 romance 🥺🥺 —————— DISNEY+ ADAPTATION THE GAYS WON WE WON!!!!!! (if you think I am handling this well I absolutely am not) —————— all right who’s going to step up and convince me not to reread this for the sixth time....... somebody’s gotta do it and it’s not me —————— yeah I’ve read this five times and want to reread it again, what about it —————— I’m crying I love this book and series so much my parents taught me how to read just so I could read this book I can die happy now I have no other reason to exist than to read this book",5.0,positive,"The Lightning Thief (Percy Jackson and the Olympians, #1)",28187
"A+ Writing A+ Plot A+ Characters A+ MONSTERS I thoroughly enjoyed this book! I wish I hadn't watched the movie before reading it, because I felt like that ruined a bit of enjoyment of this book for me, but for the most part I had such a fun time reading this book and I'm looking forward to continuing on with the series. july 2024 update - forgot i re-read this in july lolol - still iconic.",4.0,positive,"The Lightning Thief (Percy Jackson and the Olympians, #1)",28187
(A-) 82% | Very Good Notes: It’s sugar and caffeine: a dulcet pop sonnet moved by rhyming couplets of worldbuilding and perilous confrontation.,4.0,positive,"The Lightning Thief (Percy Jackson and the Olympians, #1)",28187
"Were you a bit weird in school? Or are you still in school and think you're kinda weird? I mean, everyone is weird, but you know that I mean. Maybe you didn't fit in, maybe people thought you were a bit of a loser. Maybe you had learning difficulties, were a target for bullies, got into trouble a lot, maybe it seemed like your teachers just didn't like you. Maybe you sucked at reading and were even diagnosed with dyslexia. Or ADHD. Well, don't worry. Truth is, you're actually most likely a child of the gods with secret powers that enable you to zap those bullies and fulfill your true destiny. Screw school, you've got bigger things to deal with anyway. Lol, this book is amazing. My only regret is that I didn't have it when I was twelve years old because I would have read this until it was falling apart in my hands. Every insecure kid (so basically every kid) should read The Lightning Thief . I would want my hypothetical kids of the future to read this book. It's the ultimate childhood fantasy - discovering that everything people labelled as ""weird"" or negative about you is actually caused by your secret awesomeness. Pretty perfect message, if you ask me. I know, I know - this is plain old childhood wish fulfillment at its finest. But who cares? The best kids books are all about wish fulfillment to some extent and it's not like Percy Jackson doesn't have his fair share of enemies and heartache. It's the same idea that we all loved to buy into. The orphaned and neglected Harry Potter discovering he is a wizard. The nerdy loser-ish Peter Parker developing special abilities and becoming Spiderman. Children in the middle of WWII discovering a secret world through a wardrobe door in which they reign as royalty. Percy Jackson finding out he is the son of a god and has his own super powers. On top of the powerful message, this is a fast-paced exciting fantasy story full of friendships, Greek mythology, magic, mystery, bad guys and girls, and constant adventure. I enjoyed it now, despite me being a good ten years older than the target audience. I would have enjoyed it even more ten years ago. You should definitely go read this. Then, when you're done, give it to a kid to read too. | | | | |",4.0,positive,"The Lightning Thief (Percy Jackson and the Olympians, #1)",28187
"Mythological Bliss. Percy Jackson is a spunky teenage boy attending Yancy Academy. His life turning upside down when during a school trip to a museum he is attacked and nearly killed by a harpy. Not every day you realize you are the illegitimate son of a god and that you are being hunted down by mythological monsters. What follows is a narrow escape to Camp Half Blood, home and refuge for all the unrecognized offspring of the many Olympus deities. Things do not get better when he realizes his birth signifies the violation of a sacred millennial oath, gets accused for stealing the thunder of Zeus, and the possibility of a full scale heavenly war escalating to a point of no return. 2014 was the best year of my young reader’s life. Bought a tablet, discovered Goodreads, and with it an endless sea of possibilities and books I never knew existed. That year I devoured all the Giver, Hunger Games and Divergent series one after the other, but Percy Jackson was my very first. I just loved Percy, Annabeth, Grover and Sally. Hated so much Gabe! And Clarisse, at least at the beginning. I was completely enamored by the world building and all of its fantastic characters, the greek mythology references, the never ending reveals, the engrossing story progression, and the nonstop action. This book was unmatched YA heaven. How can I ever forget Camp Half Blood, the Lotus Casino, the fights against so many mythological figures like the Minotaur, the Furies, Medusa, Echidna, Chimera, Ares, Cerberus... So many endearing and heartbreaking moments to remember by The Minotaur and the Pearl scenes! . The big ending reveal with Luke was kind of a letdown, but a very decent ending nonetheless. And hey, what book is perfect? It was so close though! A terrific beginning for one of my most beloved fantasy series ever. Highly Recommendable for YA Fantasy lovers, and adults with a child at heart. *** The movie (2010) was a joke and one of the most disappointing adaptations I've ever watched. I mean it was so awkwardly filmed! The moderately faithful plot and the great special effects were there, granted, and maybe even some of the acting too; but it all felt so clumsy and disjointed! And so many things were cut out. It was all so sad, the intention was clearly there, but the spirit was definitely not. Hardly a match to the book. Lerman and Daddario may have been ok, at best; but Brosnan as Chiron was so laughable. And the ending so insulting to the series progression! Fighting Kronos? Really??? Like they couldn’t wait to throw the biggest final antagonist of the series right at the beginning. And inexperienced newcomer Percy winning so easily, against the most dreadfully powerful god ever. Give me a break! Sadly, Not Recommendable. Many points to Sean Bean for not dying though! ----------------------------------------------- PERSONAL NOTE : [2005] [377p] [Fantasy] [YA] [Highly Recommendable] ----------------------------------------------- ★★★★☆ ★★★★☆ [4.5] ★★★★★ ★★★★☆ ★★★★☆ [4.5] ----------------------------------------------- Felicidad Mitológica. Percy Jackson es un aventurado jovenzuelo asistiendo a la Academia Yancy. Su vida dando un vuelco total cuando durante una visita escolar a un museo es atacado y casi asesinado por una harpía. No todos los días te enterás que sos el hijo ilegítimo de un dios y que estás siendo cazado por monstruos mitológicos. Lo que sigue es un estrecho escape a Campo Mestizo, hogar y refugio para todos los no reconocidos descendientes de las muchas deidades del Olimpo. Las cosas no mejoras cuando comprende que su nacimiento significa la violación de un milenario pacto, es acusado de robar el rayo de Zeus, y la posibilidad de una guerra celestial a gran escala se acerca a un punto de no retorno. 2014 fue el mejor año de mi joven vida lectora. Compré una tablet, descubrí Goodreads, y con ello un océano infinito de libros y posibilidades que jamás sabía que existía. Ese año devoré todos los libros de la saga Dador, Juegos del Hambre y Divergente uno tras de otro, pero Percy Jackson fue mi más primero. Simplemente amé a Percy, Annabeth, Grover y Sally. ¡Odié tanto a Gabe! Y a Clarisse, al menos al principio. Completamente fascinado por la construcción del mundo y todos sus maravillosos personajes, las referencias a la mitología griega, las continuas revelaciones, la cautivante progresión de la historia, y la acción sin final. Este libro fue tan completamente un cielo de lo Joven Adulto. Cómo podría olvidar el Campamento Mestizo, el Casino Loto, las peleas contra tantas figuras mitológicas como el Minotauro, las Furias, Medusa, Equidna, Quimera, Ares, Cerbero… Tantas entrañables y terribles momentos para recordar ¡La escena del Minotauro y las Perlas! . La gran revelación final con Luke fue un poco decepcionante, pero un decente final sin embargo. Y además, ¿qué libro es perfecto? ¡Aunque estuvo tan cerca! Un espectacular comienzo para una de mis más queridas series de fantasía jamás. Altamente Recomendable para los amantes de la Fantasía Joven Adulto, y adultos con un niño en el corazón. *** La película (2010) fue una gansada y una de las más decepcionantes adaptaciones que vi jamás. ¡O sea fue todo tan raramente filmado! La trama moderadamente fiel y los geniales efectos especiales estuvieron ahí, concedido, y tal vez incluso algo de la actuación también; ¡pero todo se sintió tan mal e inconexo! Y tantas cosas dejadas afuera. Fue todo tan triste, la intención claramente estuvo ahí, pero el espíritu definitivamente no. Difícilmente comparable al libro. Lerman y Daddario tal vez estuvieron ok, cuando mucho; pero Brosnan como Quirón fue lamentable. ¡Y el final tan insultante a la progresión de la serie! ¿Pelear contra Cronos? ¿¿¿En serio??? Como si no pudieran esperar para lanzar al mayor antagonista final de la serie directo al principio. Y el inexperto recién llegado Percy ganándole tan fácilmente, contra el más terriblemente poderoso dios jamás. ¡Por favor! Lamentablemente, No Recomendable. ¡Aunque muchos puntos para Sean Bean por no morir! ----------------------------------------------- NOTA PERSONAL : [2005] [377p] [Fantasía] [Joven Adulto] [Altamente Recomendable] -----------------------------------------------",4.0,positive,"The Lightning Thief (Percy Jackson and the Olympians, #1)",28187
"✅ Reread (July 2024) ""You'll be a hero, Percy. You'll be the greatest of all."" And he did become the greatest of them all 😌 ~•~•~ Original review Look, I didn't want to get sucked into the world of PJO. If you think it's not that deep, great I envy you. If you recognise yourself in my over dramatic reviews and updates- ahh okay I'll stop😂 Honestly this book holds a special place in my heart. I randomly picked it up in my school library years ago simply cause I was bored. But once I started reading, I knew this book was IT. I DEVOURED it. Just like I did today lol. Percy Jackson has always been one of my all time favourite characters. And re-reading this series is going to be major FUN. I honestly miss books like these. Man, what a journey it's going to be 🥺 Can't wait to re-live all the quests, cliffhangers (painful laugh) and the iconic battles. Until then, 'Take care Seaweed Brain.' 'You too Wise Girl.'",5.0,positive,"The Lightning Thief (Percy Jackson and the Olympians, #1)",28187
