review,rating,sentiment,book_title,book_id
"*** For those who somehow have no idea about what happens in The Little Prince or cannot figure it out at a reasonable spot in the book, here is a warning - THERE WILL BE, as much as I hate applying this term to this incredibly famous classic that does not rely on Aha! moments to keep the readers' attention, SPOILERS! **** ----------- 'You do understand that the Little Prince died?' my mother asked as carefully and gently as only adults who know that loss of innocence can be crushing but is brutally necessary can do. 'No, he didn't. He went back to his home planet and that stupid rose. It says so right here, ' I replied with the comforting stubbornness of an eight-year-old. Later that night, I quietly reread the book and the sad truth clicked, and so did the belated thought that for all the gentle berating of adults in it, this strange and beautiful book was written by one of them and definitely for them, and not for me, and by luring me in with the beautiful pictures it pushed me just a bit further on the inevitable road to adulthood. Or so I see now. Back then, I decided to read the author's biography instead as a distraction from the thoughts that were trying to be a bit more grown-up than my heart cared for - I was the odd kid of a literature teacher mother, after all - just to learn that just after writing this book, Antoine de Saint Exupery died when flying his plane in a war to liberate his country, killed by adults who played a game of war, too dangerous and cruel. And that finally made me cry. And then I went back to the simple security of childhood. Then I grew up, inevitably, like most of us do. I learned to do my fair share of 'matters of consequence'. I learned the painful understanding of why certain vain but naive roses can hold such sad power over our hearts. I learned the comfort and longing of nostalgia, the fear of the crushing burden of loneliness, the understanding of fragile beauty of the world that can be so easily taken away at any moment. I became a grown-up, and I have to learn to reconcile my inner child with my outer age. ""In the course of this life I have had a great many encounters with a great many people who have been concerned with matters of consequence. I have lived a great deal among grown-ups. I have seen them intimately, close at hand. And that hasn't much improved my opinion of them."" Now, reading this intensely lyrical and mesmerizing book written by an ailing middle-aged adult far away from the country he loved in the middle of war-torn years, I am confronted with emotions that ruthlessly hurt, hidden in the deceiving simplicity of a (supposedly) children's story just like an elephant was hidden inside a boa constrictor - or was it simply a hat all along? - in the opening paragraphs of this book. I sigh and tear up, and try to resist the urge to pick up the golden-haired child that never stopped until he got answers to his questions and carry him away into safety. But I can't. Because if I do so, there will never be 500 billion bells in the stars, and we will never wonder whether the rose is still alive - and it needs to be, because we are responsible for those we have tamed. ""But I was not reassured. I remembered the fox. One runs the risk of weeping a little, if one lets himself be tamed."" This is not a book for children. It's for adults who remember being children and feel nostalgia for the simple comfort of childhood innocence but know they can never go back to it. Because they have met their Roses, and Foxes, and drank from a well with a rusty handle in the desert, and learned that a few thorns may not stand against the claws of a tiger. Unlike the Little Prince, they can no longer go back - but they can look at the night starry sky and laugh, and imagine that they hear an answering clear laughter. ""In certain more important details I shall make mistakes, also. But that is something that will not be my fault. My friend never explained anything to me. He thought, perhaps, that I was like himself. But I, alas, do not know how to see sheep through the walls of boxes. Perhaps I am a little like the grown-ups. I have had to grow old."" 'What makes the desert beautiful,' said the little prince, 'is that somewhere it hides a well.' —————— Also posted on .",5.0,positive,The Little Prince,157993
"“What is essential is invisible to the eyes.” Saint-Exupéry’s plane crashes in the middle of the Sahara desert; with limited supplies and no hopes of finding help, his time is short to fix his airship. One day after waking up he finds a beautiful young boy playing on the sand, and starts to wonder if he may be losing his mind. Is he dehydrated and the boy a product of his imagination? Who is that little boy and what on earth is he doing in the middle of the desert? And why does he keeps asking to draw him a sheep? One of the firsts books I picked up from my parent’s bookcase, if not the very first. A book I read during my teens and deeply LOVED, with a soul shattering ending that I never fully recovered from. To this day I think this is the first book I read with a devastating ending. A book everyone should try to read at least once in their lifetime, but never force it. I think it’s essential for this book to come just at the right invisible time, and very important to keep an open mind about it. Don’t over analyze it too much, and it should be easy to enjoy. I think any kid can love it, or any adult with a healthy child at heart. A must read in life. Extremely Recommendable. *** The Little Prince (2015) is a beautifully touching movie that has much and little to do with the original work. This film is more of a modern retelling of what ‘The Little Prince 1 & 2’ would’ve been, if such a sequel existed. Still, of all the adaptations I’ve watched (which is to say the only one in this case ehem), it’s so VERY worth it. An extremely heartfelt animation and something any reader of the Little Prince would probably love. A fantastic film with gorgeous artwork and an amazing voicing cast. Very Recommendable. Just mind it includes a lot more stuff than just a plain adaptation. ----------------------------------------------- PERSONAL NOTE : [1943] [96p] [Classics] [Extremely Recommendable] [B 612] ----------------------------------------------- “Lo esencial es invisible a los ojos.” El avión de Saint-Exupéry se estrella en medio del desierto del Sahara; con escasos recursos y sin esperanza de hallar ayuda, su tiempo es corto para tratar de arreglar su nave. Un día al despertar se encuentra con un hermoso joven muchacho jugando en la arena, y se empieza a preguntar si tal vez esté perdiendo la cabeza. ¿Está deshidratado y el niño un producto de su imaginación? ¿Quién es ese muchachito y qué por los cielos está haciendo en el medio del desierto? ¿Y por qué sigue insistiendo en que le dibuje una oveja? Este fue uno de los primeros libros que escogí de la biblioteca de mis viejos, si no es que el mismísimo primero. Un libro que leí durante mi adolescencia y AME profundamente, con un final que parte el alma y del cual nunca llegué a recuperarme completamente. Hasta el día de hoy creo que es el primer libro que leí con un final devastador. Un libro que todo el mundo debería intentar leer al menos una vez en la vida, pero sin jamás forzarlo. Creo que es esencial que este libro llegue justo en el invisible momento adecuado, y muy importante leerlo con una mente abierta. No sobre analizarlo demasiado, y seguramente será fácil disfrutarlo. Creo que cualquier niño puede amarlo, o cualquier adulto con un niño saludable en su interior. Un deber para leer en la vida. Extremadamente Recomendable. *** El Principito (2015) es una hermosamente conmovedora película que tiene mucho y poco que ver con la obra original. Este filme es una especie de recreación moderna de lo que sería ‘El Principito 1 & 2’, si dicha secuela existiera. Igual, de todas las adaptaciones que vi (que dicho sea de paso es una sola en este caso ehem), esta lo vale MUCHO. Una extremadamente emotiva película animada y algo que cualquier lector del Principito probablemente amaría. Una fantástica y bellísima obra artística con un excelente elenco de voces. Muy Recomendable. Sólo sepan que incluye muchas más cosas que una simple adaptación. ----------------------------------------------- NOTA PERSONAL : [1943] [96p] [Clásicos] [Extremadamente Recomendable] [B 612] -----------------------------------------------",5.0,positive,The Little Prince,157993
"“And now here is my secret, a very simple secret: It is only with the heart that one can see rightly; what is essential is invisible to the eye.” i find it almost impossible to write on this book at all, let alone extensively enough to constitute a review. it's just so lovely and wonderful, and it really seems like one of those books that reveals another facet with every reading. (it was just as delightful the second and third read as the first, and nearly as great in english as in french.) i just...love it. but here's my attempt: this might be in my top five favorite books ever. that should really be all I have to say to convince you to read it. but in case you need more, i will provide. (no one can say i don’t give, guys.) first, it’s unbelievably short. if you need more than one sitting to read this book, Something Is Wrong. or perhaps you are reading it aloud to a newborn who cries a lot, or a very poorly behaved adult, in which case I suppose it’s understandable. no excuse for children. they should be enchanted from the get-go. the language is also unbelievably lovely. it’s also incredibly profound. there are countless morals and metaphors and meanings to this book (check out that alliteration). i catch something new with each read. there’s so much imagination appreciation in this book. also star and flower appreciation, and those are two of the things that make life the most worth living. and books of course. and this book IS a book! three for three! (it misses on another reason to live, which is sweets, but you can’t win them all.) the author’s name is Antoine de Saint Exupéry, which is one of the cooler names I’ve ever heard. when de Saint Exupéry wrote this, he was a sad and lonely frenchman in new york, with a vain and beautiful wife whom he loved very much. a lot of really deft analysis of the human experience, including some truly hot takes on american city types. (it’s better than I’m making it sound.) most importantly, THIS BOOK IS TOTALLY ALL TRUE. 100% nonfiction, baby. the narrator of this book is a pilot who crash-lands in the desert, where he meets the little prince. Antoine de Saint Exupéry was presumed dead after his plane (and he) went missing over the ocean. the plane was found, BUT HIS BODY NEVER WAS. the obvious conclusion is that he’s in the stars with the little prince. bottom line: children's classics supremacy.",5.0,positive,The Little Prince,157993
"The Little Prince is a short story of a man who crash lands his plane in a remote part of the desert. The man meets a little fellow, The Little Prince, who regales him with his tales of his travels around the universe. This was a short book that carried a big punch. Although it is often labeled as a children’s story, it is so full of beautiful symbolism. The Little Prince is worth reading once a year. My favorite tale from The Little Prince’s travel is the story of the businessman. The businessman is busy counting the stars, claiming to own them because he first discovered them. The Little Prince asks him what he does with the stars, and the businessman says nothing. “I own a flower myself,” he (The Little Prince) continued, “which I water every day. I own three volcanoes, which I rake out every week. I even rake out the extinct one. You never know. So it’s of some use to my volcanoes, and it’s useful to my flower, that I own them. But you’re not useful to the stars.” There was another quote that I just loved: “I need to put up with two or three caterpillars if I want to get to know the butterflies.” This book is part of the 100 Books To Read According to the BBC: 2025 Reading Schedule Jan	A Town Like Alice Feb	Birdsong Mar	Captain Corelli's Mandolin - Louis De Berniere Apr	War and Peace May	The Woman in White Jun	Atonement Jul	The Shadow of the Wind Aug	Jude the Obscure Sep	Ulysses Oct	Vanity Fair Nov	A Fine Balance Dec	Germinal Connect With Me!",5.0,positive,The Little Prince,157993
"The next asteroid the Little Prince came to was inhabited by a Quiz Addict. He sat hunched in front of his laptop, and barely looked up when the Little Prince greeted him. There was nowhere else to sit, since the whole asteroid was covered in books. ""Good morning!"" said the Little Prince. ""I'm sorry, I don't have time to talk to you,"" said the Quiz Addict. ""I am very busy. Wait. In Twilight , what color was Edward's car?"" ""I don't know,"" said the Little Prince. ""I have never read this book Twilight ."" ""I think it was blue,"" said the man. ""Damn! I was wrong. Silver. In Twilight , who joined the Cullen family first?"" ""I told you,"" said the Little Prince, ""that I haven't read this book. But it must be an interesting book if you answer questions about it all day long. I would very much like to read it."" ""It is the stupidest book ever written!"" said the man. ""Then why do you answer questions about it all day long?"" asked the Little Prince. ""Because if I don't,"" sighed the man, ""then my friend on asteroid B451 will get ahead of me. ""He has read the whole series. Luckily, he hasn't read Harry Potter and the Deathly Hallows ."" ""When you have finished the Quiz,"" asked the Little Prince, ""I hope you will be able to read some of these books you have around you? I notice that you have had Atonement on your to-read list for the last six months."" ""It is a Never-Ending Quiz,"" answered the man. ""In Twilight , what color was Edward's car?"" ""I believe you said silver?"" answered the Little Prince politely. ""Thank you,"" muttered the man. ""Yes! You were right. I should have known that."" ""I'm sorry, I must be going,"" said the Little Prince. And he went on his way, thinking that grown-ups were very, very, very strange.",5.0,positive,The Little Prince,157993
"We are all children in adult bodies. Yes we are, don't think we aren't for one moment. The fact that we WERE, indeed, children, is a huge part of each of us. It is possible to shed a few appreciative tears on every page of this book if you entertain the thought that the pilot IS The Little Prince. Maybe you won't think that--maybe you'll have your own take on the book---that's the magic about it. This book is translated to English from French. If you understand and/or appreciate French, the deliciousness of that fact can affect you in addition to the sweet storyline itself. The book won't even take you a whole day to read. Consider honoring the Little You that still remains, and resides within you, and read this salute to childhood, to innocence, and to you. It just takes a 'Little' imagination and bravery.",5.0,positive,The Little Prince,157993
"(A) 85% | Extraordinary Notes: Opens rough, like stalks of wheat, bit raw to eat, but flavors build as meaning's milled and by the end it tastes a treat.",5.0,positive,The Little Prince,157993
"Pero qué cosa tan más hermosa. Tengo un vago recuerdo de haberlo leído cuando estaba pequeña, pero ni de cerca me impactó como me ha impactado ahora.",5.0,positive,The Little Prince,157993
"'one sees clearly only with the heart.' sometimes i fall into a mood where i am simply tired of life. where i just want to crawl under the duvet with a cup of tea, hug a book and never let go. 'the little prince' is that book for me. its a truly special treasure. its precious. its my rose. ___________________________________ «on ne voit bien qu'avec le cœur.» parfois, je deviens fatigué de la vie. et je veux ramper sous la couette avec une tasse de thé, embrasser un livre et ne jamais lâcher. «le petit prince» est ce livre pour moi. c'est un trésor spécial. c'est précieux. c'est ma rose. ↠ 5 stars",5.0,positive,The Little Prince,157993
So amazing. I can see many rereads of this in the years to come.,5.0,positive,The Little Prince,157993
