review,rating,sentiment,book_title,book_id
"Edited 5/31/25: Apparently someone complained to Goodreads that I used “excessive content quoted from the book” without copyright’s holder permission. So I counted — to show my dissatisfaction with the way this book was written I used 11 quotes of which the longest is just a few lines. Out of 300-plus pages. What I think is a book’s fan took offense with me bashing it and hopes the review gets deleted. Fine, I’ll remove the quotes. All but the link to one which is the silliest — which I’m pretty sure is allowed even by people whose feelings were bruised by my opinion because otherwise maybe GR just needs to delete its book quotes section. And that still will not make this book less terrible. And I do suspect that if I had given this 5 stars the complaining book fan would have been happy had I quoted the entirety of 300+ pages. —————— Original review here, minus badly overwritten quotes: I liked this book until it suddenly decided to moonlight as a self-help manual, replete with messages that would look great and profound on an Instagram post next to a well-posed cup of coffee with those foam pictures on top. Or embroidered on a pillow — pick your poison. Quote removed due to complaint that I quote too much. And these messages have the subtlety of a sledgehammer . Forget the readers figuring it out for themselves — no, the moral and the take-home points will be (didactically) in your face, loud and clear, even if it’s awkward and clunky and stops narration in its tracks. Case in point: Quote removed due to complaint that I quote too much. Some of these platitudes would also feel right at home in the Hallmark holiday special movie: quote can be found on GR Quotes page And I’m just not big on self-help or motivational books . I find most of them cheesy and corny and really awkward and often so painfully earnest that I just can’t take them seriously. It’s just me - I guess I don’t have the right personality to appreciate them. And so I was not too happy with the turn the story took. ————— The premise was interesting, and the beginning actually had me captivated. It’s a story of a woman who’s had her final straw - a whole bunch of final straws, really - and when gripped by the oppressive darkness of depression decides to commit suicide. Quote removed due to complaint that I quote too much. This may be why so many of even middle-aged people like reading Young Adult books — there’s something quite comforting about seeing a brand-new person, right at the cusp of adulthood, when all the possibilities are still there and no clocks have yet started ticking, and there is enough time and energy to regroup and move on to the road not yet taken. But Nora is thirty-five, an age considered way too late (especially for women, with that damn idea of a biological clock) to not have it all figured out. It’s not the time (at least for women) when the world is considered to be your oyster — it’s the time when you really are expected to have your shit together. And Nora most certainly does not . “Well, don’t hang about. Tick-tock tick-tock”, says a well-meaning stranger in that unasked-for-but-nonetheless-given bit of advice. Quote removed due to complaint that I quote too much. In that moment between life and death Nora finds herself in a library full of books that are the alternate lives she could have had — lives that would have stemmed from one different choice, one different decision. (Jo Walton’s quiet gem had a similar premise, and it was wonderful). And the point is - once Nora finds a perfect life for herself in this endless tapestry of parallel and “perpendicular” lives, she can choose to stay in it and live it as her own. The logical place to start is to revisit all those regrets that weigh her down. And Nora has quite a few of those. Quote removed due to complaint that I quote too much. And then, after a great beginning (which was not always easy to read given how well Haig was able to capture the snowballing depressing crap happening to Nora) we careen right into the didactic self-help book where each parallel life exists to teach Nora a lesson that sooner or later will be unambiguously spelled out so that we don’t get it wrong. Quote removed due to complaint that I quote too much. And if you had any doubts about the ending, doubt no more. It ends exactly like anyone would have predicted at the beginning of that self-help turn, except it’s even more unrealistically saccharine than I even dared to anticipate . It takes a turn into that meaningless “let you be you” drivel that seems to say so much while actually saying very little. It becomes the cotton candy of advice - sweet but of little value. Quote removed due to complaint that I quote too much. And all that relentless hammering of the “profound” message into to readers’ psyche interspersed with tired cliches makes the whole book eventually seem bland and repetitive and tedious and, honestly, a bit trite. 2.5 stars . I did not sign up to read a self-help manual. But my opinion is decidedly in the minority — maybe I’m just a crusty soulless cynic. Oh well. ———— ———— Also posted on . (Full version, with quotes).",2.0,negative,The Midnight Library,54789601
"""That is just me. I add nothing. I am wallowing in self-pity."" No truer words have been said by Nora, the world's largest wet blanket. Woe is her, folks. Nora ends up at the Midnight Library, a place between life and death, because she doesn't want to live anymore. The library is full of books, each representing a life she could've had had she made different choices. Now she has a chance to undo all her regrets (of which there are many) and try out all the lives she's missed out on, to see if there's another one she would've liked better. Lest you think I'm a cold-hearted reader for not loving this, I mean, sure that does sound like me. I count coins in my bathtub, chase children off my lawn with my gnarly walking stick, and club seals for laughs at least once a day, if not more. So what's to like? No no, I'm just kidding. Really. Normally I love sappy, cheesy, inspirational mush. I watch Hallmark movies. I believe in soulmates and happily ever after. I cry during every sweet scene in every movie. And yet this book left me so cold inside, I got absolutely zero feels unless you count frustration as a feel. For one thing, this story doesn't come across as fiction so much as self-help disguised as fiction. The lessons to be learned in here are pretty obvious right from the beginning, yet they are presented like some sort of epiphany that can only be discerned if explained slowly and repeatedly. We are forced to endure these same lessons over and over every time Nora goes back to the library. Either Nora is the most dim witted of characters, or the author thinks us readers are. Another problem is that it's really hard to connect with Nora. She'll take any situation, suck every ounce of joy out of it, and interpret what's left in the most negative way possible. She's full of regret for every decision she's ever made, and thinks the grass is always greener. However, other than being negative, she literally has no other personality traits. She's a blank slate, dull and uninteresting. I also have issues with the core messages in this book. Nora finally learns her lesson, but it's only after having fixated on each regret, remade every decision, and lived all subsequent lives. Like come on, at some point, you just have to be okay with who you are and the decisions you've made without knowing every single possible outcome. But my biggest issue is that I'm really uncomfortable with this book's implication that if you're depressed, you only need to change your mindset and you will feel better. That goes against everything we understand about mental illness, including that it's important to seek professional help, that it can be chemically based, and that it's not a matter of not trying hard enough. We already have enough trouble as a society getting depression and mental illness taken seriously, without a ""feelgood"" book coming along and implying that you need nothing more than an attitude adjustment to cure it. That puts the blame squarely where it doesn't belong, on the hundreds of millions of people who are suffering from depression. But it isn't just the layman who harbors such misunderstandings. It also includes people who work in the mental health field, and even some therapists and psychiatrists. So you can understand my dismay at the continued popularity of this book, which further perpetrates this extremely toxic point of view. Please don't get me wrong. The message in here about having a positive attitude is a good one, and I'm all for it. But that worthwhile message slowly but surely got overshadowed by the implication that depression is nothing more than a mindset, and that's where I fall off the bandwagon. At times, I'm left wondering if the author started with the intention of the former and, over the course of writing this story, it somehow got away from him and he ended up with the latter instead. Obviously many readers loved this book, as evidenced by its overwhelmingly favorable reviews. But it's decidedly not for me. This is the second book I've read by Matt Haig, and I've pretty much hated both. So I think it's time I part ways with this author and just accept that we're not compatible. ~~~~~~~~~~~~ See also, my thoughts on: ~~~~~~~~~~~~ ✧ Connect with me ✧ ✧",2.0,negative,The Midnight Library,54789601
"“The only way to learn is to live” Fuck, this book hit me so hard. I finished this book a few days ago and I haven't been able to stop thinking about it. It has one of my favorite themes or tropes in a book, where we follow a main character who at the beginning of the story is very depressed and possible suicidal and doesn't see the point of life, but then slowly throughout the story begins to build an admiration toward humanity and life. This book was so beautifully written and I love the way this book asks the question: what is the best way to live? “Between life and death there is a library, and within that library, the shelves go on forever. Every book provides a chance to try another life you could have lived. To see how things would be if you had made other choices… Would you have done anything different, if you had the chance to undo your regrets?” It's a really cool concept, that between life and death you enter the midnight library, where you get the opportunity to see how your life would've been different had you made different decisions. I think a lot about this, what my life would be like had I made different choices and wondering if I'm the happiest version of myself? This book forces you to ask hard questions, like what makes a life worth living? And are your dreams for yourself really something you want? I love the way this book talks about regrets and how most of the time our regrets are a load of bullshit of things that are out of our control and they are causing a major burden on our life. “A person was like a city. You couldn't let a few less desirable parts put you off the whole. There may be bits you don't like, a few dodgy side streets and suburbs, but the good stuff makes it worth-while.” Matt Haig is such a talented writer and there are so many passages and quotes I'm obsessed with in this book. Much like The Humans (one of my all time favorites) this book has you questioning what the point of life is and thinking how truly absurd life can be. But I feel like this book is much more serious than The Humans, there are trigger warnings for depression and suicidal thoughts in this book, and it was very very heavy on my heart to read this book, where as The Humans feels a lot more light-hearted and hilarious. “It is easy to mourn the lives we aren't living. Easy to wish we'd developed other other talents, said yes to different offers. Easy to wish we'd worked harder, loved better, handled our finances more astutely, been more popular, stayed in the band, gone to Australia, said yes to the coffee or done more bloody yoga. It takes no effort to miss the friends we didn't make and the work we didn't do the people we didn't do and the people we didn't marry and the children we didn't have. It is not difficult to see yourself through the lens of other people, and to wish you were all the different kaleidoscopic versions of you they wanted you to be. It is easy to regret, and keep regretting, ad infinitum, until our time runs out. But it is not lives we regret not living that are the real problem. It is the regret itself. It's the regret that makes us shrivel and wither and feel like our own and other people's worst enemy. We can't tell if any of those other versions would of been better or worse. Those lives are happening, it is true, but you are happening as well, and that is the happening we have to focus on.” But god damn, I loved this book. I cried a lot at the end. I'll be thinking about this book for a long time. I also filmed a reading vlog and I included this book, you can see that here:",5.0,positive,The Midnight Library,54789601
"Everybody probably knows the premise of this book by now (I mean this book is everywhere ): a library with an infinite number of books. The books of regret. You open one and it transfers you to the life where you didn’t make that particular regret. Was it marrying someone or traveling or maybe other little things. While I admit I don’t actively pursue parallel universes kind of books on one hand, and on the other, the main reason why I read this book is that I was choosing the best fiction this year (to vote in the GR awards), I was actually looking forward to it. Most of my friends on GR gave it 5 glowing stars. A book beloved by the majority... I had a high chance of enjoying it. Sadly, I didn’t. First, it was boring. I listened to the audiobook and the narrator wasn’t the best, honestly. Not that her voice was annoying but it was kind of monotone. It certainly didn’t help either that I was listening to at the same time, in which the narrator was so animated reading the book. I also found all of Nora’s revelations and enlightenment typical. Like sure I already know that. The ending was also painfully predictable from the start. So when you can guess where the book is going, everything in between becomes not so interesting anymore, especially if you don’t care about the main character. Unfortunately, I found Nora dull. She wasn’t interesting as the main character and I couldn’t relate nor care about her and empathise with her story. I can’t believe she was this multitalented in fields that aren’t related whatsoever to each other. She could’ve been an athlete, a scholar or a musician. All successful. All are based on life decisions. I also think that she had the privilege of choosing such different options. Many don’t. I don’t mean by that the book of regrets but rather focusing on a particular career path from the start. For example, many parents don’t nurture their children’s interests like music or gymnastics for several reasons maybe they can’t afford it or they just don’t care. But Nora had so many options. Luckily, the book was short. I also didn’t hate anything about it, hence the 2-star rating. But at the same time, I can’t name anything I liked. Maybe one of the lives, in particular, was more intriguing than the rest because of the two characters we met and.. the concept. It didn’t help that the book got repetitive sometimes. The premise was much more promising than the book itself. The “message” was also pretty plain obvious. Yet many liked The Midnight Library , however. So it might be more of a “me and not you” kind of book. But let me tell you this: if you don’t find the parallel universes interesting to read about in stories, don’t read this novel. Don’t be fooled with “LIBRARY. MIDNIGHT LIBRARY. BOOOOOKS.” The library is just more of a metaphor. Most of the events in this book take place in the real world. And unless you’re interested in kind of self-help books (or motivational ones), don’t read this novel either. Because it’s more about what Nora discovered about herself and life, of course, by dealing with/trying to escape from her regrets. But then again, the majority liked this book so you might too and it's simply not my cup of tea. Yet, it was a dreadfully boring.",2.0,negative,The Midnight Library,54789601
"So, first of all, HUGE thank you to goodreads for featuring my kindle highlights and notes for this book - wow. I never would've expected such an amazing opportunity to share my love for this book NOR would I have expected to ""meet"" so many wonderful people through the comments. It's been so much fun and I'm definitely doing more highlights/notes soon!! The Written Review Life has just gotten to the point where it's overwhelming and all-encompassing and above all, Nora can't see a possible situation where it gets better. Everyone she's ever known has pulled away, her job is gone and her best friend in the world passes. All she's left with is herself and a cripplingly black hole . She slips herself a few too many pills and then drifts...and finds herself in a library. Not just any library though, the Midnight Library. Guided by a person who may (or may not) be Mrs. Elm (young Nora's favorite teacher), Nora begins to take a look at the shelves. And every book is her. Well. A version of her. Other lives that she could've lived, decisions and paths she could've pursued. If you could undo any and all ""bad"" decisions you make, would you? In short, this book was amazing. Really, truly. I struggled to write my summary cause I didn't want to give too much away - so much of my joy of this book comes from just discovering where this story led. The world-building and the writing were phenomenal. It felt like I was marking a new quote on every page cause so much of it was THAT good. Nora's character felt so real and she got me all teary so many times. I loved the ethereal magic of the Midnight Library and the various mind-bending scenarios that Nora went through. All in all - this book was amazing and I could not recommend it more! Just posted my on Booktube! Click the link to check it out!! | | | | | Snapchat @miranda_reads",5.0,positive,The Midnight Library,54789601
"It is no secret that Matt Haig has mental health issues, dogged by the darkness of depression that has taken its toll on his life. His acute observations and experience of his condition informs this exquisite, inspiring, compassionate and empathetic novel where he creates the concept of the midnight library, to be found in the spaces between life and death, to explore life, the issues that afflict our world, through philosophy and more, endeavouring to tease out what might make life worth living and a joy and what gives it meaning. The device used to implement his goal is the ordinary Nora Seed, who has lived her life trying to please others, who has hit rock bottom, suffering the loss of her cat, her job, overwhelmed by the burden of a lifetime of regrets, seeing no light in her life whatsoever. She is tempted by thoughts of suicide that has her ending up at the midnight library. The midnight library is magical, for a start, the library has a limitless number of books, and these books are far from ordinary, Haig sprinkles gold dust in each book, offering Nora the opportunity to see how her life would have turned out if each and every decision at every point in her life had been different. The books illustrate the endless possibilities that life holds for Nora and all of us. Nora explores each book, with inquisitiveness and curiosity, the widely disparate lives that could have been hers, no easy task as she has to slip into each new life with the complications of being unfamiliar with it and do so without alerting the other people present. It soon becomes clear that there are pros and cons to each book/life, to each decision and choice made, each life containing its own mix of despair, pain and regrets that must be accommodated and handled. Haig offers a touching narrative that speaks of the joys to be found in living, attained through Nora's eyes as she tries to untangle what really matters in life, putting life in context and perspective with all its ongoing changes, complexities, and an understanding no life is perfect in itself. In some ways, this is a version of It's A Wonderful Life, a favourite film for so many people. What I was so struck by is just how many readers might find this helpful for our lock down times, so many have suffered unbearable losses and illness, have had to face not seeing all those we love and mean so much to us, whilst being weighed down with worries and concerns about how to cope with fears regarding jobs, childcare, money and more. A beautifully nuanced novel that I am sure many will love as much as me. Highly recommended. Many thanks to Canongate for an ARC.",5.0,positive,The Midnight Library,54789601
"Okay! No more words! This is one of the best sci-fi and fantasy mashups of the year, with an added layer of philosophical depth. I LOVED IT! (And this isn’t just the kind of love where you raise your glass and toast the book. No, this is more like standing on the roof and shouting your love to the moon. If you’ve read the song lyrics to “Howl” in the book, you’ll probably understand why I’m so enthusiastic and why I’m writing this loud, passionate review!) This book isn’t just about Nora Seed, a woman trapped in her life, seeing herself as a failure, as disposable, with nothing to achieve and no one who would miss her. It’s about regrets, unfinished plans, “what ifs,” seeking family approval, drugs, mistakes, giving up, living out others’ dreams, self-loathing, insecurities, self-harm, love, passion, and hate. When Nora attempts to end her life, she wakes up in a library filled with books—each one containing a different version of her life story. If she finds the right book, the life in which she’s truly fulfilled and happy, she can be saved. Thankfully, the librarian, Mrs. Elm, is there for her—just as she was when Nora was a little girl grieving her father’s death. Nora could have been so many things: a swimmer, a rock star, a philosopher, a wife, a traveler, a glaciologist, a mother, a winery or pub owner. She could have said “yes” to her ex’s offer to move to a small town and run a pub together. Or she could have accepted a coffee date from Ash, the charming doctor, in pursuit of love and happiness. She could have won Olympic medals or tasted the alluring fame of performing her music all over the world. She could have been anything. But after living through nearly a thousand different lives, will she discover which one is truly the best for her? Which life will allow her to capture real happiness? Can she live without her family, or bear the pain of losing her friends? What does she truly want? What does she expect? And most importantly, will she learn to face the things she regrets most? Because no matter how ready she is to start fresh, the grip of her regrets always pulls her back, preventing her from seeing what she’s truly searching for. Beautiful, meaningful, dazzling, emotional, heart-wrenching, poetic, and realistic—these are the words that come to mind after reading this book. Just like the search for the perfect life.",5.0,positive,The Midnight Library,54789601
"Okay. Picture this: you are about to bite into a cookie. A big, warm cookie. Kinda crispy on the outside, chewy on the inside, yummy and chocolate chip-y and presumably made with brown butter and flaky sea salt, as all the best cookies are. And then you take a big ol' chomp, and...oh no. Not a chocolate chip at all. This cookie is filled with...RAISINS. Have you immersed yourself in that experience? Really felt the high expectations and the all-consuming disappointment? Good. Because that was my experience with this book. This is not a bad book, necessarily, just like raisin-y cookies are not a bad food. (They are closer to granola bars than cookies, but my favorite in the Chewy Granola Bar Variety Pack was always oatmeal raisin, like a six-year-old grumpy old man, so that's not a negative in my personal lexicon.) It's just that it could be much better. And I thought it would be. I thought this was going to be a magical realism-y (my favorite), book-filled (my favorite), beautifully written (everyone's favorite) romp through a brilliant new world. Instead, it was a very fluffy, very...done-before-feeling It's A Wonderful Life-esque feel-good discussion of suicide. (I mention this further down, but this is SO, SO triggering for suicide.) That's not a bad thing. It's just not what I wanted. Or needed. Or anything the genre really aches for at all. But whatever. Bottom line: I should bake cookies and reread . Both instead of having read this and as a daily routine. ------------ pre-review for a book with library in the title, and a library as the setting, and ""library"" four times in the synopsis, this had remarkably little to do with libraries. (also, this is massively, unrelentingly triggering for suicide. fair warning because i wish i'd been more prepared!) review to come / 3 stars ------------ currently-reading updates started this and immediately realized i'm mentally comparing it to the Starless Sea already. both book + i are destined to fail. ------------ tbr review Somewhere out beyond the edge of the universe there is a library that contains an infinite number of books, each one the story of another reality. um. (deep breath) YESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYESYES",3.0,neutral,The Midnight Library,54789601
"For almost three years I have resisted. Friends told me to read this. Goodreads told me to read this. You'll like it , they promised. But I didn't like and I didn't finish , I replied. Shh, this one's different. It sounds like one of those books where a depressed person with lots of regrets decides their life has worth because if they'd made different choices, they'd still be unhappy. Oh no, it's not that. Sorry, but it is kinda that. The best thing about this book is that it's a super quick read with really short chapters. But I am too cynical for this kind of story. is a very self-helpy novel with a number of cliche messages at its heart. On the night Nora Seed (because she will experience growth!!) feels suicide is the only option left, she wakes up in a library filled with books, each book containing another of her lives, a path unchosen in her root life. Of course, as she explores each one of her regrets, they contain a message that, basically, regrets are stupid and there are good and bad aspects to all possible paths. I'm sorry to all the people who liked this and are having to see me grumble. I shouldn't have done it because I knew, deep down, I would not like it. I am way past the point in my life where inspirational quotes in novel form work for me. To be clear, I am a suicide survivor and have struggled with my own mental health. If this book pulled people away from the edge, if it was the answer, then I don't want to be dismissive of that. Sometimes what feels cheesy to one person is a genuine lifesaver to someone else. I am just trying to articulate that this magical in-between idea does not work for me personally. I think, perhaps, when it comes to mental health, I appreciate a more realistic approach and not magical solutions that don't exist in reality.",2.0,negative,The Midnight Library,54789601
"Nora has a rough 24 hours, and she thinks her life is not worth living. She finds herself in a library where she can pick a book where her life would be different than her current life. Will Nora ultimately find the answers she is looking for? What about happiness? Sorry, this book has received absolute rave reviews, but this book was not for me. I found it extremely boring and unoriginal. There was a movie ages ago called ""The Family Man"" with Nicolas Cage which has an incredibly similar plot. The MC wakes up and finds himself married to his long lost love and is the father to two or three children. Nora spends a good deal of the book complaining about her life. I am surprised that she didn't try to bump herself off earlier if just a bad 24 hours is all that it takes to tip a person over the edge. Many people have horrible, no good, very bad days. They don't jump to the conclusion that life isn't worth living! Why was The Family Man better? Because it focused on one alternate life. He had built up relationships. In The Midnight Library, Nora tries on so many different lives that deep, meaningful relationships were not developed. There were some quotes in this book that I enjoyed. Also, I am absolutely obsessed with Walden by Thoreau, and he had quite a few mentions. Overall, not worth the hype, largely forgettable, and a better investment of your time and money would be to watch The Family Man. 2025 Reading Schedule Jan	A Town Like Alice Feb	Birdsong Mar	Captain Corelli's Mandolin - Louis De Berniere Apr	War and Peace May	The Woman in White Jun	Atonement Jul	The Shadow of the Wind Aug	Jude the Obscure Sep	Ulysses Oct	Vanity Fair Nov	A Fine Balance Dec	Germinal Connect With Me!",2.0,negative,The Midnight Library,54789601
