review,rating,sentiment,book_title,book_id
"I read this as a young man and was disappointed. It didn't work for me. I thought it was about a crazy old man gone off the reservation, picking a fight with an innocent fish while ranting about the New York Yankees (""I would like to take the great DiMaggio fishing. They say his father was a fisherman...""). I picked it up again, after the passage of some years, and found it incredibly poignant. It's a simple story. There's an old man, Santiago, who is a fisherman fallen on hard times. He is cared for by a young boy, Manolin, who no longer works on his boat. Santiago goes into the Gulf and engages in the fight of his life with a giant marlin. What follows is a dream-like, stream-of-conscious meditation as the old man matches strength and wits with the great fish. After 84 days of no fish, Santiago takes his skiff far out to sea. He drops his line and hooks a marlin. He can't pull it in, so he takes hold of the line, beginning the back and forth: when the marlin runs, he gives the line slack; when the marlin is still, he pulls the line in. The old man's hands are cut by the rope. His muscles strain. He has no food or water. Yet he doesn't give up. The obsession has shades of Moby Dick , except at the end of this novel, I didn't feel the need to dig up Melville and punch him in the skull: I have never seen or heard of such a fish. But I must kill him. I am glad we do not have to try to kill the stars. Imagine if each day a man must try to kill the moon, he thought. The moon runs away. . . . Then he was sorry for the great fish that had nothing to eat and his determination to kill him never relaxed in his sorrow for him. . . . There is no one worthy of eating him from the manner of his behavior and his great dignity. I do not understand these things, he thought. But it is good that we do not have to try to kill the sun or the moon or the stars. It is enough to live on the sea and kill our true brothers. Eventually, the marlin is hauled in and killed. The old man attaches him to the boat, and begins to row towards shore. Of course, the marlin is dripping blood, so if you've seen Jaws or read James and the Giant Peach , you can imagine that his dreams of hitting it big with this fish are probably not going to come to pass. Age teaches you a lot of things. You start to realize that you might never be the person you thought you'd be as a child. Days go by, you start to lose more and gain less. I thought about this as I thought about the old man, raging like Dylan Thomas against the night; an old man nearing the end of his days fighting against nature, time, death, a fish, able to boil all things down into one climatic struggle on the high seas. At the end, he did not succeed, at least not in the manner he'd foreseen, but he was, in an inimitable way, victorious. 'You did not kill the fish only to keep alive and to sell for food,' he thought. 'You killed him for pride and because you are a fisherman. You loved him when he was alive and you loved him after. If you love him, it is not a sin to kill him. Or is it more?'",5.0,positive,The Old Man and the Sea,3202801
"Oh, my good lord in heaven. Cut your line, land your boat and go to McDonald's! Just as in the case of The Great Gatsby, I understand the book. Yes, I know it changed the way American writers write. I also understand that it celebrates the ridiculous American idea that you're only a REAL man if you've done something entirely purposeless, but really dangerous, in pursuit of making yourself look like the bull with the biggest sexual equipment. Get over it, already! Go home and clean out the refrigerator, or wash the curtains, or vacuum under the furniture. Pick your kids up from school or take your daughter bra shopping. THAT would impress me. Being too dumb to cut your fishing line? Not the mate I would pick... The only bright spot about the book is if you think of it on a metaphorical level: there is a point at which ALL of us must grit our teeth and hold on in the face of despair. That is the definition of life. However, if that's the point, then the plot situation needs to be one of necessity (like the shipwreck in Life of Pi), instead of stubbornness. ************ It's been a while since I wrote this review, and there's a lot of amusing speculation in the comments people have attached. I have to say, they crack me up. Here's my final word on reviewing on Goodreads (or anywhere); One of the most important elements of reading is that it allows each of us to react in the way we need to react, without judgment, as we experience the book. This is how I reacted to The Old Man and the Sea. Hemingway is dead, or I wouldn't have been so up-front with my opinion. He's not insulted, I understand that we all need goals in life, and I've been happily married for a LONG time. Now take a deep breath and smile. Life is too short to be anxious about picayune stuff like this.",1.0,negative,The Old Man and the Sea,3202801
"""There isn't any symbolism. The sea is the sea. The old man is an old man. The boy is a boy and the fish is a fish. The sharks are all sharks no better and no worse. All the symbolism that people say is shit. What goes beyond is what you see beyond when you know."" -Ernest Hemingway",3.0,neutral,The Old Man and the Sea,3202801
Worst book ever. Just throw the fucking fish back in. Fuck.,1.0,negative,The Old Man and the Sea,3202801
"This One Had Me Hooked Set in Cuba, The Old Man and The Sea is about an old fisherman named Santiago. He has not been lucky lately with his fishing, and he is all alone in the world save one little boy. Will Santiago’s luck turn? This book had me hooked from the beginning (sorry I couldn’t resist). But seriously, this book gripped me from the beginning. It is definitely a tearjerker. The Old Man and The Sea is deeply moving and filled with symbolism. This is a perfect example of an author showing instead of telling, and what a beautiful masterpiece! Overall, a deeply moving novella that I can’t wait to read again. This book is one of James Mustich’s 1,000 Books to Read. 2025 Reading Schedule Jan	A Town Like Alice Feb	Birdsong Mar	Captain Corelli's Mandolin - Louis De Berniere Apr	War and Peace May	The Woman in White Jun	Atonement Jul	The Shadow of the Wind Aug	Jude the Obscure Sep	Ulysses Oct	Vanity Fair Nov	A Fine Balance Dec	Germinal Connect With Me!",5.0,positive,The Old Man and the Sea,3202801
"My very first time reading Papa and I absolutely LOVED IT . Sometimes the experience you have with a book can be effected by many things beyond the narrative itself, and I think that is certainly the case here. While I believe I would have loved this story regardless, there is no doubt that the stars aligned themselves perfectly to make this a singularly special read for me. Let me explain... Last year, I was in Napa with my wife and two of our best friends celebrating my ( oh shit!! ) 40th birthday. It was the latter part of October (near the end of harvest time) and the weather was perfect... DUH , it’s Napa. We were staying at our favorite Napa sanctuary, the Villagio Inn and Spa. Though pricey, Vellagio is just about perfect, it's centrally located, with wonderful rooms, and one of the BEST breakfast spreads in the world...Hey, when you are going out drinking all day, it is important to load up on foodstuffs to avoid alcohol-related trouble. have a nice big breakfast before you go out and drink all day...it is called being practical . Speaking of drinking all day, we had just come back from an awesome tour of the Castle di Amarossa Winery which is, I shit you not, a real castle in the middle of Napa, California... …complete with MEGA DINING HALL ...and a TORTURE CHAMBER …..yep, a rack, an Iron Maiden and some device that made me constipated just looking at it. . . . Anyway, we got back to the room and had a few hours to relax before a late dinner reservation. Well, I don’t sleep all that much and so, while my wife took a nap (light weight that she is), I decided I would find something fairly short to read. I choose this story because it was only 100 pages long (or just under 3 hours via audio) and it seemed to fit my time allotment perfectly. So, feeling a little buzzed and in a superb, yet contemplative mood (I had just turned 40 for crying out loud), I poured myself another glass of wine (shut up and don't judge me), went and sat on the balcony outside our room and, with the sun starting to go down, began listening to the audio version of this story. Well, this story slammed me and had me sucked in and captive from the very first words: “He was the old man who fished alone in a skiff in the Gulf Stream and he had gone eighty-four days now without taking a fish.” By the way, now would be a good time to mention that the audio version I listened to was read by Donald Sutherland, and the marriage of the story with Sutherland’s perfect narration was nothing short of magical. In my opinion it is THE ONLY VERSION of the audio book that should be sold. As many have said (and almost as many have complained), this is in many ways a simple story about an old Cuban fisherman named Santiago, who has had a significant run of bad luck fishing (i.e., 84 days). ""Everything about him was old except his eyes and they were the  same color as the sea and were cheerful and undefeated."" Attempting to change his luck, he decides to take his skiff further out than he has ever gone before, "" beyond all the people of the world. "" Eventually, he lands the largest Marlin he's ever seen and the bulk of the narrative details his epic struggle to reel in the fish and get it back to shore. Yes, a simple story and Hemingway uses sparse, straight-forward prose...and devastates with them. The most powerful emotions, passions and struggles that people experience are often tied to the most basic needs and the most elemental aspects of who they are. I felt an immediate connection to the story and was deeply moved by the restrained, yet palpable power of the narrative. The most lasting message that I took away from the story was that, despite the many hardships Santiago faces, and the titanic trials that he endures on the open sea, I NEVER ONCE felt that I was supposed to pity or feel sorry for him in any way. Here was a person doing what he loves to do, what gives him purpose in life, and struggling with an iron will to accomplish his goal. The struggle is hard, it is difficult, but it is who he is and what gives him fulfillment in life. All I could feel was giant admiration for this man. I found this uplifting and a powerful reaffirmation of what is truly important in life. ""But a man is not made for defeat. A man can be destroyed  but not defeated."" Whether it was the setting I was in, the mood I was in, the wine I was drinking, the wonderful narration or the power of the words themselves, in the end the result was the same. I felt ALIVE, and for that I say thank you “Papa” wherever you are!!! That is basically it, but I wanted to leave you with my favorite line from the story, one that I think encapsulates everything Hemingway set out to accomplish in his tale. ""And what beat you, he thought. 'Nothing,' he said aloud.  'I went out too far.'"" 5.0 stars and one of my “All Time"" favorites. HIGHEST POSSIBLE RECOMMENDATION!!",5.0,positive,The Old Man and the Sea,3202801
"""But man is not made for defeat"" he said. ""A man can be destroyed, but not defeated."" ~~~ I first encountered Hemingway in college while taking a humanities class; the professor had us read Hemingway’s . I fell in love with Hemingway’s short stories. I wrote an impassioned paper on the character of Nick and received an “A” for my efforts. Throughout the years, I have returned to Hemingway’s short stories, and novellas, and I have never been disappointed. Fast forward 15 years: had been on my book shelves for quite some time. I picked it up on a whim on July 21st, in honor of Hemingway’s birthday. So once again, I returned to the world of . is told with extraordinary simplicity. It is amazing that Hemingway accomplishes so much using so little. Hemingway sacrifices nothing, and shows that brevity is the essence of style here. He clearly draws a portrait of the inner and outer strength of this amazing man. A man who faces each day with a quiet dignity. is not just a tale of a man and a fish. It is a story of man against nature, and valor, in the face of adversity. Most importantly, it is a story of man and God. To quote : His best. Time may show it to be the best single piece of any of us, I mean his and my contemporaries. This time, he discovered God, a Creator. Until now, his men and women had made themselves, shaped themselves out of their own clay; their victories and defeats were at the hands of each other, just to prove to themselves or one another how tough they could be. But this time, he wrote about pity: about something somewhere that made them all: the old man who had to catch the fish and then lose it, the fish that had to be caught and then lost, the sharks which had to rob the old man of his fish; made them all and loved them all and pitied them all. It’s all right. Praise God that whatever made and loves and pities Hemingway and me kept him from touching it any further. Hemingway celebrates the daring and resolve of the old man. Hemingway celebrates this man who goes thru life alone, ferocious, heroic, daring, showing what Hemingway views as the human spirt at its very best. I can’t help but think this is how Papa Hemingway views himself. There is another story being told here as well; one of the purest, most beautiful stories of friendship I’ve ever read. The old man is not alone. He has a friendship, with a young boy who began fishing with him when the boy was only five. Their story is rooted in love, and mutual respect. The boy has been forced to work with another boat, a luckier boat, by his parents. He dreams of working with the old man once more. When the old man goes to war with the fish, he says repeatedly, “ I wish the boy were here. ” I am surprised that there is such animosity towards this brilliant work. Most people are introduced to this work in high school. That is really quite a shame since it is not intended for the young. With their limited life experience, they cannot relate to the old man. Is there a place for Hemingway’s view of the world today? Politicians’ speak of individualism, and point to rugged individualism. But in this world of Trumps and McConnells, Kardashians and Ye, the individual spirit is trampled on daily. Are there any people left in this world like the old man? I don’t know of any. To those who criticize this brilliant work, I understand; today we live lives far removed from the old man’s world. But Hemingway forces us to remember the spirit of the individual, the struggle for human dignity in the face of our daily struggles to survive. Hemingway forces us to recognize bravery, tenacity, expertise, skill and strength.",5.0,positive,The Old Man and the Sea,3202801
"It is intimidating to offer a truly critical look at such a classic, so we will ease into it with a few images. The GOP has offered us a ready-made item to begin this list, and yes, I know that John Stewart already snagged this one and threw it back. I turned up a visual art concept that fits in, for a restaurant based on EH themes: Although I did not sit for this photo, the resemblance is indeed striking And, of course The Old Man and the Cee Lo. I suppose am certain there are plenty more images one might lure into our net, but sticking to words for a bit, we will pass on the porn offering, The Old Man and the Semen. How about the moving tale of a Navy Construction veteran, The Old Man and the Seabees, or an obstetrical episode of Grey's Anatomy, The Old Man and the C-Section. Then there might be a psychological drama about a man with bipolar disorder, The Old Man and the See Saw, or a book about an elderly acupuncturist, The Old Man and the Chi. How about a Disney adventure in which Paul Hogan rescues a pinniped, yes, gentle reader, The Old Man and the Seal. Maybe a bit of Cuban self-affirmation, The Old Man and the Si. I could go on, of course, and probably will, at home, until my wife threatens to leave. The possibilities are rather endless. But the Geneva Conventions might be brought into play, and we can’t have that. Tackling such a review head on seems, somehow, wrong, like using paint by number to copy the Mona Lisa, carving the Pieta out of gigantic blocks of cheddar, writing a love poem for your beloved using MadLibs or Yes, the forces of righteousness sanity wanted this one deep-sixed: …checking for skid marks on Ghandi’s dhoti. Ok, 12-year-old inner me is all giggly now. At some point, though, I guess you have to, you know, fish or cut bait. I struggled mightily with this one, finding a hook, then having it pull away, grabbing hold of an idea and watching it disappear beneath waves of uncertainty. I tried waiting a while, resting between attempts, losing myself in other contemplations. Smiling a bit, but always hoping for something I could finally yank aboard. Notions of religious connections, Papa’s personal philosophy, and story-telling technique all pulled in diverse directions. As you will see, it was a not a simple contest. And I am not certain that what I ultimately caught is all that filling. He was an old man who fished alone in a skiff in the Gulf Stream and he had gone eighty-four days now without taking a fish. In the first forty days a boy had been with him. But after forty days without a fish the boy’s parents had told him that the old man was now definitely and finally salao , which is the worst form of unlucky. So opens The Old Man and the Sea , the book, we hear tell, that convinced the Nobel committee to reel in EGH with the biggest literary hook of them all. Santiago is an old, unlucky, but skilled Cuban fisherman. He has an able assistant, the young Manolin. The lad is not a blood relation, but he sees a father figure in the old man, and he may be a younger reflection of the old man himself. Maybe Santiago sees himself in the young man and takes some strength from that. Like the best sort of father, he teaches the boy to fish rather than fishing for him. But Santiago’s ill fortune has marked him as someone to be avoided and Manolin’s parents have put the kibosh on their professional association. The old man is determined to salvage his reputation, and his honor, and bring in some money by going farther out than the other fishermen are willing to sail, in search of redemption. No herald calls him to action. No dramatic event sparks him to excessive risk. It is an internal challenge that powers his engines. But it is a quest nonetheless on which Santiago embarks. Any time there are fish involved, one might presume a degree of soul saving. I do not know enough Hemingway to have a take on whether or not that figured here. I raise it only as a passing thought. But the second sentence of the book offers a hint. “In the first forty days…”clearly places Santiago’s travails alongside another person who spent forty days in a different barren environment. It was after being baptized that Jesus spent his time in the desert, preparing for what awaited. Is Santiago to be tested here? Will he be offered a route away from his difficult path? The waters are becalmed. Nothing moves. A moment, then, for a digression. OK, let’s try some simple arithmetic, if Jesus, at age 30, spent 40 days in the desert, and Santiago has gone 84 days in his version of the desert, just how old is the old man? 63, according to my calculations. Possible. I do not recall seeing an actual age noted, so I am gonna go with that. I know you guys will let me know if an actual age is revealed somewhere and my squinty geezer eyes missed it. Done. I can feel a slight breeze beginning to flutter the sail. Some sort of religion seems to flow through this fish tale. Not only are we sprinkled with forty-day references, but Santiago discusses sin. In his struggles he suffers physical damage in which some might see an echo of Calvary. But I think that is a stretch, personally. So, we have a bit of religion, and a quest. What is Santiago questing for? Redemption would fit in nicely. Having failed for a long time, he feels a need to redeem himself in the eyes of his community. Maybe not a religious thing, per se, but swimming in the same waters. And speaking of religion, water as a baptismal element is always a possibility, although somewhat diluted here, as Santiago makes his living on the water. The old man is strong, skilled and determined. Maybe it is his character that is at issue. Maybe somehow, taking on this challenge is a way to prove to himself that he is truly a man. He goes about his business, and his fishing is his fate, maybe even his life. It is in how he handles himself when faced with this challenge that will show us the sort of person he is, a common Hemingway theme, and he does just that. This is a very short novel, more, maybe, a novella or large short story. But it has the feel of a parable. There is definitely something going on here even if it keeps slipping out of my analytical net. I was reminded of another well-known fish story, Moby Dick (really, allow a little literary license here people. Yes I know the whale is not a fish. Geez.). Whereas in that one, the fisherman, Ahab, sets himself against the whale, and therefore either fate or god, seeing a personal enemy, Santiago sees the fish as his brother, a fellow creature in the universe acting out his part. The challenge is always about oneself and not about the external enemy, or rival. In fact, the fish and Santiago are both victimized, together, by the sharks that feast on his catch. Then he was sorry for the great fish that had nothing to eat and his determination to kill him never relaxed in his sorrow for him. How many people will he feed, he thought. But are they worthy to eat him? No, of course not. There is not one worthy of eating him from the manner of his behaviour and his great dignity. One might be forgiven for seeing here a possible reference to catholic communion and the relative merit of so many of those who receive. Is the fish (a Christian symbol if there ever was one) meant to be Jesus or some other form of deity, as Moby was? Could it be that Hemingway’s notion of religion is less Christian and more a sort of materialist (as in non-spiritual, not as in accumulating stuff) philosophy? Lacking the proper tackle for that I will leave such considerations to those who have spent more time than I trolling Hemingway’s waters. The writing is mostly either third-person description or the old man’s internal, and sometimes spoken, dialogue. Regardless of the literary ambitions splashing about here, the story is about a very sympathetic character. Santiago is a man not only of physical strength, but moral character. He is not portrayed as a saint, but as a simple man, maybe even, in a way, an ideal man in his simplicity. He knows his place in the world, faces the challenges that world presents to him and using only his skill, intelligence, strength and determination, overcomes (or not). It is easy to climb on board as a Santiago supporter. He is a fellow who is very much a part of the world, even as he contemplates larger things. The Old Man and the Sea is a small story, but it is a whale of a tale. If you have not fished these waters before, don’t let this be one of those that got away. WB32 ============================== UPDATES 1/5/13 - Jeffrey Keeten sent along this . Gary Wyatt had shared it with him. It will definitely make you smile 6/20/13 - I discovered that one of the images I used had vanished into the ether, so I substituted another 9/4/2019 - I just came across a really wonderful piece about Hemingway, this book in particular, by Joe Fassler, in The Atlantic - , in which he interviews novelist Téa Obreht about the unexpected lions in this book - Great stuff. Check it out.",5.0,positive,The Old Man and the Sea,3202801
"On July 2, 1961, Heaven and the world fell silent. When a just man dies Lamentation and praise Sorrow and joy Are one. And some suicides, as Scobie’s in The Heart of the Matter, are - no matter what dour theologians May say - Trophies of Heaven. Such, surely, was Hemingway’s. That sunny, windy summer morning we all got the news, even my preteen friends and I were taciturn and sullen. Ernest Hemingway had been a Hero in our world. Life and Time magazines said so, and they were the gospel truth for our parents... That was the morning my parents had scheduled to get our hardwood flooring refinished, so all us kids had to be outa there pronto! So, little James Deans all, my buddies and I decided grimly to ride our bikes far, far into the rural countryside. Our chests were hollow, as happens at times when you lose someone special. So, we thought, A man’s gotta do what a man’s gotta do - saddle up and ride out! We rode for hours that day. Me, Ricky, my little brother and Peter Teal. We knew on the way back we’d be bucking the strong north wind, but we didn’t care... Finally we arrived at an eerily abandoned farmhouse. Obviously, no one had lived there for years. But everything - furniture, appliances, even cutlery on the table - was strangely untouched. Like the family wasn’t planning to go far... Just like Ernest Hemingway. He just had to go and get some Fresh Air, away from all his demons for a moment! A month later I read this book. My Mom the librarian said it was a good place to start with this great writer. With school starting soon and the days getting shorter, I read about Santiago and his dream. And the Great Victory he had won in that dream... The greatest victory of all - The victory of the immortal human Heart over Despair.",5.0,positive,The Old Man and the Sea,3202801
"I believe The Old Man and the Sea reflects Ernest Hemingway ’s own life crisis… Any fishing feats, even picturesquely portrayed, don’t sound like some heroic doings… The sun was rising for the third time since he had put to sea when the fish started to circle. He could not see by the slant of the line that the fish was circling. It was too early for that. He just felt a faint slackening of the pressure of the line and he commenced to pull on it gently with his right hand. It tightened, as always, but just when he reached the point where it would break, line began to come in. He slipped his shoulders and head from under the line and began to pull in line steadily and gently. He used both of his hands in a swinging motion and tried to do the pulling as much as he could with his body and his legs. His old legs and shoulders pivoted with the swinging of the pulling. The problems in life won’t be solved even if one manages to catch an enormous fish… If the caught fish, however big, is man’s greatest achievement then his life is frittered away.",3.0,neutral,The Old Man and the Sea,3202801
