review,rating,sentiment,book_title,book_id
"”Sixteen years on the streets and you can learn a lot. But all the wrong things, not the things you want to learn. Sixteen years on the streets and you see a lot. But all the wrong sights, not the sights you want to see.” So this was my first time reading “The Outsiders” and I really don’t get why our teachers never forced us to read THIS book at school! I’m convinced my teenage me wouldn’t only have approved but also would have enjoyed it immensely and I’m kinda sad I had to discover this book so late. Well, my school system obviously failed but that definitely didn’t stop me from reading “The Outsiders” and I’m very glad about it. Soda threw one arm across my neck. He mumbled something drowsily. “Listen, kiddo, when Darry hollers at you … he doesn’t mean nothin’. He’s just got more worries than somebody his age ought to.” I swear the moment I read about the interactions and relationships between those boys I was already hooked! It felt like reading “The Raven Boys” all over again; just a couple of years earlier, with other troubles and with a smaller book size. XD I mean alone the fact that Ponyboy and Soda were sleeping together in a bed! Their brotherly relationship was so nice to read! Those brothers cared about each other and their friends and they would have done almost everything in order to help them! <3 He was stroking my hair and I could hear the sobs racking him as he fought to keep back the tears. “Oh, Pony, I thought we’d lost you … like we did Mom and Dad …” That was his silent fear then – of losing another person he loved. Darry, the oldest of those three brothers, broke my heart as well. I mean their parents were dead and he had to look after his two younger brothers. I can’t even imagine how much strength it takes to take care of your brothers at such a young age, but he still did it and was even successful. He got a job and looked after them and this alone makes him a hero in my eyes. Who knows; if Johnny and Dallas would have had such family ties they probably would have never even ended up where they did in the end. >_< Johnny… that poor little boy! He didn’t deserve what happened to him and it’s no wonder he was so jumpy after the “Socs” almost beat him to death. I’m right there with Ponyboy when he says that it’s not fair that they were jumped for being “Greasers” . It wasn’t fair for the Socs to have everything. We were as good as they were; it wasn’t our fault we were greasers. I couldn’t just take it or leave it, like Two-Bit, or ignore it and love life anyway, like Sodapop, or harden myself beyond caring, like Dally, or actually enjoy it, like Tim Shepard. I felt the tension growing inside of me and I knew something had to happen or I would explode. “ The interesting thing about this book is that it acknowledges the fact that the “Socs” fight the “Greasers” because they think they are lowlives, but that none of those two parties actually wants to do anything against it. They accept this injustice, it’s just a part of their life and they all act like they are supposed to fight because it’s only natural. The only three people who truly question their situation are Pony, Johnny and Randy. In one way or the other they are all tired of fighting and try their best to get out of that vicious cycle – some more effective than others. >_< ”Stay gold, Ponyboy. Stay gold …” Oh my, that line killed me big time! T_T I had a lot of mixed feelings about that ending and I could relate to Ponyboy so much. He was confused, he knew what they had been doing wasn’t right, that the fighting didn’t get them anywhere; that his friend was in trouble because he had done something right and something awfully wrong and that sooner or later he would have to pay for it. I think this book is such a damn good example for humanity. It points out that good people are able to do horrible things and that seemingly bad people aren’t always as bad as they seem to appear. They have their problems and troubles too and there is always a reason why they leash out at others, why they act in a certain way. ”We’re all we’ve got left. We ought to be able to stick together against everything. If we don’t have each other we don’t have anything. If you don’t have anything, you end up like Dallas …” They are all human, whether it are “Socs” or “Greasers”, they all just want to live their lives, they want to be happy and accepted for who they are and in the end they actually aren’t as different as they seem to be. It’s an epiphany us readers experience while we read this book, but it’s a lesson not all of the characters learn. >_< To say it with Martin Luther King Jr. words: “Hate begets hate; violence begets violence; toughness begets a greater toughness.” And I think this quote describes the book more than just well. The ending made me sad, because there’s only one way this could have ended and it was exactly the way I expected it to be. Not all of it, but most of it anyway. Conclusion: If you haven’t read “The Outsiders” yet, you definitely should give it a try! It’s a great book which teaches an important lesson and I can recommend it to everyone. This book will make you think and feel and it will continue to do so even after you finished reading the last page. ;-)",4.0,positive,The Outsiders,231804
"Read for the third time for my YA class in grad school! I've read it twice before - once on my own in 2014 and once for my undergrad YA lit class in 2017. Despite knowing what I was getting going in, the novel still holds up, and I can't wait to examine it more deeply in class!",,,The Outsiders,231804
"the outsiders is a book about a group of youthful greasers living in oklahoma, and about their struggles to exist in a society that seems designed to dismiss them. oklahoma is also the name of a popular musical. draw your own conclusions, or continue reading. see, i don't know from oklahoma in the sixties. maybe that is a place where street toughs call their little brothers ""honey"" and ""baby"" and enjoy sunsets and stars and reading margaret mitchell aloud to one another and who recite robert frost in quiet moments. maybe they do gymnastics before what they call ""skin fighting"" with the local rival boys. maybe they cry and snuggle together in bed at night and hold each other through hard times. not that there is anything wrong with that. it just seems to be queer behavior for a gang of juvenile delinquents. what?? no, i didn't mean queer like that. no, really, i just meant odd . but, now that you mention it. huh. yeah, it does seem a little queer. who knew that boys in leather could have a queer connotation?? and putting on tight t-shirts that show off every muscle before they go to meet the other boys? and making sure to fix their hair?? no, that's just what it says. in the book. maybe this is just what happens when a teen girl writes this kind of material, tomboy or not. i had seen the movie before, so i knew it was about pretty boys fighting, but there is a lot more at work here, subtextually. i have also seen rumble fish , which is an awful movie based on another hinton book that is even more... musical, but is an excuse to look at this: and how is tom waits in both movies? but all of that is just me giggling. what is more interesting, from a serious literary perspective is just an observation from reading this, the pigman , and revisiting the chocolate war and catcher in the rye for this portion of my young adult readers' advisory class which will meet this tuesday where we will discuss the ""classics"" of teen fiction. (and i know catcher wasn't specifically produced for a teen audience, but it is on the damn syllabus and if it makes you happier, i will call this ""the teen in literature"" instead) in the fifties and sixties, there was seemingly more free-floating apprehension and fear: the a-bomb, the draft, various factors contributed to this fear of an imminent death beyond anyone's control. all this anxiety and fear of the establishment created a more pronounced sense of ""us"" and ""them"" that i think i blabbed on a little in the pigman review, but children were just treated like smaller adults, really. and the literature reflects this. all of these books seem to emphasize a value placed on the preservation of childhood innocence - staying gold, protecting a younger sister from the taint of phoniness, encouraging kids to act like kids and roller skate through the house and disregard the parental restrictions in this one safe place... now, the boundaries are blurrier - girls are getting their periods at 8, and grown men in suits are playing video games on the subway. the distinctions are less clear. and a lot of teen fiction today is more escapist in nature, less didactic. teens don't need to be told to value their childhood anymore because, don't worry, it will never end. peter pan FTW!! this all means nothing, except it is something i noticed. sorry for blabbing on...",3.0,neutral,The Outsiders,231804
"I have watched this movie over and over when I was younger and I still have it today and love it just as much. I will admit I was in love with Dallas and had a crush on Sodapop but Dallas was my man =) I just can't believe it took me this many years to read the book! And the book was so close to the movie it is almost unreal. Maybe it was due to the fact that S.E. Hinton was on set helping with the movie, I really don't know. I just love that I can read a book and watch a movie and there not be that many things different. Ok, there will be . . . . This is a remarkable story of people from different sides of the tracks. The greasers (the poor boys and some girls) and the socs (the rich kids) This story is told from the greasers side which is awesome because I really don't care about the socs! These boys all looked out for each other in the best ways they could. Even if they were dirt poor, they did what they could for each other. They had fun times getting in rumbles with the socs, most all of them loved to fight. It was like getting set loose in a candy store. Most of the beginning of the story revolves around Ponyboy and Johnny. They are the best of friends and poor Johnny seems to have it bad no matter which way he turns. His parents treat him bad, he sleeps outside most of the time and he got a very bad beating from the socs. That's what they do, cruise around and find a greaser or two alone and gang up on them. They damn near beat Johnny to death and all of the other friends always rally around him and try to protect him from things. Until one tragic night Ponyboy and Johnny get attacked by a group of socs AGAIN, but this time Johnny stabs and kills the jerk that beat him so bad before. They were trying to drown Ponyboy. They have to run to Dallas to help get them out of town. Because that's what friends do, they hang out and help each other if they are in trouble. Dallas tells Ponyboy and Johnny to hop on this train and go to a town and stay in an abandoned church until things die down and he would come up there. He gives them money and a gun. Johnny buys them food and hair dye for Ponyboy (which he hates) and he also gets ""Gone With The Wind"" for Ponyboy because he has always wanted to read it. I thought that was so nice of him and he picked a really great book. Ponyboy spent time reading the book to his friend when they weren't playing cards to pass the time. At one point Dallas shows up and tells them some things and takes them out to eat. The boys decide they are going to turn themselves in but when they get back to the church, it's on fire and there are a couple of people and a bunch of children huddled around it. When the boys get there they find out some of the kids are inside and Ponyboy and Johnny (being the good guys that they are) go in after them. Of course Dallas is yelling for them to get back out! Needless to say they get the kids to safety but Dallas and Ponyboy get a little hurt in the process. Johnny gets messed up bad. It's always Johnny! He always just wanted to be normal for shite's sake! The people thought they were heroes which is truly what they were. ""We think the towheaded kid is going to be all right. He burned one arm pretty badly, though, trying to drag the other kid out the window. Johnny, well I don't know about him. A piece of timber caught him across the back--he might have a broken back, and he was burned pretty severely. He passed out before he got out the window. They're giving him plasma now."" He must have seen the look on my face because he hurriedly changed the subject. ""I swear, you three are the bravest kids I've seen in a long time. First you and the black-haired kid climbing in that window, and then the tough-looking kid going back to save him. Mrs. O'Briant and I think you were sent straight from heaven. Or are you just professional heroes or something?"" Sent from heaven? Had he gotten a good look at Dallas? ""No, we're greasers,"" I said. I was too worried and scared to appreciate the fact that he was trying to be funny. Johnny isn't doing so well in the hospital and Dallas and Ponyboy are really afraid for him. Dallas breaks out of the hospital on the night of the rumble to fight for Johnny. He was so happy after the fight that he grabbed Ponyboy and rushed back to the hospital to tell Johnny they had won. Even though, they didn't know it at the time, they got to spend the last few minutes with Johnny before he died. It was so sad, I cried a river. I knew what was going to happen but it doesn't matter, I cried the river. Dallas goes nuts of course and runs off. Ponyboy is in a daze when he gets home and tells everyone that Johnny is dead and that Dallas ran off. They are all sad of course and worried what Dallas is going to do. And then they get the call that Dallas robbed a store and the police are after him so they go to meet up with him. But when they get to him the stupid cops killed him. And I think he wanted that really because he pulled an unloaded gun on them. Maybe it's just my thoughts but I feel like he called the guys because he did want to live in a way but he was so messed up with Johnny dying after all that poor kid had been through, that he wanted to die himself. Of course I cried and cried at that as well. So, Ponyboy is trying to cope with two of his friends dying in one night. He doesn't do very well and is sick for quite some time. This book really made me have some feels. Like I said before I have watched the movie a million times but as an adult, reading the book put more things into perspective. This is the second book that I have read lately that has made me want to change some things in my life. At least some of the things that I can and that is one of the many things I love about reading. ♥ MY BLOG: Read 2016 * 2018",5.0,positive,The Outsiders,231804
"Stay gold, Ponyboy. Stay gold. *********** The Outsiders is a book about sensitive teenage boys who alternately get into gang fights, hug one another, and burst into tears. They also spend more time than you might expect ruminating on how the tightness of a t-shirt might enhance the rippling musculature of a steely-eyed fellow gang member (this is where Stephanie Meyer got the idea for how to characterize Edward). Even though they're always complimenting each other's hair and doing gymnastics, it's not gay at all because it takes place in 1965, shortly after James Dean had made crying and homoerotic tension cool. This is the kind of book that teachers like to assign to 7th graders (or dumb high schoolers) because it offers up a lot of THEMES about how EVERYONE IS DIFFERENT BUT STILL THE SAME, and teachers feel pretty safe giving a quiz on that because even the stupidest kid can figure it out, as every few paragraphs the narrator will just go ahead and state it outright, like this: ""Even though we're Greasers and they're Socs, I guess in the end, we all look at the same sunset."" (Sample essay question: What did Ponyboy mean when he said that everyone looked at the same sunset? And all you have to do to get it right is repeat the first half of the sentence.) As a narrator, Ponyboy kept reminding me of Holden Caulfied, if Holden was poor and actually managed to do anything interesting with his evenings. But maybe that just has to do with the time period and the fact that they both say stuff like ""I was just about bawling my eyes out, to tell you the truth"" every few pages, except Ponyboy is doing it because his best friend knifed someone and then died of a broken back and being on fire, and Holden is just sad because his roommate smells bad (oh and I guess his brother got cancer and died pffffft). I do think they would get along if they ever met, and maybe make out a little bit. I love the last few sentences of every chapter, where SE Hinton trots out her corniest stuff. Chapter 7: ""Socs were just guys after all. Things were rough all over, but it was better that way. That way you could tell the other guy was human too."" Chapter 8: ""'Thanks, Ponyboy.' She smiled through her tears. 'You dig okay.' She had green eyes. I went on, walking home slowly."" Oh and it doesn't come at the end of a chapter but: ""Not even the rattling of the train could keep me awake, and I went to sleep in a hoodlum's jacket, with a gun lying next to my hand."" There's also the best deathbed speech in all of teen literature (probably), which goes like this: ""INTERPRETS THEMATICALLY RELEVANT POEM"" (DIES). So somehow I never read this in middle school, and when I read it now, I just end up giggling at half of the overwrought emotion (which happened with Catcher in the Rye too, but there I'm going to assume Salinger was writing on multiple levels, because he was a competent adult, whereas The Outsiders was written by someone Holden's age). But it's still a pretty awesome book. EDITED to add that this Penguin edition makes the book seem really classy, which is nice, but Jodi Picoult's introduction is kind of a joke. She basically asked her 14-year-old son to write a book report and quoted excerpts. Facebook 30 Day Book Challenge Day 6: Favorite young adult book.",4.0,positive,The Outsiders,231804
"What book did you just not “get”? When I was in tenth grade, I read The Outsiders for the first time. The story was boring, and I didn’t connect with the characters. Then, we had the class discussion. Apparently, there was some “obvious” symbolism that I had missed. At the time, I thought that this book was like The Da Vinci Code, a mystery where I had missed a key clue. How brilliant this author must be! My regard for this book became almost reverential. Fast forward some years until Lisa becomes “Lisa of Troy.” The Outsiders appears on the . Of course, I am going to read it again! What did I think of it this time? It is still boring, and I didn’t connect with any of the characters. The Outsiders has a few key events, and the book should have been shorter. The repetition was ad nauseam. There were many versions of, “Golly…gee! I act like a thug but I’m just a cuddly teddy bear inside. I wouldn’t hurt nobody!” “Golly” is mentioned eight times in The Outsiders, and it isn’t even that long of a book. There are also too many different characters. Why would the author name two characters Dally and Darry? For the longest time, I thought that they were the same character. There is no way to know if I would now pick up on the “obvious” symbolism, but if I was a betting person, I would assume not. If you want to know what I missed, you can scroll to the bottom of this. It might be a spoiler. Even knowing the symbolism this time around, it wasn’t even to redeem this book. *Possible Spoiler* Johnnycakes, who signed his note about supplies JC, symbolizes Jesus Christ. 2025 Reading Schedule Jan	A Town Like Alice Feb	Birdsong Mar	Captain Corelli's Mandolin - Louis De Berniere Apr	War and Peace May	The Woman in White Jun	Atonement Jul	The Shadow of the Wind Aug	Jude the Obscure Sep	Ulysses Oct	Vanity Fair Nov	A Fine Balance Dec	Germinal Connect With Me!",1.0,negative,The Outsiders,231804
This was a great book but I was incredibly disappointed after I found out it wasn't about aliens.,4.0,positive,The Outsiders,231804
"Ponyboy? Who? One thing that you can believe is, when your elders say that you don’t stay the same, they are correct. They mean that you change the way you think, the way you do things, the way that you look upon the world. I’ve heard this said so many times that I can dream about it. In other words, I used to adore this book. And I thought Ponyboy was adorable. Of course, I was twelve-years old and had different standards for adoration (maybe). I have to confess, though, I wasn’t confused like him. I thought that he should snitch. Still, I give this book four stars. ⭐️⭐️⭐️⭐️",4.0,positive,The Outsiders,231804
"If the tale weren’t so naive and sentimental it would have charmed me. Us versus them… He who isn’t with us is against us… Rebelliousness of youth… My hair is longer than a lot of boys wear theirs, squared off in back and long at the front and sides, but I am a greaser and most of my neighborhood rarely bothers to get a haircut. Besides, I look better with long hair. Narrator is fourteen… He’s clever… He is the youngest of three brothers whose parents are dead… He’s in a gang… And if there is a gang there are adversaries… Tough and tuff are two different words. Tough is the same as rough; tuff means cool, sharp – like a tuff-looking Mustang or a tuff record. In our neighborhood both are compliments. He meets a girl from the other side… It seemed funny to me that the sunset she saw from her patio and the one I saw from the back steps was the same one. Maybe the two different worlds we lived in weren’t so different. We saw the same sunset. Class hostility… Street enmity… Those things are prone to end up badly… Young hoods – who would grow up to be old hoods. I’d never thought about it before, but they’d just get worse as they got older, not better. When we’re young we want the maximum of everything and often this desire becomes ruinous.",2.0,negative,The Outsiders,231804
"Finally read this classic. Glad to be in the know! I can see why this has stood the test of time. The story is easy to get into and keeps your attention throughout. It seems like any person, young or old, rich or poor, popular or outcast could empathize or sympathize the themes. Finally, the key climax points are done very well and hit you right in the feels! Another thought I had while reading is this is another one of the young adult fore fathers. We now take for granted that every week there will be 10 new YA titles to pique our interest. Back when this came out, the YA gems were few and far between. Reading this should be a right of passage for YA fans everywhere.",4.0,positive,The Outsiders,231804
"I'm a little horrified at myself for not having this book up before now. We had a discussion about it in class today, and I had to write this as soon it was over. I wish there were more stars to give The Outsiders, but five will have to do. I love this book, and have loved it faithfully since I read it in sixth grade - I must have read it a dozen times, and possibly more. I can quote long sections of the book. I was obsessed, and to some degree still am. It's not a good book by any literary standard, really. Hinton uses one of those usually awful formulaic introductions that devotes a paragraph to each main character, explicitly describing their characteristics, history, and appearance. When I think of it objectively, it's almost as bad as that awful, awful introductory second chapter of the Babysitters Club books that repeats in every installment. I think the point is, though, that I just don't care. In fact, I adore the writing even though it is obvious. Maybe because I first read it when I was eleven and that sort of writing just seemed clear and to-the-point. At any rate, I don't think it suffers too badly from the style, and if anything it benefits from the authenticity of a teenage author. I can't even begin to say what it was about this book that caught my interest and imagination so completely. I liked the otherness of it - I had never experienced anything like these boys dealt with. Not the pervasive fear and violence, not the absentee, non-existent, or abusive parents, and definitely not the fascinating siege-mentality camaraderie that existed in their group. The best part of the book, without any doubt, is the characters she has created. I love them all, with the exception of Steve. They are wonderful and so sympathetic, with their odd names and ill-fated lives. I hope for the ending to change every time I read it. Ponyboy's voice, which narrates the story, has a beautiful vulnerability and honesty that makes the story believable. He's often confused, hurt, scared, sorry, and just feels like things are wrong; but, he's also brave and kind and takes chances on people. I think that Hinton's allowing her main character to be a real person, who is more often than not unsure of everything he does, gives the book its credibility with teenagers. Fantastic, must-read, childhood-defining book. Reading Hinton's ""That Was Then, This is Now"" is worth it just for the few brief cameos a slightly older Ponyboy makes throughout the story.",5.0,positive,The Outsiders,231804
This reread was just as good as the first time around! I forgot how much action takes place over such a short time span Watch my video review here:,5.0,positive,The Outsiders,231804
I loved The Outsiders when I read it as a teen and again when I read it just a few months ago. S. E. Hinton created a believable and engaging cast of characters who struggle with conflict in and out of their gang and learn the meaning of friendship and family. A very moving and enjoyable story!,5.0,positive,The Outsiders,231804
"I'm just feeling a lot of emotions right now don't toUCH ME. I barely remembered anything about this book from reading it in high school but oh man it was definitely better than I remember. Even though I've never been in any of the situations referenced in the outsiders, the overall themes are meaningful and easy to grasp. REAL GOOD REAL GOOD.",4.0,positive,The Outsiders,231804
