review,rating,sentiment,book_title,book_id
"| | | | | | “Please don’t let’s get dramatic.” I've been a bit hesitant about writing this review since the majority of readers really enjoyed this debut. However since Goodreads allows us to express and respect our different opinions I don't see any harm in being honest. I didn't hate but I did find this novel both ridiculous and incompetent. Just because has a ""twist"" that doesn't mean it should be labelled as being a psychological thriller. There is little to no suspense, the mystery is laughable, the tension largely MIA. The psychology in this one is...well, the depiction of psychiatrist and psychotherapists is at best, laughable, at worst, ignorant. The book hinges completely on its ""twist"", a twist that also renders the majority of the narrative completely irrelevant . This book seems to me yet another weak attempt of jumping on the domestic thriller bandwagon. In short: Calling this a novel seems somewhat misleading. This reads more like some sort of hackneyed script. LONG REVIEW AHEAD ( if you enjoyed this book I advise you to skip this rant-review ) is a really flawed piece of work. I will try to tackle what I personally thought were the major problems this book had ( and yes, this is my subjective opinion ): ✎ THE WRITING ( idiotic dialogues + inane monologues + ham-handed metamorphoses + a complete lack of a sense of place ) ✖ I like and she has what I would call a 'dry' style of writing. Her mysteries are heavy on dialogue. The many conversations that her characters have are witty, amusing and or entertaining. The descriptions she provides perfectly render the characters' mannerisms and surroundings. Michaelides' writing mostly consisted in a series of dialogues between two characters and it reads like a script . It would work if what they spoke like actual people rather than this: “Perhaps I’m imagining it. But I’m sensing something … Keep an eye on it. Any aggression or competitiveness interferes with the work. You two need to work with each other, not against each other. ” “ But remember, with greater feeling comes greater danger. ” The dialogues/monologues came across as being incredibly silly and they make the characters sound like children. ✖ There were plenty of dramatic and over-the-top statements and or phrases that really ruined potentially significant scenes and or somber moments of contemplation: “Her silence was like a mirror—reflecting yourself back at you.” ~“ Now I saw the truth. [She] hadn’t saved me— she wasn’t capable of saving anyone. She was no heroine to be admired —just a frightened, fucked-up girl, a cheating liar. This whole mythology of us that I had built up […] now collapsed in seconds—like a house of cards in a gust of wind.” ~“How was this possible? Had she been acting the whole time? Had she ever loved me? ” ~“Why did she do it? How could she?” Jeez, melodramatic much? ✖ Theo’s narrative was filled with painfully overdone monologues that have little purpose since they don’t make Theo into a realistic and nuanced character and most of the time they do not even further the plot. Alicia’s narrative (that is, her diary) makes no sense but more on that when I tackle her character. It’s safe to say that, given that her diary entries included things such as “ It took me a moment to speak. I was so taken aback I didn’t know what to say ” and “ I feel joyous. I feel full of hope ”, I had a hard time ‘immersing’ myself or ‘buying’ into her narrative. Since this book is a ‘domestic thriller’ both Theo and Alicia don’t have sex they ‘fuck’. Because writing ‘we fucked’ makes the story gritty and ‘dark’ [ insert laughter here ] . ✖ The Greek ‘connection’ . Done properly , I usually love it when contemporary books draw parallels from Greek myths and or classics. Done properly. Comparing people to Greek statues and having your main characters referring to themselves as being a ‘Greek hero/heroine’ is the opposite of subtle : “She was a statue; a Greek goddess come to life in my hands.” ~ “He looked like a Greek statue” ~ “the actress playing Alcestis looked like a Greek statue” ~ “my fate was already decided—like in a Greek tragedy” ~ “Casting herself as a tragic heroine”. We have Diomedes who comes from “ a long line of Greek shepherds ” (and tells Theo that “ every Greek knows his tragedies ”). And finally we have Alicia’s painting which is entitled Alcestis. Both the painting and Euripides play had potential . They would have been enough. We didn’t need the constant reminder that wants to be a ‘tragic play’ . Like many other things in this book, the blatant symbolism managed to ruin a potentially good analogy. ✖ These characters do not sound British. They talk like Americans (or what Americans sound like in a CSI episode). There are no British cultural references and or British expressions. This book could be set anywhere. ✖ The story is set supposedly in the UK. But really, there is 0 sense of place. Who cares about giving your characters a backdrop? Why bother rendering a neighbourhood or an area of London? Who gives a fork about what a room or place looks like? Let's remember: this story could be set anywhere (or nowhere given how realistic it is). ✖ You could say that the focus on dialogues and flat scenery are reminiscent of a play...which is fine but it doesn’t come across as such. This book just reminds me of a ‘B-movie’ script. There is no tragedy, no pathos , no wit. A 2nd grade play is closer to a 'classic' play than this book is. ✖ There is this attempt to make the two ‘main’ women ethereal which did provides a few laughs : “Her white dress glowed ghostlike in the torchlight” ~ “I remember so much white everywhere: […] the white of her eyes, her teeth, her skin. I’d never known that skin could be so luminous, so translucent ; ivory white with occasional blue veins visible just beneath the surface, like threads of color in white marble. She was a statue.” ~ “strands of long red hair falling across bony shoulders, blue veins beneath the translucent skin”. ✎ THE CHARACTERS ✖ Theo. Our wannabe Tom Ripley . Within a few pages we know that he is obsessed with Alicia (which makes him incredibly unprofessional) and he for the most part he is just soooo dull and whiny . He moans about his childhood, and his wife, Kathy, who is cheating on him because she is a beautiful actress so...that's what they do, isn't it? , and his attempt(s) to self-fashion himself as some sort of tragic hero fail epically . After the big reveal...well. His character makes even less forking sense. He stalked Alicia before breaking into her house. He must have known learnt about her, or made same 2+2 type of reasoning upon learning of her arrest. And he must have realised why she kept silent, especially after he reads Alcestis. This guy is soooo thick. His dramatic monologues, constant whinging, and complete lack of awareness (I've said it before this man is thick) made him into a really unbelievable character. ✖ Alicia...she is beautiful. She loves having sex with her husband and painting. That’s about it. We are told that she was ‘charming’...but how can she have gained this reputation since she has 0 friends and her only real relationship is the one she has with Gabriel (her partner or whatever). Jean-Felix is the owner of a gallery but they don’t spend time together or are on friendly terms. Who is she charming to? She is a complete recluse! She lives in London and is good enough painter and yet...she has managed to make 0 connections. Her diary entries make her sound at best guileless and at worst like a demented child . Her character is just an object. She is there to look beautiful and tragic. She has a few basic reactions (she just “ looks up ” or “ looks down ”) or she does the good ol’ ‘banshee’ act, flinging herself in a sudden ‘rage’ towards Theo or another patient . Wow. Such a deep and complex portrait of a betrayed and traumatised woman . ✖ The cast of characters consists in cardboard cutouts . Going back to Christie, sometimes exaggerated character can be entertaining. Especially if they are a parodying a certain type of person (the writer, the artist, the gossipy old lady and so forth). Here we have mere ‘sketches’ of people. We have Christian, who doesn’t like Theo because he is a massive bellend bully : “ Christian glared at me. ” “ Christian looked irritated .” “ Christian rolled his eyes at me. ” “ Christian laughed that annoying laugh of his. ” We have Professor Diomedes who is Greek and is “an unorthodox man’ ... that’s it folks . That’s his character. Also, I cannot seriously believe that he was so unprofessional and blind about Theo (and his flagrant obsession with Alicia). Yuri is another pointless and unbelievable addition to the story. He is the head psychiatric nurse and comes from Latvia so he obviously has to be weird about women. Makes perfect sense . Then we have Stephanie who has very little page time or importance Theo having never even know of her existence knows immediately, before she even speaks, that she is Caribbean ). We also have the “ jolly Caribbean dinner ladies ” (who, surprise surprise , are only mentioned once ). We have a few ‘ugly’ characters who are either ‘ mad ’ and or violent ( Elif , a ‘massive’ Turkish woman, who spends her time shouting or grunting because she is a patient and that’s how ‘ugly’ and mentally ill people behave. Lydia , Alicia’s mean aunt. She is grotesquely ‘fat’ and has lots of cats. She basically just glares, scorns, and spits at people). Paul, Alicia’s cousin, still lives with his mother so he looks like ‘virgin’ and in spite his size he seems ‘stunted’. Kathy and Gabriel are the antithesis of credible (actors and fashion photographers manage to be self-engrossed and 1 dimensional). We have Gabriel’s brother...who is the typical chip-on-my-shoulder character (he has acne, he is balding, he is just a ‘lawyer’, boohoo ). Jean-Felix owns a gallery so he is the embodiment of some sort of art-vampire . ✎ THE NONSENSICAL PLOT ✖ Nothing much happens. It’s quite clear that the words that exist before the ‘twist’ serve as filler . Theo moans about this and that. That's about 70% of the novel. ✖ There are a series of stupid things happening for no apparent reason . such as Paul hitting Theo with a bat. WHY. ✖ The Grove is not a forensic unit. I am sure that Theo should be doing a bit of paperwork to cover his 1 to 1s with Alicia. And everything that happens in the Grove is extremely unlikely. Rules, guidelines, procedures are flung out of the window. ✖ The ‘big twist’ is predictable. We know Theo is unreliable. All of his actions towards Alicia, his research and his ‘interviews’ make no bloody sense . He already knows about her! And unless he is incredibly thick, he should do 2+2 and figure out why she isn’t talking . The twist makes his motivations and approach to Alicia completely pointless. Theo hadn’t forgotten what he’d done, and his narrative isn’t in the format of a diary, where he would be deliberately lying and omitting certain things. Why not make this novel into more of a confessional? Or more in the vein of , , , or even , where we know early on what he has done and we wonder if he will be caught or if he will done something worse. IN CONCLUSION might not be the worst novel I’ve read but it’s a badly written, poorly developed book . Worse still, comes across as being both pointless and passionless . A ‘twist’ needs— demands —a story . I want to read characters who vaguely resemble or talk like real people. If you want to play with stereotypes (a la Christie) don't make your characters take themselves so seriously. A parody of a certain 'personality' should at least be funny and or amusing. Adding a strong setting and a coherent storyline wouldn’t do any harm either. Overall: is a messy, flat, painfully dull, 'Hollywood-type' of book. If you liked , , or the unintentionally hilarious ...chances are you will like .",1.0,negative,The Silent Patient,40122136
"This book starts off really strong with a great premise - intriguing and mysterious right away - the writing is even pretty strong in the beginning, but somewhere along the way it all seemed to fall apart for me. I felt like the author was so determined to deliver the big ‘twist’ that he lost sight of the actual plot. It just gets so convoluted and meandering, and I couldn’t really follow what actually happened, from what was meant to be the lies and fantasy of some characters. The author also spends an awful lot of the book having the main character, Theo, ‘investigate’ Alicia’s family members - the cousin, the aunt, the brother in law, her gallery manager - and each of them is made to seem weird, untrustworthy and in some cases outright creepy - but all of it ends up just feeling like a cheap trick, because nothing comes of any of them. Like, for example, the plot about the brother in law assaulting her, or the cousin borrowing money, - none of those things are resolved and it just feels like a lazy way for the author to point our suspicions in the wrong direction while leaving frustrating loose ends everywhere. I mean, you can make any character seem suspicious and create false suspense very easily if you have no obligation to deliver any resolutions. In the author’s single quest to deliver the big ‘twist’ he also left big holes in the plot and expected us to overlook implausible things... like, one small but obvious thing - at the start of the book Theo’s belongings are searched by ‘security’ before entering the hospital and he is specifically told he can’t have any lighters for “obvious reasons” - can’t have any of the psychiatric patients getting their hands on a way to start fires - (now the author didn’t need to mention this in the story - he could have lost this scene and not drawn attention to the fact that Theo was not allowed to bring in a lighter - not sure why it was even a point??) but then through out the book the characters smoke cigars and cigarettes in the hospital ... how do they light them?? They all carry matches I assume? Are matches any less likely to start a fire??! There were SO MANY eye-rolling moments through out the book like that one, and far worse. So many times we, as readers, were expected to buy into implausible actions by characters (like Alicia’s cousin beating Theo over the head with a baseball bat and knocking him out because he thought he was an intruder (in his yard - not even his house!), and then not to mention Theo feeling fine and not needing any medical attention??) or just overlook unbelievable scenarios - like Theo following his wife’s lover for miles and never once actually seeing his face?? When the police investigate the scene of Alicia’s husband’s death, how do they not find the rope and wire that was used to tie up Alicia? And Who has enough rope and wire just lying around in their house to tie up two adults anyway?! And another doozy - Theo injects Alicia with enough morphine to put her in a coma for the rest of her life, but she has time to find a pen and diary and write a very lucid, long entry explaining Theo’s role in everything?! Besides the fact that she would be completely out of it and totally incapable of writing, even if she could, why wouldn’t she, I don’t know, go get help because you’ve just been injected with a lethal dose of morphine, instead of writing a short story??! And then with a lethal amount of morphine coursing through her blood stream she takes the time to hide her diary in a picture frame?! Seriously?! It’s almost funny. And what about Alicia’s silence?? The mystery at the heart of the book - in the very title itself. The big reveal, the big answer shrouded in suspense and mystery .... the reason she didn’t talk was because she felt she had nothing to say??? Because she felt like she was dead too?? Wait... what? Seriously? She’s been accused of murdering her husband, while the man who stalks her, breaks in to her home, ties her up and threatens to kill her later shows up as her therapist, while she allows her other therapist to continue drugging her with “horse dosage” amounts of sedatives - but oh well, silence for years and years because she felt dead and had nothing to say?? And she stays silent mind you, while she still manages to hide her diary?!? We can only assume she goes to extreme measures to keep the police from ever finding it? Even though they walk in right after the murder while she’s still holding the smoking gun - I guess they gave her time to gather her things and somehow hide a diary down her pants while she was brought to prison?? Not to mention how no one found it when she was transferred to the mental hospital?! Why go to so much trouble to hide a diary if you feel like you’re dead and you have nothing to say!? Giant eye roll. I’m sorry - this book just asks too much of the reader - this ‘twist’ has been done many times before and it only works (and still very poorly) if you overlook all the giant plot holes and ridiculous scenarios.",1.0,negative,The Silent Patient,40122136
"This is easily one of the best mystery/thrillers, if not the best, I have ever read. Alicia shoots her beloved husband in the face five times, then never speaks another word. Theo, a psychotherapist, is captivated by Alicia's story and wants to help her. He thinks he can get her to speak again and divulge why she killed her husband. What follows is a search for truth in what really happened between Alicia and her husband. First of all, if you haven't read this book yet, you absolutely should. And you should stop reading my review and any other reviews/blurbs/thoughts about this book until you do. Because while I always strive to make my reviews 100% spoiler-free (this one included), there's something to be said for expectations. And there's no way reading anything about this book wouldn't sway your expectations. I made the mistake, after reading this book and loving it, of not only recommending it to a friend, but also talking up how much this book amazed me, how great the reveals were, yada yada yada. And so when she read it, she had built up an inkling of something to come and anticipated it, hence losing the element of surprise. So I inadvertently committed the biggest book faux-paus ever and ruined a fantastic book for a friend. It's something I regret to this day. (Elaine, if you're reading this, I'm so sorry!) I certainly don't want to do that again. So yeah, I'm warning you. Last chance to turn back if you haven't read this book. Okay, now that I'm among only those who are in the know, I feel like I can freely gush. How amazing was that reveal?! I usually have terrible book memory, but I'm certain I will remember that reveal for the rest of my life. It wasn't just what it was, but also how it was executed. Not only did I not see the twist coming, but I was so surprised I stared open-mouthed at my book and reread it multiple times to make sure my brain could comprehend the complete mind bend of what I had just experienced. But to simplify this story down to just its reveal feels like an injustice. At its heart, this is a confounding murder mystery and it includes all of the requisite parts—clues, suspicious persons, and red herrings. We are directed one way, then another. But like any great mystery, the real magic is in its sleight of hand. While we are focused on one thing, really something else is going on altogether. And at the end, we can only wonder at the sheer audacity of what it takes to pull off such a magical feat. The story grabbed me from the very beginning with an intensity that didn't let go. Once I started, I couldn't put it down. I was turning the pages as fast as I could, immersed in the experience and loving every moment. It only took me a few hours to get through the whole thing, and at the end my head was definitely left spinning in the best way possible. Recently, I read it again. I wanted to see if the magic of the first time is still there or if, now knowing the twists, the story would feel lesser than. And I'm so happy to report that I loved it just as much the second time around. Now, instead of having to pay attention to the plot, I could really focus on how masterfully Alex Michaelides built up the mystery and its reveal. And it really is something to marvel at. I have to say, books of this genre are always billed as astounding and surprising when most of the time they just feel contrived and silly with no payoff at the end. But wow, does this book deliver! It's so darn satisfying to read such a compulsively addicting story, with twists done right that left me absolutely speechless. ~~~~~~~~~~~~ See also, my thoughts on: ~~~~~~~~~~~~ ✧ Connect with me ✧ ✧ This was a pick for my Book of the Month box. Get your first book for $5 .",5.0,positive,The Silent Patient,40122136
"CONGRATULATIONS-Goodreads Choice Awards Mystery & Thriller Winner! I feel like I should preface my review by stating that I have read A LOT of psychological thrillers, and coupling that with the fact that this was my most anticipated read of 2019 gave The Silent Patient a great deal of pressure. This will still be an overall positive review, but I felt I had to include some honest thoughts here as well for those readers who may need their expectations in line like I clearly did. The premise here is simply incredible; we have a woman named Alicia Berenson who is accused of murdering her husband and proceeds to clam up and keep quiet for the following six years, living during this time in a mental care facility called The Grove for highly dangerous folks. Enter Theo Faber, psychotherapist extraordinaire and flawed individual. He already has a respectable job elsewhere, but decides to transfer over to The Grove, even though it is a sinking ship, because he is obsessed with Alicia and solving the mystery behind why she murdered her husband. Along the way, we get snippets into Alicia's diary leading up to the murder, alongside of Theo's POV. I can't really give you anything more than this, because this is a novel that depends on you being fooled by the twist. You know, the big twist, the one where every blurb on the cover and every early review gives you a heads up, and perhaps that was part of the issue here for me. It seems these types of books that pull the wool over your eyes and take you by surprise are best enjoyed before anyone else has had a chance to read them. Let's come back around to the fact that I've been reading mysteries, thrillers, and suspense novels for decades, way before Gone Girl was written and these domestic dramas with tricky slight-of-hand became all the rage. If you are new-ish to the psych thriller scene, and you whole heartedly enjoyed recent novels such as The Woman In The Window , you will adore this. It was a well written, compulsive, slow burning build up to an explosive ending. Structurally, it had everything you could ask for, as it was well researched, engaging, and the perfect length of ""includes what we need without being overly winded"". Unfortunately, I've seen this particular twist done numerous times, so I was clued in fairly early to what the big twist would be, and without spoiling or giving anything away, the lay out of the narrative in the second half of the novel is what fully clued me in, because it was too neat and tidy to end any other way. I will say that I was so satisfied and pleased with the way the author chose to close out the final chapter, and regardless of being surprised by the twist or not, it was a classic wrap up that will stand the test of time over the years. I think I'm going to wrap it up here, and please don't let my 3 star rating dissuade you from giving this one a try. Michaelides is talented, and his writing is gripping and keeps you turning the pages regardless of the big twist. I would be honored to read his next novel and will most certainly look for his name in the future. In the meantime I have found so much in this novel worth discussing, from the portrayal of mental health care to the inner workings of various marriages, and think this will make a great winter book club choice for readers around the globe. *Many thanks to the publisher for providing my review copy via NetGalley.",3.0,neutral,The Silent Patient,40122136
"Read anything else on your TBR first. Anything. Better yet, delete The Silent Patient from your TBR. If you do, you'll never know what it feels like to become aware that you could have spent that 4 - 5 hours reading a great book ... or at least a better book.... definitely a book that doesn't do a major disservice to anyone who practices in the mental health field or who lives with a mental health impairment, and maybe even a book that doesn't present misogyny on every page. The Silent Patient fails as a psychological thriller on all fronts. Its narrator lacks any credibility as a psychotherapist, as an employee, as a spouse, as a man. All characters are flat and inauthentic. The plot doesn't hang together. The solution telegraphs itself long before the ending, and still makes no sense. Michaelides wastes time on sub-plots that are irrelevant, introduces red herring characters with no subtlety so the reader is merely annoyed. Offers us a lawyer who is instantly available more than once to meet with someone he seeks not to meet., and a therapist who sees a former (long..... former, like .... years) patient at her home at 10 pm, and then risks malpractice by offering advice to him. And the writing is pedestrian, at best. Aside from its flaws as a psychological thriller, Michaelides demonstrates that he knows nothing about mental health diagnoses, treatments and indicated medications, but the biases he displays in this novel contribute to a culture of misinformation that may discourage a reader who needs treatment for therapy from getting it, and may discourage other readers from complying with a treatment plan that includes prescription medications in amounts that data shows have therapeutic benefits. The girlfriend, then wife, of the narrator, describes herself as ""crazy"" a dozen or so times, and yet this is not relevant to any sort of mental health diagnosis over the span of the novel. In a span of ten pages, he describes a character as being in ""a medicated haze"", but the med he names wouldn't cause that effect at any dosage. One psychotherapist meets with a patient 2 - 3 times and instead of evidencing any interest in the health of the patient, he primarily focuses on how her behavior might be disturbing her spouse. Another psychotherapist agrees to change a patient's prescription med mix on a whim, and overnight, without any plan for a gradual step-down or other concern for patient impact. A third character presses unidentified meds into a patient's hand and requires that she consume them in his/her presence. None of the medical professionals, save the one risking malpractice, demonstrate competency or concern for the welfare of their patients. All of the male characters running this facility repeatedly refer to all of the female patients as ""bitch;"" all of the patients in the facility are women. Every female character displays unpleasant behaviors that range in consequence from minor to severe: unfaithful, gossip-y, violent, vengeful, insecure, impulsive, annoying, tiresome, disloyal. I've written a review of this horrid novel only because I might spare a friend or two. Every time someone deletes this book from his or her TBR without reading it, an angel gets his wings.",1.0,negative,The Silent Patient,40122136
"As you will see, it’s an incredible story—of that there is no doubt. Whether you believe it or not is up to you. Ohhhh, I see why this book is getting so much buzz: it is virtually unputdownable . I didn't actually have any plans to read . I just happened to see it hanging around in the new releases, took a quick peek, and thought-- why not? Well, I'll tell you why not. You absolutely definitely should NOT read this book if you want to go to sleep and get up for real life stuff in the morning. I read this until my eyes were like ""nope"" and closed on their own. It's very compelling. A psychotherapist called Theo Faber narrates the story and he announces early on that he's pretty ""fucked up"". He worms his way into a new job at the Grove mental health facility because of his fascination with the artist Alicia Berenson, who murdered her husband in an open-and-shut case and hasn't spoken a word since. But let us not forget that while Alicia Berenson may be a murderer, she was also an artist. Theo finds himself connecting with Alicia and feeling a desperate need to figure out why she did it. And, what's more, he wants to figure out why she is silent. What can't she say? What won't she say? The more he digs into her life, her family, and her past, the deeper in he gets. It's a fast-paced ride with short punchy chapters (oh, how easy it is to think ""just one more chapter""). The story has so many threads and little surprises to uncover. More questions arise at every turn. And even those who work out the main aspect of the mystery will probably still enjoy the journey of finding out why, and all the little shocking discoveries made along the way. It is true that those who have read a number of twisty mysteries will likely guess the truth, but I think there's enough goodness here to make it enjoyable anyway. Or it was for me at least. Full of thrills, artistic metaphor, twists and Greek tragedy. | | | |",4.0,positive,The Silent Patient,40122136
"Alicia Berenson is notorious for an event that happened in the past, but since that horrific incident Alicia hasn't spoken a word. Theo Farber, a psychotherapist, has heard of Alicia over the years through the news and is delighted when a job opening becomes available that would allow him to work directly with Alicia. Will Theo get Alicia talking again? What actually happened all those years ago? Yes, this book really is as good as all of the hype. The writing on this was really top rate. Michaelides knew perfectly how to create intrigue and how to use dialogue with varying short and long paragraphs and short and long chapters to create the perfect pacing for this work. It was incredibly page turning, and the author definitely showed his chops as a mystery writer. He could write a master class in mystery writing. And this is his debut novel! What will Michaelides go from here? Personally, I can hardly wait to find out. Theo is gaining information about what happened in the past, but he is also questioning his own abilities. Can he really get Alicia talking? What are the professional boundaries of a psychotherapist? There was a little bit of internal monologue with Theo, but it wasn't boring or drawn out unnecessarily but raised some deep questions, causing the reader to think beyond just the superficial mystery/thriller. There was also some mention of art and its deeper meaning. It helped to create added depth to this book. Overall, yes, yes, and yes! This book is phenomenal if you haven't read it already! Definitely worthy of a reread. 2025 Reading Schedule Jan	A Town Like Alice Feb	Birdsong Mar	Captain Corelli's Mandolin - Louis De Berniere Apr	War and Peace May	The Woman in White Jun	Atonement Jul	The Shadow of the Wind Aug	Jude the Obscure Sep	Ulysses Oct	Vanity Fair Nov	A Fine Balance Dec	Germinal Connect With Me!",5.0,positive,The Silent Patient,40122136
"She tied her husband to a chair and shot him multiple times. Then she slit her wrists and waited for the police to arrive. At least, that's what THEY say she did. For her part, Alicia Berenson isn't SAYING anything. When Theo Faber, Criminal Psychotherapist, takes a new job at The Grove , he is well aware of their most infamous patient, Alicia Berenson. She's the woman caught red-handed after killing her husband, who has remained silent ever since. In fact, Theo's primary goal is to work with Alicia. He yearns to get her to reveal what really happened on the night her husband was killed, as he questions the validity of the official story. Through Theo's perspective, his investigation, and Alicia's own diary entries, the Reader is brought along on a hair-raising mystery that is not for the faint of heart. I absolutely loved this book. This is the type of Thriller that I really enjoy sinking my teeth into. The use of the diary entries, paired with Theo's investigations, made for a perfectly-paced reveal in my opinion! Michaelides is definitely an author to watch. I cannot wait to see what he comes up with next. Highly recommend!",5.0,positive,The Silent Patient,40122136
"Wow, I'm still reeling from that ending! A mindblowing, to-die for twist! A fast read that kept me intrigued from beginning to end, although the shocker came at the end. Wait......wait......what just happened? This was how I felt as a read the last few chapters! Alicia Berenson is such a mysterious, intriguing character and I was trying to figure her out the entire novel.  I kept asking myself, "" What is up with Alicia ? ""She is a famous, talented painter and happily married to her husband, Gabriel. They live in London and have a cozy life. Why would Alicia murder him and then never speak again? You want to know, right? Well, I did and couldn't stop reading until I found out. It is the feeling you have when you just have to know why!! The novel is narrated by Alicia's psychotherapist Theo Faber,  He is determined to "" fix Alicia "".  I was so invested in learning what the circumstances of Alicia's silence was and had to find out if Theo could save her. Would she ever speak again? READ IT NOW to find out! I wasn't going to read this one, and then requested it on NG and I'm really glad I did.  As you can tell, I really enjoyed it! Sure to be a 2019 FAVORITE ! Thanks to Celadon/ NG for my arc. Book is out in Feb 2019 Review posted to blog.",5.0,positive,The Silent Patient,40122136
"I hated this book. The women are all tired, cliched stereotypes that often veer into misogyny. For example, Alicia’s aunt is described the first time you meet her as an ugly, old face pressed to a window, and it only gets worse after that because—of course—she’s fat. Her “grotesque” (a word actually used in the book) appearance is apparently a mirror of her evil personality. How creative! The author takes that approach over and over again: young, naturally beautiful women like Alicia and Theo’s wife are worthy of interest, while the female characters Theo can’t find attractive—because they’re ugly, old, large, fat, fake, stupid—are only worth his disdain. Beyond that, the prose was tough to get through. And don’t even get me started on the diary sections, which portray Alicia as a woman who either sits in a coffee shop for hours on end, has sex with her husband, or paints him as Jesus (no, I’m not kidding). The chapters where she couldn’t speak were almost a relief. Overall, the author just seemed more invested in getting to the the clever twist ending than in writing a full-bodied story with women who seem like, you know, actual people. Which is a pity, because that clever twist ending had potential.",1.0,negative,The Silent Patient,40122136
