review,rating,sentiment,book_title,book_id
"In a Nutshell: Expected far more from my very first Kristin Hannah book. Loved the intent, found the content so-so, disliked the writing. This is, as is obvious, an outlier review. ~~~~~~~~~~~~~~~~~~~~~~~~~~~~ Plot Preview: 1966, Coronado Island. Twenty-year-old Frances McGrath, known to all as ‘Frankie’, belongs to a wealthy family of navy veterans. At the send-off party for her elder brother who has enlisted for Vietnam, someone tells her, “Women can be heroes, too.” This sparks a desire in Frankie’s mind to serve her country through the armed forces, something she never considered before. As the only corps willing to take a freshly-graduated nurse is the army, Frankie, against her family’s wishes, registers with the Army Nurse Corps and sets off to Vietnam. There, she sees the true picture of war, where every day is a fight for survival. But will this struggle end with the end of the war? With war protestors becoming stronger by the day, the Vietnam veterans might not be coming home to the open arms of their country. What lies ahead? The story comes to us in Frankie’s third person perspective. Bookish Yays: 😊 The intent deserves credit: to focus on the women veterans of the war, to depict what women can do, even if they aren’t allowed to. 😊 The war-related scenes are as gruesome as expected. Felt like I was right there in the war zone with Frankie. 😊 The focus on the importance of and the struggles faced by nurses and the secondary treatment they are given compared to doctors. 😊 The details about the mental struggles and health issues faced by returning veterans, which went much beyond typically shown in fiction. Bookish Mixed Bags: 😐 Frankie starts as a great character. Even when she is a naïve fresher, she has the right approach towards her work. But as the book progresses, her decisions start turning more and more impulsive and short-sighted. I don’t mind books with unlikeable characters as they add a nuance of realism to the story, but in this case, Frankie’s behaviour, especially in the second half, was more frustrating than understandable. 😐 The Vietnam war is not called the ‘American War’ by Vietnam without a reason. I appreciate the author’s decision to highlight even the American atrocities and the lies spun by American politicians. Though these negatives are not covered in as much detail as I would have liked, they are still enough to shed light on the truth. However, the depiction of the American troops in Vietnam is white-saviour in approach for the most way, focussing more on the medical aid offered by the Americans to the locals than talking about why the locals needed the aid in the first place. 😐 Most war books stop at the end of the war without showing the aftermath. That is one aspect in which this novel excelled; it went much beyond the timeline of the war and shows the reception of the Americans to the returning veterans, and the protests. However, the depiction of these events seems a bit exaggerated. I am obviously not privy to what happened in 1970s America, but I find it hard to believe that not even one person knew about women serving in Vietnam, or that not a single person showed sympathy to Frankie’s mental situation. The author’s note mentions that women veterans often met with dismissal, but ‘often’ doesn’t equate to ‘always.’ The balance is missing. 😐 Frankie’s downward spiral in the second half is, in one way, a good creative call as it shows us the darker side of PTSD. However, the events get tedious and repetitive after a while. Plus, the hyper-drama level is way too high in this section. 😐 While there are some interesting secondary characters in the book, they barely get proper detailing. Most of what we know about their background is the little we get from passing references in conversations. Many characters disappear without a trace as soon as their purpose is served in the plot. The one I am most curious about is the senior nurse who greets Frankie on her arrival in Vietnam. What happened to her? There were at least three skilled nurses that we know of (Ethel, Barb, and the senior nurse), but we hardly get to see them in action. Why does Frankie have to be the one to save the day, every time? The character decisions also induce much eyerolling. Whenever there is a party, the nurses drop everything and rush off, without asking or informing anyone. How is that possible in the army? 😐 For the first time ever, I, a big fan of author’s notes, have mixed feelings about the note in this novel. I appreciate the clarity the author provides about her intention behind this book and her research sources. Two issues, though: 1. She has no first-hand experience of Vietnam ( which is very evident in her writing about its weather ), and 2. She said that she wanted to change the place names and war unit details for ease of writing, but changed her mind only after veterans told her not to. I find it very odd that an accomplished writer of historical fiction even considered falsifying factual details just to make her task easier. Bookish Nays: 😣 The writing was the biggest disappointment. This book is much overwritten. At 470+ pages, I thought we would hear multiple women’s perspectives and experiences in the war. But unlike what the title suggests, “The Women” is mainly the story of only ONE WOMAN – Frankie. Moreover, there is too much of telling in the writing. Every single outfit worn by Frankie and the others is described in elaborate detail. Actions are narrated step by step. Every now and then, we see the time mentioned in army style – “At 20:15” – as if to remind us that Frankie is now a military member. The foreshadowing is too blatant. One phrase that comes up multiple times is “How long had it been since…”. The worst of it is the character resurrections – yes, plural! The effect is repetitive and annoying. 😣 The romance is cheesy and unappealing. Every single guy who has a proper role in the story falls in love with Frankie. We are expected to believe that this is common during the war time because of the low number of American women around, but in that case, how come Ethel and Barb and the other nurses didn’t have anyone falling for them? As it is, I don’t like romance popping in non-romance books, but it is even worse when the writing is so corny and the situations so lopsided. The lack of appeal in the male characters doesn’t help. 😣 There is not a single Vietnamese character of importance in the whole book. Moreover, the representation of Vietnam is, as expected, focussed on the problems: rats, malaria, heat, lack of potable water,… Though the Americans enjoy water-skiing and swimming and so on in the local lakes, the beauty of the location is rarely described. The funniest to me was the finger-pointing at Vietnam’s monsoon for causing Frankie’s travel bag to stay musty and stink even eight years later. Sorry! But if your travel bag is odoriferous, it’s probably because you haven’t washed it, ever! Don’t blame the monsoon! 🎧 The Audiobook Experience: The audiobook, clocking at almost 15 hours, is narrated by the inimitable Julia Whelan. Need I say anything more? Everyone who knows audiobooks knows that she is among the best narrators. If you still want to try this book, the audio version is definitely a fabulous way to check it out, especially considering its length. All in all, I do appreciate the author’s efforts and the intention that made her write this book. I even liked certain aspects of the storyline, and loved learning about the nurses who gave so much to the fruitless war. But the writing and the plot development were not to my liking. The problems are exacerbated in the audio version as it feels like an endless journey through monotonous situations. As is evident from the current rating on Goodreads, mine is very much an outlier opinion. Most other readers have not just loved the book but are positively gushing about it. So please go through their reviews before taking a final call. If you are the kind of reader who prioritises sentiments over plot and writing, you might love this novel way more than I did. 2.25 stars. My thanks to Macmillan Audio and NetGalley for the ALC of “The Women”. This review is voluntary and contains my honest opinion about the audiobook. Content warning: War-related brutalities and deaths, infidelity, miscarriage, drug abuse, alcohol abuse, PTSD, gender discrimination, racial discrimination. ~~~~~~~~~~~~~~~~~~~~~~~~~~~~ Connect with me through: || || || || ||",2.0,negative,The Women,127305853
"Don’t believe the lie if somebody insists that there were no women in Vietnam. They were there! They served their country, struggling with tragedies, PTSD, and casualties as well. But there was one crucial difference for them: they were never considered war heroes. Nobody applauded them for the sacrifices they made or awarded them medals. They didn't receive praise for their service, and when they attempted to speak about the psychologically consuming experiences they went through, they were silenced, as they weren't even recognized as veterans. This work is dedicated to the women who served their country both militarily and as civilian women stationed in Vietnam – heroines who need to be remembered, praised, and admired. This time, Kristin Hannah takes us back to the mid-sixties, shortly after JFK was shot in Texas. The country's primary focus is battling communism, and in pursuit of this mission, numerous troops comprising young Americans are sent to Vietnam. I highly recommend keeping some napkins, handkerchiefs, or tissues close by, as you'll need them during your reading experience. Another word of caution: don't plan anything extensive for your day, because once you start reading this book and tell yourself you'll only read a few pages before setting it down, that plan might not hold. From the moment you dive into Frances “Frankie” McGrath’s story, you'll become engrossed. It's almost as if you're under a spell – you won't be able to put it down. Her story will grip you, tearing at your heartstrings and evoking numerous tears, as you connect with her fears, heartbreaks, pains, anger, and frustrations. You can practically hear her internal screams and the words she's forced to bottle up because nobody wants to listen. She might be the most honest, poignant, tough, and resilient heroine the author has ever created. So, my advice is to clear your schedule, go with the flow, and allow the story to transport you to the jungles of Vietnam, where the echoing sound of helipads reverberates in your ears, and you find yourself in a hospital surrounded by young soldiers uttering their final messages to their loved ones. The book commences at a house party on Coronado Island, celebrating Frankie’s brother's enlistment. Frankie decides to take a break in her father's study, where a ""hero’s walk"" is displayed, featuring photos of the family's men who served in various wars. Now, her brother will be added to this wall. But why can't she be included too? It's in this moment that she realizes her brother's best friend, Rye, is also hiding in the room, questioning her: why can't a woman be a hero as well? This question alters everything for Frankie and challenges the life plans her family has set out for her. They expect her to marry and have children, conforming to the norms of the early sixties. However, she decides that she, too, can be a hero, serving her country and making her family proud, just like her brother did. She applies to the Army Nurse Corps to follow in her brother's footsteps. Her conservative and highly respected family doesn't support her decision, and when a tragic piece of news arrives unexpectedly, Frankie's life takes a sharp turn before she embarks on her earth-shattering journey. Soon, she finds herself amidst chaos and destruction, realizing that as a young, innocent, and inexperienced woman, she's like a fish in a bottle tossed into a dangerous ocean teeming with sharks. Within a short span of time, she becomes terrified, numb, and exhausted, navigating days where her heart breaks as she witnesses soldiers younger than her brother losing their lives and civilians becoming expendable amidst the chaos. As Frankie edges closer to collapse, nearly drowning in sorrow, her friends Barb and Ethel extend a lifeline, offering enough emotional support to keep her from giving up. The book takes us on a 20-year journey with Frankie, spanning two terms of her life as she struggles to save herself. She risks her life in the process, and upon her return, she realizes that she's not regarded as a war hero like the men who fought in combat. People avoid discussing the war, and even her own family treats her as though she's done something to embarrass them, something they'd rather not acknowledge. During the day, she's compelled to blend into the community, resuming where she left off before the war, while at night, she battles her nightmares and the clutches of PTSD. She comes to understand that she's not the proud, ideal girl her family wanted her to be and never can be. Eventually, she gives in. Frankie's painful journey, marked by her substantial losses, her battles with addiction, and her anger toward those who betrayed and disrespected her, is portrayed with remarkable realism. You can feel her emotions; they're everywhere. You ache, you cry, you feel resentment, and you sigh. You experience every pain she carries as if it's a blow to your own face. She's one of the women from the war whose stories need to be told, remembered, cherished, and respected. Will she overcome her inner demons? Will she learn to heal from her pain, forgive those who worsened her suffering, embrace her flaws, and confront her fears that she's afraid to share with others? Will she ultimately find the peace she's searching for? Read her story to uncover the answers. I'm still recovering from the impact of this book. My heart is a whirlwind of different emotions. While some characters may seem fictional initially, as you delve into their stories, you'll develop an immediate connection that makes these characters a part of you, lingering in your life indefinitely. Frankie is one such character – unforgettable, courageous, vulnerable, tarnished but not broken, poignant, and dependable. I believe this might be my favorite work by Kristin Hannah. After reading her closing note, I gained a deeper appreciation for the years of hard work she put into creating these vivid characters and crafting realistic descriptions of war zones, leading us on this unforgettable journey. This book will likely be one of the standout reads of 2024, and I consider myself fortunate to have had the opportunity to read it. Many thanks to NetGalley and St. Martin’s Press for providing me with a digital review copy of this amazing book in exchange for my honest thoughts. Follow me on medium.com to read my articles about books, movies, streaming series, astrology:",5.0,positive,The Women,127305853
"Well, I am going to be That Person. That Person who does not rate the book everyone is raving about 5 stars. I just can’t. And here’s why… First of all, I do want to say that I very much appreciate that Kristin Hannah chose to write a novel about something other than World War 2. It was refreshing to read about the Vietnam War, a war about which very few novels have been written. Furthermore, I appreciate that she focused on the women. Women’s contributions and experiences in history are often overlooked and probably more so in regards to the Vietnam War. I, for one, honestly never thought about it. Secondly, Hannah does capture the setting very vividly. There are a lot of gory war scenes, you can feel the heat of the jungle, the stress, the exhaustion, etc. Similarly, she captured the experience of PTSD well (as far as I know, not having experienced it myself). I think it’s important to have this experience vividly exposed both for the sake of empathy as well as for those who have gone through it to feel heard and seen. She clearly did a ton of research on PTSD as well as on the war and the time period. So why not the raving 5 stars? Quite simply, because Kristin Hannah likes to jerk people around emotionally and because the romance in this is obnoxiously awful. First things first - and I don’t have anything else to say about this - I despise the title. Moving on… **A few spoilers ahead.** Emotionally, this book is seriously “everything but the kitchen sink”. Just throw in every tragic thing you can think of, it’s there. Just when you think something good might happen, nope. The tragedy gets almost repetitive and boring. Like, how many times do I want to read about wanting her father’s approval or about how cold her mother is? How many times do I want to read about her bloody clothes and the mud and men’s gaping wounds? How many times do I want to read about her drunken pill popping à la Valley of the Dolls? In a few cases, tragedy conveniently disposed of some plot points and characters which I found annoying. For instance, rather than Frankie having an honest conversation with another character, something traumatic occurs so she doesn’t have to. Do I get that the war trauma (both during and at home)was unending? Absolutely. That’s not really my issue. Kristin Hannah likes to pile on the tragedy and trauma in many of her books; it’s her formula and it gets tiresome after awhile. And the romance. Ugh, don’t get me started. I predicted basically what would happen every single time a love interest was introduced and I was right. She falls in love suddenly with no real reason other than feelings like “he brought her back to life”. Gag me. That’s not real, especially not after a 5 minute conversation. Why do any of these men deserve to be adored? I can’t see it. None of them were particularly stellar specimens. You can tell me these relationships were realistic all you want but I’m not obligated to like these guys or just gloss over the repeated adultery (that continues after the war). Hannah’s presentation of the romances is sentimental, cheesy and predictable. She does this in her books a lot. And I’m sorry but nothing will compel me to be ok with not one but two men coming back from the dead. This is a highly readable book and you’ll be turning the pages fast. I hope that we continue to hear more about underappreciated women in history (and this book did make me want to know more). However, I would have preferred less piled on tragedy and fewer contrived, sentimental plotlines. Pub date: Feb 6, 2024",3.0,neutral,The Women,127305853
"easiest 5 stars ever!!! it will be nearly IMPOSSIBLE for readers to not love this book. Kristin Hannah is BACK and she has done it again 👏🏼🙏🏼😭❤️ and to answer everyone’s question to me so far… THE NIGHTINGALE is my fave book of all time and therefore my favorite KH book. but… THE WOMEN is right beside it ❤️🙌🏼 a full review is over on my IG, but my quick thoughts: 💔 heartbreaking subject matter. very specific and real stories about The Vietnam War and also life post-war and what that was like for the Vets that returned home 📖 the pacing is on fire. the first half of the book has you flipping pages so fast—the action is page after page after page. it’s 450+ pages but moved QUICK—i finished in 24 hours and could have binged it in one sitting if i had the time 📖 Frankie is one of my fave MCs ever. she’s badass and flawed and tough and inspiring and emotional and an absolutely beautiful woman. she does some bad things but again, she is human and flawed and she is suffering 📖 the female friendships and themes in this book will make your heart so happy 📖 the research KH must have done for this book is INSANE. like so many other hisfic novels, it’s incredibly eye opening and educational. it shows you sides of the Vietnam War you probably have never seen or heard of before, and also brings things you have heard of to light in a very real way 📖 the ending will ruin you in the best way. the tears were definitely flowing but i wouldn’t have changed a single thing 😭❤️❤️❤️👏🏼 i cried the entire last 10 pages. each paragraph hit me harder than the one previously 🥹😂😭 📖 the love stories are very prevalent but try not to get caught up in them—it’s so much more than a woman and her love interests in her author’s note she mentions how long she’s wanted to write this book but how she wanted to build the courage and strength to do the story justice and boy oh boy did she ever. as someone (like so many others) with a very close family member who fought in Vietnam… this really hits close to home. so much of what is explained and illustrated in this book is what really happened in Vietnam and how some of the veterans really felt and it’s heartbreaking and an important story to be told. it makes me want to be able to call my relatives and talk about what they went through and relive those stories again with them, but they are now at peace 🙏🏼💔 THANK YOU to my friends at St Martins Press for gifting me this early. all opinions and thoughts as always are my own. i know we don’t want to wait until Feb 2024 to have this out in the world (i want to talk to everyone about it right now…), but i promise it will be WELL worth the wait. thank you, Kristin, for telling this story of The Women during the Vietnam War ❤️ *EDIT: adding in my fave quotes from the book! 🚨 potential spoilers ahead 🚨 ❤️❤️❤️ “Women can be heroes.” “No fear, McGrath. You can do this.” “Maybe happy now, happy for a moment, is all we really get. Happy forever seems like a shitload to ask in a world on fire.” “There are no women in Vietnam, dear.” “She needed to do as everyone suggested and forget.” “She was never exactly sure what she was ashamed of, jsut that she was weak, or had somehow done something bad, been a part of something bad, something no one wanted to talk about.” “We don’t really talk about it.” “The war no one wants to remember.” “Thank you for finally remembering us.” “You and me, McGrath. Finally.”",5.0,positive,The Women,127305853
"Women can be heroes. 4 1/2 stars. certainly knows how to take a sledgehammer to your heart and she is NOT afraid to do it. Hannah's reads are so powerful and harrowing that I can forgive a few negatives, like here I think the major plot points of the story are quite predictable-- yet they still hit me like a ton of bricks, their impact not lessened by the fact I'd seen them coming. Maybe this one was easier to predict as I'm getting used to the author's formula. Her novels take us to vastly different times and places but she uses similar tricks to engage the reader. I’m not complaining: it works. This book is an epic on women in the Vietnam War. Hannah introduces us to bright-eyed and naive nurse Frances ""Frankie"" McGrath, who longs for a place on her father's ""Hero's Wall"" and so volunteers for service in Vietnam. It is an understatement to say she didn't know what she was getting into. Frankie finds herself in hell on Earth, struggling to help put together men who have been blown apart, watching Vietnamese children die from napalm burns, losing friends for a cause none of them even understand. Those sensitive to graphic depictions of injuries should steer clear-- as a nurse in Vietnam, Frankie witnesses some of the most horrific things in our world. ""We've developed the skills to save their bodies, but not their lives,"" Captain Smith said. But this is not just a story about the war itself. It is a story of a young woman's growth, aging impossibly in a short amount of time. Her friends, Barb and Ethel, keep her spirits up at the worst times, and the funny dialogue between them is a major highlight of the novel. She falls in love and this, too, gives her hope for the future. How could she go from red alert sirens and saving lives to butter knives and champagne? Only half of this story is set in Vietnam; the other half is about coming home and living afterwards. It's not easy to say which one is more difficult. There was no hero's welcome for those returning from Vietnam. Veterans were cursed at and spat on. Many were left with irreparable damage from their time in the war. For some, it was the loss of a limb. For many, it was the loss of something harder to explain. While psychiatric help began to be offered, it was typically for male veterans. As with several of Hannah's other books, she once again shines a light on the women who have been erased from history. The female veterans she spoke with for this book told her how they often heard ""There were no women in Vietnam."" I cannot imagine how it must feel to risk your life, sacrifice your youth and peace of mind, and be told that it didn't even happen. Another horrible, ugly, powerful book from one of my must-read authors. As well as graphic injuries, this may not be suitable to those sensitive to depictions of substance abuse and miscarriage .",4.0,positive,The Women,127305853
"Hot Take: This book would never end The Women details Frances “Frankie” McGrath’s experience serving in the Vietnam War as a nurse. And her transition into civilian life. This book had no plot—it is based on one character. The problem is….Frankie isn’t likeable. She is an entitled, spoiled rich girl. She has everything handed to her, and her reason for going to war was to be on the hero’s wall and not wanting to work her way up at the hospital. Although she constantly pulls on her veteran roommates, she couldn’t be bothered to provide support to nurses that arrived after her. Apparently, she hasn’t heard of paying it forward. Hannah also never gets into what makes Frankie so unique, what makes her special, what drives her. What about her would the world miss if she was gone? My favorite author says it best: “Every sentence I write is surrounded by the ghosts of the sentences I could have written at that point but chose not to.” In The Women, I wanted to hear about the other servicewomen. After Part 1, it was time to transition to someone else. How did Major Goldstein, the chief nurse, get to her position and how did she cope with placing the nurses, determining their fates? Why didn’t we shift to Ethel and Barb and what happened before Frankie? Additionally, Hannah is far too verbose, leaving the reader to wade through needless paragraphs, inserting uninteresting details. Sorry, I just don’t care about the cheap motel especially at the end of the book. Not sorry. The foreshadowing is so heavy that the book becomes predictable, and there are far too many characters—all of them are undeveloped. The author did far too much telling instead of showing. Show us memories of Finley and Frances. Give us the backstory on Ethel and Barb. Don’t tell us. Show us. Although I greatly enjoyed learning more about the brave women who valiantly served our country, this book was a chore to read. *Thanks, NetGalley, for a free copy of this book in exchange for my fair and unbiased opinion. How much I spent: Electronic text – Free/Nada/Zilch through NetGalley provided by publisher 2025 Reading Schedule Jan	A Town Like Alice Feb	Birdsong Mar	Captain Corelli's Mandolin - Louis De Berniere Apr	War and Peace May	The Woman in White Jun	Atonement Jul	The Shadow of the Wind Aug	Jude the Obscure Sep	Ulysses Oct	Vanity Fair Nov	A Fine Balance Dec	Germinal Connect With Me!",1.0,negative,The Women,127305853
"2 soap opera stars. Too cutesy and romance focused. No one is more surprised (and disappointed) than me to be giving a 2 star rating for this much loved and highly anticipated book. I started this novel thinking it would be an easy 5 star read. My rating quickly lowered to 3 stars by the halfway mark and then slowly dwindled down to 2 stars by the end. This novel follows a young womans harrowing journey as a nurse in the Vietnam war. The main character was likeable enough, but she lacked any sort of grit or believability for me. She felt very surface level and cutesy from start to finish, giving the overall tone a soap opera feel. Unfortunately I do not enjoy cute stories, especially when it comes to historical fiction. The lighter tone of this novel made it easy to fly through but neglected to leave any sort of lasting impression on me (other than disappointment). When I read historical fiction, I want grit, heaviness, atmosphere, rip-my-heart-out emotions along with the factual detail. The only aspect I received from this novel was the educational component of learning about this time in history. It had some atmosphere , but my detachment from the characters had me distanced from the plot altogether. There was no grit or emotion to pull me in. There were a couple of heart wrenching moments, but they didn’t truly move or impact me in any way. Romance is a heavy theme throughout this book. Unfortunately romance is a genre I do not enjoy reading. The main characters’ love interests had me confused and distanced from the storyline as none of it was even remotely believable. I think most of my lack of connection is that I wasn’t bought into any of the romance pieces and this is an integral part of what makes the storyline work. I also found this book extremely predictable and very cheesy at times. My eyes rolled a lot in the second half. I predicted several large plot points in the second half which took away any sort of shock factor or enjoyment I may have received from those reveals. The author also included an extreme amount of hot topics, like she was trying to touch on too many things without truly fleshing her ideas out. Overall, this was a complete miss for me. I am thankful to have read it solely for learning about this time period but I received zero enjoyment from an entertainment perspective. I have loved all of this authors previous historical fiction work, so if you are looking for a gritty, heavy, impactful historical fiction book, I encourage you to read those before picking this up. Please note, I am the outlier with my thoughts so make sure to read the countless raving reviews before deciding on this one.",2.0,negative,The Women,127305853
"4.5 ⭐️!! I love a book about strong women, especially one written by Kristin Hannah and ESPECIALLY about ones who served our country and were told to their faces that there were “no women in Vietnam” (but still persevered) Frankie is one of my favorite FMC of Kristin Hannah’s, we see her in the beginning blindly and naively joining the nurses in the midst of the Vietnam war, then watched her become so strong while seeing so much loss. Not just that, but how she coped coming home when no one would listen to her or validate her which was so heartbreaking and frustrating…it was all such a JOURNEY!! The pacing was so quick with always something happening which kept me super invested from the beginning The storyline & ending became a bit predictable, but I appreciated the realistic depiction of women in the war & the female relationships Frankie made!",4.0,positive,The Women,127305853
If Meredith Grey served in Vietnam and came home…this would be her story.,1.0,negative,The Women,127305853
"I have a beautiful big paper arc written by a writer whom I've never read before, but I know she is a NYT bestselling author, and that her books are deeply loved. I open the book. The first sentence is: The walled and gated MacGrath estate was a world unto itself, protected and private. And I think: Gosh, isn't this a slightly uninspired way to begin a book, I mean, couldn't she have tried a little harder than to call something ""a world unto itself,"" which was probably a little on the clichéd side even before the first time anyone wrote it down? Ok, moving on, the next two sentences are: On this twilit evening, the Tudor-style home's mullioned windows glowed jewel-like amid the lush, landscaped grounds. Palm fronds swayed overhead... and okay okay that's enough, because my brain is saying: ""On this twilit evening?"" ""windows glowed?""...""Palm fronds swayed ?"" I'm just talking about my own experience, here. Speaking solely from my own point of view, this writing makes me feel bored and irritable at the same time. It feels so bland. It's as if someone is slapping me with wet cardboard. It's not exactly hurting me but I want to get away from it. But: Should I care so much about the prose style? Because, maybe it's a good story. But I do care. I want to read a story that is written with care. So, most people would keep reading for several more pages at least, even if they felt the same way about these first sentences--I mean, can you really tell anything at all from two or three sentences?--but for me I'm already thinking that, if this is how a book begins--if the beginning is, indeed, the place where a writer must capture my attention--then I'm done. And this is normally where I would put a book down. But this time, because I've heard so much about this writer's books, I open a few pages at random, just to see if I can find just one sentence to fall in love with, anywhere, or some phrase, at least, that catches my eye. And I read: Frankie felt a heaviness in her heart, a sorrow that she knew would stay with her... Jamie was there instantly, holding her steady. She reached for his hand, held it, not daring to look at him... She looked up in surprise... He shrugged, as unable to find the words as he'd been to process the grief... He looked at her a long moment... That's all I have to say about this book, except to add that clearly I am way, way an outlier on why I read, which is at least 90% for the sound of the language, for the jolt of reading a sentence that is both describing something completely familiar to my human experience and at the same time is said in a completely new and revelatory way, and whenever I begin a book that does not do these things, both of them simultaneously, I think of all the books waiting to be read, and I move on.",,,The Women,127305853
