review,rating,sentiment,book_title,book_id
"2024: Each time I read what PBS dubs the perfect American novel, my heart fills just a little more. There are few books where the beginning paragraphs hit a home run for me, and this is one of them. It has been a long month filled with family time and endless cooking so for the last ten days I opted for comfort reads and there is no family who provides comfort like the Finches, with the exception of Aunt Alexandra. “Lawyers were children once,” quotes Charles Lamb in the opening epithet. Prior to this reading, I viewed Atticus Finch as an unapproachable, older father. Beloved by his children to the point of idolization, but with an impenetrable outer skin. As an adult looking back at the events which shaped the novel, Scout paints the picture of her father as one who makes everything right and makes her feel safe. Even though this novel had been marketed for adults, it is in its essence a coming of age novel, which shows Scout’s growth through elementary school while her family faces events that mean to alter the history of a town. Atticus would need to be a strong figure to guide his children through the plot, and he would need to wistfully remember his childhood in order to relate to them. This is the man who told us all to walk in another’s shoes and see things from their point of view. Until today, I never viewed Atticus as multi-faceted, just a great man. Today that view slightly changed, yet he remains one of my top personas of all time. Pestering Boo Radley is like killing a mockingbird, Scout implores Atticus. He never did anyone harm. There is a reason why this novel won the Pulitzer as being ahead of its time. The beginning and ending paragraphs mirror each other and provide closure. Scout and Dill engage in childhood escapades while learning life lessons imparted on them by their neighbors. Jem believes that the story began the summer Dill came and he tried to make Boo Radley come out. Being four years Scout’s senior at the time, he already saw the events of the novel from an adult perspective. Scout and Dill did not. They started as innocent seven year olds who thought that they would get married one day and ended as empathetic individuals who wanted to change the world. Perhaps Atticus’ lessons had penetrated these children after all; Scout, at least, looked like a lawyer in the making. If the world changed in her lifetime, perhaps she would get that opportunity. With a book as perfect as this one, it comes as little wonder to me that Harper Lee never published another in her lifetime. She became a recluse; perhaps she modeled Boo Radley after her own tendencies. Boo did not come out because he did not want to. I am of the camp who is 99.9% sure to never read Go Set a Watchman. To Kill a Mockingbird is practically perfect in every way and made to change the way a nation thought about groups of people. Harper Lee had as much courage in publishing it pre- Civil Rights Act as the characters in her novel did in living with there preconceived notions of how the world functions. Bravery, courage, and empathy remain the overarching motifs in this great American novel. I view it as the ultimate comfort read and in the words of my reading friend Tessa, five stars and a heart. 2019: With endless books and infinitely more to be written in the future, it is rare occasion that I take the time to reread a novel. As women’s history month is upon us (2019), I have kept revising my monthly lineup to feature books by remarkable women across the spectrum. Yet, none of these nonfiction books pay homage to the writers of the books themselves. Even with memoirs, the prose focuses on the author’s achievements in her chosen field. Last week a goodreads friend and I paid tribute to women authors in a daily literary journal. In one of my friend’s posts, she pointed out that as recently as 1960, the author of the most endearing of American novels had to use a masculinized version of her name in fear of not being published. Nelle Harper Lee of Monroeville, Alabama published To Kill a Mockingbird under her middle name, so only those well read readers are aware of the author’s full name. It is in this regard, that I included Pulitzer and Presidential Medal of Freedom winner Nelle Harper Lee in my Women’s History month lineup. It is as auspicious of a time as any to reread one of America’s greatest novels. When I was in ninth grade English class, I read Harper Lee’s novel for the first time. At age fourteen I was hardly a polished writer and struggled with many of the assignments. Yet, I do remember that the top essay in the class focused on the overarching theme of courage and how Harper Lee showed how each of the characters, major and minor, embodied this trait in the trying times associated with the novel. It was courageous of a southern woman to write a novel with this subject matter prior to the passage of the civil rights act. It is of little wonder to me looking back now that she chose to publish under a gender neutral name. Perhaps, she feared a lynch mob or being outcast in her home town. It was a trying time as the federal government asserted itself against states still grieving from the war between the states and holding out as the last bulwarks of white superiority. Harper Lee exhibited as much courage as the characters in her novel, and rightfully was awarded the Pulitzer Prize for her work. As such, being courageous starts from the top and works its way down to each and every character of this timeless work. In 1930s rural Maycomb, Alabama people were pretty much set in their way of life. Town folk had received an education and worked as lawyers, doctors, bankers, and businessmen. The country folk may or may not have received an education because they had to work the fields and many were illiterate. Even the majority of those educated white folk still saw themselves as superior to blacks, and few, if any, had the audacity to take a black’s word over a white’s even if it were the correct moral thing to do. Yet, the crux of Lee’s novel is a court case threatening to disrupt this way of life, having the town divide along both racial and moral lines, and having each character step into others’ shoes and view the world from another’s perspective. Maycomb at the time embodied many rural American cities, isolated from progress as town set in its ways with few people who were willing to see the world from another perspective. One man was, however, a lawyer named Atticus Finch who is among the most revered fictional characters ever created. Even though this court case should not have been his, his superiors selected Atticus to counsel a black defendant because they realized that he was the one man in Maycomb who had both the ability to empathize and the courage to do so. His neighbor Mrs Maudie Atkinson noted that Atticus was the same man in the court house as he was at home and had nothing to fear. A widower, he instilled these values to his children Jeremy Atticus (Jem) and Jean Louise (Scout) from a young age, passing a strong moral compass onto his children. In addition to critiquing southern race relations, Lee’s novel has endeared itself to children with the legend of Boo Radley. From the time they were young, Jem, Scout, and their summer friend Dill had courage to go to the Radley house trying to get Boo to come out even though all the other kids said the house was spooked. Atticus told them to put a halt to these childish games and explained Boo Radley’s background to them. The town claimed that Boo Radley was a ghost, but perhaps the reason he did not leave the house is because he did not want to. As the children grew older, Atticus warned them that there would be darker times ahead and they would have to be courageous in the face of what people said to them behind their backs. From the time Scout began school in first grade, she inhibited Atticus’ ability to stand up for what was right. Her teacher Miss Robinson was new to Maycomb and did not understand people’s ways. Scout explained about the Cunninghams, the Ewells, as well as other families at a personal cost to herself. As Scout grew older and was able to step into other people’s’ shoes more, she grew to understand differences between folks; however, she and Jem realized that differences did not make the world distinctly black and white or right and wrong. During an era when children were looked upon as unintelligent, Scout and Jem were wise beyond their years and following in their father’s footsteps. Harper Lee created strong archetypal characters and had each embody their own courage. Each’s courage allowed Atticus to teach his children a life lesson that would endure for the rest of their lives. The family’s neighbor Mrs. Henry Lafayette DuBose demonstrates courage as she battles a final illness. Third grade teacher Mrs. Gates exhibits courage as she teaches Scout’s class about the rise of Nazism in Germany and th encourages her students to think for themselves about the differences between prejudices at home and abroad. The African American characters all demonstrate strong courage as well. The Finch’s housekeeper Calpurnia is a bridge between the white and black communities of Maycomb and does not hesitate to teach Scout and Jem life lessons as they arise. The Reverend Sykes welcomes Jem and Scout into his congregation as though they were his own and invites them to sit in the colored balcony at time when segregation was still the law. He risked a lynching and knew that the Finch family could possibly be labeled as negro lovers, yet Reverend Sykes played a small role in proving that one’s skin color should not determine whether someone is right or wrong. Of course, as part of the overarching story line, Boo Radley can be viewed as the most courageous character of them all. It is through the courage of an author to create characters who will stand up for what is morally right at a large cost to themselves that she created an award winning novel that was ahead of its time for its era. It is little wonder that the courage of these fictional characters has made the novel as beloved as it is today. I believe that the courage exhibited by all these characters has made the town of Maycomb, Alabama stand the test of time and remain the timeless classic that it is. Most people can relate to those who have the courage to stand up for what they think is right or to fight against those tougher than them. This character trait has endeared the Finch family to millions of readers and will continue to do so for generations to come. Whenever a person asks what book would you give as a gift or what is the perfect book, To Kill a Mockingbird is my first choice. I find that it is perfect for any time but most appropriate in spring as in addition to courage there is an underlying theme of hope. Harper Lee won the Pulitzer for this timeless classic, and it also won first place in the Great American Read as America’s best novel. Thus I can think of no better way to honor women’s history month than with a timeless book that has and will continue to capture the hearts and minds of all of its readers. 5+ stars/ all-time favorites shelf",5.0,positive,To Kill a Mockingbird,2657
"/// gentle reminder that this is not the time to read this book /// This is my first re-read of 2017, and I don't regret it one bit. When I first read this book three years ago, I really liked it. Sadly, I didn't write my thoughts down in an elaborate way back in the day, but I know for sure, that I didn't read critically then. Upon my re-read of this book, I honestly don't have good things to say. I am aware that some of my criticism is not a critique of the book itself, but about its perception, and how it is, up to this day, held up as the one true book about race relations in the United States of America. And that really infiruates me. This book was written by a white woman, from a white perspective, about white characters, for a white audience. This book is a pat on the back for the white middle class. This book gives comfort to the white middle class. Comfort that they, especially back in the 1960s, didn't need, and allow me to be so bold, didn't deserve. Harper Lee's focus is purely white. While the white characters in this book are the subjects, who take action into their own hands, who suffer and make sacrifices, the Black characters in this book are objects. They have little to no agency. Things happen to them. They are harmless, defenseless, and just there – waiting for the white knight hero, Atticus Finch, to save them. This book is a disgrace in the face of the Black liberation movements that existed back in the day, and the solidarity within Black communities. Black people stood up for themselves and fought for their rights, and only due to their voices, their protests, their sit-ins, their marches, their demonstrations, their conferences, was racial segregation made unconstitutional in the United States. Black people, back then and now, know that Atticus Finch doesn't exist. And because no one put in better words than the one and only James Baldwin, I will quote a passage from one of his amazing interviews on the Dick Cavett Show in 1968. One could say that this is Baldwin's response to the cry of ""not all white people"": James Baldwin: I don't know what most white people in this country feel. But I can only conclude what they feel from the state of their institutions. I don't know if white Christians hate Negroes or not, but I know we have a Christian church which is white and a Christian church which is black. That says a great deal for me about a Christian nation. [...] I don't know whether the labor unions and their bosses really hate me - that doesn't matter - but I know I'm not [allowed] in their union. I don't know whether the real estate lobby has anything against black people, but I know the real estate lobby is keeping me in the ghetto. I don't know if the board of education hates black people, but I know the textbooks they give my children to read and the schools we have to go to. Now, this is the evidence. You want me to make an act of faith, risking myself, my wife, my woman, my sister, my children on some idealism which you assure me exists in America, which I have never seen. This right here is what I'm talking about. To Kill A Mockingbird plays into this idealism. Although the book touches on the horrors of racism in the Deep South, it’s a strangely comforting read. A terrible injustice is done, but at the end the status quo is reassuringly restored. The final message is that most (white) people are nice when you get to know them. As a reader you are never allowed to feel with Tom Robinson, the Black man who is innocently convicted for raping a white woman, because all the Black characters in this tale are sidelined. This story should be about them, because how else would you be able to convince the white moderate (in the 1960s) that Black people are actually people . The closest insight we get to a Black character is the family's cook Calpurnia. Calpurnia is in the fictional tradition of the ""happy black"", the contented slave – the descendent of the ever-loyal Mammy in Gone With the Wind . And the rest of the Black community is depicted as a group of simple, respectful folk – passive and helpless and all touchingly grateful to Atticus Finch – the white saviour. We never see any of them angry or upset. We never see the effect of Tom Robinson’s death on his family up close – we don't witness Helen, Tom's wife, grieving and Scout never wonders about his children. Their distress is kept at safe distance from the reader. I was very angry after finishing this book, and I'm still angry up to this day. Not necessarily at Harper Lee, but at our society as a whole, and at our educational system. Why do we constantly uplift white narratives, whilst brushing over marginalized ones? Why aren't our kids reading If Beale Street Could Talk by James Baldwin – a book dealing with the exact same topic (a Black man getting falsely accused of raping a woman)? Why isn't Lorraine Hansberry required reading? Why are we still relying on white narratives, when talking about Black people and their struggles? Since finishing this book, I started reading The History of Legal Education in the United States and I wanted to share some interesting facts, because I couldn't believe how absurd To Kill A Mockingbird was. This story is, supposedly, set in the Deep South in the 1930s, where Atticus Finch, our white saviour, takes it upon himself to defend a Black man at court. By the end of Lee's novel we are led to believe that Atticus had a great chance of actually getting Tom Robinson acquitted, if the latter had just been a ""good n*gger"" and didn't try to escape on his own. (Yes, I'm a little petty. I swear, I'm not turning bitter over this.) So, I just wanted to know how realistic that scenario is. All of the information is related to the 1930s Southern setting. Here's what I've learned: Most Southern lawyers readily accepted Black clients for routine economic cases – property, tort, contract, dept, insurance – and minor criminal cases that did not threaten the South's system of racial hierarchy. It was virtually impossible, however, to find a Southern white lawyer who would accept a major criminal case involving a white victim or a politically charged case that in any way challenged segregation. Only the combination of direct action, community organizing and legal strategy with the help of Black lawyers, made the defense of Black men and women at court possible. In the Lockett-case, the Black community in Tulsa survived largely because Black lawyers were able to defend the community's interests. In 1934, Black lawyers represented George Crawford, a Black man accused of brutally murdering a wealthy white woman – no white lawyer would take Crawford's case . In the end, Crawford got a sentence of life imprisonment instead of a death sentence. And this verdict had to be seen as an accomplishment by the Black lawyers and the Black community as a whole, because life imprisonment was as good as it was going to get. Oftentimes, Black lawyers took serious criminal cases without a fee or at a very reduced rate. This was well appreciated by their communities, but also a given. It is admirable how well Black communities were organized. None of that got translated on the pages of Lee's novel. The Black characters do absolutely nothing, except sending Atticus food, because they're so grateful. [*insert snort here*] This book appears to uphold the standard of racial equality; de facto it is about the white middle class patting themselves on the back for not thinking racist thoughts. I'm sorry to break it to you, Miss Maudie, but you won't get a sugar cookie for that. I am not saying that this is not a realistic portrayal of the white middle class, it is, it totally is. If you do just a little research on the Civil Rights movement, the moral apathy of the white middle class becomes crystal clear. However, we shouldn't portray these characters in a positive light, there is nothing admirable about them. After all... He who passively accepts evil is as much involved in it as he who helps to perpetrate it. He who accepts evil without protesting against is really cooperating with it. - Martin Luther King, Jr.",1.0,negative,To Kill a Mockingbird,2657
"6.0 stars. I know I am risking a serious “FILM AT 11” moment and a club upside the head from Captain Obvious for voicing this, but nabbit dog I still think it needs to be said…TO KILL A MOCKINGBIRD is one of the BEST and MOST IMPORTANT American novels ever written. Okay, I said it, and I will wait patiently while you get your DUHs and DERs out of the way and hang your “no shit” signs outside for Inspector Holmes. Okay, now given the gruntload of reviews/ratings this book has I know I’m not the first person to wag my chin about how amazing it is. Still, I am going to chance coming off like that annoying dingleberry at the tail end of a huge porcelain party because I truly have a pile of love for this book. …(Sorry for taking the metanalogy there just now, but I promise no more poop references for the rest of the review)... So if my review can bring a few more people into the Atticus Finch Fan Club, I will be just flush with happy. On one level, this book is a fairly straight-forward coming of age story about life in a small Alabama town during the Great Depression. It has a very slice of lifesaver warmth and simplicity to it that I think resonates with a lot of readers. It certainly does with me and I think the adjective “charm” may have been invented to describe the novel. Despite how easing flowing the narrative is, this book is both extremely and deceptively powerful in its discussion of race, tolerance and human decency. Most importantly, this book shows us by example the courage to stand all up in the grill of injustice and say “Not today, Asshole! Not on my watch.” That is a lesson that I think we can never be reminded of too often. When bad people do bad things to good people, the rest of us good people need to sack up and be counted regardless of how scary it might be. Easier said then done, I know. But at least that should be the standard to which we strive. Atticus Fitch is the epitome of that standard. He is the role model to end all role models and what is most impressive is that he comes across as such a REAL person. There is no John Wayne/Jack Bauer/Dirty Harry cavalry charging BSD machismo about him. Just a direct, unflinching, unrelenting willingness to always do what he thinks is right. As Atticus’ daughter Scout puts it so well: It was times like these when I thought my father, who hated guns and had never been to any wars, was the bravest man who ever lived. I was to make something crystal before going on because it is an important part of my love of this story. Notwithstanding this book's powerful, powerful moral message, it never once…ever…comes off as preachy or heavy handed. There is no lecture to be given here. The only sermon we are privy to is the example of Atticus Finch and the simple yet unwavering strength and quiet decency of the man. Even when asked by his daughter about the horrendous racism being displayed by the majority of the townsfolk during a critical point in the story, Atticus responds with conviction but without: ""They're certainly entitled to think that, and they're entitled to full respect for their opinions... but before I can live with other folks I've got to live with myself. The one thing that doesn't abide by majority rule is a person's conscience."" This is a special story. Oh, and as a huge bonus…it is also an absolute joy to read. Lee’s prose is silky smooth and as cool as the other side of the pillow. Read this book. Read it with your children, read it with your spouse, read it by yourself….read it the bigoted assclown that you work with or see around the neighborhood…Just make sure you read it. It is a timeless classic and one of the books that I consider a “life changer.” 6.0 stars. HIGHEST POSSIBLE RECOMMENDATION!!!!! BONUS QUOTE: This is Scout talking to Atticus after getting to know someone she had previously be afraid of: “ ‘When they finally saw him, why he hadn’t done any of those things . . . Atticus, he was real nice. . . .’ His hands were under my chin, pulling up the cover, tucking it around me. ‘Most people are, Scout, when you finally see them .’ He turned out the light and went into Jem’s room. He would be there all night, and he would be there when Jem waked up in the morning.” (Emphasis added)",5.0,positive,To Kill a Mockingbird,2657
"If you haven't read this as an adult - pick it up today I think there's just one kind of folks. Folks. I (along with millions of other kids) first read this in grade-school. And I (along with those millions) didn't really get the point. I remember thinking, Well... I already know discrimination is wrong. I don't get why I have to read a book about it... Oh Lordy, if I could go back in time... Rereading led to a (unsurprisingly) wholly different interpretation of this novel. I am in awe of Harper Lee and what she's written. How could I have so completely missed the point back in fifth grade? People generally see what they look for, and hear what they listen for. We follow Jean Louise ""Scout"" Finch , the daughter of Atticus Finch - a prominent lawyer. Scout narrates the great and terrible tragedies of her life - namely the trial of Tom - an upstanding ""colored"" man accused of raping a white woman. Atticus is appointed to defend Tom and soon, nearly the whole town turns against the Finch Family. I wanted you to see what real courage is, instead of getting the idea that courage is a man with a gun in his hand. It's when you know you're licked before you begin, but you begin anyway and see it through no matter what. Much like Scout, I was simply too young to understand much of what was going on the first time through. I tell you, there were so, so many moments this time through where the light bulb turned on and everything just clicked. As you grow older, you’ll see white men cheat black men every day of your life, but let me tell you something and don’t you forget it—whenever a white man does that to a black man, no matter who he is, how rich he is, or how fine a family he comes from, that white man is trash My entire life, I never truly understood why this was such a classic, why people read it over and over, and why this (of all books) is forced upon kids year after year. I get it now. And I'm disappointed that I hadn't reread it sooner. P.s. Sorry to my teachers for being such a sulky kid - they sure picked a great one. I was just so enthralled with reading other things that I didn't read this one as well as I should've. Until I feared I would lose it, I never loved to read. One does not love breathing. Audiobook Comments Exceptionally well-read by Sissy Spacek. I felt like I was in the story. If you are itching for a reread - pick up the audio! | | | | | Snapchat @miranda_reads",5.0,positive,To Kill a Mockingbird,2657
"Why is it when I pick up To Kill A Mockingbird , I am instantly visited by a sensory memory: I’m walking home, leaves litter the ground, crunching under my feet. I smell the smoke of fireplaces and think about hot cider and the wind catches and my breath is taken from me and I bundle my coat tighter against me and lift my head to the sky, no clouds, just a stunning blue that hurts my eyes, another deep breath and I have this feeling that all is okay. Why? Why this memory? I mean, this takes place in Alabama and mostly in the summer, well there is that one climatic scene on Halloween, but I bet it’s still hot enough to melt the balls off a brass monkey. It must be the school thing, my daughter just finished reading it, prompting me to give it another go, to fall back into Scout’s world and pretend to be eight and let life simply be. How is that? How can life for Scout be simple? I mean, she lives in the south, during the depression, she has to deal with ignorant schoolteachers and town folk, her ideas of what is right, what is what it should be are laughed at by her schoolmates… man, and I thought my childhood was rough. Still, she lives in this idyllic town, I mean, except for the racism and the creepy neighbors and the whole fact that it’s, you know, the south…(forgive me… I’m not immune to the downfalls of the north, I mean, we had witches and well, Ted Bundy was born here…) But, there’s this sense of childlike innocence to this book that makes me believe in humanity… even in the throes of evil. What am I saying here? I guess, that this is a good pick me up. What I also get from this book is that I have severe Daddy issues. I consume Atticus Finch in unnatural ways. He is the ultimate father; he has the perfect response for every situation. He is the transcendent character. My heart melts at each sentence devoted to him and I just about crumble during the courtroom scene. Am I gushing? I sure am. I was raised by a man who thought that Budweiser can artwork was the epitome of culture. That drinking a 6-pack was the breakfast of champions. That college was for sissies. He could throw out a racial slur without a single thought, care or worry to who was around. I won't even get into the debates/rantings of a 16 yr old me vs a 42 yr old him... What a role model. So, I thank Harper Lee for giving me Atticus. I can cuddle up with my cider and pretend that I’m basking in his light. I can write this blurb that makes sense to maybe a handful but that is okay, I am approved of and all is good.",5.0,positive,To Kill a Mockingbird,2657
"This is one book that I think is more relevant today than when it was first published. I love how Scout is adamant about who she is. Others keep trying to tell her who to be, what it is to be a female. However, she wants to play, get dirty, run around with her brother. She couldn't care less about wearing dresses and sitting perfectly upright in a chair with knees pressed together in shoes you can't walk in. Incredible to imagine that this was published before the internet. 2025 Reading Schedule Jan	A Town Like Alice Feb	Birdsong Mar	Captain Corelli's Mandolin - Louis De Berniere Apr	War and Peace May	The Woman in White Jun	Atonement Jul	The Shadow of the Wind Aug	Jude the Obscure Sep	Ulysses Oct	Vanity Fair Nov	A Fine Balance Dec	Germinal Connect With Me!",5.0,positive,To Kill a Mockingbird,2657
"I had a much longer review written for this book, but the comments were sadly annoying me. so I’ll just make my opinions clear in two sentences, because these are really the only thoughts about the book that matter to me: I was extremely bored by the majority of this novel and thus I did not enjoy it very much (and no, I will not reread it because I do not care). most importantly, though, I don’t believe a white savior narrative like this one is a story that should be so heavily defended by white people or pushed as an essential book in school curriculum today when there are better books about racism by people who have actually experienced it, and especially when this book cares more about the white characters than the Black ones!",2.0,negative,To Kill a Mockingbird,2657
"While the plot was very gripping and well-written, the book didn't actually instruct me on how to kill a mockingbird. I bought this book intending to do away with this obnoxious bird that's always sitting in my backyard and making distracting noises. I had hoped this book would shed some light on how to humanely dispose of the bird, but unfortunately it was this story about a lawyer and a falsely-accused criminal. As I said, the plot is great but nowhere in the book does it say exactly how to kill a mockingbird.",1.0,negative,To Kill a Mockingbird,2657
"In the course of 5 years, I’ve read this book nearly 17 times. That adds up to reading it once at least every 4 months, on an average. And I still return to this book like a bark seeking a lighthouse in the dark. When I first finished it, I was so overwhelmed by how much I related to it, I read it nearly 8 times before the year ended. By now I’ve memorized almost every scene and I still can’t shake off the feeling that I still have to learn a lot from it. Over the years, I realize that without knowing it, it has become my personal Bible – a beacon to keep me from straying from the path of kindness and compassion, no matter what. With its baseless cruelty and what Coleridge poetically referred to as motiveless malignity , the world is in need of much motiveless kindness – a rugged determination to keep the world a quiet haven and not the callous, cruel place it constantly aspires to be. To Kill A Mockingbird is one of those rare books that doesn’t give in to the belief that ”deep down, everybody’s actually good.” Not everybody is. And we must still persevere to see things from their perspective, and though we may not justify their ways, we must strive to understand them – though we might not follow them, we must try to be as kind to them as possible. And yet, there comes a time when some people need to be put down – we must follow the call of our conscience then, and yet be kind to them in the process, as much as we can. Striving to follow this dictum, I have realized how difficult it is to be kind to others when I find I’m right. It is so easy to put down others bluntly, it is so easy to be critical and fair, but so difficult to consider for a moment what the other might be going through. How convenient it is to dismiss the hardships of others and say, “They had it coming!” and unburden our conscience of the probable guilt that perhaps we’ve been a bit too harsh. How simple it is to stereotype people, classify them neatly into convenient square boxes and systematically deal with them based on those black-or-white prejudices! Robe a prejudice in the opaque, oppressive garment called Common Sense and display boldly the seal of Social Approval and you’ve solved the biggest difficulty of life – knowing how to treat people. And yet, nothing could be farther than the truth. Rarely are people so simple as they seem. In Wilde’s words, “The pure and simple truth is rarely pure and never simple.” For you never know when a grumpy, rude, racist Mrs. Dubose might be fighting her own monsters or Ewell be, in fact trying to protect the last vestiges of honor he has, or Aunt Alexandra only trying to advocate the least painful way of life. And though we might not agree with any of them, like Atticus, we must see them for their peculiar situations and grant them a little leeway, make a little corner for them too, and yet, stand up for what is right in defiance of them. It is this tricky rope-walking balance between prejudice and common sense, kindness and firmness, and justice and leeway that spurs me to revisit this little book every time I seem to falter. While I find it difficult to keep my cool in the midst of flagrant injustices and ensuing pain, I strive to strike a balance between giving in to despair and becoming too optimistic; between becoming indifferent, unkind, righteous and being compassionate, considerate. It is what keeps me from becoming paranoid or cynical with the unceasing drone of passivity, callousness, overwhelming prejudice and unyielding customs while still being alive to the pain of those very people I do not necessarily agree with. In a country like India with its bizarre, incomprehensible equations and sequestrations of religion, class, caste, region, language, race, gender, sexuality and education, it takes a whole load of effort not to blow up one’s mind – people will kill each other over anything and everything. They’ll hate each other, isolate each other and cook up stories amongst themselves and leave it floating in the air. It takes every ounce of my energy not to hate my land and its majority people viciously. Yes, viciously. But you see, I’ve got so much to learn to survive here – I have to stand up for myself when there will be hordes banging upon my door telling me to shut the hell up. And I’ll have to muster all the courage I have to tell them to go f*** themselves if they think I musn’t transcend the limits set for me. But I also have to learn not to hate them. Even if it sounds silly. I know for one, Lee – I don’t care if you never wrote another work. I don’t care if Capote helped you write it, as many say. I’m glad somebody wrote this book, and somebody assigned this book as syllabus when I needed it the most. Five years ago, I hadn’t even heard of it. I read it in a single sitting. And then I read it several times over, taking my time, pondering over every page. I still do so. It is my favorite book ever.",5.0,positive,To Kill a Mockingbird,2657
"So... I don't really know what to say. I think I loved this book, but for a reason beyond my understanding, it never hooked me, and it took me AGES to finish it! Some chapters (especially at the beginning) were tedious and hard for me to get through them... but then there were some chapters that I devoured (the whole Tom Robinson trial and the last ones). I definitely learned a lesson or two from this book. Atticus is my new role model, he is really incredible. I also love Scout and Jem, those kids will be in my heart forever. Oh! And I loved the Boo Radley storyline, it left me in awe. This book surely deserves 5 solid stars, and I kinda feel bad for giving it 4 stars, but the thing is... I was struggling to finish it, I swear I let out a relieved sigh when I read the last sentence. But all in all, it was a great read <3. And can't tell you how much I loved the last chapters, the part were Scout stands in Boo Radley's house and realizes the way he sees everything almost made me cry .",4.0,positive,To Kill a Mockingbird,2657
