review,rating,sentiment,book_title,book_id
His parents did well naming him Shel. He never did care to conform. What would compel a guy to rebel If everyone knew him as Norm?,4.0,positive,Where the Sidewalk Ends,30119
"“I will not play at tug o' war. I'd rather play at hug o' war, Where everyone hugs Instead of tugs, Where everyone giggles And rolls on the rug, Where everyone kisses, And everyone grins, And everyone cuddles, And everyone wins.”",5.0,positive,Where the Sidewalk Ends,30119
"Book Review 4+ of 5 stars to , a collection of poetry published in 1974 by . What a wonderful book to read with children at any age; that is, both any age for the reader and the children! I first read this book when I was about 10-years-old, and then again in college. From the brilliant characters to the alliteration and rhyme, to the memorable lines and funny situations, it's one of those books where you will find something new each time you read it. I cannot imagine being this creative. I can dream up stories about real people and situations and have written several, but to have an imagination where animals and things can talk, have emotions, interact in peculiar ways... to find the words to compare and contrast... to describe and draw precious creations... is true talent. I admire Silverstein's massive fantasy world of freedom. He was so unconstrained in his ability to develop a world with just enough charm and beauty to win us all over. It's a book all about perception, but without taking the didactic and pedantic approach. Children see things differently than adults. Adults have limits. Children have experiences. But what happens on the other side... where something is too far to see, or too close to imagine? Who lives in the crack between cement blocks? The world of freedom does... and that's where Silverstein wants us to go, where we are all equal, without preconceived notions... to be able to explore as if we are seeing something for the first time... and connecting with everyone around us. That's how to motivate readers with this book... children learning to see more than what they actually see. I could go on and on... but I'll stop. It's just a wonderful way to learn. FYI - Wrote this review ~2017 from memory as I want to have a review for everything I remember reading. If I messed it up, let me know! LOL :) About Me For those new to me or my reviews... here's the scoop: I read A LOT. I write A LOT. And now I blog A LOT. First the book review goes on Goodreads, and then I send it on over to my WordPress blog at , where you'll also find TV & Film reviews, the revealing and introspective 365 Daily Challenge and lots of blogging about places I've visited all over the world. And you can find all my social media profiles to get the details on the who/what/when/where and my pictures. Leave a comment and let me know what you think. Vote in the poll and ratings. Thanks for stopping by. Note : All written content is my original creation and copyrighted to me, but the graphics and images were linked from other sites and belong to them. Many thanks to their original creators.",4.0,positive,Where the Sidewalk Ends,30119
"This is a book that has been on our family shelves literally for generations. My own offspring enjoyed it, and are now sharing it with their children. There is a great pleasure in hearing someone say, ""I remember when you read this to me."" I've always enjoyed Silverstein's humor. There is such a wide variety of poems in here, long and short, some that depend on his illustration and some that stand alone. I think poetry is important for kids. There is a rhythm to our English language, and I think poetry has always captured it better than prose. So many of the poems here are complete little stories. And I enjoy that they break the staid and starchy reputation that is so often unjustly attached to poetry. This is one of those books that can be opened to any page, any time. And it's definitely a book that begs to be shared and read aloud.",5.0,positive,Where the Sidewalk Ends,30119
"There's a polar bear - in the fridgedare - he likes it cuz its cold in there! I wrote a report on this in the 6th grade and I still remember that by heart. That was the year I got braces and Chris N. butted in line when we were coming in from recess and I grabbed his arm and said ""No Butting!"" and he turned around and punched me in the face. The braces smashed into my lip and it bled so bad! I went to the bathroom with a girlfriend (I can't remember her anymore - isn't that strange?) and she tried to help me clean up and then the bell rang and she went back to class and I had to walk in to class with my bloody face. My teacher looked at me - and I was trying to skulk so quietly in - and he said ""Who did that to you?!?!?"" and I said Chris N. and he grabbed him by the shirt and lifted him off the ground and slammed him into the wall. He said something like ""You don't hit girls!"" and took him to the principles office. The funny thing?!?! That weekend I got chicken pox (the second time!) and when I got back they gave me two weeks detention for getting in a fight. (I am so not shitting you.) And when I went to detention - they made me sit in the hall by myself rather than sitting in detention with all the assholes who got busted for real shit. Man I have had the most fucked up life. Huh? Oh. this book rocks. Read it. Read it to your kids. Read it to people you love. And always remember that there IS a polar bear in the frigidare. (I live in Minnesota so that really means something.)",5.0,positive,Where the Sidewalk Ends,30119
Look O Look! I see a book! A book that gleams A book that screams Delightful things By Shel Silverstein Poems and drawings That are not boring They speak to me Like a tapestry Of childhood joys For girls and boys Not just for kids Adults will dig The funny rhymes of forgotten times When they were young And life was fun So turn the page Forget your age When the book ends You can start again And follow the bend Where the sidewalk ends,5.0,positive,Where the Sidewalk Ends,30119
"Every child eventually discovers the perverted old man who wrote songs for Johnny Cash, did illustrations for Playboy, appeared on the Dr. Demento show numerous times, and managed to get a few books published along the way. For some reason, parents never seem to think this creepy old guy who was so fond of children was in any way ""disturbing,"" something I'm continually impressed with in the ""ban now, ask questions later"" climate of modern culture. If there are people who don't like Shel Silverstein, I don't want to meet them. Or, more to the point, you shouldn't meet them if that is an option. Children need to experience this kind of creepy / weird / funny / sad stuff, not just for their own sake, but for the sake of having a conduit through which they can make sense of most of the rest of the world. Knowing that Shel sees things this way, too, makes it all easier to take, and makes your own oddness that much more tolerable. We, as humans, need to come to terms with inexplicable and unfathomable in the world, and it wasn't until Shel that we began to realize that the only way to gently help our children do just that, is to let a perverted old weirdo with a large stack of Playboys in his basement lead the way.",5.0,positive,Where the Sidewalk Ends,30119
"This collection of children's poems from Shel Silverstein is a real treat. Each of the creatures and characters is fascinating and never overly moralistically drawn. There are lots of laughs here - both my kids adored these poems and were sad when I turned the last page. ""More!!"" they cried.",5.0,positive,Where the Sidewalk Ends,30119
"I am crap at reciting from books. Sure, I know your super-famous opening lines and popular misquotations, but I don't really, like, pause in my reading to note a particularly nice turn of phrase so I can commit it to memory. Which is odd, because I have always had a pretty good memory for the spoken word and, especially, lyrics. When I was little, my parents found this most amusing. They would hear me playing in my bedroom, singing random snatches of commercial jingles and songs from A Prairie Home Companion to myself. Then they would try to make me perform them for guests. ""Sing the song from the Garrison Keillor tape!"" they would say. ""No,"" I would respond, suddenly shy. ""Come on, sing it!"" they'd smile. (""He's being shy, he usually sings this all day!"") ""No, I don't want to,"" I'd insist. ""Come on, Joel, sing the song from the tape ."" ""NOOOOO!"" I would shout, now in tears. ""SING IT OR YOU'RE IN TROUBLE!"" One of the things they would force me to perform like a trained monkey I liked to recite best was Shel Silverstein poetry. I had a cassette tape of Where the Sidewalk Ends (read by the author) that I listened to over and over, to the point where I had all the timing and inflections down and everything. I still have them memorized. The Crocodile's Toothache Oh, the crocodile went to the dentist and he sat down into the chair. And the dentist said, [jovially] ""Now tell me sir, why does it hurt and where?"" And the crocodile said, ""I'll tell you the truth, I've a terrible terrible ache in my tooth!"" And he opened his jaws so wide, so wide, the dentist he climbed right inside! And the dentist laughed, [gleefully] ""Oh, isn't this fun?"" as he pulled the teeth out one by one. And the crocodile cried, [frantic] ""You're hurting me so! Please put down your pliers and let me go!"" But the dentist just laughed with a [deep voice] ""Ho ho ho!"" and said, ""I still have 12 to go! Oops, that's the wrong one, I confess but what's one crocodile tooth more or less?"" And then suddenly the jaws went snap! [pause] And the dentist was gone, right off the map. From north, [pause] to south, [pause] to east, [pause] to west, [pause] he left no for- ward- ing address. But [long pause] what's one dentist, more or less? FROM MEMORY! It is better if you can hear it. Come by sometime and maybe my parents will force me to perform for you like some kind of sideshow robot freak. Facebook 30 Day Book Challenge Day 7: Book that you can quote/recite.",5.0,positive,Where the Sidewalk Ends,30119
"The title is misleading. I read the entire book and there was NO mention of where exactly the sidewalk ends. Obviously walking along a street that suddenly disappears beneath my feet is a huge fear, and I was hoping for some coordinates to avoid. You have been warned!!!!!!!!!!!!!!!!",5.0,positive,Where the Sidewalk Ends,30119
"I don't know why I put this book on my Want To Read list. I'm guessing I wanted to reread it. The mother of my granddaughter, my daughter, loves this book.",5.0,positive,Where the Sidewalk Ends,30119
This is such a sweet and sassy poetry collection. Silverstein has so much heart and wit. I read it slowly over 45 days to my 5 year old twins and they loved it and were awed and confused. We all have our favorites and it was a joy to read as a family. I loved the book as a kid and love it even more now that I'm able to see the poems again through The Mini Stacks' eyes.,5.0,positive,Where the Sidewalk Ends,30119
"All I can say is that this book is amazing. This was the first book that my dad ever read to me and I loved it. I was re-reading it today and I normally don’t love books I loved when I was little, but this book is different. I still love it, there’s not much else I can say that people haven’t already said, so I am just going to end this super short review now. P.S. If you haven’t read this before I recommend giving it a go, it is a nice fun, simple read that I’m sure you’ll enjoy reading.",5.0,positive,Where the Sidewalk Ends,30119
"Such an amazing book! This new addition has 12 new poems, and they fit in perfectly with our beloved favorites. The first poem, Invitation, sums the book up perfectly, and remains one of my favorite poems of all time: Invitation If you are a dreamer, come in, If you are a dreamer, a wisher, a liar, A hope-er, a pray-er, a magic bean buyer... If you're a pretender, come sit by my fire For we have some flax-golden tales to spin. Come in! Come in! And once you do, you'll never be the same. Awaken your silly wiggly bold beastie of a child within, and read this book, again and again...",5.0,positive,Where the Sidewalk Ends,30119
This is a great collection of poems by a great poet and song writer. I have much respect for his writings. I recommend this to all.,5.0,positive,Where the Sidewalk Ends,30119
"شل سیلوراستین به طور دوست داشتنی ای دیوانه ست بچه ای که سرش رو گم می کنه، اسب تک شاخی که از کشتی نوح جا می مونه و آدم برفی ای که اصرار داره آب نشه تا ماه جولای رو ببینه گاهی به نظر میاد بعضی شعرها هیچ معنی نمیده و گاهی معنی پشت بعضی هاشون در عین سادگی انقدر عمیقه که آدم تعجب می کنه شیرینی و دیوانه وار بودن این شعرها برای دنیای بچه ها عالیه، دنیایی که هنوز با واقعیت محدود نشده THE LAND OF HAPPY Have you been to The Land of Happy, Where everyone’s happy all day, Where they joke and they sing Of the happiest things. And everything’s jolly and gay? There’s no one unhappy in Happy, There’s laughter and smiles galore. I have been to The Land of Happy- What a bore! NO DIFFERENCE Small as a peanut. Big as a giant. We’re all the same size When we turn off the light. Rich as a sultan, Poor as a mite. We’re all worth the same When we turn off the light. Red, black or orange, Yellow or white. We all look the same When we turn off the light. So maybe the way To make everything right Is for God to just reach out And turn off the light! 98.11.15",3.0,neutral,Where the Sidewalk Ends,30119
